가게 이름,계정 ID,계정의 리뷰 수,계정의 별점 평균,방문 날짜,별점,리뷰 내 사진 유무,리뷰 글자 수,리뷰 내용,카카오맵 리뷰다는 사람 레벨
원조조박집 본관,•,1,1,2026-04-22,1.0,False,351,진짜 별점 한개도 한개가 최소라서 누른거임 처음 2인분 시켰을때 나온 고기도 뼈만 크고 별로였는데 그냥 먹음 그리고는 불판 바꾸려하는데 주방 바로 앞이였음에도 불구하고 불판 갈아달라고 여러번 불렀는데도 대답만 네네 하고는 갈아주지도 않고 진짜 겨우겨우 불판 갈았고 밥도 주문했는데 네 만 하고 가져다 주지 않아서 한 세번 말해서 겨우 받음 이 세번도 진짜 힘들게 말함 다 먹고 진짜 겨우 불러서 식혜달라해서 먹는데 화룡점정으로 식혜에서 머리카락 나옴 진짜 최악이었음 직원도 여러명이었고 내가 멀리 있었던 것도 아닌데 뭐 하나 시키기도 힘들고 진짜 부르다 진빠져서 나중엔 지쳐서 포기함 물도 더 달라고 하려고 부르다가 그냥 안마심,브론즈 레벨
원조조박집 본관,조새롬,36,4,2026-03-27,5.0,False,84,39살 따님을 두신 어머니~~^^ 오늘 덕분에 너무 즐겁고 맛있게 잘 먹었습니다 너무너무 감사했습니당 또올게요!!! 오늘도 내일도 화이팅 하셔요!!!!,실버 레벨
원조조박집 본관,JINA,16,3.9,2026-03-03,4.0,True,102,예전이나 지금이나 변함없는 맛이네요. 밑반찬과 고기의 간이 잘 어우러져 질리지 않는 맛입니다. 달지 않아서 좋습니다. 직원 분들도 친절하셔서 편한 식사를 했습니다. 다만 가격이 사악.,실버 레벨
원조조박집 본관,찹쌀,30,2.8,2026-01-27,5.0,False,21,동치미 국수가 미쳤어요(postive),실버 레벨
원조조박집 본관,탐험하는 탐험가,2,3,2026-01-07,5.0,True,38,돼갈 일단 미쳤고 직원분들 너무 친절해요.. 🤍 또 올 집입니다!!!,브론즈 레벨
원조조박집 본관,X,65,4,2025-12-12,4.0,False,94,맛있어요 맛있는데 리뉴얼후로 깨끗해졌는데.(아주예전 건물은 좀 더러웠긴함..) 뭔가 분위기가 ㅋㅋㅋㅋ;; 먹고 노가다 뛰러가야할거같은 그느낌때문에 약간. 맛은 훌륭합니당,실버 레벨
원조조박집 본관,춤신춤왕,109,3.3,2025-12-03,4.0,True,104,이게 밑반찬 끝. 아 갈비를 못찍음.근데 진짜 맛은 있다. 또갈예정 . 가격은 점점 올라가..생갈비는 걍 .. 기본 돼지갈비추천 굽느라손은바쁨..상추는 청상추. 주차는 건너편공영주차장으로,골드 레벨
원조조박집 본관,핸스떠,228,3.1,2025-11-28,4.0,True,306,"5점 : 무조건 방문 4점 : 맛있음 3점 : 평범함 2점 : 흠 1점 : 쩝 생갈비가 생겼길래 주문 해 봤다. 다음엔 그냥 양념만 먹어야겠다. 찐갈빗살과 목살의 구성이다. 예나 지금이나 맛도 좋고 짝퉁 갈비 안 팔아서 더 좋다. 돼지갈비 맛집 찾다가 갈 곳 없으면 조박집 가는 게 정답이다. 국내산 순수 돼지갈빗살로만 갈비를 만드는 곳은 서울 경기권에 거의 없는 것 같다. 제발 찾고 싶다. 인천에 하나 있긴한데, 갈 수록 별로라 패스. 사람들은 뼈 붙인 왕갈비 좋다고 먹던데.. 그냥 명륜진사 두꺼운 고기를 먹는 것과 다를 게 뭐지? 희한하다.",골드 레벨
원조조박집 본관,블루베리,44,5,2025-11-12,5.0,True,23,맛집보고서 레드망고 마포구 돼지갈비 투스타,실버 레벨
원조조박집 본관,김기완,6,4.2,2025-11-09,5.0,False,21,맛있게 잘 먹었습니다. 우리딸 최애식당,브론즈 레벨
원조조박집 본관,펭수,57,3.5,2025-10-07,3.0,False,146,맛은 있는데 가격은 갈수록 선 넘어가는 느낌. 생고기도 아닌 양념 돼갈을 이 가격 주고 먹어? 느낌. 전에 조박집 브랜딩으로 오마카세 열었던거 잘 안된거 아님? 거기 로스를 조박집 가격인상으로 때우는 삘인데. 거의 2만원인데 인도네시아 산 싸구려 숯 쓰는것도 좀,실버 레벨
원조조박집 본관,도슐랭가이드,604,3.3,2025-09-17,4.0,True,36,"《가성비 봉피양》 거의 꽉찬 육각형 다만, 가격이 거슬려지기 시작",블루 레벨
원조조박집 본관,오래오‘s travelplate,144,4.7,2025-09-01,5.0,True,251,"단맛을 진짜로 절제 잘하는 맛집. 모든게 계산 된 것 같은 그런 맛을 내는 집이다. 과하지 않게 딱 필요한 사이드와 물리지 않을만큼 끊임없이 들어가는 돼지갈비. 된장찌개, 동치미국수 추가는 1000원으로 가격도 이쁘고 인위적으로 낸 맛이 아닌 누구나 생각할 법한 이상적인 자연스러운 맛이다. 쌀밥에 총각무도 기똥차고 뒤에 내어주는 후식인 식혜마저 너무 달면 물릴 수 있는데, 슴슴한 시원한 식혜. 나한테는 돼지갈비의 정석과도 같은 교본 같은 집이다.",골드 레벨
