가게 이름,계정 ID,계정의 리뷰 수,계정의 별점 평균,방문 날짜,별점,리뷰 내 사진 유무,리뷰 글자 수,리뷰 내용,카카오맵 리뷰다는 사람 레벨
쭌곱창,미피,92,3.5,2026-04-22,5.0,False,6,너무 맛있음,실버 레벨
쭌곱창,이지훈,1,5,2026-04-19,5.0,True,25,완전 맛있는 닭발 곱창집이에요!! 강추합니다.,브론즈 레벨
쭌곱창,qnaodh,13,2.4,2026-04-18,5.0,True,55,곱창 막창 러버로서 인정하는 불맛!!!! 사장님이 알려주신 쌈조합으로 먹으니까 정말 맛있었어요!!!,브론즈 레벨
쭌곱창,차경주,1,5,2026-04-16,5.0,True,16,너무 맛있게 잘 먹고 갑니다~,브론즈 레벨
쭌곱창,지수 (젠블),2,5,2026-04-16,5.0,True,77,비쥬얼 굿! 맛도 굿! 사장님이 친절히 맛있게 먹는법 가르쳐주심 생크림파인애플 킥 곱창양념 너모맛있음! 주먹밥도 존맛 재방문의사 200프로,브론즈 레벨
쭌곱창,수영,16,4.5,2026-04-12,5.0,True,580,처음 먹었을 때의 충격을 잊을수가 없음 깻잎+곱창+생크림 듬뿍 조합으로 한 입 넣어 먹으면 그게 바로 극락임 그냥 ㅜ 그리고 쌈 가능한 모든 조합으로 다 싸먹으면 다 다르게 맛있어서 좋음 메뉴가 너무 특이한데 계란물도 부어주시고 토치질 퍼포먼스도 있어서 이런곳이 있다더라 하고 사람들 데려가기 좋음ㅎㅎ 항상 반응이 너무 좋아서 어깨가 으쓱해지는 집 아무리 생각해도 나보다 한국어를 잘 하시는 것 같은 친절한 금발 푸른눈의 직원분이 서빙해 주심. 기본으로 나오는 소스 3종도 크리미하되 각각 느낌이 좀 다름. 기본 곱창이 조금 매콤하게 나오는데 느끼한 소스에 찍어먹으니 매운맛도 중화되고 소스가 물리지도 않음. 정말 양식과 한식 그 중간 어딘가의 오묘한 맛을 경험할 수 있음 + 볶음밥은 필수!! 홍대에서 이정도면 가성비도 상당한 편이구 단순히 곱창집이라고 생각하고 방문했다가는 그 이상의 신세계를 경험하게 됨. -아쉬운 점 반지하이고 공간이 좁아서 자리가 불편할 수 있음 갈 때마다 조리시간이 꽤 길었던 편. 다 조리해서 빼는 메뉴기도 하고 좁은 가게라 그럴수 있음. 일정 급할 땐 피하기~ 금요일/주말 저녁시간은 웨이팅 언제나 있는 편,실버 레벨
쭌곱창,임재찬,1,5,2026-04-03,5.0,True,68,쭌곱창 너무너무 맛있어요+_+ 매콤하면서도 달달하면서도 아주 섹시푸드❤️ 파인애플 소스까지 아주 꿀맛입니다!! 추천합니다~,브론즈 레벨
쭌곱창,보통,130,3.5,2026-03-26,1.0,False,19,위생x 맛도 잘 모르겠음 얼린 반찬,실버 레벨
쭌곱창,정혜민,2,5,2026-03-19,5.0,True,20,너무 맛있어서 순식간에 사라졌어요 😮,브론즈 레벨
쭌곱창,김가영,1,5,2026-03-18,5.0,True,58,너무 맛있어요!! 처음 맛보는 맛인데 다음에 서울 오게 되면 또 방문하게 될 것 같아요!! 감사합니다❤️,브론즈 레벨
쭌곱창,대한,4,4.3,2026-03-18,5.0,True,25,곱창이 적당히 자극적이고 너무 마싯었요~~~~,브론즈 레벨
쭌곱창,정재용,1,5,2026-03-11,5.0,True,26,여자친구랑 왔는데 너무 좋은 시간 보냈습니다!!,브론즈 레벨
쭌곱창,희연,16,4.6,2026-03-11,5.0,True,4,존.맛.,실버 레벨
쭌곱창,은선이,1,5,2026-03-03,5.0,True,148,쭌곱창 이전에 1년전에도 데이트때 와서 먹었던 집인데 오랜만에 홍대 왔는데 또 생각나서 방문합니다☺️☺️ 여전히 불맛 맛있고 소스 가짓수 많고 요즘 리뷰 이벤트도 되게 후하게 있어서 좋았습니다!! 그리고 분위기도 홍대답게 힙하고 이늑하고 데이트하기에 놓습니다❤️❤️,브론즈 레벨
쭌곱창,홍승민,2,5,2026-02-23,5.0,True,6,맛있습니다!,브론즈 레벨
쭌곱창,김민,1,5,2026-02-22,5.0,True,34,사장님 친절하시고 음식 금방 나왔어요! 맛도 좋고 훌륭합니다!,브론즈 레벨
쭌곱창,김소희,2,5,2026-02-20,5.0,True,16,곱창 너무너무 맛있어요 !!!,브론즈 레벨
쭌곱창,차누,6,4.3,2026-02-19,5.0,True,55,여자친구가 좋아하는 식당이라 와서 먹어봤는데 맛있어요!! 저는 개인적으로 계란찜이 너무 맛있읍니당~,브론즈 레벨
쭌곱창,마이클 오우언,5,3.8,2026-01-13,5.0,False,6,no cap,브론즈 레벨
쭌곱창,찐찐,2,5,2026-01-08,5.0,True,35,아늑하고 맛있습니다~ 안먹어본 음식 모임도 괜찮고 단체도 좋아요,브론즈 레벨
쭌곱창,Y,252,3.1,2025-12-31,2.0,False,11,2.5 너무 자극적임,실버 레벨
쭌곱창,주성찬,1,5,2025-12-29,5.0,True,43,맛있게 맵고 진짜 한끼 식사로 포식할수 있습니다. 크림에 찍어먹는것도 맛있어요,브론즈 레벨
쭌곱창,이정현,1,5,2025-12-29,5.0,True,82,맛도 있고 은은하게 매운걸 계란찜이랑 생크림이 잡아줘서 너무 좋아요!!! 그리고 사장님도 너무 친절하시고 먹는 방법까지 알려주셔서 너무 좋았어요!!,브론즈 레벨
쭌곱창,이하준,1,5,2025-12-29,5.0,True,16,맛과 서비스가 짱!!! 👍👍👍,브론즈 레벨
쭌곱창,한준희,1,5,2025-12-27,5.0,True,25,맛있게 잘 먹었습니다!! 다음에 또 올게용!!,브론즈 레벨
쭌곱창,맛도리만후기,4,4.8,2025-12-25,5.0,True,17,역시 크리스마스엔 곱창이지 ~~,실버 레벨
쭌곱창,몽구,2,5,2025-12-22,5.0,True,55,개인적으로 홍대 곱창 원탑이라구 생각합니다 잡내도 안나고 맵기도 딱! 완전 맛있어요 추천합니다!!!,브론즈 레벨
쭌곱창,해빈,1,5,2025-12-22,5.0,True,7,너무 맛있어요,브론즈 레벨
쭌곱창,윤예원,2,5,2025-12-18,5.0,True,62,"친구가 맛있다고 추천해 줘서 왔는데, 너무 맛있었습니다!!! 곱창 닭발 세트로 시켰는데 불맛도 나도 맛있어요 👍",브론즈 레벨
쭌곱창,문동윤,2,5,2025-12-18,5.0,True,69,사장님과 직원분들이 친절하셔서 처음 방문했는데도 편하게 주문하고 즐길 수 있었어요. 곱창이랑 위에 우삼겹 너무 맛있어요 ㅎㅎ,브론즈 레벨
쭌곱창,Tiffany,1,5,2025-12-14,5.0,True,77,Our server was very helpful in showing us how to eat the gopchang! Delicious!,브론즈 레벨
쭌곱창,탐방러,3,5,2025-12-12,5.0,True,33,세트메뉴 구성 미첫어요!!!! 계란찜이랑 오뎅국물까지 미츳다,브론즈 레벨
쭌곱창,ㅇㅇ,15,3.5,2025-12-11,3.0,False,11,불곱창맛 무난무난..,브론즈 레벨
쭌곱창,ㅇㅇㅇ,1,5,2025-10-25,5.0,True,20,맛있는 곳에서 이야기하다보니 순삭 🤩,브론즈 레벨
쭌곱창,정직,12,4,2025-10-17,5.0,True,54,처음왔지만 처음이 아닌듯한 익숙한 느낌 쭌.. 쭌곱창!! 곱창 갈비를 주문했어요 홍대면 여기로~!,브론즈 레벨
쭌곱창,서연,1,5,2025-10-14,5.0,True,71,사장님이 친절하게 먹는 방법을 설명해주셔서 더 맛있게 먹었어요 ! 파인애플생크림이 다른 곳에서는 없는 맛이라 더 특별했어요 ☺️,브론즈 레벨
쭌곱창,권효재,1,5,2025-10-03,5.0,True,37,너무 맛있습니다!! 가성비 좋아용 고기 구워주는 퍼포먼스도 좋았어요,브론즈 레벨
쭌곱창,예,110,3.6,2025-10-03,1.0,False,5,리뷰이벤트,골드 레벨
쭌곱창,단풍,5,2.8,2025-09-25,1.0,False,81,아니 평점 좋아서 갔는데... 진짜 맛있나요? 궁금하다 진짜 오뎅탕인데 국물이 없고 곱창은 말랐고 계란찜은 볶다보니 보이지 않고 그런데...???,브론즈 레벨
쭌곱창,예나,2,4,2025-09-24,5.0,True,22,사장님 인상이 좋으시고 음식이 맛있어요!,브론즈 레벨
쭌곱창,♡,2,5,2025-09-20,5.0,True,38,소스가 다양하고 곱창이 맛있습니다! 세트 구성이 푸짐해서 좋아요~!!,브론즈 레벨
쭌곱창,김하늘,1,5,2025-09-14,5.0,True,41,달달하면서 매콤하고 불향 가득한게 맛있네요! 맵찔이 분들은 계란찜 필수:),브론즈 레벨
쭌곱창,송 민,1,5,2025-09-06,5.0,True,68,불향이 너무 잘 나서 너무 맛있었습니다 !! 계란찜까지 완벽한 조합이네요. 즉흥적으로 방문한 건데 재방문 의사도 확실해요👍,브론즈 레벨
쭌곱창,감자,7,2.9,2025-09-05,1.0,False,49,이거 다 카카오리뷰이벤트에요 너무 달고 맵고 그냥 매운 떡꼬치 양념에 버무린 맛이에요..,브론즈 레벨
쭌곱창,1234,4,4,2025-09-01,5.0,True,38,곱층 너무 맛있네요 ㅋㅋㅋㅋㅋㅋ 무뼈라서 먹기 편하고 진짜 맛집입니다,브론즈 레벨
쭌곱창,융,2,5,2025-08-30,5.0,True,19,사장님 친절하시고 곱창도맛있어요:),브론즈 레벨
쭌곱창,서은서,1,4,2025-08-18,4.0,True,5,맛있어요!,브론즈 레벨
쭌곱창,jiny,26,3.2,2025-08-13,1.0,True,64,후기 이벤트에 속아.......ㅜ 너무 달고 질겨요.. 밥도 안좋은 쌀 쓰시는 듯.. 위생은 더 별로ㅜ 가지마세요.,실버 레벨
쭌곱창,신은경,2,5,2025-08-10,5.0,True,63,홍대 왔는데 여기 안오면 홍대 와본거 아님 .... 진짜 개ㅐㅐㅐㅐㅐ맛있어요 무조건 세트로 드시구 극락가세요!!!,브론즈 레벨
쭌곱창,비밀찌개,2,5,2025-07-26,5.0,True,26,넘넘맛있어용 ㅎㅎ 담에도 오고싶어요….크휴ㅠㅠㅠ,브론즈 레벨
쭌곱창,이름,8,3.5,2025-07-15,5.0,True,37,오랜만에 왔는데 뭔가 더 업그레이드된 느낌?? 너무 맛있어요~~~~,브론즈 레벨
쭌곱창,서우혁,1,5,2025-06-30,5.0,True,27,여기 진짜 맛있어요! 친구들하고 소맥하기에 좋아용,브론즈 레벨
쭌곱창,힘들땐스쾃뜨한세트,15,5,2025-06-30,5.0,True,29,맛잇어요 ㅎ ㅎ ㅎ ㅎ ㅎ ㅎ 또오려고 후기남겨요!!,실버 레벨
쭌곱창,ㅎ,2,5,2025-06-28,5.0,False,62,매장이 넓진 않지만 아늑한 분위기라 친구들이랑 조용히 떠들면서 먹기에 ㅈ정말 좋았고 양이 정말 푸짐해서 좋았어요,브론즈 레벨
쭌곱창,최윤정,1,5,2025-06-25,5.0,True,125,친구한테 추천받아서 왔는데 메뉴구성이 너무 알차고 일단 맛이 너무 맛있어여 ..💖 세트 C로 먹었는데 너무 맛있고 재방문의사 완전있어요 두명단위로 세트가 구성되어있어서 메뉴고르기도 좋았어요 친구들한테 똑같이 추천할듯 ..!!,브론즈 레벨
