가게 이름,계정 ID,계정의 리뷰 수,계정의 별점 평균,방문 날짜,별점,리뷰 내 사진 유무,리뷰 글자 수,리뷰 내용,카카오맵 리뷰다는 사람 레벨
황금콩밭,옥탑방,564,3.5,2026-04-28,5.0,True,76,여긴 진짜다 .. 근본 그자체 너무 짜지 않으면서도 깊이있는 청국장과 흔치않은 시래기콩비지도 고소함의 극치 밑반찬도 군더더기 없이 맛있음,블루 레벨
황금콩밭,맛있는 건 잘 먹어요,9,4.4,2026-04-27,5.0,True,69,"두부 매니아로서 꼽는 인생 맛집입니다. 특히 두부전골 국물이 정말 개운하고 깔끔하고, 밑반찬 하나하나도 감동적인 맛이었어요.",실버 레벨
황금콩밭,머랭쿠키,298,4.3,2026-04-22,4.0,True,71,반반짜글이 고기 두부 다 신선하고 맛있어요 청국장도 부드러워서 잘 못먹는 사람도 부담없이 먹을 수 있어요 소쿠리두부도 부드러워용,골드 레벨
황금콩밭,곽웅,93,2.9,2026-04-17,4.0,False,18,속편한 식사. 가격대는 약간 에바,실버 레벨
황금콩밭,BJ BEAK,98,3.2,2026-04-06,5.0,True,91,담백한 음식을 즐기신다면. 추천. 맛집으로는 중상위권이라 생각 됩니다. 개인적으로 좋았어요. 기회가 돠면 다시 한번 더. 주차는 단독주택 개조라서 어려웁네유...ㅋ,실버 레벨
황금콩밭,🦘퀭거루,71,4.3,2026-04-03,5.0,False,38,매우 맛있습니다 두부 자체도 맛난데 짜박두부 개맛있아요 친절은 없어요,실버 레벨
황금콩밭,이혜경,1,5,2026-04-02,5.0,False,42,두부 짜글이 진짜 맛있구요 특히 들기름향의 고소한 국물도 두부도 맛좋았습니다,브론즈 레벨
황금콩밭,stevemin12,2,1,2026-03-31,1.0,True,133,절대 가지 마세요 ㅠㅠ 이런 청국장 처음이고 두부 4피스에 16000 원 .. 그래서 뭔가 특별한가 맛봤는데 마켓 두부와 차이를 모르겠네요 왜 줄을 서는지 ? 마포에 이렇게 맛집이 없나요 ? 다시는 못찾아먹을 한끼 … 너무 억울합니다 ㅠㅠ,브론즈 레벨
황금콩밭,민보리,2,1,2026-03-31,1.0,True,110,"왜 이집에 줄을 서는지 모르겠네요 최악의 청국장 ,,이런 맛 처음이고 두부 4쪽에 1만 6천원 ㅠㅠ 비추 입니다 ^^ 나를 맛집이러고 데리고 가신분도 황당해서 몸둘바를 몰라해서 내가 되려 미안했어요",브론즈 레벨
황금콩밭,이영우,11,3.4,2026-03-15,4.0,True,128,두부에 이 가격을? 하면서 들어와서 맛보고 어느정도 납득은 가는 가게. 두부 맛이 훌륭함 단단해서 씹는맛이 좋은 두부라기보단 콩 향이 좋은 부드러운 두부. 간이 전반적으로 담백해 자극적인 맛을 좋아한다면 짜글이를 필수로 주문해야함,실버 레벨
황금콩밭,리보,79,4.7,2026-03-09,5.0,True,33,가격대는 있지만 대만족. 청국장과 생두부가 특히 맛있었어요.,실버 레벨
황금콩밭,깨비짱,1024,4.4,2026-03-01,4.0,True,34,두부고기 반반짜글이 먹었는데 칼칼하고 두부 부드럽게 맛있었어요,블루 레벨
황금콩밭,purdy,160,4,2026-02-28,3.0,True,46,두부집에선 두부를 먹어야되네요. 돼지는 부위도 맛도 좀 아쉬웠는데 두부는 맛있어요.,골드 레벨
황금콩밭,레쓰비,16,3.5,2026-02-27,1.0,False,55,장사 잘 되는만큼 불친철(사장님이 계산대 앞에서 제일 불친절함..) 손님 가려받음 그으래..부자돼라,실버 레벨
황금콩밭,스님,1089,4,2026-02-21,5.0,True,48,두부전골 조온맛 ~.. 칼칼하고 깊은 맛이예요 두부도 몰캉하고 고소하고 밑반찬도 맛있음,블루 레벨
황금콩밭,Aaron,226,2.7,2026-02-09,4.0,False,2,두부,골드 레벨
황금콩밭,보코블린,87,3.3,2026-02-05,3.0,False,163,생두부는 진짜 고소하고 부드럽고 맛있었다. 그러나 콩인지라 느끼할 순 있음. 밑반찬도 맛있었다. 청국장은 간이 너무 슴슴해서 먹는 내내 이게 맞나 싶었다. 평소에 짜게 먹는 편이 아닌데도 유독 슴슴했음. 그러나 짜글이가 진짜 맛있었다. 혼자든 둘이든 그냥 짜글이나 전골만 시켜도 될 것 같다.,실버 레벨
황금콩밭,ㅇㅅㅇ,15,4.1,2026-02-01,4.0,False,18,혼자가면두부짜글이 둘이가면짜박두부,실버 레벨
황금콩밭,정직하게 살자.,267,1.4,2026-01-25,1.0,False,47,음식점 쌀 원산지 거짓표시 2025.08.29 표시변경 국립농산물품질관리원 경기지원장,골드 레벨
황금콩밭,야옹,98,4.1,2026-01-05,1.0,False,357,이 동네로 옮겨 오기 전 가게때부터 먹으러 갔었던 식당입니다 거의 6년?전부터요~ 늘 공덕동에 친구들 놀러오면 대접하기 좋은 맛집이라 자부하였습니다. 그러나 2026년 새해 첫날부터 코스로 부모님 모시고 맛있게 먹고 계산하는데 ... 거 참 제로페이로 결제하는거 좀 버벅거린다고 떡하니 제로페이 써있는데 안되요 안된다고요 하신 남자사장님... 전부터 직원들이 훨씬 친절하고 사장님은 좀 무뚝뚝하다 생각했는데 참 밥 잘~ 먹고 너무 불쾌했습니다... 뒤에 계산 줄이 밀린것도 아니고 그렇게 면박 주셔야 했습니까? 결국 제로페이 잘 되어서 결제 되었잖아요?? 두부 정말 맛있고 좋지만 다시는 방문하기 싫은 집입니다. 방문하실 분들 참고하세요.,골드 레벨
황금콩밭,랜드마크,55,3,2026-01-04,4.0,False,10,생두부 청국장 최고,실버 레벨
황금콩밭,이재원,1596,3.6,2025-12-24,4.0,True,40,두부코스요리!! 재방문의사 홍어삼합!! 굿!! 두부짜글이!! 두부푸딩!!,블루 레벨
황금콩밭,아뚱멍,134,4.3,2025-12-21,5.0,True,48,간이 삼삼하니 다 맛있었던 부들부들 두뷰 두부요리치곤 비싸긴하나 부모님 델꼬가기 좋은곳,골드 레벨
황금콩밭,시계태엽오렌지,24,1.8,2025-12-15,1.0,False,110,"연말모임을 하기로하고 약속시간보다 20-30분가량 일찍도착했더니, 자리도 충분히 널널한데 일행이 다오지않으면 들여보내주지 않네요 한겨울에 밖에서 덜덜 떨라는건가요...? 종업원 교육 똑바로 시키시길",실버 레벨
황금콩밭,정진의 먹동여지도,140,4,2025-12-11,5.0,True,26,정진이 답사하여 먹수지리적으로 완벽한 곳 (上),골드 레벨
황금콩밭,해조아,308,3.9,2025-11-26,3.0,True,85,저는 다들 친절한편이라 느꼈습니다 짜글이가 괜찮았고 두부는 순두부같이 부드러운 식감이었어요 두부전이 굳이 2만원주고 먹을 양과 맛은 아닌것같아 아쉽습니다,골드 레벨
황금콩밭,재미따라,419,3.7,2025-11-18,4.0,True,34,두부자체는 맛있음. 친구는 돼지짜글이가 너무 맛있다고 하네요.,골드 레벨
황금콩밭,폐업점쟁이,5,1,2025-11-10,1.0,False,168,수십 번을 갔지만 일관적으로 불친절한 곳. 음식이 괜찮아서 왔었는데 더이상은 못 가겠습니다. 직원이 불친절한게 아니라 사장 내외로 보이는 분들이 불친절합니다 ㅎㅎ 심지어 예전엔 비지찌개에서 비닐 이물질 나온 적도 있는데 환불이나 사과도 없었어요 맛도 초심도 잃으신 것 같은데 장사 잘 되고 번창하세요~,브론즈 레벨
황금콩밭,도슐랭가이드,604,3.3,2025-11-10,4.0,True,34,《몽실몽실 두부》 5년 만의 재방문 여전히 부드러운 두부 공방,블루 레벨
황금콩밭,ㆍ,57,4.8,2025-11-09,5.0,True,153,몇 년전부터 와보고 싶어 저장해뒀던 곳. 공덕으로 이사와서 첫 방문했어요. 청국장이랑 비지찌개 먹고 반해서 이틀 뒤 삼합먹으러 재방문^^ 삼합도 맛있었어요. 사장님 부부이신듯(?). 반찬 부족한지 먼저 오셔서 신경써주시고 친절하셨어요. 음식이 정갈하고 가게 내부도 깨끗해요.,실버 레벨
황금콩밭,ㅁㅎ,67,3.7,2025-11-01,5.0,False,4,두부보쌈,실버 레벨
황금콩밭,맛있으면 살안심,54,3.5,2025-10-20,4.0,True,15,맛있어요. 고소한 냄새가득.,실버 레벨
황금콩밭,reviewer,8,4,2025-10-06,5.0,True,66,건강식으로 너무 맛있게 먹었어요! 다른 메뉴들도 궁금하고 기대되서 다른 메뉴들도 먹으러 재방문 할 의사 200%입니당!,실버 레벨
황금콩밭,여행동무,4,4,2025-10-01,1.0,False,353,"몆번의 방문자 얘기~! 오늘따라 깻잎무침 이라는 반찬이 유독 짜기에 손도 못대고 식사를 마무리하고, 계산대에 와서 조용히 저 파란색나물 이름이 뭐예요?하고 물으니 여주인 인듯한 사람이 깻잎이라고 하기에 니무 짜다고 진짜 소태네요 그랬더니, 니글맞게 웃으며나는괜찮던데요 그러더라요 내가 주문한 음식이 비지찌게와 차돌된장 찌겐데 싱겁고 찐것을 못느끼겠냐구요 그리고 손님이 얘기하면 그런가요 하고 한번 체크해 보는게 기본아닌가요?! 내 60 평생살면서 누구한테 싫은 얘기해봐야 어떠한 득도 없고 말은 되돌아 온다는 마음으로 살았기에 조심하며 살았는데 오늘 이 황금콩밭의 여주인의 행태는 그냥 넘기기에 너무 속상하고 황당하여 지금의 이글을",브론즈 레벨
황금콩밭,랭모기,24,4.8,2025-08-27,5.0,True,53,청국장이랑 두부전 미친맛. 두부전골은 쏘쏘 근데 청국장은 너무너무너무맛잇고 두부전은 그냥 도라이,실버 레벨
황금콩밭,마포구보안관,356,4.3,2025-08-16,5.0,False,6,추억의 장소,골드 레벨
황금콩밭,맛집심의관,563,3.8,2025-07-14,4.0,True,221,"여러 해 미쉐린 가이드에 오른 본점은, 전반적으로 정갈하고 담백한 콩요리를 선보입니다. 청국장은 구수하면서도 자극적이지 않아 부담 없이 즐길 수 있었고, 두부짜글이는 부드러운 두부와 진한 양념이 따뜻한 흰밥과 잘 어울렸습니다. 음식의 간이 세지 않아 재료 본연의 맛을 즐길 수 있으며, 가격대는 약간 높은 편입니다. 일상에서 가정식이 그리운 날 건강하게 한 끼 하고 싶을 때 찾기 좋은 곳입니다.",골드 레벨
황금콩밭,술쟁이,120,3.6,2025-07-13,4.0,True,112,집근처라 다섯번정도 가본 유명한 두부요리전문점 정갈하고 깔끔한 한식 요리를 먹고싶으면 생각나는집. 두부가 정말 고소하고 맛있어요. 다만 위치와 두부라는 요리라고 생각하면 가격은 다소 비싸다고 생각되네요,골드 레벨
황금콩밭,참나물,90,3.3,2025-05-21,2.0,False,97,가성비까진 아니여도.. 음 상권이 비싼것도 아니고.. 음 맛이 뛰어난것도 아니고.. 음 두부 엄청 기대했는데ㅋㅋ 먹자마자 할머니가 해준 두부팔면 울 할모니 재벌되겠다고 생각함,실버 레벨
황금콩밭,그냥짱쎈블로거,288,4,2025-05-18,3.0,True,293,괜찮은 한정식을 먹으러 친척 어르신분들 모시고 예약해 방문했습니다 당일 예약은 네이버로 불가능했지만 전화로 말씀드리니 당일 방문 가능하다 하셨습니다! 개인적으로 코스 인당 6만원치고는 구성이 조금 아쉽다는 느낌이 들었습니다 집반찬 느낌으로 다양하게 나오는데 고급진 느낌은 아니고 그냥 평소에 접할 수 없는 한식을 맛보는 느낌? 아주머니도 반찬 툭툭 내려놓고 설명도 없이 가셔서 머쓱하더라고요.. 재방문 의사는 글쎄요? 아 근데 청국장은 진짜 맛있었음........ 맛: ⭐️⭐️⭐️⭐️ 분위기: ⭐️⭐️⭐️ 친절함: ⭐️⭐️,골드 레벨
황금콩밭,윤146,13,2.5,2025-05-13,5.0,True,155,처음에는 무슨 두부가 이렇게 비싸?하며 주문했지만 한입 먹어보면 납득이 가는 가격🥹❗️평소 두부를 정말 좋아하는 편이라 너무 맛있게 잘 먹었습니다! 콩비지도 너무 맛있었어요! 직원분들도 다 너무 친절하시고 밑반찬도 맛있는데다가 가득씩 리필해주시고🫶 집 근처라서 너무 행복하네요!,실버 레벨
황금콩밭,deugro박영도,17,4.8,2025-05-02,5.0,True,15,비싸지만 한 번쯤 가볼만해요,실버 레벨
황금콩밭,김한나,186,4.4,2025-04-22,5.0,False,10,두부맛집은 소중해🩷,골드 레벨
황금콩밭,돼지상어,69,4.2,2025-04-21,4.0,False,16,"정갈하고 깔금, 자극적이지않음",실버 레벨
황금콩밭,좋은게 좋은거지,47,3.7,2025-04-20,3.0,False,67,솔직히 왜 맛집인지 모르겠음… 두부는 맛있어요 근데 두부 요리들이 엄청 맛 좋은지는 모르겠어요. 가격도 좀 심각하게 비쌈,실버 레벨
황금콩밭,nim,13,5,2025-04-14,5.0,False,94,여긴 두부전 .. 꼭 .. 그리고 기본 밑반찬 간이 너무 잘되어있어서 몇번 더 리필해먹었네요.. 서울도심에 이렇게 전체적으로 괜찮은 두부전문집 찾기 어렵습니다 별 다섯개,브론즈 레벨
