가게 이름,계정 ID,계정의 리뷰 수,계정의 별점 평균,방문 날짜,별점,리뷰 내 사진 유무,리뷰 글자 수,리뷰 내용,카카오맵 리뷰다는 사람 레벨
대성갈비,김소방,816,4.4,2026-04-18,5.0,True,140,기존 자리에서 빌딩으로 이사간 후에는 첫 방문. 우선 고기맛은 여전히 JMT 여전히 양푼 같은 것에 갈비를 내어 주는 것이 재미있음. 중국여성직원분때문에 조금 불편.... 써빙해주시면서 꿍시렁꿍시렁. 주차는 두 시간 지원된다함. 어쨋든 여전히 맛있음.,블루 레벨
대성갈비,차누,6,2,2026-04-07,1.0,False,97,"개 불친절함, 반말 기본에 지들이 바빠서 준비 잘 못한걸 손님 탓함, 바쁜건 아는데 당당한 태도가 어이가 없음 그 나이대 특유의 느낌으로 가려는건진 모르겠는데 그냥 막대하는거",실버 레벨
대성갈비,5,7,3.9,2026-02-06,1.0,True,177,입구에서 빈 자리 안내 받아서 갔더니 화내고; 주문 하려고 하는데 이미 백반 인당 주문들어가서 다 아는걸 왜 주문하냐고 화내고; 식사 끝나기 전인데 냄비 치우려고 하는 식당;;; 같이 간 외국인 친구가 자기가 외국인이라서 인종차별하는 거냐고 묻네요;; 진짜 창피해서 ;;;;;; 돈 내고 욕 듣고싶은 사람들만 가세요~,브론즈 레벨
대성갈비,YQ,184,3.9,2026-01-21,5.0,True,47,잘되는 집은 이유가 있다. 공기밥 클라스 보소. 고기양도 돼지갈비 1인분 200g임.,골드 레벨
대성갈비,december12,232,4.2,2026-01-16,4.0,True,30,수다떠느라 고기 다태우고있으니까 헐레벌떡오셔서 챙겨주심,골드 레벨
대성갈비,레고레고,8,3.5,2025-12-31,1.0,False,49,알바하시는 아주머니가 엉망이시네요.. 설명을 못하시면 가만히나 계시던가.. 다신 안옵니다,실버 레벨
대성갈비,응아니야,44,3.2,2025-12-24,1.0,False,196,"갈비는 나쁘지않은 맛. 그러나 밥 다 먹었는데도 찌개 안나오고 찌게 나오나요? 물어도 자기 귀찮다고 씹고가는 직원, 직원끼리 서로 주방에 물어보라며 응답을 미루는 둥, 걍 역대급 직원관리. 여기 직원 중에 말 빠르시고 마르신 여성직원 분 그분만 친절하시고 혼자 전부를 일하심...ㅋㅋㅋㅋㅋ 나는 찌개가 포함 된 돈을 내고 밥을 먹었는데 제 값을 못함.",실버 레벨
대성갈비,🫠,11,3.5,2025-12-09,5.0,False,32,갈비 먹을때는 꼭 여기와서 먹어요~!👍 김치찌개도 마시쒀용,브론즈 레벨
대성갈비,아드포,65,2.3,2025-11-25,1.0,False,42,직원들 그냥 빨리 퇴근하고 싶어서 치대고 분위기도 별로 맛대가리도 ㄹㅇ 없음,실버 레벨
대성갈비,스톤,124,3.8,2025-10-04,4.0,True,73,맛있습니다 기본내공 있는집이라 아주 잘먹고왔습니다ㅋㅋ 고기 잘 못굽고 예민한분들은 상성에 잘 안맞을듯해요ㅋㅋ 이모님 간섭을 많이하심,골드 레벨
대성갈비,맛있는거먹고싶은사람,118,4.2,2025-08-16,5.0,True,10,⭐️⭐️⭐️⭐️⭐️,골드 레벨
대성갈비,1/5,8,3.5,2025-07-30,5.0,False,11,갈비 맛은 최고입니다,브론즈 레벨
대성갈비,김호건,1,5,2025-07-23,5.0,False,440,"♡대성갈비 사장님 No. 1♡ 지난 25년 7월 19일(토), 점심 무렵, 무한친절 하면서 가성비가 끝내주는 갈비 전문 음식점<대성갈비>에 갔어요. 친구들 포함 저끼지 모두 4명이었지요. 아뿔싸! 그날 따라 <대성갈비>를 이끌어 가시는 연세 지긋하신 사장님이 입구에서 ""오늘은 상중이라 영업을 못합니다""라고 말씀하셔서 아쉽게 발걸음을 돌렸지요. 이틀 후 7월 21일(월), 저녁에 친구 부부랑 제 와이프 넷이서 다시 <대성갈비>에 갔어요. 사장님께서 저를 알아 보시더니 이틀 전 헛걸음 친 것에 대한 미안함에 대한 표시로 돼지갈비, 술, 밥, 냉면을 무한리필 제공하셨어요. 저는 1인분 정도만 서비스 하실 줄 알았는데 이렇게 하실 줄 전혀 예상 못했어요. 감사합니다. 나중에 알았지만 사장님의 어머니가 돌아가셔서 불가피하게 음식점문을 닫았다고 하네요. 늦게나마 ""고인의 명복을 빕니다""""",브론즈 레벨
대성갈비,hotti,15,4.1,2025-07-20,5.0,False,20,진짜 김치찌개 미쳤습니다......!,실버 레벨
대성갈비,ㅅㅎ,8,2.3,2025-04-19,2.0,False,96,서비스 많이 안 좋습니다 ㅠㅠ 아주머니 말도 많으시고 굽는거 개입하셔서 더 맛 없어지고 현금영수증 해주는 법도 모르시더라구요 ㅠㅠ 대체재가 많으니 굳이 시간 낭비마세여 ㅠㅠ,브론즈 레벨
대성갈비,진실탐지견,215,2.5,2025-04-12,3.0,False,119,동네 토박이입니다.. 2016년만해도 200그람에 만원이었는데 이젠 2만원이네요 두배가 올랐어요.. 성수동 임대료 오른거랑 대성갈비 유명세도 반영된거겠지만 이젠 비싸서 못가고 있어요 ㅜㅜ 단골이었는데 안타깝네요..,골드 레벨
대성갈비,송2송2,3,1,2025-04-12,1.0,False,39,모든 음식이 달아요 갈비 찌개 냉면 모두 너무 달고 직원이 불친절합니다,브론즈 레벨
대성갈비,Y,100,3.8,2025-04-11,4.0,True,67,채소쌈이 신선하고 리필되요 돼지김치찜 짱 맛있어요. 돼지갈비는 수분이 좀 말랐지만 가성비있고 괜찮아요 주차는 넓고 편해요,골드 레벨
대성갈비,좋군,26,4.2,2025-03-20,5.0,False,48,서울에서 몇 안되는 가성비 맛집. 갈비가 비싸다고 느낄수 잇지만 반찬이 만만치 않아요!,실버 레벨
