가게 이름,계정 ID,계정의 리뷰 수,계정의 별점 평균,방문 날짜,별점,리뷰 내 사진 유무,리뷰 글자 수,리뷰 내용,카카오맵 리뷰다는 사람 레벨
이태리국시 성수,경준,5,3.4,2026-04-30,5,TRUE,113,"우선 내부 분위기가 개인적으로 너무 좋았습니다. 음식들은 뭔가 특별하지 않은듯 하지만, 입에 감기며 익숙함 속에 새로운 맛을 느끼는 음식들이였습니다. 맛있어서 다음에 성수올 일 있으면 또 와보고자 합니다",브론즈 레벨
이태리국시 성수,포동동,3,5,2026-04-30,5,TRUE,61,양식과 한식이 잘 어우러진 느낌..!! 너무 맛있었어요 ㅎㅎ 리조토는 식감이 너무 좋더라구요.. 강추드려요~😉,브론즈 레벨
이태리국시 성수,MJ,1,5,2026-04-30,5,TRUE,61,직원분들도 친절하고 음식도 너무 맛있게 잘먹었어요 다른 식당에서 흔히 먹을 수 있는 메뉴들이 아니라 좋았어요!,브론즈 레벨
이태리국시 성수,뿅,1,5,2026-04-30,5,TRUE,24,맛있는 음식 즐거운 분위기에서 잘 먹었습니다,브론즈 레벨
이태리국시 성수,김성현,1,5,2026-04-30,5,TRUE,133,"파스타집 방문했는데 분위기가 정말 좋아서 식사 내내 기분이 좋았어요 😊 리조또랑 파스타 둘 다 맛있어서 만족스럽게 먹었고, 전체적으로 음식 퀄리티도 괜찮았습니다. 편하게 이야기 나누면서 식사하기 좋은 곳이라 다음에도 또 방문하고 싶어요 👍",브론즈 레벨
이태리국시 성수,맛탐러,1,5,2026-04-29,5,TRUE,27,대창 파스타도 너무 맛있고 바지락도 최고였어요!!,브론즈 레벨
이태리국시 성수,Cjoo,1,5,2026-04-29,5,TRUE,21,음식너무 맛있고 분위기도 좋았어요~~~,브론즈 레벨
이태리국시 성수,아자아자,172,3.2,2026-04-28,5,TRUE,20,곱창파스타 맛있고 분위기 좋았어요~~,골드 레벨
이태리국시 성수,박현영,1,5,2026-04-28,5,TRUE,60,"넘 감동적인 맛이엇서요ㅜㅜ 데이트, 친구, 가족 누구랑 오든 추천합니다 갑오징어가 정말 ○○○○이에여!!!!",브론즈 레벨
이태리국시 성수,Katie HyeYoon JUNG,1,5,2026-04-28,5,TRUE,349,"요즘 성수에서 제일 기억에 남는 식사였어요!! 돌솥에 나오는 파스타랑 리조또라길래 궁금해서 갔는데, 기대 이상이었네요. 숯불대돌솥파스타는 불향이 확 살아있어서 첫입부터 임팩트 있고, 대창이 대박 맛도리..!! 한식 같은 느낌으로 개성 있는 메뉴라 좋았슴니당 😋 반계마늘돌솥리조또는 진짜 추천. 크림이 무겁지 않고 부드럽게 퍼지면서 마늘향이 은근하게 올라오고, 닭다리는 촉촉하면서도 겉은 바삭하게 잘 구워져 있어서 식감이 좋았어요. 같이 먹으면 조합이 딱 맞음. 전체적으로 메뉴 구성이 흔하지 않아서 더 좋았고, 돌솥이라 음식이 계속 뜨거워서 혀 데일뻔.. 성수에서 “좀 색다른 메뉴 먹고 싶다” 할 때 생각날 것 같은 집 👍",브론즈 레벨
이태리국시 성수,aiii,3,3.7,2026-04-28,5,TRUE,381,"성수에서 분위기 좋은 파스타집 찾다가 방문했는데 완전 만족했어요. 숯불대돌솥파스타는 비주얼부터 압도적이고, 불향이 은은하게 올라와서 일반 파스타랑은 완전 다른 느낌이에요. 대창(?) 식감이 쫄깃하면서 소스랑 잘 어울려서 계속 손이 가는 맛이었어요. 매콤하면서도 꾸덕한 느낌이라 숟가락 멈추기 힘듦… 반계마늘돌솥리조또는 완전 반전 메뉴. 크림 베이스가 엄청 부드럽고 고소한데, 위에 올라간 닭다리가 진짜 잘 구워져서 겉바속촉 제대로였어요. 마늘향도 과하지 않고 딱 좋게 올라와서 전체 밸런스가 좋았어요. 매장도 깔끔하고 조용한 편이라 대화하기 좋고, 소개팅이나 데이트로도 괜찮을 듯. 직원분들도 친절해서 기분 좋게 식사했어요. 성수에서 색다른 파스타 먹고 싶으면 재방문 의사 있음 👍",브론즈 레벨
이태리국시 성수,세진,1,5,2026-04-28,5,TRUE,30,분위기 좋고 음식도 정갈하게 나와서 맛있게잘먹고갑니다♡,브론즈 레벨
이태리국시 성수,정경선,1,5,2026-04-27,5,TRUE,39,평일 오전 맛있는거 먹고싶어 찾아 왔어요~.숯불대창파스타 강추해요~^^,브론즈 레벨
이태리국시 성수,윤정,1,5,2026-04-27,5,TRUE,57,"맛있어요! 처음인데 신기한 맛이고, 메뉴도 다양해서 좋네용! 음식들이 다 예쁘고 맛있어요! 진짜 추천!",브론즈 레벨
이태리국시 성수,🤔,1,5,2026-04-27,5,TRUE,108,오픈시간 맞춰 가서 대기 시간 없이 바로 입장하였습니다. 분위기도 좋고 음식이 깔끔하고 맛있어요~대창숯불파스타는 정말 원픽입니다^^ 알배추샐러드랑 뇨끼 청량불고기파스타 다 맛있게 잘 먹었습니다.,브론즈 레벨
이태리국시 성수,임철,1,5,2026-04-27,5,TRUE,35,대창 파스타와 갑오징어 빠에야 시켰는데 비주얼도 좋고 맛있어요!,브론즈 레벨
이태리국시 성수,푸르미체고,3,3.7,2026-04-26,5,TRUE,31,진짜 너무 맛있었습니다 인생 파스타 될 것 같아요.. 💕,브론즈 레벨
이태리국시 성수,누룽지늉늉,15,4.5,2026-04-26,5,TRUE,46,오 존맛.. 리조또 안느끼하고 계속먹게되여 고기도 먹다보니 감칠맛나게 맛있네염… 굳,실버 레벨
이태리국시 성수,냥냥이,1,5,2026-04-26,5,TRUE,42,제대로 퓨전 음식이였어요 메뉴가 다 새로워요 데이트 코스로 완전 추천드립니다,브론즈 레벨
이태리국시 성수,돼지꿈,1,5,2026-04-26,5,TRUE,59,오랜만에 놀러온 성수에서 늦은 점심으로 파스타피자 넘 맛있네요 .바지락찜파스타 깔끔한 맛이 취향에 맞았어요,브론즈 레벨
이태리국시 성수,이미금,1,5,2026-04-26,5,TRUE,30,검색해서 찾아왔는데 맛과 분위기 모두 만족합니다. ^^,브론즈 레벨
이태리국시 성수,함진희,1,5,2026-04-26,5,TRUE,16,맛도 좋고 분위기 좋은곳이에요,브론즈 레벨
이태리국시 성수,지은,1,4,2026-04-26,4,TRUE,13,생일기념왓는데 맛있어용!,브론즈 레벨
이태리국시 성수,손태원,1,5,2026-04-26,5,TRUE,11,맛있게 잘 먹고갑니다,브론즈 레벨
이태리국시 성수,홍영선,1,5,2026-04-26,5,TRUE,19,음식이 너무맛나요 분위기도 좋습니다,브론즈 레벨
이태리국시 성수,라떼,2,3,2026-04-25,4,TRUE,42,가게가 깨끗하고 분위기좋음 버터 파스타는 조금 느끼한데 대창 파스타 맛있어용,브론즈 레벨
이태리국시 성수,최호현,1,5,2026-04-25,5,TRUE,36,돌솥 대창 파스타 너무 맛있어요. 분위기도 데이트하기 딱 좋아요.,브론즈 레벨
이태리국시 성수,김동탁,4,5,2026-04-25,5,TRUE,25,음식이 맛있고 식당 분위기가 좋아서 추천드려요,브론즈 레벨
이태리국시 성수,0 이재숙ㆍ아이센스,1,5,2026-04-25,5,TRUE,34,음식들이 특이하고 맛있어요^^ 특히 시그니처 메뉴들이 좋네요~,브론즈 레벨
