식당 이름,계정 ID,계정의 리뷰 수,방문 날짜,방문 횟수,인증 수단,리뷰 내용,리뷰 글자 수,리뷰 내 사진 유무
굴다리식당,wjddmlfhdns,11,2026.04.16,1번째 방문,영수증,"김치 반찬에서 머리카락 나왔음. 일하는 아주머니 손으로 접시, 행주, 돈, 반찬 다 만짐. 위생이 너무 불결해서 추천 못함. 양은 김치찌개, 계란말이, 제육볶음 다 푸짐함. 하지만 위생 때문에 다 남김.",113,False
굴다리식당,Clara75,235,2026.04.15,1번째 방문,영수증,시큼하고 푹 익은 묵은지 김치찌개 스타일. 할머니가 해주신 집밥 같아서 잘 먹었어요. 반찬도 다양하고 밸런스 굿. 다만 호불호 있을 듯.,76,True
굴다리식당,CnLMJ,1832,2026.04.15,2번째 방문,영수증,김치찌개와 제육볶음 맛집으로 인기있는 식당입니다,26,True
굴다리식당,cnlm****,151,2026.04.15,1번째 방문,영수증,노포식당에 손님들이 많아요,14,True
굴다리식당,쑤기116,95,2026.04.09,1번째 방문,예약,김치찌개 계란말이 제육볶음 두명이 먹기엔 양이 많았는데 다 묵었어요 ㅋ 임영웅 사인 ㅎㅎ,49,True
굴다리식당,bestibest,560,2026.04.08,1번째 방문,영수증,음식이 맛있고 사장님이랑 직원분들이 친절합니다.,26,True
굴다리식당,hahayjl,538,2026.04.02,1번째 방문,영수증,"여기 근처에 살았을 때도 유명하다고 나왔던 식당인데 혼자 갈 시간이 없어서 못갔고 서울에 들릴 일이 있어서 한번 가봤어요 김치찌개 한 그릇과 제육볶음 한 그릇 주문하려고 했는데 일단 제육볶음 한 그릇 먼저 주문했어요😄 기본상으로 김치찌개가 나와서 안 시키길 잘했다 싶었지 뭐예요? 😆😁 제육볶음은 엄청 짭짤하고 고기도 두꺼웠어요 이러한 제육볶음은 처음 먹어봤네요 양념 소스가 엄청 짠데도 뭔가 중독성 있는 맛이에요🤣😂😋 기본 반찬으로 매콤어묵과 계란말이가 나와서 너무 든든했고,그리고 기본상으로 김도 같이 나왔는데 손님이 먹었던 김그릇에 리필을 하는 건지 손님이 나가고 나오면 새 것으로 갈아주는 건지 그것은 모르겠더라고요 먹으면서도 찝찝했고 여쭤보고 싶었으나 직원분들이 나이 있으신 분들이라 꾹참고 먹었어요😭",397,True
굴다리식당,ryo****,115,2026.04.01,1번째 방문,영수증,이렇게 불쾌하긴 처음입니다. 몇 년 째 다니는 집이고 여행 갔다올 때 마다 첫 집으로 들르는 집인데 오늘 주문 받으시는 직원분의 불친절함에 다시 가고 싶지 않은 곳이 됐네요. 주문 할 때 부터 인상 쓰면서 주문 막 이렇게 저렇게 하라 하고 이제까지 먹은 것 중에 양도 제일 적고 늘 먹던 1인분 양을 2인분이라 하고 3인분엔 찌개 국물도 없고 마지막엔 결제까지 자기 마음대로 하네요. 사장님이 많이 먹었다고 밥 추가 한 건 서비스 하시겠다는데 왜 마음대로 카드를 긁나요? 어이가 없네요. 이제까지 다니면서 늘 맛있게 기분 좋았는데 이런 직원 있는 곳에 다시 올 만큼은 아닙니다. 단골 많다고 불친절해도 된다고 생각하지 마세요. 본인이 잘했다고 생각하지 마시구요.,370,False
굴다리식당,건방진오리,2905,2026.04.01,1번째 방문,영수증,투박 큼직하면서 두툼한 고기가 들어있는 제육볶음에 칼칼 시원한 김치찌개 맛있어요~,45,True
굴다리식당,라일락라일락라일락,108,2026.04.01,1번째 방문,예약,"추억의 맛이 그리워 20년만에 왔는데, 김치찌개는 지극히 평범했고 제육볶음은 고기가 너무 딱딱했고 계란말이는 밍밍했다 너무 기대가 컸었나 내 입맛이 변한건가.. 아쉽다.",94,True
굴다리식당,팡댕이,95,2026.03.29,1번째 방문,예약,"제육..?은 돼지찜 같은데 맛있었어요. 다만, 양념에 있는 덩어리들은 핏물이 익은건지 모르겠어요.. 계란말이는 너무 기름져요.. 그리고 2명에서 먹기엔 너무 양이 많고 비싸요. 김치찌개는 맛있긴한데 그냥 김치찌개였어요.. 다음에 같은 가격 주고 오기에는 고민되는 부분이네요..",154,True
굴다리식당,오늘의 TMI,1079,2026.03.16,2번째 방문,영수증,몇년전에 왔을땐 김치찌개가 너무 맛있었던것같은데 그때 그맛이였나? 가물가물ㅋㅋ 신김치맛 기억될것같네요ㅋ 계란말이가 2개?정도 반찬 맛보기로 나오는데 다 맛보고싶어 다시켰고 찌개 랑 밥도 한번씩 더 달라고 하니 많이주셔서 잘먹었어요. 사장님이 연세가 있으셔도 몇년이 지난 지금도 나와서 계시던데 앉아서 꾸벅 주무시는 모습에 마음이 좀,185,True
굴다리식당,연몽하다,206,2026.03.11,1번째 방문,영수증,공덕역에서 김치찌개+제육볶음+계란말이 조합으로 이른 저녁 먹었습니당... 식당은 노포 느낌이 물씬 나더라구요.. 벽에 붙은 싸인들이 유명인들이 많이 왔다갔다는 걸 보여주는듯 하네용..ㅋㅋ 고기가 엄청 커서 완전 제 취향.. 잘라먹을 수 있게 가위도 주시더라구요 ㅋㅋ 계란말이도 부드럽고 맛나고 김치찌개도 호불호 없을 맛이었습니다^^ 제가 찍은 영상도 공유해요!! 마포 굴다리식당 쇼츠영상^^ https://youtube.com/shorts/J4BVOqTMOvQ?si=atXoiGtRk2GwQwX4,277,True
굴다리식당,SKY8888,1768,2026.03.08,2번째 방문,영수증,맛있어요! 칼칼하니 좋아요! 계란말이와 김치찌개와 제육볶음의 조화가 넘 좋아요!!!,46,True
굴다리식당,메론 마스크 마카롱,134,2026.03.08,1번째 방문,영수증,"김치찌개 4인 40,000원 계란말이 10,0000원 가격 대비 괜찮은 음식점이에요 김치찌개가 깔끔해서 밥 한공기 뚝딱 비웠어요 돼지고기는 잡내가 조금 나긴 했지만 콩나물 아삭하니 맛있었어요",106,True
