식당 이름,계정 ID,계정의 리뷰 수,방문 날짜,방문 횟수,인증 수단,리뷰 내용,리뷰 글자 수,리뷰 내 사진 유무
뼈탄집 성수역점,Rohstar,32,2026.05.03,1번째 방문,영수증,고기도 정말 맛있고 직접 다 구워주셔서 정말 맛있게 잘 먹었어요! 유명하다고 해서 찾아와봤는데 고기의 품질이 진짜 달랐어요. 계탄밥 진짜 엄청 맛있어서 다음 날에 생각 날 정도에요! 또 방문할게요!!,111,True
뼈탄집 성수역점,생략49,7,2026.04.30,2번째 방문,영수증,뼈턴집이 한국삼겹살중 젤맛잇어요 와!!!!!,24,True
뼈탄집 성수역점,dow****,135,2026.04.29,1번째 방문,영수증,고기가 부드럽고 불향이 은은하게 나서 맛있게 먹었어요! 고기가 맛있어서 계속 손이 가는 맛이였고 분위기도 편해서 식사하면서 술 한잔하기 좋았어요,80,True
뼈탄집 성수역점,ggt****,22,2026.04.29,1번째 방문,영수증,"고기 퀄리티가 정말 미쳤어요! 두툼한 고기에 숯불 향이 제대로 입혀져서 씹는 맛이 일품입니다. 바쁜 와중에도 직원분들이 너무 친절하게 설명하며 구워주셔서 대접받는 기분이었어요. 사이드 메뉴인 된장찌개까지 밥도둑입니다. 성수역 핫플다운 맛과 서비스, 재방문 의사 100%입니다!",154,True
뼈탄집 성수역점,하농32,75,2026.04.29,1번째 방문,영수증,성수 뼈탄집 뼈붙어잇는 고기 진짜 존맛탱 성수점 다른지점보다 고기 굽는 스킬이 더더 좋으신것같아요 . 담에 또올꼐여 사장님~~,70,True
뼈탄집 성수역점,234****,80,2026.04.27,1번째 방문,영수증,삼겹살 완전맛있어요!!! 직접구어주시고 너무너무 맛있어요!!,33,True
뼈탄집 성수역점,Cinnamoroll89,33,2026.04.27,2번째 방문,영수증,저번에 방문하고 좋아서 또 방문했어요! ❤️ 고기가 진짜 맛있고 직원분께서 구워주셔서 편하게 먹을 수 있었어요 😊 상차림도 잘 나오고 전체적으로 메뉴 하나하나 다 만족스러웠어요 💛 찌개도 진하고 깊은 맛이라 좋았고 볶음밥까지 맛있어서 마무리까지 완벽했어요 💕 다음에도 또 재방문할 예정입니다! 💖,165,True
뼈탄집 성수역점,파아란당근,13,2026.04.26,1번째 방문,영수증,눚게 삼겹살 땡겨 봐둔 뼈탄집 왔는데 의자 편하고 깔끔하고 음식도 맛있네요,41,True
뼈탄집 성수역점,링링이간식,16,2026.04.25,1번째 방문,영수증,구워주샤서 좋아요 고기가 엄청 커서 당황 ㅋㅋㅋ 맛있어요,31,True
뼈탄집 성수역점,밍튜14,38,2026.04.25,1번째 방문,영수증,양도 많고 맛있습니다!,12,True
뼈탄집 성수역점,cka06,21,2026.04.24,1번째 방문,영수증,예약후 방문 . 고기가 아주맛있고 친절해여~ 다음에 재방문할꺼예요 ㅎ 된장술밥 / 냉면 꼭 드시길 ㅎㅎ,57,True
뼈탄집 성수역점,fortuna행운의여신,260,2026.04.24,1번째 방문,영수증,고기 다 구워주는 찐 고기 맛집 진짜 맛있음 삼겹살 못먹는데 이집서 먹음 숙성삼겹살 제대로 바삭바삭 구워주는 집 맛이 미친집 고기는 뼈탄집 성수,80,False
뼈탄집 성수역점,CHAI8,24,2026.04.22,7번째 방문,영수증,퇴근 후 한잔 좋아요,11,True
뼈탄집 성수역점,Santa823,37,2026.04.22,1번째 방문,영수증,깔끔하고 반찬이 너무 잘나와요 ㅎㅎ 직원분이 엄청 친절하세요!,34,True
뼈탄집 성수역점,ash****,13,2026.04.22,1번째 방문,예약,"주말 이른 저녁에 아이와 함께 방문한 뼈탄집 성수역점. 이른 시간이라 그런지 웨이팅 없이 비교적 여유롭게 들어갈 수 있었고, 매장도 전반적으로 깔끔한 느낌이었습니다. 아이와 함께 방문하다 보니 좌석 간격이나 분위기를 조금 보게 되는데, 크게 불편함 없이 식사하기 괜찮았어요. 직원분들도 요청드리는 부분에 빠르게 응대해주셔서 전반적으로 편안하게 식사할 수 있었습니다. 대표 메뉴인 뼈구이는 양념이 과하지 않고 적당히 자극적인 편이라 밥이랑 같이 먹기 좋았고, 고기도 잘 발라져서 먹기 편했어요. 아이랑 같이 먹기에도 크게 부담 없는 맛이었습니다. 주말 저녁 시간대에 가족 단위로 방문하기에도 무난한 곳이라, 성수 근처에서 식사할 곳 찾는 분들께 한 번쯤 가볼 만한 곳으로 생각됩니다.",381,True
뼈탄집 성수역점,dannn21,16,2026.04.22,1번째 방문,영수증,매장이 시원하고 고기가 너무 맛있어요~,21,True
뼈탄집 성수역점,hyun0709,207,2026.04.22,1번째 방문,영수증,진짜 파구워먹는곳도 김치를 구워먹는곳도 너무 오랜만이라서 진심 너무 맛있고 다들 성수 가면 꼭 여기로 방문하는걸로 ㅎㅎ 너무 맛나서 가족들도 모시고 갔다가 칭찬받고 온 곳이에요~ 매번 먹는걸로 고민하는 분들 여기 뼈탄집 성수역점 추천이요,132,True
뼈탄집 성수역점,onlyxeo,32,2026.04.22,1번째 방문,영수증,뼈탄집 성수 웨이팅 1시간정도 하고 입장했어요! 워낙 인기가 많은 곳이라서 궁금했는데 삼겹살 양이 많고 질이 좋은 것 같아요^^ 된장찌개랑 공기밥 같이 주문했고 밑반찬 풍부해요!,99,True
뼈탄집 성수역점,냥냥277,374,2026.04.22,1번째 방문,영수증,뼈탄삼겹살 진짜 맛있어요! 부드러워서 좋아요🐽,25,True
뼈탄집 성수역점,담담9527,116,2026.04.22,1번째 방문,영수증,스트레스받을땐 고기가 역시 최고인거같아요ㅋㅋ 직장동료와 맛있는고기먹고 스트레스풀었네요ㅋㅋ,49,True
뼈탄집 성수역점,호랑이1068,29,2026.04.22,1번째 방문,영수증,저번에 뼈탄삼겹살이 품절되서 아쉬운마음에 재방문해서 이번엔 주문성공 직원들 항상 친절하시고 밑반찬부터 고기까지 넘 맛있어요 특히 된장찌개는 필수임,81,True
뼈탄집 성수역점,hyewoul,16,2026.04.20,2번째 방문,영수증,고기 먹고싶을때마다 와서 먹어여 너무 맛있어용 .. 삼겹살도 맛있는데 항정살이 킥이예요,48,True
뼈탄집 성수역점,red****,12,2026.04.20,1번째 방문,영수증,"직원이 구워주시고, 친절해서 진짜 맛있게 먹고왔어요",28,True
