식당 이름,계정 ID,계정의 리뷰 수,방문 날짜,방문 횟수,인증 수단,리뷰 내용,리뷰 글자 수,리뷰 내 사진 유무
성수족발,누가쓰는닉네임,26,2026.05.06,2번째 방문,영수증,정~~~~~~말 오랫만에 매장 방문!!! 성 수 족 발,30,True
성수족발,EG01ST 꼬맹이,1547,2026.05.04,3번째 방문,영수증,SINCE 1983년 전통있는 족발맛집 성수족발 여전히 한결스럽게 맛있고 여전히 대기판에 웨이팅 많고 여전히 포장도 친절하게 해주시고 여전히 포장은 대기없이 브레이크 타임에도 가능 하고. 단 달라진게 있다면 포장은 길 건너편 투다리에서 먹을수있고 必 안주 1개 시켜야 한다는 것. 사진은 못 남겼지만 맛있게 먹었습니다.🩷,179,True
성수족발,hgg****,12,2026.05.02,1번째 방문,예약,"주말 저녁에 갔는데 대기줄이 길어서 45,000원이나 주고 포장해 가지고 왔는데 맛은 그럭저럭 있습니다 근데 정말 최악이었네요 껍질은 질기고 살코기는 무슨 장조림처럼 다 찢어지고 부분부분 딱딱하게 말라 버렸으며 겉뜨린 반찬으로 준 무생채는 이 맛도 저맛도 아닌 가짓수만 채우려고 한 의도가 보이네요 같이 간 여자 친구가 그 전에 맛있게 먹었다 해서가 봤는데 제가 먹어본 족발 중에 정말 최악이었네요",222,False
성수족발,하이9830,3001,2026.04.25,1번째 방문,영수증,친절하고 너무 쫄깃해서 인생 최고의 족발 맛집입니다!! 성수역 인근 위치 (주차 불가),48,True
성수족발,kiki897,112,2026.04.19,1번째 방문,영수증,비싸고.냄새나고.껍질 너무 질기고.짜고 너무 달고. 물통으로 페트병을 몇 년을 쓰는지 기스가 여기저기 뿌연데 주방 위생 대충 알 듯. 나는 한두입 먹고 물렸는데 자극적인 입맛에 절여진 사람들은 좋아하려나 모르겠다.,119,True
성수족발,사자,466,2026.04.19,1번째 방문,영수증,서울 3대족발이라 불리는 성수족발 그들이 말하는 3대족발중에는 그나마 제일 좋아하는 곳 부드럽고 껍질은 쫄깃하고 좀 달달한 족발 아직고 줄을 서서 사와야하네요 좀더 따뜻하게 먹으면 부드러움이 배가 되요 이집 찍어먹는 소스는 다른곳들 냥 새우젓에 비해 맛있고 좀 달달한 족발에 찰떡 소스 시원한 무채와 먹으면 더 맛나요~,178,False
성수족발,미스리783,1080,2026.04.18,2번째 방문,영수증,,0,False
성수족발,hyeppy99,1158,2026.04.17,1번째 방문,영수증,"음식 간이 많이 쎄요. 간이 쎄서 많이 먹긴 힘들지만, 고기가 부드러워 편하게 먹었어요~",49,False
성수족발,Loen19,16,2026.04.15,1번째 방문,영수증,"제가 정말 왠만해선 맛있다고 리뷰 안쓰는데 여긴 정말 찐 고트 레전드 족발입니다. 태어나서 먹어본 족발 중에 제일 레전드 GOAT 그냥 최고 다음에 재방문 의사가 있다 없다가 아니라 그냥 데일리로 가서 먹고 싶은 곳. 왜 내가 지방에 사는지 후회되는 가장 큰 이유. 이 족발집이 여기에 밖에 없어서… 정말 독보적으로 맛있고 사장님도 친절하시고 모든 것이 다 좋은 곳이었습니다. 웨이팅 해도 화가 전혀 나지 않을 맛이고 그냥 족발 이라는 음식을 다시 돌아보게 하는 계기라고 생각합니다. 정말 얼마나 맛있던지 야구장 가서도 먹고 싶어서 포장을 고민하게 했고 족발 하나하나가 야들야들 부드럽고 큼지막하게 썰린 족발에 처음에는 의아했지만 한 점에 가득찬 입속은 그저 황홀, 정말 모든것이 최고였습니다. 사장님 사랑합니다.",399,True
성수족발,키티먹방,288,2026.04.15,1번째 방문,영수증,진짜 쫀득하고 맛있었음 포장해서 바로 앞 투다리에서 먹어도 되는데 식었어도 난 맛있었음 왜 유명한지 알것같아요,61,True
성수족발,다슬파더,2616,2026.04.11,1번째 방문,영수증,여전히 사람 많고 장사 잘됩니다. 가격이 착한편이고 맛도 변함이 없어요. 스윗한 맛ㅎ 양이 조금 줄은것 같은 느낌? 대부분 포장해서 사먹습니다. 항상 사람이 많아요ㅠ,92,True
성수족발,July6716,403,2026.04.09,1번째 방문,영수증,"12년 전에 갔었는데 아주 오랜만에 방문했네요. 그 사이 제 입맛도 변했나봅니다. 두껍게 썰어내는 족발이고, 비계가 양념은 잘 배었으나 두툼하고 질긴 편입니다. 잡내는 없었습니다. 살코기 부분은 살짝 짠 듯 합니다. 곁들임으로 나오는 무생채와 부추무침이 만족스러웠습니다. 매장에서 먹는다면 좌식 테이블이 더 많습니다. 오래된 집이라 깔끔하다기보다 세월이 느껴집니다.",204,True
성수족발,별별별91,271,2026.04.05,2번째 방문,영수증,방문해서 먹은 적은 없고 이번이 세번째 포장입니다. 2인이 먹을거라 앞전 두번은 중자로 포장했는데 이번엔 특대밖에 없대서 특대로 포장했네요. 그런데 특대하고 중자가 별차이 없다고 느꼈네요. 그리고 함께 주시는 부추 및 상추등은 특대에 챙겨주시는거 치곤 넘나 적더라구요. 암튼 이번 포장은 실망 아닌 실망..,171,True
성수족발,슬갱스터,1438,2026.03.29,1번째 방문,영수증,"서울 3대 족발로 유명한 성수족발에 드디어 와보았습니다!!!! 웨이팅 지옥으로 들었는데, 럭키비키하게 바로 입장했어요 꺅 ♥️♥️ 족발은 듣던대로 정말 역대급으로 맛있고, 제가 먹어본 족발 중 단연코 1등입니다!!!! 정말 야들야들하고 껍질부분이 킥이에요!!!! 매일매일 먹고싶어용 ♥️♥️",162,True
성수족발,힁님412,452,2026.03.28,1번째 방문,영수증,"고기는 잡내없고 맛있는데, 족발겉이 많이 달고 찐득합니다.",32,True
