feature,event_minus_normal,event_mean,normal_mean
account_review_count,49.298,103.669,54.371
menu_count,0.631,1.108,0.477
food_detail_count,0.273,0.658,0.385
has_food_detail,0.2,0.469,0.269
rich_menu_review,0.175,0.265,0.09
account_review_count_over_50,0.146,0.31,0.165
account_review_count_over_10,0.14,0.885,0.746
menu_and_food_detail,0.123,0.269,0.146
has_menu,0.106,0.471,0.365
length_under_30,0.102,0.438,0.335
high_specificity_review,0.085,0.225,0.14
short_generic_review,0.065,0.34,0.275
number_detail_count,0.044,0.069,0.025
strong_food_detail_review,0.035,0.125,0.09
length_under_10,0.035,0.067,0.031
has_number_detail,0.033,0.054,0.021
low_information_review,0.029,0.246,0.217
event_like_low_info_first_visit,0.029,0.238,0.208
ultra_short_praise,0.017,0.04,0.023
first_visit,0.017,0.971,0.954
has_any_number,0.012,0.075,0.062
context_count,0.01,0.148,0.138
sns_event_count,0.004,0.025,0.021
has_sns_event,0.002,0.021,0.019
event_like_sns_or_service,0.002,0.021,0.019
has_photo,0.0,0.0,0.0
rich_context_review,-0.002,0.035,0.038
menu_only_praise,-0.002,0.106,0.108
account_review_count_is_1,-0.01,0.006,0.017
has_context,-0.015,0.106,0.121
revisit,-0.017,0.029,0.046
event_like_short_praise,-0.019,0.223,0.242
strong_experience_review,-0.033,0.083,0.117
has_trendy_revisit_phrase,-0.035,0.079,0.115
intensifier_over_3,-0.042,0.031,0.073
mixed_sentiment,-0.054,0.117,0.171
exclamation_over_3,-0.058,0.192,0.25
has_generic_praise,-0.075,0.81,0.885
generic_without_detail,-0.092,0.277,0.369
length_over_60,-0.098,0.219,0.317
length_over_30,-0.102,0.562,0.665
account_review_count_under_5,-0.102,0.04,0.142
experience_rich_review,-0.123,0.319,0.442
has_experience,-0.131,0.242,0.373
experience_count,-0.179,0.348,0.527
generic_praise_count,-0.304,1.129,1.433
intensifier_count,-0.333,0.596,0.929
exclamation_count,-0.55,1.281,1.831
review_length,-8.31,45.2,53.51
rating,,,
account_avg_rating,,,
