word,event,normal,event_minus_normal_count
성수,61,0,61
곱창전골,49,0,49
야채,43,0,43
양도,70,32,38
웨이,32,0,32
태양,30,0,30
전골,28,0,28
볶음밥,37,10,27
국물,25,0,25
추가,24,0,24
당면,20,0,20
국밥,17,0,17
웨이팅,17,0,17
바로,21,4,17
감자전,14,0,14
냄새,23,9,14
치즈,21,8,13
돼지,18,5,13
매장,19,9,10
보고,15,5,10
볶음,10,0,10
저녁,16,6,10
입장,9,0,9
인분,9,0,9
안나,20,11,9
기본,9,0,9
인스타,9,0,9
점심,8,0,8
야곱,8,0,8
콘치,7,0,7
테이블,7,0,7
사람,14,7,7
성수동,7,0,7
구이,6,0,6
마무리,6,0,6
들깨,6,0,6
이유,6,0,6
막창,6,0,6
평일,6,0,6
필수,5,0,5
역시,12,7,5
오시,5,0,5
조금,5,0,5
금방,5,0,5
굿굿,5,0,5
제대로,5,0,5
한잔,5,0,5
계란,4,0,4
주문,4,0,4
인정,4,0,4
살짝,4,0,4
소금,4,0,4
도리,4,0,4
만족,4,0,4
우선,4,0,4
특유,4,0,4
먹기,11,7,4
마지막,4,0,4
수오,4,0,4
순대,4,0,4
아이,4,0,4
쫄깃해,3,0,3
만큼,3,0,3
어유,3,0,3
약간,3,0,3
소맥,3,0,3
남편,3,0,3
맛집,44,42,2
반찬,6,5,1
존맛,7,6,1
시간,7,6,1
무조건,6,6,0
직원,28,28,0
대박,6,6,0
의사,9,9,0
두번째,6,7,-1
하나,16,17,-1
생각,9,10,-1
자극,3,4,-1
한번,6,8,-2
다른,6,8,-2
계속,7,9,-2
재미,0,4,-4
저번,0,4,-4
데이트,5,9,-4
소주,0,4,-4
가요,0,4,-4
중화,0,4,-4
예전,0,4,-4
학교,0,4,-4
식사,4,8,-4
숙주,0,4,-4
벌써,0,5,-5
달달,0,5,-5
육회,0,5,-5
여자친구,4,9,-5
토치,0,5,-5
해주시,0,5,-5
이제,0,5,-5
어묵,0,5,-5
끼리,0,5,-5
공간,0,5,-5
사진,0,6,-6
깻잎,0,6,-6
항상,8,14,-6
밑반찬,0,6,-6
제일,0,6,-6
서비스,0,6,-6
모임,0,6,-6
무엇,0,6,-6
법도,0,6,-6
번창,0,6,-6
다시,0,6,-6
또또,0,6,-6
추천,35,42,-7
가게,7,15,-8
사이드,0,8,-8
주먹밥,0,8,-8
기분,0,8,-8
처음,24,33,-9
아주,0,9,-9
비주,0,10,-10
불향,0,10,-10
비도,0,10,-10
조합,5,15,-10
설명,0,11,-11
최고,20,31,-11
고기,0,11,-11
가격,0,11,-11
불쇼,0,11,-11
지인,0,12,-12
방법,0,12,-12
예약,0,12,-12
매콤,15,28,-13
강추,6,19,-13
직접,0,15,-15
음식,19,38,-19
계란찜,0,19,-19
불맛,0,21,-21
친구,14,35,-21
갈비,0,21,-21
자주,0,22,-22
구성,0,24,-24
닭발,0,25,-25
파인애플,0,25,-25
가성,6,32,-26
메뉴,9,35,-26
양념,4,32,-28
생크림,0,30,-30
분위기,6,49,-43
세트,0,45,-45
소스,5,53,-48
홍대,0,63,-63
사장,0,82,-82
