group,store,word,count
event,이태리국시,파스타,327
event,이태리국시,메뉴,225
event,이태리국시,대창,209
event,이태리국시,분위기,204
event,이태리국시,음식,195
event,이태리국시,데이트,98
event,이태리국시,리조또,92
event,이태리국시,곱창,85
event,이태리국시,돌솥,82
event,이태리국시,추천,81
event,이태리국시,성수,80
event,이태리국시,매장,69
event,이태리국시,퓨전,69
event,이태리국시,친구,68
event,이태리국시,맛집,65
event,이태리국시,숯불,65
event,이태리국시,이태리,65
event,이태리국시,직원,62
event,이태리국시,한식,61
event,이태리국시,양식,60
event,이태리국시,피자,59
event,이태리국시,매콤,53
event,이태리국시,식사,52
event,이태리국시,예약,51
event,이태리국시,시간,47
event,이태리국시,다른,45
event,이태리국시,국시,44
event,이태리국시,하나,42
event,이태리국시,마늘,40
event,이태리국시,갈비,39
event,이태리국시,처음,37
event,이태리국시,반계,36
event,이태리국시,주문,36
event,이태리국시,인테리어,33
event,이태리국시,기분,33
event,이태리국시,조합,32
event,이태리국시,소스,32
event,이태리국시,뇨끼,31
event,이태리국시,샐러드,30
event,이태리국시,빠에야,28
event,이태리국시,아이,28
event,이태리국시,치즈,28
event,이태리국시,바로,27
event,이태리국시,생각,26
event,이태리국시,전체,26
event,이태리국시,불고기,26
event,이태리국시,의사,25
event,이태리국시,성수동,24
event,이태리국시,청양,24
event,이태리국시,배추,23
event,이태리국시,깍두기,23
event,이태리국시,모두,21
event,이태리국시,국물,21
event,이태리국시,웨이,20
event,이태리국시,조금,20
event,이태리국시,양도,20
event,이태리국시,입장,19
event,이태리국시,장소,18
event,이태리국시,식당,18
event,이태리국시,요리,18
event,이태리국시,보고,18
event,이태리국시,갑오징어,18
event,이태리국시,가게,18
event,이태리국시,재료,18
event,이태리국시,바지락,18
event,이태리국시,강추,17
event,이태리국시,자극,17
event,이태리국시,리조토,17
event,이태리국시,다시,16
event,이태리국시,사람,16
event,이태리국시,대기,16
event,이태리국시,자리,15
event,이태리국시,트러플,15
event,이태리국시,사진,15
event,이태리국시,고민,15
event,이태리국시,계속,15
event,이태리국시,조화,14
event,이태리국시,아주,14
event,이태리국시,모임,14
event,이태리국시,입맛,14
event,이태리국시,고기,14
event,이태리국시,크림,14
event,이태리국시,살짝,14
event,이태리국시,먹기,14
event,이태리국시,저녁,13
event,이태리국시,만족,13
event,이태리국시,한국,13
event,이태리국시,기대,13
event,이태리국시,점심,13
event,이태리국시,바질,13
event,이태리국시,테이블,13
event,이태리국시,해산물,13
event,이태리국시,이상,12
event,이태리국시,주말,12
event,이태리국시,역시,12
event,이태리국시,가족,12
event,이태리국시,식감,12
event,이태리국시,최고,11
event,이태리국시,경험,11
event,이태리국시,근처,11
normal,난포,쌈밥,213
normal,난포,국수,190
normal,난포,음식,189
normal,난포,강된장,187
normal,난포,메뉴,157
normal,난포,철회,104
normal,난포,예약,103
normal,난포,새우,99
normal,난포,감자전,94
normal,난포,묵은지,90
normal,난포,난포,82
normal,난포,주문,75
normal,난포,웨이,71
normal,난포,테이블,61
normal,난포,한식,54
normal,난포,맛집,54
normal,난포,대기,53
normal,난포,입장,52
normal,난포,생각,51
normal,난포,문어,50
normal,난포,시간,47
normal,난포,조금,46
normal,난포,웨이팅,45
normal,난포,간이,44
normal,난포,어간,44
normal,난포,직원,41
normal,난포,간장,41
normal,난포,하나,41
normal,난포,바로,39
normal,난포,추천,38
normal,난포,서울숲,38
normal,난포,기분,36
normal,난포,들깨,35
normal,난포,평일,34
normal,난포,캐치,34
normal,난포,분위기,33
normal,난포,전복,32
normal,난포,식사,31
normal,난포,미리,31
normal,난포,매장,30
normal,난포,성수,29
normal,난포,처음,28
normal,난포,양은,27
normal,난포,된장,26
normal,난포,식당,26
normal,난포,음악,25
normal,난포,제일,24
normal,난포,친구,24
normal,난포,다른,24
normal,난포,오픈,24
normal,난포,가격,23
normal,난포,곰국,22
normal,난포,입맛,22
normal,난포,자극,21
normal,난포,사람,21
normal,난포,전체,21
normal,난포,먹기,20
normal,난포,반찬,20
normal,난포,모두,20
normal,난포,노래,19
normal,난포,슴슴,19
normal,난포,다시,19
normal,난포,도착,19
normal,난포,성수동,18
normal,난포,점심,18
normal,난포,기대,18
normal,난포,저녁,18
normal,난포,다만,18
normal,난포,소스,18
normal,난포,보고,17
normal,난포,한번,17
normal,난포,가지,17
normal,난포,퓨전,16
normal,난포,부모님,16
normal,난포,이서,16
normal,난포,아주,15
normal,난포,별로,15
normal,난포,인기,15
normal,난포,편이,15
normal,난포,한우,15
normal,난포,조합,15
normal,난포,개인,15
normal,난포,치즈,15
normal,난포,육회,14
normal,난포,기본,14
normal,난포,주말,14
normal,난포,먼저,14
normal,난포,저희,14
normal,난포,장아찌,13
normal,난포,슴슴하,13
normal,난포,계속,13
normal,난포,가면,13
normal,난포,이상,13
normal,난포,의사,13
normal,난포,자리,13
normal,난포,타임,13
normal,난포,제철,13
normal,난포,부담,12
normal,난포,재료,12
normal,난포,서비스,11
