가게 이름,계정 ID,계정의 리뷰 수,계정의 별점 평균,방문 날짜,별점,리뷰 내 사진 유무,리뷰 글자 수,리뷰 내용,카카오맵 리뷰다는 사람 레벨
각시보쌈,Hul,67,2.9,2026-05-02,2.0,False,230,"주변에 살고 있기에 오가며 보면, 대기인원이 제법있기에 맛이 궁금했다. 마침 어버이 날이라 가족과 방문했다. 주문메뉴는 쟁반국수, 홍어, 보쌈 세가지 주문함. 이제부터 맛점수 : 쟁반국수:★(엄청 달고 겨자가 너무 많아 먹기 힘듬) 보쌈:★★★ (사진발, 보쌈밑에 상추로 기초공사) 홍어 : ★★★★★(정말 제대로 삭힌 홍어:갑) 홍어를 즐길 줄 아는 친구랑은 방문의사 있어도 쟁반, 보쌈으로는 재방문의사 없음.",실버 레벨
각시보쌈,토끼공듀,128,2.5,2026-04-27,3.0,False,62,런치 정식 가성비 말이 안됨. 다른 곳이면 최소 2배 이상 받았음. 다만 맛이 엄청 훌륭한건 아닌 괜찮은 정도.,실버 레벨
각시보쌈,뭐이런걸다,7,5,2026-04-22,5.0,False,15,보쌈정식 가성비가 너무 좋음,브론즈 레벨
각시보쌈,Emily,43,3.2,2026-04-17,5.0,False,113,가끔 손님이 많아서 대기를 해야할 때가 있어요! 그 만큼 가격과 맛 퀄리티 모두 백점 만점에 95점 정도 주고 싶어요~! 보쌈이 땡기는 날~~ 붐비지 않는 시간 때에 가세요! 후회없는 선택이 되실 듯!!,실버 레벨
각시보쌈,5점이면가세요1점이면거르세요,267,3.7,2026-04-15,1.0,False,71,1인식사 거절당함 소보원 신고예정 - 소보원 접수 후 진행 중 - 2026.04.15. 시정조치 완료 그래도 가면 또 거절하겠지,골드 레벨
각시보쌈,i_2._:),7,4.4,2026-04-11,5.0,True,86,완전 맛있습니다! :) 특히 수육이 진짜 미쳤더라고요. 근데 주말에 사람이 너무 많음ㅠㅠ 어떤 시간이건 사람이 많다는 단점 빼고 맛만 보면 여기가 최고!👍,실버 레벨
각시보쌈,진또배기,23,4.5,2026-04-01,4.0,False,12,가성비 하나 보고 간다,실버 레벨
각시보쌈,슬기로운생활,390,4.5,2026-03-15,5.0,True,40,구성이 좋고 가성비도 좋아요. 웨이팅 생각 보다 빨리 줄어서 기다려볼만함,골드 레벨
각시보쌈,금나비,1736,3.6,2026-03-10,4.0,True,85,"적당한 식감의 맛과 퀄리티를 모두 갖춘 가브리살 보쌈정식은 웨이팅도 기꺼이 감내하는 최고의 가성비를 뽐낸다. □ 보쌈정식 인당 10,500원 ■ 주차불가",퍼플 레벨
각시보쌈,ㅇㅇㅇ,81,4.9,2026-02-26,5.0,True,35,정식 양 많고 싸고 맛있어요 웨이팅 빨리 빠져서 기다릴만 합니다,실버 레벨
각시보쌈,코이카,17,4.6,2026-02-22,3.0,False,54,고기 맛있긴 한데 먼가 보쌈으로서 싸먹엇을때 느겨지는 감칠맛? 이 부족한 느낌;; 나만그럴수도..,실버 레벨
각시보쌈,Js,18,3.2,2026-02-22,5.0,True,17,여기보다 맛있는 보쌈이 존재할까,실버 레벨
각시보쌈,❤️,5,2,2026-01-26,1.0,True,147,아니 무슨 80년대도아니고 혼자손님이 와도 자기가 앉고싶은자릴 앉는거지 이래라저래라 저기앉아라이러고 통제를 합니까 무슨 공산주의에요????밥먹으러왔다가 기분잡쳐서가네요 먹는 내내 중국종업원들 먹는거 구경하면서 낄낄대고 다음에 가서그러면 가만히 않있습니다 두고보세요,브론즈 레벨
각시보쌈,pick of pig,135,3.8,2026-01-24,5.0,False,70,확신의 맛집 무조건 반반보쌈으로 ㄱㄱ 단 시끄러운거 싫어하면 절대 평일 저녁엔 가지마세요 할저씨들 술시켜놓고 고성방가 심함..,골드 레벨
각시보쌈,Excontro,87,3.5,2026-01-10,5.0,True,36,"약간 느끼할 순 있어도, 충분히 꽉차는 보쌈의 맛있음이 존재한다.",골드 레벨
각시보쌈,개볶긔,16,3.1,2026-01-03,1.0,False,72,맛있는데 너무 불친절함 정식먹었는데 찌개추가라고했는데 리필안됀다고 눈치주고 화내심 ;; 빨리먹으란식의 눈치주시고 두번다시올일없슴다,실버 레벨
각시보쌈,아뚱멍,134,4.3,2025-12-14,5.0,True,57,여자3인 배추보쌈 중짜 떵개 완. 야들… 촉촉 밑반찬도 다 맛있고 공기밥시키면 김치찌개 나오는게 좋았당,골드 레벨
각시보쌈,쨍이,90,4.4,2025-12-13,4.0,True,207,"인기 어어어어엄청 많은 보쌈집! 저녁 5시 반 전에 도착했는데 6시반에 입장했어요ㅎㅎ 연말이라 술 드시는 손님도 많고 해서ㅠㅠ 굴보쌈 먹었는데 진짜 굵직굵직 싱싱한 굴에 보쌈 곁들여 먹으니 개존맛탱,, 이 날 낮에 이미 너무 많이 먹고 가서 좀 남겼는데, 나중에 배고플 때 가서 왕왕 먹고 막걸리도 왕창 마시고 싶어요ㅎㅎ 웨이팅 자리가 아주 협소하니 주의하셔야 합니다..",골드 레벨
각시보쌈,5점잘안준다,232,2.8,2025-12-12,3.0,True,120,평일 18시30분 도착 웨이팅 30분함 홍어삼합 대 +고기추가+굴추가+메밀면 대 5명에서 먹었는데 11만원대 나옴 가성비 굿 고기 not bad 굴 좀 비싸지만 알이 큼 홍어 fuxking 국수 soso 가성비 개굿,골드 레벨
각시보쌈,솔직리뷰어,35,4.9,2025-12-05,1.0,False,67,2시40분까지 라스트오더라고 늦을까봐.미리 주문하려고 전화했더니 인수 물어보더니 잠시만요 하고 갑자기 재료소진이라함 에바,실버 레벨
