가게 이름,계정 ID,계정의 리뷰 수,계정의 별점 평균,방문 날짜,별점,리뷰 내 사진 유무,리뷰 글자 수,리뷰 내용,카카오맵 리뷰다는 사람 레벨
옥동식 서교점,자우지장지지,90,3.4,2026-05-01,1.0,True,144,주말 기준 10:32 캐테 등록 38팀 대기 총 4시간30분 웨이팅 끝에.... 먹을 맛은 절대 절대 아님^_ㅠ 슴슴한 맛이라 맛있는 김치가 필수인데 김치가 너무 맛없고 양념만 한바가지 줌 7-8년 전에 대기없이 먹었을땐 독특하니 맛있네~~ 했던거 같음^_ㅠ,골드 레벨
옥동식 서교점,띠로리로리,29,4.1,2026-04-29,3.0,False,55,웨이팅이 좀 힘들긴한데.. 그렇게까지 안기다리고 먹으면 맛나게 먹었을텐데 넘 오래기다렸나바요..ㅠㅠ,실버 레벨
옥동식 서교점,마포맛쟁이,113,4.7,2026-04-21,5.0,True,47,곰탕 1티어 (무조건 특으로 먹을 것) +)2번째 방문 동식이형네는 참 김치가 맛나다,골드 레벨
옥동식 서교점,피리미리,8,3.3,2026-04-19,4.0,True,29,맛은 있지만 웨이팅 하면서까지 가진 않을 것 같아요!,브론즈 레벨
옥동식 서교점,국밥투어러,54,3.9,2026-04-19,3.0,False,23,기대와 웨이팅에비해 맛은 생각보다 평범..,실버 레벨
옥동식 서교점,별이⭐️,5,1.8,2026-04-10,1.0,True,123,여기 직원중 오늘 저녁시간 캐치테이블 응대한 사람 왜이렇게 까칠한가요? 9년동안 이렇게 운영해왔는데 뭐가 문제냐는 식으로 이야기 하는데 .. 3시간 기다린게 아까워서 먹었지 진짜 화가 치밀어 오르게 하는 재주가 있네요..,브론즈 레벨
옥동식 서교점,이지호 dave.lake,2,3,2026-04-04,1.0,False,170,"토요일 디너 웨이팅을 위해 2시부터 1시간 넘게 기다렸는데, 현장 캐치테이블 키오스크 안내 문구가 “Lunch is over” -> “Dinner is over” 로 말도 없이 바뀌네요. 직원에게 물어보니 저녁까지 마감되었답니다. 밖에서 기다리는 사람들한테 말 한 마디라도 해줘야 하는 거 아닌가 싶네요.",브론즈 레벨
옥동식 서교점,ドコモ,377,2.4,2026-04-02,3.0,False,23,첨에는 오~ 신기한 맛 그리고는 그게 전부,골드 레벨
옥동식 서교점,MICHELIN GUIDE,22,3.4,2026-03-24,3.0,False,5,맛있습니다,브론즈 레벨
옥동식 서교점,고기전문가,1,1,2026-03-23,1.0,False,286,"3시간 웨이팅 끝에 기대를 많이 하고 들어갔는데, 솔직히 국밥 맛은 기대 이하였습니다. 개인적으로는 동네 프랜차이즈 국밥집이 더 나은 수준이라고 느껴졌습니다. 심지어 물도 시원한물이 아닌 미지근한물을 직원들이 한잔씩 따라줘야 먹을수 있습니다 직원분들은 친절하다기보다는 약간 자기들만의 분위기와 컨셉에 몰입해 있는 느낌이 강했고, 편하게 식사하기에는 다소 거리감이 있었습니다. 요리 프로그램에 나왔다고 해서 줄 서서 먹을 정도의 맛집인지는 잘 모르겠습니다. 긴 웨이팅을 감수하면서까지 다시 방문할 생각은 없습니다.",브론즈 레벨
옥동식 서교점,슈,3,2.3,2026-03-23,1.0,True,269,"솔직히 왜 웨이팅까지 하면서 먹는지 이해 안 되는 집입니다. 가격은 비싼데 맛은 그에 한참 못 미치고, 기다린 시간이 아까울 정도예요. 국밥 자체는 평범 이하이고 위에 올라간 고기 몇 점만 그나마 먹을 만한 수준입니다. 직원들 태도도 별로예요. 전반적으로 예민하고 불친절해서 물 한 잔 더 달라는 것도 괜히 눈치 보게 만듭니다. 손님 응대 기본이 안 되어 있는 느낌. 이 가격에 이 맛, 이 서비스면 굳이 여기 올 이유 없습니다. 동네 아무 국밥집 들어가도 여기보단 나을 듯합니다.",브론즈 레벨
옥동식 서교점,이번달에도월급이통장에스치운다,90,4.2,2026-03-20,4.0,True,23,맛있긴한데 웨이팅이 없어지면 또 올거같아요,골드 레벨
옥동식 서교점,🤓,281,3.6,2026-03-08,3.0,False,28,밍밍하고 뭔맛인지 잘 모르겠는데 웨이팅도 길고 굳이,골드 레벨
옥동식 서교점,깨깨깨깨깨버리고싶어,695,4,2026-03-08,4.0,True,16,맛에 비해 웨이팅이 너무 길다,블루 레벨
옥동식 서교점,배강열,33,4,2026-03-06,4.0,False,38,한번정도는웨이팅해서드셔보기실. 특히겨울에. 뜨끈하게. 다르긴해요진짜.,실버 레벨
옥동식 서교점,asdfghjkl,1,1,2026-03-03,1.0,False,116,사장님 없어서 그런가 점심 라스트 오더 2:30라고 표기 해두고 2:10에 가니까 웨이팅도 없는데 주문 안된다고 하는거 어이없음 .. ㅋㅋ 재료소진도 아니고 라스트 오더 시간은 좀 지키시길 직원교육좀 시키세요,브론즈 레벨
옥동식 서교점,룰라삐리뽀,106,4.2,2026-02-25,4.0,True,72,웨이팅 2시간 했습니다 신기한 맛이에요 국물맛이 가벼운데 짠 맛이 좀 강해요 김치만두는 굳이 안 먹어도 될 것 같아요 평범한 느낌,골드 레벨
옥동식 서교점,be real,62,1.8,2026-02-24,1.0,False,23,일본에선 980엔이라면서요?….. 안갈래요,실버 레벨
