가게 이름,계정 ID,계정의 리뷰 수,계정의 별점 평균,방문 날짜,별점,리뷰 내 사진 유무,리뷰 글자 수,리뷰 내용,카카오맵 리뷰다는 사람 레벨
육지,김영웅,6,4.3,2026-04-26,1,FALSE,476,"음식 맛과 별개로, 직원 교육이 상당히 미흡해 보입니다. 자리 착석 후 고기를 주문해서 나왔는데, 15분에서 20분 동안 고기를 방치하더라구요. 알아서 구워 먹을 수도 없었던게 철판도 없었고, 숯을 데우는 과정인 것 같았는데 이건 보통 따로 해놓고 손님 상에서 안하지 않나요? 그렇다고 양해 구하는 직원도 없었고, 주방과 가까운 자리였는데 오히려 일하기 싫다 및 비속어 쓰는 소리만 들려서 불쾌한 자리였어요. 고기 구워주실 때도, 집게를 거의 던지듯 내려놓고, 고기 굽는데 큰 소리로 오더 내리는게 위생적으로 그리고 앞에 있는 손님에게 옳은 행동일까요? 그리고 홀이 아닌 주방 마감이었는데, 옆 자리 치우면서 쓰레기 통을 자리 위에 두고 자리를 떠나고도 안 치우더라구요. 5점 후기가 많아서 갔는데. 다시 보니까 후기가 1,2개 달린 봇 계정들인지 모르겠네요. 다시 방문 의사 없고, 다른 분들도 후기에 속지 마시길 바랍니다. 합정에는 맛집 많으니까요",브론즈 레벨
육지,진실의 입맛,46,2.6,2026-04-06,1,FALSE,85,할많하않 고기는 맛있었어요 근데 순번 어플은 무슨 소용인지 우리보다 한참 뒷번호 먼저 앉히고 그 전에 먼저 차례되어서 들어가니까 아니라고 나가라하고 ^^,실버 레벨
육지,이영,1,5,2026-03-29,5,FALSE,33,고기 진짜 너무 맛있고 잘 구워주셨어요. 나중에 또 올게요!,브론즈 레벨
육지,이동미,98,3.4,2026-03-20,3,TRUE,48,손님이 많아서 그런가... 거기도 대충 구워주고 ㅠ 비싸고.다시 방문하고 싶지 않아요.,실버 레벨
육지,박주환,1,5,2026-03-19,5,TRUE,15,목살이 굉장히 맛있었어요!!,브론즈 레벨
육지,윤은수,1,5,2026-03-19,5,TRUE,9,엄청 맛있었어요!,브론즈 레벨
육지,유경,1,5,2026-03-19,5,TRUE,30,고기가 부드럽고 맛있어요 곁들이는 찬이 다양해서 좋아요,브론즈 레벨
육지,돌돌,17,2.8,2026-03-15,1,FALSE,50,"어유;;;;이렇게 똑같이 느끼는 불만들이 많은데 어디서 저렇게 5점 별점들이 몰려오는지,,",실버 레벨
육지,김호연,1,1,2026-03-07,1,FALSE,94,시끄럽고 사람 붐비고 바쁜 거 이해하는데 10분 늦게 온 옆자리 손님 고기 굽기 시작. 불도 제대로 안 올리고 서빙한 고기만 덩그러니…매니저 컴플레인 대응도 실망스러움.,브론즈 레벨
육지,오월,81,3.9,2026-03-02,5,TRUE,64,우연히 오게 됐는데 고기가 부드럽고 맛있어서 왕창 먹었어요! 분위기 깔끔하고 냄새 많이 안 배어서 다시 또 오려고요,골드 레벨
육지,강수진(Blair Kang),1,5,2026-02-26,5,FALSE,14,너무 맛있고 친절했어요!!,브론즈 레벨
육지,개좋거나개별루거나,55,2.6,2026-01-19,1,FALSE,4,다신안옴,실버 레벨
