가게 이름,계정 ID,계정의 리뷰 수,계정의 별점 평균,방문 날짜,별점,리뷰 내 사진 유무,리뷰 글자 수,리뷰 내용,카카오맵 리뷰다는 사람 레벨
을밀대 본점,K-리뷰어,340,4.1,2026-05-02,2,TRUE,211,인생 두번째 평양냉면으로 첫평냉집이 너무 맛집이었어서 그랬는지 ₩16000 같은 가격에 첫평냉집은 특별하기도 하고 대만족이었는데 을밀대는 같은 가격에 평범하고 그저 그랬어요. 평냉답게 슴슴하고 크게 특별한 것은 없었고 고기나 서비스나 여러모로 옛날집같고 평범하게 느껴진..! 주말 오후3시 방문. 줄은 좀 길었고 항상 긴것 같아요! 이 가격에 재방문은 굳이 안할것 같긴 한ㅎ..,골드 레벨
을밀대 본점,주열매,62,3.9,2026-04-30,1,FALSE,63,오늘도 쓰레기였다.. 두번 가면 한번은 면빨래 제대로 안한 쓰레기가 나오고 한번은 맛있게 나옴. 50%확률의 도박,실버 레벨
을밀대 본점,사실만얘기,142,4.1,2026-04-26,5,TRUE,88,개인적으로 녹두전 가격은 에바라고 생각함 하지만 냉면 맛은 정말 맛있었다 육수 최고.. 녹두전 빼고 냉면만 먹어도 될듯 녹두전이 저 가격내고 먹을 맛은 아님!,실버 레벨
을밀대 본점,That's life.,24,4,2026-04-26,1,TRUE,13,평점과 맛이 의심스럽다.,실버 레벨
을밀대 본점,영감님,37,2.6,2026-04-26,3,FALSE,19,정말 평양에서 먹는 느낌이였습네다.,실버 레벨
을밀대 본점,된장찌개 매니아,138,4,2026-04-25,5,FALSE,87,진한 향의 육수와 훌륭한 녹두전 바쁠 때 가면 한 번에 겁나 많이 삶아서 거냉으로 시키면 면이 좀 퍼지는 건 단점 살얼음으로 시키니 면의 식감이 더 좋긴 함,골드 레벨
을밀대 본점,정히를따르라,1697,3.5,2026-04-23,4,TRUE,121,빈대떡 미쳤따리 평냉은 국물미쳤고 기본양도 많음 ㅡㅡㅡㅡㅡㅡㅡㅡㅡ230111 빈대떡역시 평냉거냉으로먹음 거냉이다 김치도좋고 배도달고 예전엔 잉 했는데 역시3대평냉이구나함 30분정도웨이팅 예전3.0이면이번엔4.0임 만족,퍼플 레벨
을밀대 본점,채리,8,4.3,2026-04-19,3,TRUE,317,"인생에서 2번째로 먹어본 평양냉면! 처음 나온 육수의 짭짜름한 사골 육수와 특이하게 겉절이가 나오는 가게였는데 밥한공기 먹고 싶을정도👍 냉면은 슴슴하면서도 깔끔한게 좋았고 위에 올라간 고기고명 정말 맛있었습니다! 그런데 재방문의사는 고민해볼거같아요,, 16,000원 냉면은 저렴한 가격은 아니라고 생각하는데 홀직원만 여러명 계시는 곳에 서로 소통이 안되시는건지 몇명이라고 얘기만 5번을 넘게해도 셋팅은 2인으로 해주시고 나중에 한번더 강하게 말씀드리니까 그제서야 제대로 주시더라구요 홀직원도 많으시고 플레이트가 많은 것도 아닌데 인기에 비해 많이 아쉽고 기분이나쁘네요",실버 레벨
을밀대 본점,StemPlayer,237,3.5,2026-04-19,4,TRUE,52,그냥 준수하게 잘 만든 평양냉면이다. 다만 굳이 간다면 을밀대를 갈 거 같다. 아니면 진미나.,골드 레벨
을밀대 본점,예은,7,3.4,2026-04-11,1,TRUE,93,면이 많이 퍼져서 말씀드리니 나온 음식 확인도 없이 바로 나오는 면이여서 그럴일 없다고 가시는 직원분 좋아하던 평냉집인데 2번 방문 연속 불은면 받고 많이 속상합니다😅,브론즈 레벨
