가게 이름,계정 ID,계정의 리뷰 수,계정의 별점 평균,방문 날짜,별점,리뷰 내 사진 유무,리뷰 글자 수,리뷰 내용,카카오맵 리뷰다는 사람 레벨
일등식당,..,86,3.1,2026-04-30,3.0,False,75,"맛있어요 , 하지만 그냥 드신다면 밍밍하실거에요 옆에있는 흑후추를 들어서 막 뿌려보세요 술이 술술 들어갑니다 그럼 맛 좋은 시간 되세요",실버 레벨
일등식당,마포맛쟁이,113,4.7,2026-04-26,5.0,True,275,"일등식당 이란 이름에 걸맞게 망원동 뼈해장국 1등 맞습니다 ㅎㅎ 부들부들한 살코기에 국물을 머금은 시래기가 일품입니다 ㅎㅎ 재방문 의사 100프로 2번째 방문) 일요일 점심에 방문하니 제법 웨이팅 하는 인원이 있어서 20분 정도 대기 했으나 음식은 금방 나오는 편입니다.. 여전히 우거지도 맛있고 국물도 깔끔하고, 고기도 야들야들하니 특제소스 찍어먹으면 맛납니다 ㅎㅎ 저번에 사장님 수술 하신다고 몇일 쉬신다고 하셨던거 같은데 아프지 마시고 몸 건강하게 장사 계속 해주셨으면 좋겠습니다 ㅎㅎㅎ",골드 레벨
일등식당,맛집 잘 몰라요,383,3.3,2026-04-11,5.0,True,191,ㅋㅋㅋㅋㅋ 뼈해장국 리뷰를 할 줄이야 와 여기 진짜 고기가 달라요 그 맨날 먹던 뼈 해장국 생각하심 안되요 노포느낌 나고 반찬도 단촐하지만 김치랑 깍두기도 맛있고 고기가 ㅋㅋ 알던 거랑 달라요 드셔보세요 국물은 슴슴하고 밥은 좀 적어도 5점 받을만 하네요 주방 오픈되어있고 오래된.느낌이지만 괜찮아요 포장 졸 많이 합니다. 다시 또 올듯하네요,골드 레벨
일등식당,ㅇㅅㅇ,7,4,2026-04-07,4.0,False,34,뼈해장국은진짜맛잇음 근데 김치가 아쉬운 수준을 넘어감 맛없음…,브론즈 레벨
일등식당,김지호,16,4,2026-03-31,5.0,False,11,후기가 필요한가..?,실버 레벨
일등식당,빠밤,46,3,2026-03-24,4.0,False,172,고기가 야들야들하고 크고 시래기가 많아서 좋아요 국물은 생각보다 슴슴한 맛이예요! 막 엄청 특별한 맛은 아니지만 주기적으로 생각나서 방문하게 돼요 갈때마다 사람 많은데 회전율이 빨라서 금방 빠지고 대기가 길지 않아요 저희는 집앞이라 계속 방문할 예정이지만 굳이 멀리서 찾아와서 먹어볼 맛인가는 물음표 입니다!,실버 레벨
일등식당,김밥천사,224,4.5,2026-03-21,5.0,True,147,자극적이 않고 딱 본연의 맛입니다. 너무 뜨겁지않아서 바로 먹을수있습니다. 어르신들 소주도 하시는 동네 사랑방에 들어온 느낌입니다. 김치 깍뚜기등 반찬을 처음엔 작게주시지만 더주셔서 잘먹었습니다. 고기가 진짜 잘 발라져서 놀랐습니다. 건강한 한끼 잘먹고 왔습니다.,골드 레벨
일등식당,봄봄,2,4,2026-03-12,4.0,False,9,가성비 맛있습니다,브론즈 레벨
일등식당,gom,8,4.9,2026-03-09,5.0,True,150,"자극적인 뼈해장국을 기대하신다면 실망할 수도 있겠습니다만, 맑은 국물에 부드러운 우거지와 고기의 조화가 좋습니다. 해장에 제격일 뿐만 아니라 주말 아침에 드시면 하루종일 든든하게 보낼 수 있습니다. 개인적으로 김치는 아쉽지만 뼈해장국은 독보적인 맛이라 가끔 생각납니다.",실버 레벨
일등식당,YEE,48,3.9,2026-03-04,5.0,True,63,우거지해장국스타일 많은 우거지 많은 뼈다구 저렴한 가격 맛좋은 국물과 고기 5점이 아닐 수 있을 수가 없는 것이다,실버 레벨
일등식당,권베베,116,4.4,2026-02-23,5.0,True,67,엄마랑 같이 먹으러 갔는데 너무맛있어요ㅜㅜㅜㅜㅜㅜㅠㅠ 고기가 뼈에서 잘 빠진게 싱기하구 우거지도 부드러워서 너무맛있어요😙,골드 레벨
