가게 이름,계정 ID,계정의 리뷰 수,계정의 별점 평균,방문 날짜,별점,리뷰 내 사진 유무,리뷰 글자 수,리뷰 내용,카카오맵 리뷰다는 사람 레벨
장인닭갈비 홍대점,행쇼,20,5,2026-03-24,5.0,False,62,가격대도 합리적이네여 양이 진짜 푸짐해요 신선한 닭에 치즈까지 올려먹으면 완전 행복 그자체! 점심 잘 먹었습니다,실버 레벨
장인닭갈비 홍대점,김민정,26,5,2026-03-23,5.0,False,143,제가 덝갈비도 좋아해서 종종 먹으러 더니는데 장인닭갈비 홍대점은 내부가 깔끔해서 되게 편안하게 먹을 수 있었는데 닭갈비도 양념이 너무 맛있오서 최근에 먹은 닭갈비 즁에서 제일 맛있게 먹었던 거 같고요 닭 자체가 엄청 쫄깃한 식감이라서 더 맛있게 먹고 왔어요,실버 레벨
장인닭갈비 홍대점,좋은곳,2,5,2026-03-22,5.0,False,190,친구가홍대 닭갈비 맛집 찾다가 분위기랑 후기 좋아서 찜 해놓은곳이라해서 장인닭갈비 홍대점 방문했어요 철판에 바로 볶아주는 닭갈비라 불향이 살아있고 고기도 부드럽게 잘 익어서 맛있었어요 치즈 추가해서 먹었는데 느끼함 없이 고소하게 잘 어울려서 계속 손이 가는맛! 쌈채소도 넉넉하게 먹을 수 있어서 만족스러웠고 홍대 오면 다시 들릴 것 같아요!,브론즈 레벨
장인닭갈비 홍대점,또동,43,5,2026-03-22,5.0,False,65,닭갈비+치즈+면 = 필승 조합! 야채 식감도 잘 살아있고 양념 밸런스가 적당해서 그런가 볶음밥도 신나게 잘 먹었어요!,실버 레벨
장인닭갈비 홍대점,경호,12,4.2,2026-03-21,5.0,True,220,공간이 넓직하고 창이 있어서 깔끔히 먹기 좋습니다 사람이 많아 조금 대기해서 들어갔는데 회전율은 꽤 빠른 것 같습니다 닭갈비 3인에 치즈2인시켜먹었는데 양도 많고 치즈도 풍족해서 배부르게 먹었습니다 2층기준 셀프바에서 깻잎 상추 가져다 드시면 되고 직원분들도 조금 바빠서 그렇지 친절히 응대해주셨네요 여럿이서 가서 한끼 맛있게 먹기 좋습니다 닭갈비 드시고 싶으시면 한 번 방문해보셔도 괜찮습니다,실버 레벨
장인닭갈비 홍대점,따그혀늬🙃,40,5,2026-03-21,5.0,False,91,홍대에서 핫한 닭갈비 맛집 🔥 100% 국내산 닭에 모짜렐라 치즈 듬뿍! 사리 추가와 쌈채소 무한리필로 푸짐하게 즐겨요. 마무리 장인볶음밥까지 완성도 최고입니당 😊,실버 레벨
장인닭갈비 홍대점,기쁘미,21,4.6,2026-03-20,4.0,False,32,국내산 닭갈비와 순수 모짜렐라 치즈랑 같이 먹으니 맛있네요,실버 레벨
장인닭갈비 홍대점,다은,6,5,2026-03-19,5.0,False,59,홍대 닭갈비 맛집으로 유명하대서 가봤어요 닭갈비 쫄깃하고 맛있는데 볶음밥도 진짜 미쳤네요!! 꼭 드셔보세요,브론즈 레벨
장인닭갈비 홍대점,하연이아빠,22,5,2026-03-18,5.0,False,97,"친구들이랑 또 방문했어요! 매장 분위기도 좋고 직원분들도 친절하셔서 기분 좋게 식사할 수 있었어요^^ 닭갈비부터 사리, 볶음밥까지 깔끔하게 식사했고 야채도 풍성히 즐겼어요~~",실버 레벨
장인닭갈비 홍대점,세인,3,3.7,2026-03-18,1.0,False,15,닭가슴살 닭갈비 외국인 전용,브론즈 레벨
