가게 이름,계정 ID,계정의 리뷰 수,계정의 별점 평균,방문 날짜,별점,리뷰 내 사진 유무,리뷰 글자 수,리뷰 내용,카카오맵 리뷰다는 사람 레벨
금금,서선주,7,5,2026-04-29,5.0,True,12,맛있어요 퓨전한식 최고,브론즈 레벨
금금,JW,268,2.5,2026-04-27,5.0,False,22,별로란 말들 보고 반신반의했으나 괜찮았음,골드 레벨
금금,내 메모 목적,141,3.1,2026-04-11,3.0,False,47,"소갈비수육, 묵은지참치말이는 그냥 그랬는데 다른 메뉴들이 궁금해서 한번 더 가볼 예정",골드 레벨
금금,철준,157,4.2,2026-04-06,1.0,False,53,"된장어쩌구 메뉴에 홀려서 들어갔으나, 맛 서비스 다 최저. 무슨 반찬인지 모르는 그건 맛있었다.",골드 레벨
금금,내 맘대로 음식 평가,45,3.5,2026-03-30,4.0,False,68,"된장국수는 맛있긴 한데, 마제소바에 된장 뒤집어씌운 느낌? 오히려 들기름 통밀국수가 유니크하게 느껴진다. (3.5/5.0)",실버 레벨
금금,로구꺼이양고 - 초정밀리뷰,93,3.1,2026-02-28,4.0,False,15,3.8점 깔끔한 퓨전 한식집,실버 레벨
금금,Michaela | 미카엘라,71,4.6,2026-02-14,5.0,True,164,Very delicious place to go with a friend! The location is quite small but the food is served quickly with good quality. I ate the food so fast because it was yummy~,골드 레벨
금금,마일스 타미카,134,3.9,2026-02-14,5.0,True,112,모두 다 와벽했습니다. 완전히 만족했습니다. 저는 소갈비덮밥을 먹어봤고 친구가 보리된장국수를 주문했습니다. 다 정말 맛있었습니다. 보리차 또 진짜 좋았습니다. 편의 시설도 깨끗했고 수도는 따뜻했습니다.,골드 레벨
금금,ㄱ.송형주,1,2,2026-02-12,2.0,False,100,비주얼과 분위기 청결은 좋았지만 메뉴가 상상한 맛이아닌것도 있지만 맛이 나에게는 좀 부족했고 묵은지 관련된메뉴들이 다 백김치 빨아서 쓴것처럼 묵은지의 그 신맛이 없어서 너무 아쉬움,브론즈 레벨
금금,맛집을 찾아서,11,3.8,2026-01-16,5.0,True,172,11월에 방문했어요. 음식이 다 맛있습니다! 가격은 비싸요.. 특히 된장저거가 제일 맛있습니다. 면 먹고 밥 비벼먹으면 딱 좋아요. 명란감자전은 원래 전 안 좋아하지만 한두 조각 정도 먹어도 괜찮았고요. 보쌈은 고기는 그냥 그런데 백김치가 맛있습니다. 하여튼 음식이 다 맛있어서 추천해요. 음식값은 비쌉니다.,브론즈 레벨
금금,술빈,622,3.7,2026-01-06,4.0,True,45,굳굳 매장이 생각보다 협소하긴한데 기본은 하는 거같아요 다 깔끔하게 잘 먹었습니다,블루 레벨
금금,슛슛,224,3.5,2025-12-25,4.0,True,161,맛있어요 근데 송리단길이 더 맛있기누해요 묵은지참치말이 쿠폰은 네이버에서 예약당시에 체크하셔야 적용되니 참고하세요ㅠ 저는 뒤늦게 쿠폰얘기하니까 예약당시 사용안했다고 돈주고 시켰는데 밥이 설익고 참치는 병아리오줌만큼 넣러줘서 김치랑 된밥 맛 밖에 안 났습니다 된장국수는 짱맛 문어비빔밥 비추,골드 레벨
금금,5점 잘 안 준다,389,3.8,2025-12-07,4.0,True,57,나쁘지 않음 코리안 마제소바 느낌 저 국수는 양이 좀 적어서 밥 비벼먹거나 사이드 필수 근데진짜 무난함,블루 레벨
금금,친절도 보단 맛 위주 평가,15,3.2,2025-12-05,4.0,False,6,나쁘진 않음,실버 레벨
금금,칸쵸,33,3,2025-11-06,4.0,False,3,맛잇음,실버 레벨
금금,😎,19,3.9,2025-11-03,5.0,True,19,보리된장국수가 말이 안되게 맛있어요,실버 레벨
금금,.,53,4.1,2025-10-27,4.0,False,44,문어비빔밥이랑 묵은지말이 먹었는데 맛있음. 근데 좌석간 간격 너무 가까움....,실버 레벨
금금,Undercover,24,3,2025-10-25,3.0,False,19,근처고 웨이팅 없이 먹기는 ㄱㅊ아요,실버 레벨
금금,민도현,16,3.3,2025-10-19,5.0,False,4,맛잇어요,브론즈 레벨
금금,Jnmq,17,2.4,2025-10-09,1.0,False,32,불친절 앞에서 메뉴 보는데 유모차 못들어가요 이러고 가버림,실버 레벨
금금,ㅇ,251,3.6,2025-09-20,4.0,False,4,마딧어여,실버 레벨
금금,나가보자,90,4.2,2025-09-16,5.0,False,55,들기름 어쩌고...너무 맛있음 양 적어서 밥 추가해야 댐 돈 안받는걸로 알고 있움 졈심 웨이팅 있음,골드 레벨
금금,🔪,12,4.2,2025-09-10,4.0,False,20,쏘쏘한 친절 맛도 평타 가격도 괜찮고,실버 레벨
금금,실제후기,3,1,2025-09-05,1.0,False,26,문신하신 분들 불친절하고 맛이 많이 변했네요..,브론즈 레벨
금금,예찬,7,4.3,2025-08-24,2.0,False,201,묵은지 문어 면요리 / 떡갈비 를 먹었습니다 태어나서 이렇게 많이 설탕으로 범벅이 된 요리는 먹어본 적이 없습니다. 특히 떡갈비는 시럽에 바로 찍어먹어도 이거보단 덜 달 것 같아요. 마치 손님의 혈당스파이크는 개나 주고 제 2의 백종원을 꿈꾸시지는 않나 싶은 맛입니다. 단언컨데 태어나 이런 괴식은 처음이었습니다. 친구의 제육덮밥은 그냥저냥 먹을만 하더군요..,브론즈 레벨
