가게 이름,계정 ID,계정의 리뷰 수,계정의 별점 평균,방문 날짜,별점,리뷰 내 사진 유무,리뷰 글자 수,리뷰 내용,카카오맵 리뷰다는 사람 레벨
능동미나리 성수점,보코블린,87,3.3,2026-04-27,1.0,False,75,신용산점은 육회가 생인데 성수점은 냉동 육회임. 왜 지점별로 차이가 나는지 모르겠는데 냉동육회 쓰는 것만 봐도 성수점 갈 이유가 없음.,실버 레벨
능동미나리 성수점,맛없으면안머금,45,4.6,2026-04-26,3.0,False,43,맛은 괜찮은데 ㅠ 노래가 너무 쳐져서 기분도 너무 쳐져요 … 먹을 맛 뚝뚝 …,실버 레벨
능동미나리 성수점,정진숙,22,4.8,2026-04-13,5.0,True,14,오래된 맛집 느낌이 났어요,실버 레벨
능동미나리 성수점,꿈꾸는봉공이,975,4,2026-04-10,5.0,True,175,"+곰탕도 잘게썰린 미나리향이 좋았고 육비는 다시먹어도bb +향긋한 미나리향이 음식과 잘 어우러지는 곳 육회비빔밥 고추장베이스가아닌 달짝찌근 간장양념이 미나리 비벼먹기 좋았어요 육전도 괜찮았고 가족끼리도 올만한 곳 너무 바쁜 맛집이 그렇듯 친절은 기대하기 어렵다지만 직원분 다소 무서움, 주말 5시반 웨이팅없이 입장",블루 레벨
능동미나리 성수점,노는곰,125,4.2,2026-04-10,5.0,False,63,"육회비빔밥 미나리가 가득하고, 일반적인 비빔밥소스와 다르게 깔끔하고 고소한맛 중심. 그런데도 풍미있음, 간 맞음.",골드 레벨
능동미나리 성수점,끼끼네,282,4.7,2026-04-08,5.0,True,86,능동미나리 정말정말 너무너무 맛있어용!! 육전도 진짜 맛있고 평일에도 웨이팅이 있지만 점심시간보다 조금 빠르게가면 별로 안기다려요~ 주말은 웨이팅 대박임ㅋ,골드 레벨
능동미나리 성수점,ㅇ,32,3.5,2026-04-08,4.0,True,24,웨이팅맛집이라 기대 안 했는데 맛있어서 당황,실버 레벨
능동미나리 성수점,비야옹,5,2.4,2026-04-03,4.0,False,13,비빔밥이 저는 좋았습니다,브론즈 레벨
능동미나리 성수점,난나다,8,1.3,2026-04-01,3.0,True,137,맛집이라길래 질좋은 한우로 만들었다길래 기대하고 갔는데 곰탕은 첫입에 고기 누린내가 살짝 나더군요. 제가 누린내에 예민한데 질좋은 한우라길래 기대를 너무한건가요? 초심을 잃은건지?? 다 외국인이던데 이러면 소문나지 않을까요? 암튼 기대 이하네요.,브론즈 레벨
능동미나리 성수점,난다,1,5,2026-04-01,5.0,False,120,왜 사람들이 줄 서서 기다리는지 이제야 알 것 같음!!🫠✨진짜 기대 이상으로 너무 맛있어서 감동받고 옴! 고기가 진짜 부드러워서 입안에서 순삭... 국물도 깊고 진해서 완전 내 스타일! 다들 한번 와서 먹어보세여 😍,브론즈 레벨
능동미나리 성수점,이재겸,2,5,2026-03-31,5.0,False,59,매장이 넓고 매뉴도 엄청 빨리 나오네요 육전이랑 곰탕 육회비빔밥 시켜먹었는데 맛있었습니다 다음에 또 올게요,브론즈 레벨
능동미나리 성수점,금민섭,1,5,2026-03-31,5.0,False,24,맛있어요 웨이팅줄이 길었는데 빨리 들어갔어요,브론즈 레벨
능동미나리 성수점,성윤,1,5,2026-03-31,5.0,False,57,미나리가 싱싱합니다 직원들도 너무 친절하네요 나중에 가족들 다 데리고 오겠습니다 좋은음식 감사합니다!!,브론즈 레벨
능동미나리 성수점,소소한 탐험가,1,5,2026-03-30,5.0,False,76,여럿이 가서 먹었는데 특히 육회비빔밥이랑 육전이 맛있었습니다..! 다른 유명한 곳들도 가봤는데 이곳이 탑인 것 같네여!! 잘 먹었습니다😋,브론즈 레벨
능동미나리 성수점,김현우,1,5,2026-03-30,5.0,False,209,첫방문이었는데 보기보다 매장이 넚고요 밥먹기 좋은 분위기였습니다 직원분들이 메뉴설명을 잘해주셔서 맛있게 먹었고요 직원분들이 친절해서 기분좋게 먹었습니다 비빔밥을 먹었는데 간장양념이더라고요 간장 비빔밥은 처음 먹어봤는데 제가 알던 비빔밥이 맞나싶을 정도로 맛있었습니다 육회도 굉장히 좋았습니다 웨이팅이 좀 많이 길긴하지만 기다려서 먹고가도 절대 후회없을 정도로 맛있었습니다!!,브론즈 레벨
능동미나리 성수점,꽝꽝나무,6,4.5,2026-03-28,2.0,True,164,"여긴 능동미나리가 아님. 신용산본점이랑 전혀 다른 맛. 본점은 곰탕 고기에서 한우구이 맛이 날 정도로 고소하고 맛있었는데 여긴 그냥 흔하디흔한 곰탕임. 특히 육회비빔밥.....육회 냉동도 덜 풀려서 비벼지지도 않는 거 보고 아주 실망함,, 능동미나리를 정말 좋아하는 1인으로 넘 실망스럽네요..",브론즈 레벨
능동미나리 성수점,정화,2,5,2026-03-18,5.0,False,35,딸이 맛집이라고 데려가 줬어요~ 미나리향이 좋네요. 맛있었어요~,브론즈 레벨
능동미나리 성수점,하늘장미,17,4.3,2026-03-04,5.0,True,19,종류별로 다 시켜 먹었어요~맛있어요,실버 레벨
능동미나리 성수점,랄라,28,3.2,2026-02-27,3.0,True,5,별로였어요,실버 레벨
능동미나리 성수점,jiu,7,2.4,2026-02-27,5.0,False,35,여긴 내 성수 최애맛집 음식이 다 맛있음 줄 길어도 회전율 좋음,브론즈 레벨
능동미나리 성수점,미리,63,4.3,2026-02-25,5.0,True,37,전골 얼큰하게해서 칼국수면 넣어먹으니 극락가네요... 최고입니당👍👍,실버 레벨
능동미나리 성수점,고영이,17,4.2,2026-02-23,3.0,True,107,어느 지점이든 웨이팅 극악이지만.. 또 한번쯤은 먹어볼만한 곳 같아요. 미나리 곰탕은 평범했고 의외로 육회비빔밥이랑 육전 정말 맛있게 먹었어요. 웨이팅만 아니면 종종 생각날 것 같은 집이에요!,실버 레벨
능동미나리 성수점,주응짱,21,4.3,2026-02-21,3.0,False,37,명성과 웨이팅에 비해 ㅠㅡㅠ 다소 아쉬웠습니다. 개인적으로 쏘쏘네용,실버 레벨
능동미나리 성수점,몽구,17,3.6,2026-02-21,2.0,False,144,여의도 지점에서 먹어보고 너무 맛있어서 성수간김에 또 먹었는데.. 지점이 다른건지 제가 간 날에만 그랬는지... 무맛이네요.. 향도없고 약간의 누린내도 나고.. 능동미나리를 성수에서 처음 접해봤다면.. 광고다. 이게 무슨 맛집이냐..욕하고 다닐..뻔.....,실버 레벨
