가게 이름,계정 ID,계정의 리뷰 수,계정의 별점 평균,방문 날짜,별점,리뷰 내 사진 유무,리뷰 글자 수,리뷰 내용,카카오맵 리뷰다는 사람 레벨
보끔당 성수점,라라,39,5,2026-03-15,5.0,True,163,너무 맛있고 직원분께서 친절하셔서 좋았는데 일요일 점심인데도 너무 바쁘시더라고요! 홀에 혼자서 일하시는데 일하시는분 더 충원되야된다고 생각해요 다들 안쓰러워하면서 기다리고 계시더라고요 ㅠ 저희도 너무 배고팠는데 직원분께서 일일이 친절하게 대해주면서 바쁘게 움직이여서 기다렸어요 잘되었으면해요~,실버 레벨
보끔당 성수점,포요요,1,5,2026-02-25,5.0,True,65,묵은지순살 맛있었는데 묵은지가 생각보다 꽤 셔요 ㅜ 일반을 더 추천드립니다 🥰🥰 #보끔당 #보끔당닭볶음탕 #보끔당성수,브론즈 레벨
보끔당 성수점,김주현,1,5,2026-02-17,5.0,True,36,매번 올때마다 직원분들도 너무 친절하시고 닭볶음탕 맛은 말모말모🧡,브론즈 레벨
보끔당 성수점,임승연,4,4,2026-02-17,5.0,False,38,회사근처 닭볶음탕 맛집 ㅎㅎ 집근처에도 생기면 좋겠어요~! 번창하세요,브론즈 레벨
보끔당 성수점,뮨,33,4.2,2026-02-16,5.0,False,84,가끔 생각나면 옵니다 맛있어요 #보끔당 #성수맛집 #성수점심 ----26.01 사장님이 바뀐건지 .. 맛이 변한것 같아요ㅠ 조금 더 달고 짜졌달까 ..,실버 레벨
보끔당 성수점,돼지니,72,3.6,2026-02-09,1.0,False,20,"알바 개많네,, 콩나물국부터 맛 없음",실버 레벨
보끔당 성수점,Damy,4,4.5,2025-12-01,4.0,True,113,"여자 둘이서 기본 1단계+당면사리추가, 공기밥2개 먹었는데 진짜 배부르게 먹었어요! 누구나 입맛에 맞을 적당히 매콤한 닭볶음탕이고 같이 간 외국인 친구도 싹싹 잘 먹었어요 담엔 찜닭류도 도전해보고 싶네요",브론즈 레벨
보끔당 성수점,냠냠,35,4.1,2025-10-09,4.0,True,117,"지도에 저장만 해뒀다 와봤는데 너무 만족이에요! 치즈계란찜도 간이 딱맞고, 닭볶음탕도 1단계로 먹었는데 진짜 깔끔한 매콤함이에요 딱 좋았어요! 마지막에 볶음밥도 최고였어요 #보끔당#보끔당닭볶음탕#볶음요리맛있는집",실버 레벨
보끔당 성수점,H,33,3.8,2025-09-23,3.0,False,24,무난하고 맛있는 닭볶음탕입니다. 좀 달아요.,실버 레벨
보끔당 성수점,봄날,72,2.9,2025-09-01,1.0,False,18,1인 뚝배기 닭볶음탕 많이 맛없음,실버 레벨
보끔당 성수점,Nature,12,4.7,2025-08-22,5.0,True,141,"사장님 센스 최고👍🏻 친절함을 넘어서 진정성있는 장사 해주셔서 감사해요:) 테이블이랑 화로 주변도 엄청 깨끗하고, 그냥 가보시면 여기가 왜 장사가 잘 되는지 아실거예요! 장사하실 분들 여기 필수 코습니다🤗직원분들도 너무 좋으시고 진짜 맛도 너무 좋아요!",실버 레벨
보끔당 성수점,^^,7,3.9,2025-08-16,5.0,False,148,몇 달 전에 친구랑 같이 왔던 집인데 오랜만에 성수동 왔는데 생각나서 또 온 집입니다 간장찜닭 먹었어요! 자리마다 주문 키오스크 있어서 이것저것 고르기 편하고 배달이랑 홀 둘다하는데 둘 다 찾는 사람들이 많아요 위생 맛 접근성 둘다 괜찮은 것 같습니다 밥도 많이줘용,브론즈 레벨
보끔당 성수점,퉁그리,406,3.9,2025-07-30,5.0,False,20,말해뭐해 접근성 대비 만족도 GOAT,골드 레벨
보끔당 성수점,뀽,3,5,2025-07-07,5.0,False,44,너무너무 맛있어서 흡입 했습니다 ㅎㅎㅎ 가게도 너무 깨끗하고 사장님도 친절하네용,브론즈 레벨
보끔당 성수점,칀윈루,16,3.6,2025-06-18,3.0,False,55,맛있는데 달아서 당뇨 걸릴 것 같다 김치도 달다 그치만 근처에 1인 닭볶음탕 파는 곳 유일하므로..,실버 레벨
보끔당 성수점,ㅂㄱㅍ,37,4.9,2025-06-17,5.0,False,27,친절하고 맛있음 닭발튀김도 존맛 그러나 양이 작다,실버 레벨
보끔당 성수점,ㅎㅎ,341,5,2025-05-05,5.0,False,2,맛남,실버 레벨
보끔당 성수점,쩝쩝박사,126,3.3,2025-04-29,3.0,False,47,친절하고 무난무난하게 맛있어요. 2명이서 배부르게 먹을만한 양입니다. 우동사리 추천👍,골드 레벨
보끔당 성수점,오뉴에몽,10,4.8,2025-04-17,5.0,True,38,웨이팅 없는 성수맛집 귀하다 귀해 ••• 대창보끔 추천합니다 ~~👍👍,실버 레벨
보끔당 성수점,김,2,3,2025-04-13,5.0,True,43,미리 안찍었어서 ... 사진이 ... 항상 매우 맛있게 먹고 있음! 단골집임!,브론즈 레벨
보끔당 성수점,가물치 산티아고,56,3.6,2025-03-15,1.0,False,64,닭도리탕에 닭은 반줌이고 야채뿐 국물은 맵고짜고달고 조리료맛뿐 직원들이 친절하지만 그 뿐 후기는 온통 알바 평점 뿐,실버 레벨
보끔당 성수점,젓가락숭찰대,7,4.4,2025-03-14,5.0,True,79,직원분들 진짜 너무 친절하세요 매장은 당연히 너무 깨끗하고 진짜 와보고 싶었거든요… 맛도 말해뭐해 맛있고 다음에 저 또 올거에요. 번창하세요!,실버 레벨
보끔당 성수점,꺄앙,2,5,2025-03-11,5.0,True,28,양도 많고 너무 맛있어요... 닭다리살도 부드러움💞,브론즈 레벨
보끔당 성수점,Bbb,81,2.9,2025-01-22,5.0,False,19,솔직히 5번가봄. 갈때마다 맛있음.,실버 레벨
보끔당 성수점,김지원,1,5,2025-01-20,5.0,True,6,맛있어요 👀,브론즈 레벨
보끔당 성수점,kkkk2,8,5,2025-01-18,5.0,False,68,너무너무너무너무 맛있는 닭볶음탕을 먹었다! 사장님도 친절하시고 음식이 정갈하고 정성이 느껴져요 역시 믿먹 카맵 4.9점..,브론즈 레벨
