가게 이름,계정 ID,계정의 리뷰 수,계정의 별점 평균,방문 날짜,별점,리뷰 내 사진 유무,리뷰 글자 수,리뷰 내용,카카오맵 리뷰다는 사람 레벨
뼈탄집 성수역점,SM,2,5,2026-05-06,5.0,True,111,고기도 정말 맛있고 직접 다 구워주셔서 정말 맛있게 잘 먹었어요! 유명하다고 해서 찾아와봤는데 고기의 품질이 진짜 달랐어요. 계탄밥 진짜 엄청 맛있어서 다음 날에 생각 날 정도에요! 또 방문할게요!!,브론즈 레벨
뼈탄집 성수역점,용쨩,1,5,2026-04-30,5.0,True,14,졸라맛잇다!!!!!😎👍👍👍,브론즈 레벨
뼈탄집 성수역점,김도이,3,5,2026-04-28,5.0,True,103,고기도 너무 맛있고 밑반찬도 맛있고 냉면 된장찌개까지 안맛있는게 없는 뼈탄집 ㅠㅠ! 너무 맛있게 잘먹었습니다! 성수역이랑도 가깝고 직원분들도 너무 친절하셔서 너무 좋았습니다 완전 추천!,브론즈 레벨
뼈탄집 성수역점,이유진,1,5,2026-04-27,5.0,True,166,"저번에 방문하고 좋아서 또 방문했어요! ❤️ 고기가 진짜 맛있고 직원분께서 구워주셔서 편하게 먹을 수 있었어요 😊 상차림도 잘 나오고 전체적으로 메뉴 하나하나 다 만족스러웠어요 💛 찌개도 진하고 깊은 맛이라 좋았고, 볶음밥까지 맛있어서 마무리까지 완벽했어요 💕 다음에도 또 재방문할 예정입니다! 💖",브론즈 레벨
뼈탄집 성수역점,ㅇㅈㅇㅌ,1,5,2026-04-27,5.0,True,55,지인에게 추천받아 방문했는데 고기도 밑반찬도 너무 맛있었고 고기도 다 구워주셔서 대화하기 좋았어요👍,브론즈 레벨
뼈탄집 성수역점,아차산역,42,4.1,2026-04-27,5.0,True,2,☺️,실버 레벨
뼈탄집 성수역점,함지수,1,5,2026-04-26,5.0,True,381,"주말 이른 저녁에 아이와 함께 방문한 뼈탄집 성수역점. 이른 시간이라 그런지 웨이팅 없이 비교적 여유롭게 들어갈 수 있었고, 매장도 전반적으로 깔끔한 느낌이었습니다. 아이와 함께 방문하다 보니 좌석 간격이나 분위기를 조금 보게 되는데, 크게 불편함 없이 식사하기 괜찮았어요. 직원분들도 요청드리는 부분에 빠르게 응대해주셔서 전반적으로 편안하게 식사할 수 있었습니다. 대표 메뉴인 뼈구이는 양념이 과하지 않고 적당히 자극적인 편이라 밥이랑 같이 먹기 좋았고, 고기도 잘 발라져서 먹기 편했어요. 아이랑 같이 먹기에도 크게 부담 없는 맛이었습니다. 주말 저녁 시간대에 가족 단위로 방문하기에도 무난한 곳이라, 성수 근처에서 식사할 곳 찾는 분들께 한 번쯤 가볼 만한 곳으로 생각됩니다.",브론즈 레벨
뼈탄집 성수역점,현재원,1,5,2026-04-25,5.0,False,6,넘 마싯어용,브론즈 레벨
뼈탄집 성수역점,Helene,4,5,2026-04-25,5.0,True,73,와 고기맛 미쳤어요 찐 고기 맛집 인정 고기는 하나부터 열까지 야채까지 다 구워줘서 편하게 먹었어요 삼겹살 안먹는데 이집서 먹었네요,브론즈 레벨
뼈탄집 성수역점,키르아,2,5,2026-04-25,5.0,True,26,단체모임 가족모임으로 좋은 고기집 너무 맛있어요,브론즈 레벨
