가게 이름,계정 ID,계정의 리뷰 수,계정의 별점 평균,방문 날짜,별점,리뷰 내 사진 유무,리뷰 글자 수,리뷰 내용,카카오맵 리뷰다는 사람 레벨
소문난성수감자탕,기록,7,3,2026-04-27,2.0,False,6,밍밍한 느낌,브론즈 레벨
소문난성수감자탕,맛없는 곳은 가차 없이 비밀의 방으로,246,3.7,2026-04-23,3.0,False,47,웨이팅 할 정도 까진 아니고 그냥 지나가다 줄 없으면 먹을만 한 곳. 수제비사리 필수,골드 레벨
소문난성수감자탕,1,1,1,2026-04-21,1.0,True,51,"별관 절대 가지 말것 손님하고 기 싸움 열심히 하시고, 맛도 그냥 동네 감자탕집 수준....",브론즈 레벨
소문난성수감자탕,먹돼지,84,4.3,2026-04-20,2.0,False,72,왜지....뼈가 갯수는 많은데 자잘하고 살코기가 많지 않음 국물도 평범하고 부재료가 많이 들어간 것도 아니고 친절하지도 않고 ㅠㅠ,실버 레벨
소문난성수감자탕,ㅇㅅㅇ,31,4.2,2026-04-19,1.0,False,46,종업원이 매우 매우 불친절 하고 까칠해서 기분 좋게 놀러나와서 갔다가 기분잡칠수있음,실버 레벨
소문난성수감자탕,듀,3,4.7,2026-04-15,4.0,True,132,평일 저녁에 웨이팅 없이 들어가서 먹으면 별 5개 웨이팅 3시간이상? 별 3개입니다 ㅎㅎ 맛이 없진 않지만 호불호 갈릴.. 저는 깔끔한 국물에 야들한 살코기 넘 맛있었습니다 다만 씨끄러워서 정신이 없을뿐! 친절하셔서 별 4개 드립니당!!,브론즈 레벨
소문난성수감자탕,터진귤,34,2.3,2026-04-08,1.0,False,168,종업원이 입에 욕을 달고 사는듯...너어어무 기분이 나빠서 이제는 못가겠음...이제는 동네 맛집도 아니고 맛도 없어짐....너무 눈치보게하고 안간다고 욕하고 빨리 따라오라고 욕하고 느리다고 욕하고 사람 밀고....정말 여기는 종업원교육울 시켜야할듯....이게 기분나쁨을 넘어서 서러울정도로 욕을함...,실버 레벨
소문난성수감자탕,브이,27,3.6,2026-04-07,4.0,True,100,"감자국 일반 12,000원 양이 진짜 많아요. 살코기를 꼼꼼히 안 발라 먹어도 배부를 정도의 양이라 좋았어요. 아, 근데 일반 뚝배기에는 우거지 안 들어가는 것 같으니 참고하세요!",실버 레벨
소문난성수감자탕,쩝쩝박사,13,3.5,2026-04-07,1.0,True,435,아..인별에서 맛집이러고 떳길래 감자탕 땡겨서 갔는데 웨이팅 20~30분 정도 후에 들어감 감칠맛나고 깊은 국물맛 X 뼈에 붙은 살이 정말 질기게 안뜯김 고기가 식으면 누린내가 나는데 행주 안삶은 것 같은 냄새.. 물컵도 물비린내인지 쇠냄새인지 물컵이 오래되서 나는 듯한 느낌 중국인 & 외국인 무진장 많음(중국인이 앉으면서 가방으로 밥먹는 날 밀어버림 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ) 벨 4-5번 눌러도 직원들끼리 서로 쳐다보면서 미루면서 안오니까 부르려면 그냥 직접 부르는 게 나음 청양고추 달라고 해서 먹었는데 안매움 감자탕 소자 시켰는데 뼈다귀 양 많은 건 인정 근데 감자가 단 한개만 있음ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 배고픔에 지쳐서 먹으면 쏘쏘하다고 느낄 수 있으나 여길 진짜 맛집으로 생각하고 찾아갈 예정이라면 후기에 있는 글들을 꼼꼼히 읽어보면 도움이 될 것 같음..,실버 레벨
소문난성수감자탕,마포걷달,708,3.4,2026-04-05,4.0,True,708,"팩트체크 “ 성수에서 보장된 감자탕 맛집을 찾는다면 ” 꽤나 유명한 곳입니다. 창업 시점부터 계산해 보니 대략 50년 가까이 운영해 오셨네요. 당연히 2세 경영을 넘어 3세까지도 충분히 갈 수 있는 입지와 브랜드를 가지고 있습니다. 통상 11:30분을 넘기면 최소 1시까지는 점심 시간대 대기줄을 탈 수 있습니다. 저희는 11:17분에 입성했는데 별관으로 안내받았고, 이후 10여 분 정도 지나니 자리가 꽉 차서 먹고 나갈 때까지 빈자리는 보이지 않네요. 확실히 사람들이 많이 오는 집입니다. 감자탕 맛은 다소 달착지근합니다. 나쁘지 않은 당의 효과입니다. 고기의 품질은 나쁘지 않았으며 특히 함께 나오는 찍어 먹는 소스는 제 기준 최고였습니다. 확실히 맛에 있어서는 오래된 만큼 보장된 맛입니다. 리뷰에 부정적으로 나오는 위생과 서비스 품질은 준수한 편입니다. 워낙 사람들이 들고 나서느라 서빙 보시는 이모님들이 매우 분주합니다. 손님이 나가면 치우고 채우고가 반복되는데, 이 정도 인기를 감안하면 약간의 불친절과 비위생은 감수할 수 있는 수준입니다. 역하거나 하지는 않습니다. 가격대는 보통 이상으로, 저렴한 곳보다는 약 15% 높은 수준을 보입니다. 성수에 동네 마실 나오듯 가볍게 들러 감자탕을 먹는 곳은 아니니, 자주 오기보다는 오랜만에 나와 먹는 식사라면 감당할 수준입니다. 조금만 부지런하면 꽤나 괜찮은 감자탕을 좋은 자리에서 맛볼 수 있습니다. - 끝",퍼플 레벨
