가게 이름,계정 ID,계정의 리뷰 수,계정의 별점 평균,방문 날짜,별점,리뷰 내 사진 유무,리뷰 글자 수,리뷰 내용,카카오맵 리뷰다는 사람 레벨
할머니의레시피,로즈마리,1,1,2026-04-17,1.0,False,368,첫방문. 주인같아 보이는 40대 남자 직원이 두명 좌석을 권해줬으나 좁아서 넓은 자리로 앉겠다고 했더니 다른 사람들도 다 그렇게 앉는다고 자기네는 10년 넘게 그렇게 해왔다고 하길래 그건좀 개선해야 할것같다고 했더니 그 방침은 바꿀 생각이 없다며 자기 기분 나쁘다고 주문도 안받음. 어이가 없었지만 기왕에 검색해서 멀리에서 찾아온 것이니 식사나 하고 가려고 알바에게 주문 했는데 주인같이 보이는 그 남자분이 다시와서 다른 식당으로 가라고 쫓아냈음. 세상 살다살다 이런 식당은 처음가봄. 내 인생 최악의 식당. 처음간 성수동의 이미지까지 나쁘게 버려놓는 식당임. 식사도 못하고 쫓겨나서 음식이 얼마나 맛있는지 모르겠으나 장사 이전에 서비스의 기본부터 갖추시길!,브론즈 레벨
할머니의레시피,토실맘,1,1,2026-04-13,1.0,False,149,"어른 2명, 아기 3명 오픈 시간에 맞춰 입장했으나 어른 수에 비해 아동 수가 많다고 입장거절 당함 매우 당황스럽고 사전에 고지되어 있지 않은 내용이라 화가 났고 사장의 불친절한 태도에 더 기분이 나쁜 식당이였음 음식 맛도 못봤지만 다시는 가고 싶지않은 배려없는 식당",브론즈 레벨
할머니의레시피,ms,2,3,2026-04-01,1.0,False,163,떡갈비 1조각(9천원) 추가 주문할때도 1조각 맞냐고 4조각 2조각도 있다고 몇번을 큰소리로 말해 민망했음. 결국 2조각 나옴. 주문이 잘 못들어갔나 하고 그냥 먹고 있었더니 왜 잘못 나왔는데 얘기를 안했냐고 화내듯 말함. 2조각 비용 결제할때도 미안하다는 말한마디 없음. 재방문 의사 없음.,브론즈 레벨
할머니의레시피,맛있는 거 조아 인간,80,3.8,2026-03-31,2.0,True,27,맛도 없는데 서비스도 안좋고 웨이팅도 해야하는 곳,골드 레벨
할머니의레시피,Newsun,927,3.3,2026-03-29,2.0,True,59,"직원들, 대기 장소 등 서비스는 좋지만 음식은 공장형으로 돌아가는듯한 느낌,, 주문하자마자 거의 바로 나옴",퍼플 레벨
할머니의레시피,좋은 날,212,4.5,2026-03-24,4.0,True,144,오전 11:00 오픈입니다. 나무쟁반에 1인분 씩 정갈한 상차림입니다. 서울숲 가던 길에 있어 식사하고 출발하기에 딱입니다. 집밥 같은 맛이고 양은 조금 씩입니다. 수제 도자기 그릇들이 예뻐서 더 맛있게 느껴졌습니다. 주차는 전혀 안되는 골목 끝 집 입니다.,블루 레벨
할머니의레시피,Kho,143,5,2026-03-22,5.0,True,60,정성스런 한식! 정말 할머니가 해주신 음식처럼 간이 강하지 않아서 아이와 함께 맛있는 한 끼 해결했습니다❤️,골드 레벨
할머니의레시피,로구꺼이양고 - 초정밀리뷰,93,3.1,2026-02-28,4.0,False,14,3.7점 정갈한 한식 한상,실버 레벨
할머니의레시피,박지원,4,2,2026-02-22,1.0,False,137,창가자리 앉고싶어서 일부러 5시 오픈 하자마자 달려 갔는데 2인은 안된다고 구석 안쪽에 앉게 하셨습니다. 한참 뒤에 온 2인은 창가자리 앉게 해주시더라고요? 여기 가게 좋아해서 자주왔는데 창가 못앉게 한건 처음이였어요. 마음 상해서 이제 안갑니다,브론즈 레벨
할머니의레시피,ㅇㅇ,29,3.2,2026-01-17,3.0,False,16,맛은 있는데 가격이 넘 비싸요,실버 레벨
할머니의레시피,lottVEBR,5,5,2026-01-15,5.0,True,106,Don’t miss out on this place! Amazing food with amazing staff that will help you by explaining everything.,브론즈 레벨
할머니의레시피,이수민,60,3.5,2026-01-02,5.0,True,95,아이랑 방문했는데 자리도 넓은데 주시고 호박죽도 하나 더 주시고 덕분에 편하게 맛있게 먹었습니다. 제육은 쌈도 엄청 많이주시고 젓갈에 밑반찬까지 좋았어요 생선구이도 ㅅㅌㅊ,실버 레벨
할머니의레시피,ㄱ,21,3.4,2025-12-21,3.0,False,19,그냥 적당한 한끼. 웨이팅은 안할듯,실버 레벨
할머니의레시피,mazefind,43,4.1,2025-12-05,4.0,True,24,가성비가 살짝 안좋은거 같지만 맛이 괜찮았음,실버 레벨
할머니의레시피,Yixuannn,11,4.2,2025-11-18,4.0,True,270,"Your english review here. We arrived 5 min before their opening hours and were quickly seated when they opened. Their bibimbap is great. But the teokgalbi fell flat, it was rather dry. The food are lightly seasoned so you can really appreciate the ingredients they used.",실버 레벨
할머니의레시피,맛없으면짖는멍멍이,24,4.2,2025-11-16,1.0,False,244,웨이팅 할 가치가 없어요.. 자리에 앉았거니 의자에 음식물 묻은거 안치워서 바지에 묻었구요 사람들이 가성비가성비하는데 양이 정말 콩알같아요.. 남자 사장님과 직원들도 불친절...사장이 불친절한건 또 신박하네요..사장이 아닌건지... 외국인들이 많던데 너무 짠했어요 왜 멀리 여행와서 굳이 여길 왔을까.. ㅠㅠ 맛도 너무나 평범.. 이하.. 차라리 우리 직장 구내식당이 더 맛있는데.. 웨이팅해서 갔는데 시간이 너무 아까워서 눈물흘렸습니다,실버 레벨
할머니의레시피,코코솜,6,5,2025-11-02,5.0,True,93,"쌈밥정식 먹었습니다! 웨이팅이 좀 있긴 했지만 금방 빠져서 괜찮았어요. 직원분들 친절하시고, 음식도 양 많고 든든하니 기분 좋게 먹고 나왔습니다! 또 방문하고 싶어요!",브론즈 레벨
할머니의레시피,곰곰,30,4.1,2025-11-01,5.0,True,124,"서울숲에서 이 가격에 정갈한 한정식 먹을 수 있어요 집밥입니다 그냥. 밥이 진짜 진짜 맛있음. 반찬도 다 깔끔하고 채소까지 신선해요!! 외국인 손님들이 대부분인데, 부모님 모시고 와도 될 듯. 어르신 손님들도 꽤 있었어요.",실버 레벨
할머니의레시피,전진부대,2,2.5,2025-10-24,1.0,False,38,손님을 하대하는 말투..그냥 참고 음식을 먹었는데..기분 최악으로..,브론즈 레벨
할머니의레시피,맛집평가단,143,4.4,2025-10-18,5.0,True,93,"오 정말 한국음식을 정갈하게 트렌디하게 잘 구성한것 같고, 특히나 외국인들이 정말 많이 오던데~~~ 우리나라 케이푸드의 자존심을 지켜주시기 바랍니다~~ 화이팅~~~!!",골드 레벨
할머니의레시피,애용,15,4.9,2025-10-15,3.0,False,30,그냥 저냥 맛잇긴 한데 웨이팅까진? 굳이? 싶기도…….,실버 레벨
할머니의레시피,JVKE,371,3.3,2025-10-12,3.0,True,173,"숨뼈국, 비빔밥불고기정식, 한우떡갈비정식 먹었는데 숨뼈국은 그냥저냥인데 반찬인 가자미는 구워놨다 다시 데운 것처럼 바짝 말라서 최악이었고 비빔밥불고기는 예상한 그맛으로 괜찮았으며 떡갈비도 보통인데 소고기라 그런가 약간 뻑뻑한 느낌. 전체적으로 약간 가격이 있는 편이지만 장소를 생각하면 이해할 수 있는 수준임.",골드 레벨
할머니의레시피,🧍🏻‍♀️🪁,262,4.8,2025-10-11,5.0,True,63,존맛탱 한식러버로써 인정드립니다 성수에 왜 웨이팅 생기는지 이해안가는 식당이 한가득인데 여기는 기다릴 가치가잇어요,골드 레벨
할머니의레시피,.,47,3.7,2025-10-11,1.0,False,108,너무 불친절한 경험을 겪었습니다. 인원 한명이 안 와서 입장을 못하게 해줘서 젊은 남직원에게 속상하다했더니 그럼 오지 말라고 예의없이 말하네요. 이런 곳은 음식이 아무리 맛나도 절대 안 옵니다.,실버 레벨
할머니의레시피,sulsulsultv,475,3.3,2025-10-06,3.0,True,109,예쁘게 나온다 . 정성이 느껴진다 . 친절하다. 비빔밥은 순두부에 간장만 조금이라 싱겁다 . 불고기는 미리해둔거 대충 데워 주는지 미지근하고 뻣뻣하다 . 분위기로 가는집 . 맛은 근처 지하가 좋다,골드 레벨
할머니의레시피,개구리,1,5,2025-09-24,5.0,True,35,사장님 친절하시기만 하구먼 생선 특별히 맛나니까 사나이라면 강추,브론즈 레벨
할머니의레시피,EH,1,1,2025-09-14,1.0,False,150,숨뼈국과 쌈밥 정식을 먹었는데 같이 나온 가자미가 너어어무 딱딱해서 못 먹었습니다. 전날 만든 음식을 내온 느낌이었어요. 제육도 껍데기에 돼지털 엄청 길게 박혀 있고 맛도 너무 없었어요. 양파도 너무 크게 들어 있었어요. 웨이팅이 왜이렇게 많은지 전혀 이해가 안가네요.,브론즈 레벨
할머니의레시피,봄날,72,2.9,2025-09-09,5.0,False,47,"맛은 무난한 정도인데 찬의 종류와 구성, 가격을 보면 가성비 대박! 그냥 맛집이라 침",실버 레벨
할머니의레시피,⠀,29,3.5,2025-09-07,5.0,True,247,"성수에 집밥 느낌의 식당이 있다고해서 다녀와봤는데 생각보다 가격도 괜찮고 종류도 다양해서 꽤 만족했고, 점심 지나서(2시쯤?) 먹으러 갔는데 그때 웨이팅 10분정도 하다 이름이 호출되어 입장-! 먼가 에어콘이나 구조(?)같은걸 봤을때 외국인이 지은 집이거나, 암튼 우리나라 사람이 지은 구조같지 않았고, 조금 외국식 현대저택안에 한식당 차려놓은 느낌같았음 같이나오는 국, 호박죽, 젓갈, 밑반찬도 이 가격이면 꽤 만족스러운 식사였다고 생각함.",골드 레벨
할머니의레시피,GrOL,51,3.9,2025-09-05,4.0,True,61,음식 잘 나오고 여자 직원분은 친절함 (다른 리뷰처럼 남자 사장은 불친절). 테이블 간격이 너무 좁아 정신없음,실버 레벨
할머니의레시피,흐음,13,2.6,2025-08-26,3.0,False,12,맛은 잇는데 비쌈 ㅠㅠ,실버 레벨
할머니의레시피,HR,207,4.4,2025-08-08,2.0,False,97,"서울숲 바로 옆에 있어 위치도 좋고 분위기, 음식도 괜찮음 하지만 직원의 손님 험담은 …… 심지어 매니저? 사장? 같아 보이는 사람의 주도하의……나는 듣고도 내 귀를 의심했음",골드 레벨
할머니의레시피,먹보의하루,4,4,2025-08-07,1.0,False,159,여자 혼자 가면 손님으로 안받고싶은가봐요. 자리부터 구석진 자리 앉히더니 아무리 기다려도 주문받으러 안오던데요. 계속 주문한다 소리쳐도 이쪽으로 쳐다를 안보고 개무시.. 다른 테이블 손님이 저분이 먼저 왔다고 알려줘서 그제서야 주문받으러 옴. 너무 안좋은 기억때문에 다신 안가고싶네요.,브론즈 레벨
할머니의레시피,맛집알려주께(팔로우하고맛있게드세요),14,3.7,2025-07-13,4.0,True,150,몇 달 전 주말 점심때 방문했어요. 타이밍 좋게 웨이팅 없었는데 제가 들어온 이후로 웨이팅 하시는 분들 조금 계셨어요. 직원들이 바빠서 조금 쌀쌀맞다고 느낄 수도 있지만 친절하시고 음식은 10분 이상 걸려서 나왔어요. 건강한 맛이에요. 간이 세지않고 맛있게 만들었어요.,실버 레벨
할머니의레시피,비밀,11,2.6,2025-05-29,4.0,True,35,정갈하고 맛있네용 웨이팅 좀 있고 쌈밥정식은 돈갖ㅅ하는거 같아요,실버 레벨
할머니의레시피,뉴뉴,8,4,2025-05-04,5.0,False,31,내가 좋아하는 한식집!! 웨이팅 있으니 일찍 가는거 추천,브론즈 레벨
할머니의레시피,quiet,15,3.6,2025-04-23,1.0,False,77,대기후 지하 대기실이 또있는데 고지도 안해주고 주인이 엄청 불친절해요 어르신들에게도 화내고 최악인 집입니다 맛도 평범해요 다른맛집을 가세요,실버 레벨
할머니의레시피,신프란,8,2.1,2025-04-23,1.0,False,111,웨이팅 길고 자리 안내하는 넘은 정말 싸가지없고 모욕 수준이다 별 하나도 아깝다. 이런 자세로 장사하는거 욕이 나온다. 모욕 당하고 싶고 하루 기분 잡치고 싶으신 분들만 가세요. 다른 맛집도 많아요.,실버 레벨
할머니의레시피,흠,133,3.9,2025-04-15,4.0,True,138,"평일 저녁에 방문하여 웨이팅 없이 들어갔고 일단 쌈밥은 개맛도리… 하지만 떡갈비는 유명한 거에 비해 너무 수분감도 없고 퍽퍽해서 아쉬웠습니다. 된장국도 맛있고 반찬들도 넉넉히 나와, 깔끔하고 정갈한 느낌. 외국분들이 많으시고 좋아하실 거 같음 굿굿",골드 레벨
할머니의레시피,Stem cell,15,3.9,2025-03-30,1.0,False,73,아직도 이런 불친절한 매너로 식당을 하는 사람이 있다는 것이 놀라울 따름이다 점장인지 사장인지 40대로 보이는 남자 정말 불친절하다,브론즈 레벨
할머니의레시피,Jun3am,2,3,2025-03-28,1.0,False,303,방문시기는 작년 9월말쯤.. 사장같은 남자?분 되게 불친절했던거로 기억. 좁디좁은 2인석에 쟁반한가득 식사내놓아서 너무 좁으니 방금 자리 난 4인석 앉겠다했는데 다른 2인팀들 4인석에 떡하니 잘 앉혀놓고 그건 안된다해서 어이가없었음. 결국 다시한번 요청하니 똥씹은 표정으로 그렇게 하면 다른분들도 다 바꿔줘야해서 안된다고 꼽주다 선심쓰듯 바꿔주고.. 아니 그러면 테이블 수 채우려고 아득바득 작은 테이블 두지말고 넉넉히 큰 테이블을 놨어야지 왜 그런 말도안되는 원칙을 정해놓고 손님보고 강요를하는지? 돈욕심 버리고 손님을 위한 식당을 만드세요,브론즈 레벨
할머니의레시피,yoe,1,1,2025-03-23,1.0,False,128,나이가 좀 들어 보이는 직원인지 점장인지 알 수 없는 남자분이 아주 불친절함..음식도 맛이 없고 한국 음식을 잘모르는 외국인들이 와서 경험삼아 먹을 만한 식당으로 보인다 우리나라 맛을 잘아는 한국 사람들은 절대 가지 않을 식당이다,브론즈 레벨
할머니의레시피,뜨끈이,47,4.4,2025-01-30,4.0,False,32,정성이 느껴지고 맛있음 정갈하다 다만 줄이 좀 많이 길었다,실버 레벨
할머니의레시피,노루,125,4.7,2025-01-22,5.0,False,15,외국인들도 좋아할 거 같아요,골드 레벨
할머니의레시피,파란하늘,3,4.3,2025-01-12,3.0,False,77,"분위기도 고즈넉하고 직원들도 친절합니다 다만, 음식 양이 작습니다ㅋ.. 맛은 있음. 다만, 양이 작음... 할머니는 이렇게 손이 작지 않음",브론즈 레벨
