식당 이름,계정 ID,계정의 리뷰 수,방문 날짜,방문 횟수,인증 수단,리뷰 내용,리뷰 글자 수,리뷰 내 사진 유무
옥동식,눈먼지,54,2026.04.09,2번째 방문,영수증,캐치 테이블 앱으로 웨이팅 신청. 2시간 반 걸린 후 입장. 맛은 좋음. 재방문 의사 있음,50,True
옥동식,오늘가냐,177,2026.04.08,1번째 방문,예약,돼지곰탕 처음 먹어봤네요. 고기양 많고 맛있어요. 김치만두 아는 그맛이에요. 소주 막걸리 맥주 다 먹었는데 맥주는 좀 쿰쿰하고 별로에요. 가펠맥주 맛이 원래 그런건지..?,95,True
옥동식,니니이모82,821,2026.04.01,4번째 방문,영수증,일정 있을때마다 오니 6개월만인데 웨이팅이 또 다르군요 흑백요리사 때문인가요? 지난번에는 11시 1분에 등록하고도 두번째 텀에 들어갔었는데 다행이도? 일정이 너무 일찍 끝나서 수요일 10시 6분 등록하니 3번째 였고 11시 입장했는데 캐치테이블 우선입장 예약한 분이 있어서 4번은 첫타임에 못들어 오셨어요 대기하다보니 10시 40분쯤 되니 대기 번호 30번 정도 되서 놀랐어요 평소처럼 11시 왔으면 그냥 돌아갔을것 같아요 보통 한텀이 30분 정도 걸리는데 국밥 양이 많은데도 이번에 같이 드신 분들은 어찌나 속도가 빠르던지 마지막 오분은 체할 것 같았지만 오늘도 맛있게 잘먹었습니다. 오늘은 포장까지 해서 기분 좋게 돌아갑니다.,352,True
옥동식,녀니녀니,819,2026.03.31,1번째 방문,영수증,"국물이 깔끔하고, 맛있고,. 소주잔 짠 하는 소리가 너무 좋아요...",38,True
옥동식,모르는 개 산책25,123,2026.03.29,2번째 방문,영수증,"지난번에 먹고 눈이 뻔쩍 떠진 돼지곰탕 일요일 저녁은 옥동식으로~ 외국인들에게도 인기가 점점 많아져서 앞으로 예약이 더 어려워지지 않을까... 당분간은 최대한 자주 가리라 ㅎㅎ 국물 첫 술이 약간 짰는데 아래에 깔려있는 밥과 섞으니 바로 괜찮아졌어요 지난번에는 순수한 돼지곰탕 맛을 느끼고 싶어서 김치는 안먹었는데 이번에는 한번은 고추지, 한번은 김치랑 번갈아 먹으니 이 또한 맛있네요 4월에는 일주일에 한번씩 갈거에요~^^",237,True
옥동식,Abc123459999,756,2026.03.28,1번째 방문,영수증,맛있기는 한데 4시간 이상 기다려서 먹을 건 아니라고 봄. 그냥 포장하세요 여러분. 저는 오픈 40분 전(오전 10시 20분쯤)에 왔는데 오후 3시 넘어서 먹었습니다...(-ω-｡),101,True
옥동식,58863,127,2026.03.27,1번째 방문,예약,돼지곰탕 특,6,True
옥동식,haj****,169,2026.03.24,1번째 방문,영수증,포장도 너무 맛있네요!,12,True
옥동식,Hh89216,502,2026.03.23,1번째 방문,영수증,,0,True
옥동식,posey666,728,2026.03.20,1번째 방문,영수증,맑은 국물 한수저 입에 떠 넣는 순간 오롯이 국밥을 먹는데만 집중하게 되는 맛으로 맑은 육수와 밥 한술 함께 떠서 4개월 숙성시킨 국산배추 김치를 곁들여 한 입 고기 한점 집어 수저에 올리고 고추지 톡 올려 홀린듯 먹다보면 어느새 한 그릇 깨끗이 비워져있다. 웨이팅 경쟁은 극악이지만 그만한 가치가 있는곳.,171,True
