식당 이름,계정 ID,계정의 리뷰 수,방문 날짜,방문 횟수,인증 수단,리뷰 내용,리뷰 글자 수,리뷰 내 사진 유무
원조 조박집 본관,벤자맛티락,175,2026.04.13,1번째 방문,영수증,,0,True
원조 조박집 본관,emj****,21,2026.04.08,1번째 방문,영수증,양념 맛이 강하지 않고 고기 질도 좋은 편입니다. 된장찌개가 아니라 국이지만 천원이라 좋습니다. 식후 주시는 식혜가 찐 맛도리입니다.,74,True
원조 조박집 본관,yeoppii,771,2026.03.28,1번째 방문,영수증,"돼지갈비, 된장찌개 주문. 돼지갈비 질도 좋고, 양념도 맛있었어요. 동치미 국수 조금씩 먹을수 있게 나오는데 시원하고 좋았어요. 된장찌개는 슴슴한데 시래기 많이 들어가서 담백하고 좋았습니다. 같이 나온 깍두기도 상당히 맛있네요. 공간도 넓어서 나름 쾌적했습니다. 직원분들도 친절하시네요 즐거운 점심 먹고 갑니다.",174,True
원조 조박집 본관,apo****,1543,2026.03.26,1번째 방문,영수증,특별한 돼지고기 맛이 였습니다 변하지 않는 25년 단골손님의 소개로 갔는데 예전 그맛 그대로라 하네요 반찬도 맛깔 스럽고 직접만드신 식혜한잔에 만족값 100배 였습니다,93,True
원조 조박집 본관,abcdefghl,7,2026.03.20,1번째 방문,예약,부일숯불갈비가 훨씬 친절하고 구성도 좋고 맛도 좋아요 비교가 안되는데 왜 같이 3대 돼지갈비로 묶이는지 모르겠어요 맛도 애매했는데 너무 불친절했어요 옆에 중년 테이블에는 친절하시던데 😂,103,True
원조 조박집 본관,rjs****,1566,2026.03.20,8번째 방문,영수증,굿,1,False
원조 조박집 본관,샴비,2322,2026.03.07,1번째 방문,영수증,"ᴍ ᴇ ɴ ᴜ 생갈비(23000/인분) + 돼지갈비(20000/인분) + 공기밥(1000) + 된장찌개(1000) // 생갈비는 넙데데한 불판에 굽고 돼지갈비는 창살 불판에 구워요!!! 저는 달달하게 양념된 돼지갈비가 쌈야채랑 쌀밥이랑 너무 잘 어울려서 좋았는데, 어머니랑 아버지는 생갈비가 더 맛있었다구 하시네요 ㅎㅎ 고기가 두툼하게 나와서 더 맛있는 것 같아요!! 식전에 주시는 동치미국수로 입맛 끌어올려주고 먹으니 너무 맛있습니다~~ 식후에 나오는 식혜도 너무너무 맛있어요!!",269,True
원조 조박집 본관,점박이스누피,1577,2026.02.27,1번째 방문,영수증,돼지갈비가 달지않아서 물리지않고 맛있어요. 맛보기 동치미국수도 개운하고 된장찌개가 너무 맛있어요. 밑반찬으로 나오는 김치도 고기랑 잘 어울려요. 저녁에 가면 대기가 많긴하지만 자리가 금방 빠져서 오래 기다리지않았어요. 손님이 많지만 직원분들이 불판도 자주 갈아주시고 친절하세요. 후식 식혜도 시판용이 아니라서 많이 달지않아서 맛있어요.,187,False
원조 조박집 본관,525233,677,2026.02.25,1번째 방문,영수증,생갈비도 맛있고 돼지갈비도 굿굿!!!!!!!!!!!!!!!!! 반찬도 꽤 잘나오고 찌개도 맛있어용,54,True
원조 조박집 본관,차라투스트라26,882,2026.02.18,1번째 방문,영수증,,0,True
