식당 이름,계정 ID,계정의 리뷰 수,방문 날짜,방문 횟수,인증 수단,리뷰 내용,리뷰 글자 수,리뷰 내 사진 유무
홍대 육지,ejs****,26,2026.04.30,1번째 방문,영수증,직접 구워주시고 고기도 좋고 볶음밥 양도 엄청 많아요 직원들도 서비스정신이 좋습니다,46,True
홍대 육지,jun****,8,2026.04.30,1번째 방문,영수증,리뷰 저 안쓰는데 여기는 안쓸 수가 없네요.. 너무 맛있었어요 직원분도 너무 친절하시고 매장도 너무 넓어서 편하게 식사할 수 있었습니다,75,True
홍대 육지,민서885,16,2026.04.30,1번째 방문,영수증,"로제,대성님도 다녀가신 맛집!!! 고기가 정말 오동통해서 너무 맛있었습니다 삼겹살만 먹고 가는데 다음에 오면 갈비 먹어보고 싶어요 직원분들도 너무 친절하십니다 야르",91,True
홍대 육지,cha****,30,2026.04.29,1번째 방문,영수증,"볶음밥, 계란찜, 들기름막국수 다 맛있어요!! 테이블 간격이 좀 좁은데 옆사람들 소리가 너무 커서 좀 힘들긴 했는데ㅠㅠㅠㅠ 그래도 음식 다 너무 맛있고 직원분들 친절하십니다",96,True
홍대 육지,kay****,89,2026.04.29,1번째 방문,영수증,지나가다 사람많고 분위기 좋아서 들어왔ㄴ ㄴ데 고기 맛있고 직원들 친절하고 좋아요 👍,47,True
홍대 육지,violation,46,2026.04.29,1번째 방문,영수증,홍대 합정에서 제일 유명한 고깃집인 육지방문해서 진짜 맛있게 고기 먹었어요! 솔직하게 이 주변 일등 분위기 좋고 맛 서비스 좋아요,72,True
홍대 육지,귀요미7680,29,2026.04.29,2번째 방문,영수증,서울최고의 고깃집 재방문 ㅠ 역시 인정합니다,24,True
홍대 육지,민석2570,17,2026.04.29,1번째 방문,영수증,이렇게 힙한 고깃집 처음 와봐요!! 너무 맛있고 인테리어가 정말 멋져요👍👍,41,True
홍대 육지,바투투,23,2026.04.29,1번째 방문,영수증,직원분이 엄청 친절하시고!! 사람도 엄청 많아요👍🫶 맛집입니다아💖,36,True
홍대 육지,봄차m,25,2026.04.29,1번째 방문,영수증,"친구추천으로 왔는데 완전 맛있어요! 두명이서 한상이랑 볶음밥, 계란찜 먹었는데 배터질거같네요 ㅎ 고기도 넘 잘 구워주셔서 좋고 다시 또 올게요!!",81,True
홍대 육지,채원2611,2,2026.04.29,1번째 방문,영수증,직원분이 엄청엄청 친절하시고 무지막지하게 맛있어요!!! 소스랑 부위랑 엄청 잘 설명해주셔서 좋았어요 헙 ㅜ,59,True
홍대 육지,Lukxi,11,2026.04.28,1번째 방문,영수증,가게 인테리어도 너무 이쁘고 맛있어보여서 들어왔는데 고기도 직접 구워주셔서 너무 편하게 먹었어요!! 고기도 맛있고 사이드도 맛있어서 나오자마자 정신없이 먹었네요 또 올게요~,96,True
홍대 육지,bad****,29,2026.04.28,1번째 방문,영수증,"돈대갈비가 유명하다해서 왔는데 역시 너무 맛있고 하나하나 구워주셔서 일행들과 너무 편하게 식사하고 왔습니다!! 찌개도 칼칼하니 너무 맛있어서 너무 만족스러운 식사였습니다 모임장소,데이트로 추천드려용!!",112,True
홍대 육지,mrs****,8,2026.04.28,1번째 방문,영수증,친절한 서비스에 일단 감동으로 시작... 쾌적한 공간에 잔잔한 bgm.. 돈대갈비 👍 .. 모든 🐖 🐷 👍👍👍 호강하는 하루였어요.^^,75,True
홍대 육지,rou****,4,2026.04.28,1번째 방문,영수증,고기도 직접 다 구워주시고 너무 맛있어요!! 매장도 넓고 음식이 다 맛있어요!! 🧡😄,47,True
홍대 육지,GG05,42,2026.04.27,1번째 방문,영수증,고기 질이랑 맛이 엄청납니다 육즙 엄청나요 특별한 메뉴도 있어서 새로운 경험했어요 감사합니다. 담에 또 올게요 !!!,65,True
홍대 육지,SAYBINI,25,2026.04.27,1번째 방문,영수증,"고기 러버로서 여기저기 많이 다녀봤지만, 여기 삼겹살은 정말 차원이 다르네요. 일단 고기 두께부터 압도적인데, 육즙이 입안에서 팡팡 터집니다. 겉은 바삭하고 속은 촉촉하게 구워주셔서 끝까지 너무 맛있게 먹었어요. 같이 나오는 밑반찬들과의 조합도 환상적이라 질릴 틈이 없네요. 조만간 무조건 재방문할 예정입니다!!!!! 합정 𝙅𝙊𝙉𝙉𝘼 개맛집인정 ㅋㅋ",195,True
홍대 육지,cococo65,71,2026.04.27,1번째 방문,영수증,"월요일 저녁 배고파서 맛집 찾아와봤어요!! 가장 많이 먹는거같은 갈비랑 깍두기 볶음밥이랑 계란찜 기본으로 시키고, 적셔갈비까지 추가로 시켜서 먹어봤어요😀 맛은 기본으로 맛있고, 나오는 찬들(깻잎소스?, 궁채, 기본 간장소스)이 일단 기본이상으로 합격!!!ㅋㅋㅋ 이었어요ㅋㅋ 그렇다고 리뷰를 쓰진않는데... 직원분들 다들 너무 쏘 친절하셔서 감동적이어서 리뷰쓰게되었네여ㅋㅋ 고기 뽜이팅👍있게 구워주시고 센스있게 앞치마까지...크으으으으 👍👍 남친 한줄평 : 굿. 스바라시 ㅋㅋ",265,True
홍대 육지,묘니36,992,2026.04.27,1번째 방문,영수증,퇴근하고 호다닥 온 보람있는 맛집!👍👍 친구랑 맛있게 먹고 갑니당!,37,True
홍대 육지,현이피,27,2026.04.27,1번째 방문,영수증,직원분들이 친절하시고 사이드가 맛있어요! 물론 고기도 맛있어용! 잘 먹고 갑니다!,45,True
홍대 육지,esu****,27,2026.04.26,1번째 방문,영수증,"고기가 너무 맛있어요!! ㅋㅋ 합정에서 삼겹살, 목살이 땡기시면 여기 오시는걸 추천합니다 ㅎㅎㅎ",53,True
홍대 육지,jiwon20104,61,2026.04.26,1번째 방문,영수증,다 먹고 찍었지만! 고기 육즙이 미쳤고! 김치랑 무채랑 막국수 완전 맛도리예요 :) 깻잎으로 만든 소스?도 맛있고 전체적으로 다 맛있습니다아🩷,79,True
홍대 육지,psy****,2,2026.04.26,2번째 방문,영수증,2번째 방문이에요!!너무 맛있고 가게도 깨끗해서 너무 좋아요:)다음에도 꼭 방문하고싶은 가게예요!!,55,True
홍대 육지,빵이조아00,16,2026.04.26,1번째 방문,영수증,여기 진짜 고기 미쳤다… 고기 육즙이 장난 아니고 불판에서 딱 구워서 먹으면 겉은 바삭 + 속은 촉촉 완벽 조합 맛있어요 ;),70,False
