식당 이름,계정 ID,계정의 리뷰 수,방문 날짜,방문 횟수,인증 수단,리뷰 내용,리뷰 글자 수,리뷰 내 사진 유무
쭌곱창,qkf****,22,2026.04.29,1번째 방문,영수증,홍대에서 가장 유명한 곱창집 인거같은뎅 저는 오늘 처음 왔거든요..? 근데 와 개처맛있네요;; 전체적으로 모든 메뉴 간이 딱이고 완전 그 여학생 학교길 밑 유치한 떡볶이 닭발 곱창집 감성이에요;; 많이 오세여들 ㄹㅇ 후회안함 👍🏻👍🏻,130,True
쭌곱창,oiseoeo,16,2026.04.26,1번째 방문,영수증,저 평소에 곱창 짱 많이 먹는 사람인데 요기 진짜 너무너무노무너무너무너무너무 맛있어요!!!!!!!!!!!!!!🍀✨✨🤤🤤🤤🤤 추천합니다 비 맞으면서 30분 거리 걸어온 보람이 있는 맛이에요 비주얼부터 ㅁㅊ개섹시 맛도 레전드 야무짐!!!!!!!! 동기들한테도 추천할 거예요!!!🤍🤍🤍😍 고기도 토치로 직접 구워주시고 먹는 법 따로 추천해 주샸는데 너무너무 맛있었어요…🤍 알바분이랑 사장님도 굉장히 귀여우세요👉👈 자주 올게요!!!!!!!!!!!!!!!!!!!!‼️‼️‼️,260,True
쭌곱창,022931,7,2026.04.25,1번째 방문,예약,고기에 불향이 입혀져있어서 너무 맛있습니다~ 오뎅탕도 맛있어요🤤,35,True
쭌곱창,도연9810,8,2026.04.25,1번째 방문,영수증,지인 추천으로 처음 왔는데 양대박!! 사이드만 먹어도 넘 맛있어여 최고!!!!!,44,True
쭌곱창,도장깨기중인채,29,2026.04.25,1번째 방문,영수증,최고에용 요즘같은 날씨 야장자리에 앉아서 호로록 내일은 모르겠고오늘을 즐깁니다🫶🏻,45,True
쭌곱창,Zeppelin22,21,2026.04.24,1번째 방문,영수증,학교 근처라 자주 오는 곳인데 아주 맛있고 가성비도 좋습니다! 추천합니다 ㅎㅎ,43,True
쭌곱창,wjs****,17,2026.04.24,1번째 방문,영수증,"1. 곱창이 신선하고 잡내 없이 깔끔해서 첫 입부터 만족스러움. 2. 불 조절이 좋아 겉은 바삭하고 속은 촉촉하게 잘 구워짐. 3. 양념, 곁들임, 서비스까지 전체적으로 균형 잡힌 맛집.",104,True
쭌곱창,냠냠아보카도,47,2026.04.24,1번째 방문,영수증,오랜만에 왔는데 여전히 가성비 좋고 맛있어요! 찍어먹는 소스가 3가지나 있는거랑 생크림 파인애플이 곁들여서 먹으면 맛있네용 곱창도 불맛나고 맛있어요! 맵찔이들이 씁하하며 맛있게 먹을 정도..?! 잘먹었습니당,115,True
쭌곱창,블루커피80,1,2026.04.24,1번째 방문,영수증,맛있습니다 먹다보니 사진을 늦게 찍었네요 곱창좋아하시면 오세요^^,36,True
쭌곱창,김동석9575,17,2026.04.23,1번째 방문,영수증,저렴하고 맛있어요 :),12,True
쭌곱창,히힉힣ㅎ힣,8,2026.04.23,1번째 방문,영수증,낭만 가득한 인테리어와 맛있는 음식에 첫 데이트 장소로 골랐었는데 그때 이후로 좋은 관계로 발전해서 연인과 기념일마다 식사하러 오고있어요!,77,True
쭌곱창,할랑방구리,83,2026.04.22,1번째 방문,영수증,특별한 메뉴고 사장님이 진짜 친절해요 강추,23,True
쭌곱창,ka93,60,2026.04.21,3번째 방문,,제가 홍대오면 오는 곱창집인데 진짜 맛있어요~!! 친구도 데리고 왔는데 맛집 바로 저장한다고 하더라구요 맛있는 저녁한끼 먹고 갑니다!! 가격도 가성비 최고입니다👍🏻,91,True
쭌곱창,kyno2m3,35,2026.04.19,1번째 방문,영수증,완전 맛있는 곱창 닭발집이에요!! 길가다가 그냥 삘받아와서 왔는데 정말 맛있게 잘먹었어요!,50,True
쭌곱창,네이버23,68,2026.04.19,1번째 방문,영수증,생크림 파인애플 신박해요!!!👍,17,True
쭌곱창,당응닝,28,2026.04.19,1번째 방문,,친구 추천으로 왓는데 잡내도 안나고 너무 맛잇엇어요!!,30,True
쭌곱창,이민규49,24,2026.04.19,1번째 방문,영수증,볶은 곱창 땡겨서 왔는데 아주 맛있었어요~ 치즈도 고소하고 곱창도 쫄깃해요 만족 !!,47,True
쭌곱창,주몽티,37,2026.04.18,1번째 방문,영수증,곱창하면 비싸고 냄새난다는 생각했는데 양념도 맛있고 불맛도 엄청 나서 넘 맛있어요ㅠㅠ 그리고 세트 구성도 알차서 배터지게 먹었습니다..🤤 친구랑 또 와야겠슴다,88,True
쭌곱창,한기현33,9,2026.04.18,1번째 방문,영수증,잘 먹고 갑니다!! 감사합니다!!!,19,True
쭌곱창,graypierrot,210,2026.04.16,1번째 방문,영수증,왜 이제 알았는지ㅜ 친절히 잘 알려주시는대로 먹으면 정말 맛있습니다! 평점이 이해가 가네요!! 자주 올게요!,60,True
