식당 이름,계정 ID,계정의 리뷰 수,방문 날짜,방문 횟수,인증 수단,리뷰 내용,리뷰 글자 수,리뷰 내 사진 유무
금금 성수점,Uu53,39,2026.04.30,1번째 방문,영수증,"회사 점심으로 종종 오던 곳인데 맛있어서 친구 데리고 왔더니, 친구도 완전 대만족했어요 ㅋㅋㅋㅋㅋㅋ 갈비찜 덮밥은 처음인데 맛있어요... 감자전은 역시 늘 좋습니당 😁",93,True
금금 성수점,Heidi1,26,2026.04.29,1번째 방문,영수증,음식 너무 깔끔하고 맛있어요~ 낮이라 감자전은 안시켰는데 저녁에 감자전 먹으러 다시 와야겠어요~^^,55,True
금금 성수점,dlsdud209,45,2026.04.29,1번째 방문,영수증,깔끔하고 정갈하고 맛잇네요 ㅎㅎ 미팅하기도 좋네요 ㅎㅎ 추천합니다,36,True
금금 성수점,qkr****,28,2026.04.29,1번째 방문,영수증,대기없이 입장했습니다! 봄과 여름사이 날씨에 너무 먹기 좋은 음식입니다!! 내부도 청결하고 다양한 메뉴가 있어 다 먹어보고 싶은 곳입니다!! 재방문 의사 있습니다:) 감사합니더,98,True
금금 성수점,wkd****,72,2026.04.29,1번째 방문,영수증,진짜로.. 너무 맛있어요ㅠㅠ 임산부인데 여기 오기를 잘할것 같아요!!! 특히 문어덮밥이랑 보리된장국수 추천해요!! 두번째오는데 또 오고싶네요!!,80,True
금금 성수점,ㄱㄷㄹ14,54,2026.04.29,1번째 방문,영수증,메뉴가 특별하고 너무 친절하세요 유명한메뉴들로 시켰어요,30,True
금금 성수점,j12uni,27,2026.04.28,1번째 방문,영수증,친구랑 방문했습니다 ~ 분위기 좋아요 !,22,True
금금 성수점,프리프리00,8,2026.04.28,1번째 방문,영수증,금금 두번째 방문인데 들기름국수는 진짜 너무너무 맛있습니다!!!!,36,True
금금 성수점,gre****,67,2026.04.27,1번째 방문,영수증,익숙한 듯 익숙하지 않은 맛. 감칠맛이 좋고 두부와 수육 등 토핑도 매우 훌륭하다. 정말 맛있는 비빔국수!! 추천한다,65,True
금금 성수점,had****,27,2026.04.27,1번째 방문,영수증,보리된장국수 너무 맛있었어요 덮밥과 묵은지말이도 맛있었습니다 !! 다음엔 품절된 메뉴 나머지 다 먹으러 와야겠어요 번창하세요 :),72,True
금금 성수점,맛똑이 I 카페 맛집,121,2026.04.27,1번째 방문,영수증,보리된장국수 짱맛! 감칠맛나는 마제소바에요 묵은지 참치말이는 밥이 좀 질어서 아쉬웠고 묵은지 문어 국수는 레몬향? 이 많이 나더라구요 보리된장국수가 제일 맛있었어요,91,True
