식당 이름,계정 ID,계정의 리뷰 수,방문 날짜,방문 횟수,인증 수단,리뷰 내용,리뷰 글자 수,리뷰 내 사진 유무
능동미나리 성수지점,보노보노55,34,2026.05.05,1번째 방문,영수증,30분 넘게 웨이팅 했어요. 매장이 2층이라 생각보다 금방 들어간 것 같아요. 시스템이 체계적이고 맛도 깔끔하니 좋아요. 육회도 많고 안에 무가 오독오독하니 식감도 재밌고 킥이었어요. 간장소스도 미나리랑 잘어울려요. 곰탕도 미나리가 있어서 느끼하지않아요. 미나리 향이 세지 않아서 좋아요. 외국인 관광객들이 많이 오시더라고요 ㅎㅎ 맛있었어요. 추천합니다~~,199,False
능동미나리 성수지점,Bonheur367,4,2026.05.01,1번째 방문,영수증,육회비빔밥이 맛있어요!!,13,True
능동미나리 성수지점,kjw****,427,2026.05.01,1번째 방문,영수증,기다리는게 너무 덥고 사람이 너무 많지만 회전율이 생각보다 빨랐어오 !! 미나리 신선하고 육회비빔밥 너무 맛있어요,63,True
능동미나리 성수지점,wld****,82,2026.05.01,1번째 방문,영수증,육회비빔밥 슴슴하니 맛있어요!!👍🏻,19,True
능동미나리 성수지점,바닐라딜라이트61,88,2026.05.01,1번째 방문,영수증,"웨이팅 줄이 꽤 길어서 걱정했는데 매장이 안쪽으로 넓어서 그런지 별로 안기다리고 금방 들어갔어요! 곰탕은 미나리가 듬뿍 들어가서 좀 상쾌한?신선한? 느낌이긴 하지만 우리가 아는 그 곰탕맛인데, 육회비빔밥이 진짜 미쳤습니다. 무조건 드세요...👍👍 담에 가면 육비 한그릇 온전히 뚝딱할거예요 찬도 다 맛있었고 전체적으로 만족스러웠습니다. 좀 바쁜 식당이라 직원들이 상을 대충 치우는 건 어쩔 수 없다고 생각하구요 그래도 맛있으니까요",240,True
능동미나리 성수지점,stosg1,1,2026.04.30,1번째 방문,영수증,직원분들도 너무 친절하고 음식도 좋은재료가 느껴집니다!! 너무 맛있게 잘 먹고 갑니다. 다음에도 또 방문할 것 같아요! 대박나세요 :),75,False
능동미나리 성수지점,방랑객0227,29,2026.04.30,1번째 방문,영수증,지인이 맛있다고 추천해준 곳 웨이팅이 길줄 알았는데 생각보다 빨리 빠져서 좋았고요 웨이팅할만한 곳이다 싶게 맛있게 먹은곳 미나리거부감 없음 모두 만족할듯 해요 미나리가 조금더 연했음하는 바람😋,107,True
능동미나리 성수지점,a1001a,1668,2026.04.11,1번째 방문,영수증,진짜 또 가고싶은 곳 육회비빔밥도 곰탕도 넘 맛있어요 기다릴만큼 기대해서 좋아요,44,False
능동미나리 성수지점,내돈내산내사진,109,2026.04.11,1번째 방문,영수증,이걸 먹어본 후로 소고기무국에도 미나리를 넣어 먹어요,29,True
능동미나리 성수지점,유튜브 방긋수,118,2026.04.11,1번째 방문,영수증,미나리곰탕 간이 딱 맞습니다. 제공되는 석박지가 너무 익어서 시큼한데~ 취향에 따라 호불호가 달라지겠네요. 먹고나니 든든하고 속편해서 좋았습니다.,81,False
능동미나리 성수지점,Estella47,1814,2026.04.10,1번째 방문,영수증,친절하고 맛있습니다.,11,True
능동미나리 성수지점,우왕만두,159,2026.04.09,1번째 방문,예약,계산하시는 분은 반말이 디폴트 값인가봐요 썩 기분 좋지는 않네요,35,True
능동미나리 성수지점,vyvyv77,795,2026.04.08,1번째 방문,영수증,최고에요 미나리 너무너무 맛있고 육전 최고에요 국물이 최고에요!!!,37,True
능동미나리 성수지점,Inkko,1343,2026.04.06,1번째 방문,영수증,미나리 가득한 곰탕이랑 고소한 육회비빔밥 맵지않아 맛있어요 거의 외국인이 많고 웨이팅도 만만찮고 그래도 다시 방문하고 싶어요 친절하게 설명도 해주고 미나리무침 추가도 해주었어요,98,True
능동미나리 성수지점,상봉동 삼겹살 맛집 1등 꿀삼겹,537,2026.04.06,1번째 방문,영수증,"성수에서 요즘 핫한 능동미나리 다녀왔습니다 😊 미나리 요리 좋아하시는 분들은 무조건 좋아할 집이에요! 미나리 향이 진짜 신선하고 향긋해서 고기랑 같이 먹으니까 느끼함도 싹 잡아주고 계속 들어가더라고요 👍 특히 미나리랑 고기 조합이 너무 좋아서 한 입 먹을 때마다 “여긴 제대로다” 느낌이었습니다ㅎㅎ 양도 푸짐해서 가성비도 좋고, 전체적으로 깔끔하게 잘 나와서 만족도 높았어요! 직원분들도 친절하게 응대해주셔서 기분 좋게 식사했습니다 😊 성수 맛집 찾으신다면 한 번 꼭 가보세요! 미나리 좋아하시는 분들께는 특히 강추드립니다 👍 #꿀삼겹 #상봉맛집 #삼겹살맛집",312,False
능동미나리 성수지점,구구구구구꾸꾸구구,1560,2026.04.05,1번째 방문,영수증,친척 동생들이랑 점심 먹으러 방문했어요 저는 미나리 곰탕 주문했는데 맑은 국물 위에 잘게 썬 신선한 미나리가 가득 덮여 나와요 미나리의 아삭함과 향긋함이 고기의 느끼함을 싹 잡아줍니다 육회비빔밥은 고추장 베이스가 아닌 간장 베이스로 한우의 고소한 맛과 향긋한 미나리가 잘 어우러져 든든한 한 끼였습니다 왜 웨이팅 하면서 먹는지 알 거 같아요 맛있게 잘 먹고 갑니다😇,204,False
능동미나리 성수지점,바케찌닝,668,2026.04.05,1번째 방문,영수증,육전에 막걸리 키야~ 여윽시 명불허전! 너무 맛있어요,29,True
능동미나리 성수지점,밤보52,452,2026.04.05,1번째 방문,예약,믿고먹는 능동ㅠㅠ진짜최고임 근데 웨이팅이 너무 극악이라 웨이팅만없으면 자주가서 먹을것같음,49,True
능동미나리 성수지점,minilove574,11,2026.04.04,1번째 방문,포장,포장했는데 용기 뚜껑에 구멍이 저렇게나 뚫려 있어서 봉지에 국물이 많이 샜습니다.. 뜨거운 국물이라 구멍이 있는거같은데 다른 지인은 가운데에 구멍 하나만 있던데 제꺼는 일부러 구멍을 저렇게 더 뚫어논건지 용기불량인건지 다음엔 신경을 써주셨으면 하네요.. 기존 봉지 버리고 새로 봉지구해서 집에 가져가느라 애먹었거든요.. 그래도 맛은 있어서 기분이 풀렸습니다^^;,202,True
