식당 이름,계정 ID,계정의 리뷰 수,방문 날짜,방문 횟수,인증 수단,리뷰 내용,리뷰 글자 수,리뷰 내 사진 유무
소문난성수감자탕,리노이나,92,2026.04.28,1번째 방문,영수증,오랜만에 한국 온 친구가 먹고 싶다던 한식. 10시 30분에 성수역에 만나서 갔더니 웨이팅 없이 바로 입장했어요. 평일 11시전에는 웨이팅 없는 듯. 일본인 초딩도 맛있다고 함,98,False
소문난성수감자탕,uarpjh,124,2026.04.27,1번째 방문,영수증,양이 진짜 미쳤습니당….,13,True
소문난성수감자탕,너구리고고,1685,2026.04.26,1번째 방문,영수증,양도 적당하고 맛있어요 24시간 영업이라 좋아요 친절해요,31,True
소문난성수감자탕,Janue,414,2026.04.23,2번째 방문,영수증,😊,1,True
소문난성수감자탕,나가나가타그타그,2395,2026.04.21,11번째 방문,포장,"새벽 4시에 포장으로 픽업해 먹었습니다. 그 시간대에는 매장에서 먹기엔 취객들이 많고 다소 시끄러운 분위기라 집에서 편하게 먹는 쪽을 선택했습니다. 포장은 처음이었는데, 1인분 15,000원의 양이 상당히 푸짐했습니다. 감자는 빠져 있었지만 대신 고기가 넉넉하게 들어 있어 전체적인 만족도는 높았습니다. 충분히 배부르게 먹을 수 있는 구성입니다. 이전 예정이라는 이야기가 있었던 것 같은데 아직까지는 별다른 안내는 보이지 않았습니다. 개인적으로는 지금처럼 계속 영업해 주셨으면 하는 바람입니다.",276,True
소문난성수감자탕,펭수콩국수,2348,2026.04.21,1번째 방문,영수증,좀 싱거워요. 같이주는 소스가 맛있음,20,False
소문난성수감자탕,롯데리아케챱도둑1,46,2026.04.19,1번째 방문,영수증,기본빵은 친다,7,True
소문난성수감자탕,물이좋아좋아,202,2026.04.19,1번째 방문,영수증,"티비소개된 맛집이라는데 정말 이런 감자탕 처음 입니다. 감자탕소자가 32천원이지만 살없는 뼈에 수제비,밥 추가해야 국물에 밥 먹어요.고기는 정말 이렇게 없을 수 있을까.뼈가 분리안되고 먹을게 없어요. 삼대천왕에 나왔다는데 초심을 잃었을까요. 두번은 안가지 싶어요",146,False
소문난성수감자탕,PingDuu,1380,2026.04.17,2번째 방문,영수증,오랜만에 먹어도 맛있어요 볶음밥 먹으려고 전골로 시킴 ㅎ,31,True
소문난성수감자탕,onion16,1683,2026.04.17,1번째 방문,영수증,설거지거리앞에서 고추와 오이 남긴것 헹구어서 재사용하는걸 봤어요,35,False
소문난성수감자탕,작은소녀PJ,1425,2026.04.17,7번째 방문,영수증,밤 12시 넘어 가니 웨이팅 없이 입장 가능했어요. 여전히 감자탕은 맛있고 육수 추가 요청드려 2차로 즐기기에 좋았어요. 배가 불러 볶음밥은 아쉽게도 패스했네요. 쫄깃한 고기에 곁들임 겨자소스는 최고예요. 새벽에는 정문앞에서 멀지 않은 골목 한켠에 택시들이 대기하고 있어 이용하기도 좋았어요.,163,True
소문난성수감자탕,Goldb,1789,2026.04.11,2번째 방문,영수증,이렇게 늦게 간 건 처음이였구 설마했는데 밤에도 웨이팅이 있어서 깜놀. 그래도 다행히 엄청 빨리 들어갔음. 양도 많고 되게 배고픈 상태였어서 엄청 맛있게 잘 먹었어요 고기를 와사비에 찍어서 고추랑 먹으면 존맛 볶음밥까지 클리어 했네요 .. 😙,135,True
소문난성수감자탕,칼라마님,2636,2026.04.11,2번째 방문,영수증,이사 안간대요!!!,10,False
소문난성수감자탕,wn****,1413,2026.04.08,1번째 방문,영수증,우거지 시켰어여 양이 너무 많아요! 국물이 진하고 간이 쎈편입니다 고기는 잡내 없이 야들야들 맛있어요!,57,True
소문난성수감자탕,Kairos4672,793,2026.04.07,2번째 방문,영수증,늦은 시각 일부러 찾아가서 야식으로 한사바뤼 햇네요. 곱빼기 시켜서 먹으니 속도 든든하고 국물도 짜거나 맵지 않고 간도 적당해서 좋습니다!! 튼실한 살점 소스에 찍고 맨밥에 깍두기 한 알. 오이와 고추에 된장 찍어 거하게 야식하고 포만감 느끼고 갑니다 ^0^ 👍 👍 👍,150,True
소문난성수감자탕,우쭈쭈한강,1668,2026.04.06,1번째 방문,영수증,괜찮은 감자탕이에요. 양은 꽤 있어요. 볶음밥도 괜찮아요. 근데 엄청 기다려서 먹을정도의 맛은 아니에요.,58,True
소문난성수감자탕,그만7628,1286,2026.04.05,1번째 방문,영수증,중국인들 너무 많고 회전율이 빨라서 30분정도면 들어가요 특별한맛은 모르겠고 관광객대상이라 쏘쏘해요,55,False
