식당 이름,계정 ID,계정의 리뷰 수,방문 날짜,방문 횟수,인증 수단,리뷰 내용,리뷰 글자 수,리뷰 내 사진 유무
태양곱창 성수점,mybestinvesting9,17,2026.04.30,1번째 방문,영수증,"최고의맛, 친절하고, 서빙빠르고, 너무 좋아요!!!! 오랜만에 곱창볶음 땡겨서 왔어요🥺잘먹었습니다.",55,True
태양곱창 성수점,tot****,77,2026.04.29,1번째 방문,영수증,들깨를 가득 넣어 먹으면 더더 맛있는 곱창전골이에요! 리뷰쓰면 서비스를 주셔서 더 좋습니당,50,True
태양곱창 성수점,ㅎㅎ호랑,17,2026.04.29,1번째 방문,영수증,너무 맛있고 양도 많아요!!!,16,True
태양곱창 성수점,sfasd49,18,2026.04.26,1번째 방문,영수증,맛있게 잘먹었습니다!,11,True
태양곱창 성수점,xok****,39,2026.04.26,1번째 방문,영수증,맛있어요!!!,7,True
태양곱창 성수점,마덩구리 뚱뚱,4,2026.04.26,1번째 방문,영수증,우연히 들렸는데 너어어어무 맛있었어용,20,True
태양곱창 성수점,송유진58,23,2026.04.26,1번째 방문,영수증,맛있어요!! 너무맛있어요!!,15,False
태양곱창 성수점,eun****,20,2026.04.25,1번째 방문,영수증,맛있어요ㅠㅠㅜ 왜 이영지가 맛있다했는지 알겠어요 잘먹고 갑니다ㅎ,35,True
태양곱창 성수점,Kangals10,8,2026.04.23,1번째 방문,영수증,둘이서 소짜 시켜 먹었는데 양이 엄청 많아서 배부르게 잘 먹었습니다!! 볶음밥이 진짜 맛있어요~~,54,True
태양곱창 성수점,izd****,4,2026.04.23,1번째 방문,영수증,핫플에 야채곱창 너무매력있어요,16,True
태양곱창 성수점,뇽뇽717171717,11,2026.04.23,1번째 방문,영수증,매장도 쾌적하고 맛있어용😍,14,True
태양곱창 성수점,태성53,25,2026.04.23,1번째 방문,영수증,양도 많고 너무 맛있어요,13,True
태양곱창 성수점,jii****,6,2026.04.22,1번째 방문,영수증,양더 많거 맛잇어요 ㅎㅎㅎ,14,True
