식당 이름,계정 ID,계정의 리뷰 수,방문 날짜,방문 횟수,인증 수단,리뷰 내용,리뷰 글자 수,리뷰 내 사진 유무
할머니의 레시피,라온Amy,122,2026.04.19,1번째 방문,영수증,진짜 집밥이네요!! 이것저것 먹고 싶은 게 많았는데 사이드로 시킬 수 있는 것들이 다양해서 좋더라고요ㅋ 기본 식사로 가자미 한 상이랑 버섯 비빔밥을 시키고 떡갈비랑 명란을 사이드로 주문해서 맛있게 먹었어요!! 양도 적다하고 음식도 정갈하게 나와 눈도 입도 즐거운 식사였어요^^ 간이 자극적이지 않아 식사 후에도 속도 편하고 좋네요,184,True
할머니의 레시피,졸린곰돌,176,2026.04.11,1번째 방문,영수증,"장점: 친절해요, 맛있어요, 건강한 맛이에요, 매장이 청결해요, 깔끔합니다, 재방문 의사 있어요 참고: 웨이팅 길어요 토요일 12시 14분 도착해서 13시 04에 식사했습니다",97,True
할머니의 레시피,윈디님프,846,2026.04.05,1번째 방문,영수증,쌈밥 / 비빔밥 정식,11,True
할머니의 레시피,뿌블릿,321,2026.04.04,1번째 방문,영수증,성수 한식 찾아서 왔는데 역시나 웨이팅이 있네요! 예약어플 아닌 현장웨이팅이고 사장님 정말 친절하세요! 음식도 건강해서 가족단위 식사로도 좋아요~,81,True
할머니의 레시피,흰둥흰둥흰둥,616,2026.03.30,1번째 방문,영수증,🍱 쌈밥정식 2 월요일 11시10분쯤 들어갓는데 이미 만석 단호박죽 달달하니 맛잇고 반찬하나하나 입에맞았음 개인적으로갈치속젓 도토리묵탱글하니 굳굳👍👍,83,True
할머니의 레시피,gne11,1409,2026.03.27,4번째 방문,영수증,음식이 맛있어요,8,False
할머니의 레시피,하늘으,130,2026.03.22,1번째 방문,영수증,"처음에는 5살 아이도 1인 1메뉴 주문이 필요하다고 해서, 혹시 많이 남기지 않을까 조금 걱정했어요. 평소에는 그렇게 많이 먹는 편이 아닌데, 이날은 음식이 너무 맛있었는지 전부 다 먹었습니다. 아이도 정말 만족한 식사였던 것 같아요 😊",132,True
할머니의 레시피,하늘예찬82,1844,2026.03.07,3번째 방문,영수증,며칠 전 가리비를 잘못 먹고 급성 장염으로 고생한 아들을 위한 저녁 선택,40,True
할머니의 레시피,otx****,1323,2026.03.01,1번째 방문,영수증,,0,True
할머니의 레시피,데이지쥬,129,2026.02.26,1번째 방문,영수증,사람들이 북적이는 성수에서 혼밥 할 수 있는 곳이라서 너무 좋았어요! 눈치 하나도 안 보고 맛있게 먹고 왔습니다. 건강한 맛이라서 더 좋았던 거 같구요. 반찬이 많이 나오는 것도 좋았습니다! 사장님도 너무 친절하시고 적게 일하고 돈 많이 버세요!,137,True
할머니의 레시피,직장인 1,1093,2026.02.23,4번째 방문,영수증,https://blog.naver.com/siruthinking/223961032307 정종을 정수리까지 담아주셔서 좋아요!,69,True
할머니의 레시피,카르페디엠1145,1235,2026.02.21,1번째 방문,영수증,아기의자 있는 곳을 검색했을때 나와서 방문해보았습니다. 메뉴도 깔끔하고 맛나보여서 선택했는데 결론적으로는 너무 만족스러웠어요^^ 날 좋은 토요일 저녁 6시 다되서 방문했는데 웨이팅이 있더라구요. 지하 대기공간에서 메뉴보며 기다릴 수 있어서 웨이팅도 좀 편히 할 수 있었습니다. 순서가 되면 방송으로 불러주세요. 메뉴가 전반적으로 깔끔하고 맛나보여서 고민했는데 많이들 쌈밥정식이랑 떡갈비정식 시키셔서 똑같이 시켰네요ㅋㅋㅋ 기본반찬 5가지가 먼저 나오는데 깔끔하니 좋았어요. 메인메뉴들도 다 맛있었습니다. 제육은 살짝 매워서 매운거 못드시는 분들은 다른 메뉴를 선택하는 것도 방법인 것 같아요. 떡갈비도 적당히 달달하니 맛나요. 부분적으로 아주 조금 질긴 부분이 있긴 했지만 맛있었습니다:) 부모님들이랑 또 오고 싶어요,400,True
할머니의 레시피,502의 사부작사부작,485,2026.02.14,1번째 방문,영수증,"정갈하게 나오지만 15,000원에 비해 고기 양이 적고 밥도 추가 비용 내는 게 아쉬움",48,True
할머니의 레시피,97****,479,2026.01.26,4번째 방문,영수증,한우떡갈비 정식은 처음인데 간이 담백해서 제 입맛엔 괜찮았습니다. 평일 저녁 5시 전후로는 한가하네요,56,True
할머니의 레시피,퇴근시켜주세오,24,2026.01.24,1번째 방문,영수증,"메뉴판에 토란이 들어간다고 표기된 숨뼈국을 주문했지만 국에 토란이 하나도 없었어요. 사장님께 말씀드리자 처음에는 “원래 적게 들어가서 그렇다”고 하셨고, 이후에는 “토란이 아니라 토란대가 들어간 것”이라고 하셨습니다. 둘이 다른 재료인데 토란으로 표기된 점이 잘 이해되지는 않았습니다. 또 토란대가 고사리와 비슷해 모를 수 있다며 제 국에서 토란대를 찾아주셨지만, 먹어보니 찾아주신 재료도 실제로는 고사리였습니다. 그리고 호박죽 그릇에는 마른 밥풀이 묻어 있고 이가 나가 있어 위생적으로 매우 불쾌했습니다. 이를 말씀드리자 호박죽이 없다고 귤을 주셨으나 먹지 않고 나왔습니다. 위와 같은 상황에서나 반찬을 리필할때도 홀에 나와있는 직원이 없었고 불러도 아무도 안오셔서 직접 주방으로 가야한다는 점도 불편했습니다. 👎",400,False
할머니의 레시피,패닉동산,166,2026.01.16,1번째 방문,영수증,비빔밥 먹었는데 정갈하게 준비된 맛이 좋았습니다. 외국인 손님들도 많아요. 점심으로도 방문하고 싶었습니다,58,True
할머니의 레시피,사계절7559,1561,2026.01.07,1번째 방문,영수증,정갈하니 맛있어요.,10,True
할머니의 레시피,콩0710,425,2025.12.31,1번째 방문,영수증,한식먹고싶어서 방문했는데 진짜 맛있고 건강한 한식이라 만족했어요 인테리어도 예쁘고 직원분들도 친절하셔서 추천해용👍,63,True
할머니의 레시피,끼룩끼룩끼룩이,966,2025.12.26,1번째 방문,영수증,생선 너무 맛있어요~! 아이와 밥먹기 좋았네요. 쌈정식도 괜찮더라구요~ 젓갈류는 3종류라 세팅할 때 설명 해주시면 좋을 듯 합니다.,73,True
할머니의 레시피,랭이랍니다,224,2025.12.19,1번째 방문,예약,"음식이 깔끔하고 자극적이지 않고 맛있어요!! 기본반찬도 맛있고 메인도 맛있었어요. 오픈 5분전에 도착해서 기다리지 않고 바로 식사했고, 먹고 나올때쯤 만석이 되었어요~ 외국인손님이 많았습니다!! 매장도 멋졌어요!!",119,True
할머니의 레시피,Lllllloooo,1051,2025.12.07,1번째 방문,영수증,골목길 위치 외국인 손님 많음 반찬 가짓수는 많은데 젓가락질 한번에 없어질 양 반찬좀 더 챙겨주지 고기는 양이 적당히 많았음 맛도 괜찮음,76,True
할머니의 레시피,걸플러스,56,2025.12.07,1번째 방문,영수증,집밥스타일~ 가재미 생선구이 넘 맛있네요 ㅎㅎ 반찬 넘 정갈하고 신선해요 강추합니다!!^^,50,True
할머니의 레시피,현광덕,117,2025.12.07,1번째 방문,예약,"아늑하고 좋았어요 찬들이 조금씩 있어 편식쟁이인 저에게는 불필요한 음식물쓰레기를 줄일 수 있어 좋았지만, 좋아하는 반찬은 리필 하고싶은데 사람도 많고 점원을 부르기도 어려워 한 번만 리필한게 아쉽기도 했어요 호박죽도 넘넘 맛있었고 엄마가 해준 밥상 같았습니다",144,True
할머니의 레시피,Mellyna,63,2025.12.06,1번째 방문,영수증,진짜 깔끔하고 맛있는 가정식 백반이었습니다-:) 간도 적절하고 할머니가 차려주신 한 상 느낌이랄까,54,True
할머니의 레시피,jini4uuu,237,2025.11.28,1번째 방문,영수증,쌈밥정식 주문했는데 반찬이 정말 다양하고 푸짐하네요! 밥이랑 국도 넘 맛있게먹었어요💕 외국인 분들에게도 인기가 많은 가게인듯 합니다~ 가게가 아늑하고 편안한 분위기인데 직원분들도 너무 친절하셔서 자주 방문할 것 같아요!😊👍,124,True
할머니의 레시피,tir****,458,2025.11.25,1번째 방문,영수증,음식들이 정갈하고 맛있어요. 특히 호박죽 맛있게 먹었어요. 분위기도 좋고 친절해요.,46,True
할머니의 레시피,폴맘96,1172,2025.11.22,1번째 방문,예약,음식이 다 맛나요!,10,True
