식당 이름,계정 ID,계정의 리뷰 수,방문 날짜,방문 횟수,인증 수단,리뷰 내용,리뷰 글자 수,리뷰 내 사진 유무,store,group,account_id,account_review_count,visit_date,visit_count_raw,verification,has_photo_raw,review_text,rating,account_avg_rating,has_photo,visit_count,clean_review,review_length,clean_length,length_under_10,length_under_30,length_over_30,length_over_60,food_detail_count,has_food_detail,strong_food_detail_review,menu_count,has_menu,rich_menu_review,experience_count,has_experience,strong_experience_review,context_count,has_context,has_any_number,number_detail_count,has_number_detail,generic_praise_count,has_generic_praise,intensifier_count,intensifier_over_3,exclamation_count,exclamation_over_3,sns_event_count,has_sns_event,mixed_sentiment,trendy_revisit_count,has_trendy_revisit_phrase,account_review_count_is_1,account_review_count_under_5,account_review_count_over_10,account_review_count_over_50,first_visit,revisit,menu_and_food_detail,short_generic_review,ultra_short_praise,generic_without_detail,menu_only_praise,experience_rich_review,high_specificity_review,rich_context_review,low_information_review,event_like_short_praise,event_like_sns_or_service,event_like_low_info_first_visit
태양곱창 성수점,노란 송충이,5,2026.02.07,1번째 방문,영수증,양이 많고 맛있어요 다움 팀부터 바로 대기였어서 운이 좋았어요,34,True,태양곱창,event,노란 송충이,5,2026.02.07,1번째 방문,영수증,,양이 많고 맛있어요 다움 팀부터 바로 대기였어서 운이 좋았어요,,,0,1,양이 많고 맛있어요 다움 팀부터 바로 대기였어서 운이 좋았어요,34,34,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
태양곱창 성수점,min****,43,2026.01.11,1번째 방문,영수증,마싯어용??,5,True,태양곱창,event,min****,43,2026.01.11,1번째 방문,영수증,,마싯어용??,,,0,1,마싯어용,6,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
태양곱창 성수점,유유유4,389,2025.11.09,1번째 방문,영수증,성수 돼지 곱창은 태양 곱창입니다???? 야곱 땡겨서 비로왔어요 여기 콘치즈랑 치즈감자전도 존맛탱입니다 소맥을 부르는 맛이에요... 겨울에는 곱창전골 꼭 먹어줘..??,90,True,태양곱창,event,유유유4,389,2025.11.09,1번째 방문,영수증,,성수 돼지 곱창은 태양 곱창입니다???? 야곱 땡겨서 비로왔어요 여기 콘치즈랑 치즈감자전도 존맛탱입니다 소맥을 부르는 맛이에요... 겨울에는 곱창전골 꼭 먹어줘..??,,,0,1,성수 돼지 곱창은 태양 곱창입니다 야곱 땡겨서 비로왔어요 여기 콘치즈랑 치즈감자전도 존맛탱입니다 소맥을 부르는 맛이에요 겨울에는 곱창전골 꼭 먹어줘,93,82,0,0,1,1,1,1,0,9,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0
태양곱창 성수점,jyj51,24,2025.10.03,1번째 방문,영수증,태양곱창 전골 최고네요! ??,15,True,태양곱창,event,jyj51,24,2025.10.03,1번째 방문,영수증,,태양곱창 전골 최고네요! ??,,,0,1,태양곱창 전골 최고네요,16,12,0,1,0,0,1,1,0,2,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
태양곱창 성수점,성수6330,129,2025.08.31,1번째 방문,영수증,기다리지 않고 바로 입장해서 좋았어요. 가성비 좋고 맛있어요. 저는 약간 짠데 아이들이랑 남편은 맛있다네요. 담에는 다른 메뉴도 시켜보려구요.,79,True,태양곱창,event,성수6330,129,2025.08.31,1번째 방문,영수증,,기다리지 않고 바로 입장해서 좋았어요. 가성비 좋고 맛있어요. 저는 약간 짠데 아이들이랑 남편은 맛있다네요. 담에는 다른 메뉴도 시켜보려구요.,,,0,1,기다리지 않고 바로 입장해서 좋았어요 가성비 좋고 맛있어요 저는 약간 짠데 아이들이랑 남편은 맛있다네요 담에는 다른 메뉴도 시켜보려구요,79,75,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
태양곱창 성수점,ㅋㅋㅋㅋ4,48,2025.11.25,1번째 방문,영수증,맛있습니다!,6,True,태양곱창,event,ㅋㅋㅋㅋ4,48,2025.11.25,1번째 방문,영수증,,맛있습니다!,,,0,1,맛있습니다,6,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,1,0,1
태양곱창 성수점,혜연62,30,2026.04.13,2번째 방문,영수증,찐.찐.찐 또간집이라 곱창 볶음 먹고 싶으면 여기로만 와요!! 양이 짱 많아서 매번 먹고 포장해가요!,56,True,태양곱창,event,혜연62,30,2026.04.13,2번째 방문,영수증,,찐.찐.찐 또간집이라 곱창 볶음 먹고 싶으면 여기로만 와요!! 양이 짱 많아서 매번 먹고 포장해가요!,,,0,2,찐 찐 찐 또간집이라 곱창 볶음 먹고 싶으면 여기로만 와요 양이 짱 많아서 매번 먹고 포장해가요,56,53,0,0,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0
태양곱창 성수점,닉네임결정즈웅,86,2025.10.24,1번째 방문,영수증,곱창 양 대박이예요~~~~,14,True,태양곱창,event,닉네임결정즈웅,86,2025.10.24,1번째 방문,영수증,,곱창 양 대박이예요~~~~,,,0,1,곱창 양 대박이예요,14,10,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
태양곱창 성수점,송유진58,24,2026.04.26,1번째 방문,영수증,맛있어요!! 너무맛있어요!!,15,True,태양곱창,event,송유진58,24,2026.04.26,1번째 방문,영수증,,맛있어요!! 너무맛있어요!!,,,0,1,맛있어요 너무맛있어요,15,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,4,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1
태양곱창 성수점,세은3286,9,2026.01.11,1번째 방문,영수증,맛있게 먹었어요 오늘 웨이팅 없이 바로 들어와서 더 좋았습니당 치즈감자전도 추천,44,True,태양곱창,event,세은3286,9,2026.01.11,1번째 방문,영수증,,맛있게 먹었어요 오늘 웨이팅 없이 바로 들어와서 더 좋았습니당 치즈감자전도 추천,,,0,1,맛있게 먹었어요 오늘 웨이팅 없이 바로 들어와서 더 좋았습니당 치즈감자전도 추천,44,44,0,0,1,0,0,0,0,2,1,1,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
