가게 이름,계정 ID,계정의 리뷰 수,계정의 별점 평균,방문 날짜,별점,리뷰 내 사진 유무,리뷰 글자 수,리뷰 내용,카카오맵 리뷰다는 사람 레벨
기꾸스시,이지,71,4.4,2026-04-09,4.0,False,16,맛있어요 가성비도 이정도면 굿,실버 레벨
기꾸스시,나쵸,284,3.6,2026-03-24,3.0,False,33,초밥 맛이 2년전과 다른...흠 특히 흰살생선 너무 질기네요,골드 레벨
기꾸스시,do,17,3.2,2026-01-23,5.0,False,53,"증말 증말 맛있는데, 자리 바로 앞에 있는 콘센트랑 충전기 먼지만 청소되면 더 좋을 것 같아요~",실버 레벨
기꾸스시,여름,62,4.1,2026-01-14,5.0,False,23,연어 초밥 겁나 맛있음 다른 건 ㄱsoso,실버 레벨
기꾸스시,ㅇ,10,4.6,2025-12-13,5.0,False,86,사장님 이거 보시면 마늘 생강 통 손잡이 있는걸로 바꿔주시면 안될까요 초밥 진짜 진짜 마싯는데 가게 위생 조굼만 더 신경써주셔서 운영해주시면 좋을거 같아요,실버 레벨
기꾸스시,모 아니면 도,167,3.9,2025-12-06,5.0,False,4,응 존맛,골드 레벨
기꾸스시,이채현,9,4.8,2025-12-05,5.0,False,60,몇년째 종종 가요 가성비좋고 초밥도 우동도 서비스로 주시는 연어조림도 늘 맛있어요 항상 깨끗이 비우고 갑니다,브론즈 레벨
기꾸스시,도롱뇽,3,3.7,2025-12-04,5.0,True,107,저녁 타임에만 서비스로 주는 연어 조림이 맛있어서 일부러 저녁 시간을 맞춰 가게 되는 연어 맛집. 가게가 좁아서 항상 웨이팅을 해야 하는 게 아쉽지만 직원 분들이 친절하고 든든하게 맛있습니다!,브론즈 레벨
기꾸스시,윤지,12,3.3,2025-11-17,5.0,False,28,연어가 진짜 두툼하고 맛있다 가게가 협소함 친절하심,실버 레벨
기꾸스시,맛잘알,11,3.4,2025-09-08,5.0,False,52,성대 주변에서 제일 맛있는 초밥집이다 가격도 이만하면 혜자다 웨이팅 되기 전에 미리미리 가도록,브론즈 레벨
기꾸스시,하...,165,2.8,2025-08-18,4.0,False,30,웨이팅을 제외하면 서비스 가격 친절 전부 만족스러운 곳,골드 레벨
기꾸스시,맛잘알소식좌,529,3.7,2025-08-12,4.0,False,81,"혜화에서 나름 늦게까지 하는 초밥집 전부 바테이블 연어초밥이 두툼하고 맛있음 👍 초새우, 계란, 유부 조합이 거의 다 끼어 있어서 그건 아쉽다 🙃",골드 레벨
기꾸스시,g,65,4.1,2025-08-10,5.0,False,14,가격 굿 맛있음 서비스 굿,실버 레벨
기꾸스시,감자주세요,154,4.1,2025-07-19,3.0,True,39,"작은 모둠 먹었습니다. 무난했고, 연어조림과 우동이 서비스로 나옵니다.",골드 레벨
기꾸스시,DY,10,4.8,2025-05-19,4.0,False,46,"가게는 좀 협소하지만 연어초밥이 진짜 맛있어요 점심, 저녁시간대 살짝 비켜가길 추천",실버 레벨
기꾸스시,수현🐇,2,4.5,2025-05-16,4.0,True,25,흰살초밥은 밥이 약간 딱딱했음 연어는 맛있었음,브론즈 레벨
기꾸스시,최씨,94,4.2,2025-04-14,5.0,False,5,가성비 갓,실버 레벨
기꾸스시,베거임,2,5,2025-03-03,5.0,False,4,존맛탱😋,브론즈 레벨
