가게 이름,계정 ID,계정의 리뷰 수,계정의 별점 평균,방문 날짜,별점,리뷰 내 사진 유무,리뷰 글자 수,리뷰 내용,카카오맵 리뷰다는 사람 레벨
깔리,쑤우니,18,4.9,2026-04-09,5.0,False,91,오랜만에 인도요리 먹었는데 생각보다 훨씬 맛있었어요! 커리도 진하고 난이 쫀득해서 계속 먹게 되더라고요. 라씨까지 마시니까 진짜 한 끼 제대로 먹은 느낌이었어요 👍,실버 레벨
깔리,카쿠레가,28,4.9,2026-04-02,5.0,False,60,커리 맛이 진하고 난도 잘 구워져서 전체적으로 괜찮았습니다. 식사 후에 라씨까지 마시니 조합이 잘 맞았어요.,실버 레벨
깔리,My편,6,5,2026-03-30,5.0,False,32,난이랑 커리 모두 맛있고 라씨까지 먹으니까 완전 만족 ><,브론즈 레벨
깔리,하루적기,9,5,2026-03-25,5.0,False,98,커리 먹고 싶어서 방문했는데 너무 맛있게 먹고 왔어요 😊 난이 따끈따끈해서 커리 찍어 먹기 좋았고 라씨도 달달해서 잘 어울렸어요. 기분 좋게 식사하고 와서 다음에 또 오려구요!,브론즈 레벨
깔리,시간속의자유,81,5,2026-03-17,5.0,False,84,이국적인 분위기에서 여유롭게 식사하기 좋았습니다. 커리 맛도 안정적이고 난도 잘 구워져 나와요. 라씨까지 같이 주문하면 더 만족스러운 한 끼가 됩니다.,실버 레벨
깔리,바다,48,5,2026-03-13,5.0,False,50,"커리 종류도 다양해서 고르는 재미가 있고, 라씨가 생각보다 더 맛있어서 기억에 남네요 ㅎㅎ",실버 레벨
깔리,moya,19,5,2026-03-10,5.0,False,74,난이 특히 맛있었음!! 겉은 살짝 바삭하고 안은 촉촉해서 커리랑 잘 어울려요!! 식사 후에 마신 라씨도 달콤해서 마무리로 좋았어요 😊,실버 레벨
깔리,별이,76,4.9,2026-03-06,5.0,False,79,"처음 방문했는데 전체적으로 깔끔하고 편안한 분위기였어요. 커리도 과하게 자극적이지 않고 부드러운 편이라 좋았고, 라씨가 은근히 중독성 있네요.",실버 레벨
깔리,주작을보면짖는고양이,198,3.9,2026-02-28,1.0,False,3,멍멍멍,골드 레벨
깔리,soori,19,4.9,2026-02-26,5.0,False,90,"커리 향이 깊고 맛이 진해서 만족스러웠어요. 난도 따뜻하게 나와서 쫀득하게 잘 어울렸고, 라씨까지 곁들이니 조합이 딱 좋았습니다 🙂 다음에 또 방문하고 싶어요~!",실버 레벨
깔리,김순경,1036,3.9,2026-02-24,4.0,True,22,오랫만에 서울나들이 맛있게 260224일,블루 레벨
깔리,정직하게 살자.,259,1.4,2026-02-17,1.0,False,18,후기 조작 24년 11월 13일~,골드 레벨
깔리,리뷰잡는사냥꾼,18,5,2026-02-13,5.0,False,41,라씨 한 모금 하니까 조합 완성 느낌!분위기도 편하고 음식도 맛있었어요 😊,실버 레벨
