가게 이름,계정 ID,계정의 리뷰 수,계정의 별점 평균,방문 날짜,별점,리뷰 내 사진 유무,리뷰 글자 수,리뷰 내용,카카오맵 리뷰다는 사람 레벨
뎁짜이,woeab,40,4.8,2026-03-07,5.0,True,2,근본,실버 레벨
뎁짜이,H,24,3.3,2026-01-07,3.0,True,134,"맛은 있는데 가성비는 절대 아님 숙주도 안들어 있는데 기본 11,000원 숙주는 추가해야 함 양도 조금 줄어든 거 같은 느낌 다른 곳과 비교했을 때 이전에는 가성비 느낌이 조금 있었는데 맛도 있고 이제는 가성비 아니라서 애매함 맛은 있긴 함",실버 레벨
뎁짜이,수세미,93,4.5,2025-12-15,5.0,False,73,"생면이라 쫄깃했구요, 국물이 적당히 슴슴해서 국물까지 싹 먹은 건 처음이네요. 고수는 셀프라 맘껏 조절해서 먹을 수 있어 좋았어요.",실버 레벨
뎁짜이,당돌한얼음,134,3.7,2025-11-17,2.0,False,5,평범쓰..,골드 레벨
뎁짜이,악에받칠때만욕함,93,3.1,2025-10-28,5.0,True,38,사장님이 심드렁하긴 한데 맛있고 쌀국수 국물 진해요. 고수도 셀프임.,실버 레벨
뎁짜이,M,18,3.7,2025-08-30,2.0,False,53,솔직히 분짜 별로임. 탄 것도 있어서 맛집이라고 하기엔 부족한 느낌. 에모이가 훨 나은 듯 함.,실버 레벨
뎁짜이,J.,394,3.5,2025-07-13,4.0,True,34,이 동네 쌀국수 1등. 면 국물 간 사이드메뉴 빠지는게 없다.,골드 레벨
뎁짜이,김준성,9,4.7,2025-07-12,5.0,True,47,고수는 안들어가 있으니 따로 말 안해도 될것 같아요. 쌀국수도 맛있고 반미도 맛있음.,실버 레벨
뎁짜이,꺄악,289,4.3,2025-07-11,4.0,False,43,빠르고 맛있다…웬만한 패스트푸트점보다 빨리 나오는 듯합니다. 근데 맛있음 ㄷㄷ,골드 레벨
뎁짜이,시골쥐,25,3.9,2025-06-13,3.0,True,61,무난하게 맛있는 곳 사진은 없는데 볶음밥이 오히려 더 인상적이었음 쌀국수 국물은 라임을 짜넣으니 훨씬 맛있었음,실버 레벨
뎁짜이,19383,25,3.7,2025-04-19,5.0,False,32,국물까지 다 마시는 몇 안 되는 국수집... 진짜 맛있어요,실버 레벨
뎁짜이,우만동 꼬르륵박사,66,3.7,2025-03-02,2.0,True,75,"왜,, 유명하지,,? 쌀국수 국물이 그닥 맛있는지도 모르겠고 볶음밥에 새우 몇개 업슴.. 가장 맛있었던 건 양상추.. 재방문 의사 업슴",골드 레벨
뎁짜이,이렇게나먹부림이심해서큰일,60,2.9,2025-02-25,3.0,False,21,평타 감탄하고 먹을 맛은 .. 모르겠음,실버 레벨
뎁짜이,재미따라,402,3.7,2025-02-24,3.0,True,69,"면이 부들부들 하긴한데,그렇다고 와 맛있다 소리는 안나왔어요. 볶음밥이 갠적으로 맛있었어요.재방문 의사는 딱 잘라 없습니다.",골드 레벨
뎁짜이,esfj,33,3.6,2025-02-15,2.0,False,35,맛이 예전만 못함... 굳이 여길 갈 이유가 사라지는 중....,실버 레벨
뎁짜이,섭,65,2.9,2025-02-13,1.0,False,236,생면 쌀국수는 맛있었지만 양을 그렇게 주실 거면 가격을 낮춰야 할 것 같아요. 대학생들에겐 턱없이 부족한 양입니다. 작은 국그릇 정도...그리고 무엇보다 위생 완전 꽝에 불친절... 화장실앞 세면대 그 위에 보온통 그리고 정수기... 화장실 문 바로 앞에 물병을 세워 놓고...진짜 먹고 난 후라 구역질이 났네요. 손님 들어올 때부터 귀찮은 표정과 질문에 고개 까딱...재방문 안하는 거 당연하고 불매하고 싶은 수준입니다.,실버 레벨
뎁짜이,ㅈㅅ,165,3.2,2025-02-10,3.0,False,29,맛은 괜찮은데 가격이 비싸서 재방문 선뜻 하기 어려움,골드 레벨
뎁짜이,왜이레,592,3.4,2025-02-06,3.0,True,44,쌀국수 - 지극히 평범한. 고수 무한리필은 좋음. 분짜 - 구성이 많이 아쉬움.,블루 레벨
뎁짜이,솔직한리뷰,14,1.9,2025-01-03,1.0,False,136,다른 베트남 음식점보다 나은거 하나 없습니다. 도대체 뭐가 맛있다는 건지... 그리고 인사만 잘한다고 친절한게 아니죠. 사장인지 알바인지 모두다 인상 썩어있고 응대도 공격적이라 뭘 물어보지를 못하겠네요 이 돈이면 세상에 맛있는거 많습니다 여러분,실버 레벨
뎁짜이,렛츠,945,3.9,2025-01-02,4.0,True,233,"특별한 맛은 아니지만, 딱히 땡기는 식당이 없는 대학로에, 만족스러운 한 끼를 먹을 수 있는 곳 입니다. 대체적으로 국물이나 소스의 간이 쎄지않은 듯 해요. ""하노이 고급 생면쌀국수""는, msg가 거의 안들어갔는지 맛이 심심한 느낌 입니다. 3.0점 ""하노이 직화 분짜""는, 튀긴 재료는 좋았으나, 찍어먹는 소스가 좀 아쉬웠어요. 피쉬소스의 그 중독적인 맛이 강하게 표현 되었으면 훨씬 더 좋지않을까 합니다. 4.0점",퍼플 레벨
