가게 이름,계정 ID,계정의 리뷰 수,계정의 별점 평균,방문 날짜,별점,리뷰 내 사진 유무,리뷰 글자 수,리뷰 내용,카카오맵 리뷰다는 사람 레벨
살롱순라,여행자,57,5,2026-04-09,5.0,False,76,여기 은근 숨은 분위기 맛집 느낌이라 조용하게 밥 먹기 좋았어요! 음식도 과하게 꾸미지 않고 담백하게 나와서 편하게 즐기기 괜찮았어요:),실버 레벨
살롱순라,정지용,33,5,2026-04-09,5.0,False,80,종로에서 이런 분위기 나오는 곳 있는지 몰랐는데 완전 다른 느낌이었어요! 조용하게 먹기 좋고 음식도 담백하게 나와서 부담 없이 즐기기 괜찮았어요,실버 레벨
살롱순라,유미의,22,5,2026-04-07,5.0,False,105,요즘 핫하길래 궁금해서 가봤는데 확실히 이유 있긴 하네요 전체적으로 차분한 느낌이라 들어가면 자연스럽게 말도 조용해짐ㅋㅋ 메뉴도 흔한 한식이 아니라 살짝 변주된 느낌이라 색다르고 좋네요!!,실버 레벨
살롱순라,신진후,22,5,2026-04-07,5.0,False,73,한옥 느낌 살짝 섞인 인테리어라 편안한데 또 은근 고급짐 있음 음식도 생각보다 디테일하게 나오고 플레이팅이 예뻐서 눈부터 즐거움ㅎㅎ,실버 레벨
살롱순라,김가온,34,4.9,2026-04-02,5.0,False,60,지인과 오랫만에 만나는 자리라서 고민하고 왔어요!! 가게가 너무 예쁘고 직원분들 친절하시고 청결하고 좋아요~,실버 레벨
살롱순라,송지후,35,5,2026-04-02,5.0,False,96,음식은 비주얼부터 만족스러웠고 과하지 않으면서도 계속 손이 가는 맛이었습니다 ^^ 와인과 함께 즐기기 좋은 메뉴 구성이어서 기념일이나 특별한 날 방문해도 좋을 것 같아요~~,실버 레벨
살롱순라,eyejun,29,4.3,2026-03-29,3.0,False,50,분위기는 참 좋은데 음식 맛이 별로. 같이 간 분들 한마음으로 그돈씨를 외치고 옵니다...,실버 레벨
살롱순라,정민아,41,5,2026-03-25,5.0,True,61,매장도 깔끔하구요 음식도 플레이팅 예쁘고 맛도 깔끔해서 계속 손이 가더라구요 직원분들도 친절해서 좋았어요 ^^,실버 레벨
살롱순라,지율,43,4.9,2026-03-25,5.0,True,40,요리들이 다 정갈하게 나오고 간도 과하지 않아서 계속 먹게 됨니다 ㅎㅎㅎ,실버 레벨
살롱순라,우리,1,1,2026-03-21,1.0,False,28,이렇게 맛 없는 스테이크 처음 내가 더 잘 구울 듯,실버 레벨
살롱순라,유다미,53,5,2026-03-18,5.0,True,26,굿굿 이만한데 없는거 같아요 데이트 잘 하구가용,실버 레벨
살롱순라,전준자,44,5,2026-03-18,5.0,True,60,와 ♡ 분위기도 좋고 맛도 좋은 곳입니다! 살롱순라 번창하세요~ 다음에도 친구들이랑 모임하러 오겠습니다 :),실버 레벨
살롱순라,ssss,20,3.6,2026-03-14,3.0,False,69,피자는 축축하고 트러플 머쉬룸 피자인데 꿀을 뿌렸는지 달아요. 파스타에는 김치 맛? 이 나요. 그냥 분위기로 오는 곳 같아요,실버 레벨
살롱순라,Ian,99,2.5,2026-03-12,3.0,False,4,그냥저냥,골드 레벨
살롱순라,박현서,46,4.8,2026-03-11,5.0,False,116,친구랑 종로에서 놀다가 저녁 먹으려고 들렸는데 분위기가 생각보다 좋더라구요. 스테이크 주문했는데 굽기도 딱 좋고 고기 육즙도 살아있어서 만족! 한옥 분위기라 일반 레스토랑이랑 느낌이 달라서 더 기억에 남는 듯,실버 레벨
살롱순라,조나진,46,4.9,2026-03-11,5.0,False,96,서순라길 산책하다가 분위기 좋아 보여서 들어간 곳! 한옥 느낌이라 사진 찍기에도 좋고 은근 감성 있음ㅎㅎ 들기름 파스타 시켰는데 고소한 향이 확 올라와서 생각보다 맛있었어요,실버 레벨
살롱순라,울룰루,24,3.8,2026-02-28,1.0,False,12,여기 맛이 없어욤…ㅠㅠ,실버 레벨
살롱순라,꿀꿀이의 맛평가,38,3.7,2026-02-25,4.0,True,74,마르게리따 피자랑 감베리 명란 매콤 알리올리오 시켰는데 피자 진짜 존맛 ㅠ 완전 사르륵 넘어감 취저!! 가게 분위기도 엔틱하고 좋음!,실버 레벨
살롱순라,임지유,43,4.9,2026-02-25,5.0,False,47,인테리어도 독특하구 맛있어요 스테이크 질기지 않고 맛있구 피자 진짜 맛있네용 ♡^^♡,실버 레벨
살롱순라,LindsayJii,57,5,2026-02-25,5.0,False,43,데이트로 다녀왔는데 스테이크 굽기나 간도 적당해서 맛있네요! 인테리어도 이뻐요,실버 레벨
살롱순라,정지민,43,4.9,2026-02-04,5.0,False,133,친구 생일이라 살롱순라 예약했는데 신의 한 수였어요^^;;; 케이크는 따로 준비했는데 매장 분위기가 너무 좋아서 자동 감성 ON입니다 ㅋ 피자 종류 다양하고 리조또도 꽤 퀄리티 있어서 다들 만족! 단체보단 소수 모임에 더 추천해봅니다~~~,실버 레벨
살롱순라,장예리,53,4.8,2026-02-04,5.0,False,66,"트러플 피자는 향부터 고급지고, 자몽에이드는 상큼해서 클렌징 느낌ㅋㅋ 연인끼리 특별한 날 가면 진짜 기억 남을 곳이에요",실버 레벨
살롱순라,맘ㅁ보,83,4.8,2026-01-26,5.0,False,34,파스타 맛있음....ㅎ 직원들도 친절한 편이고 매장도 깔끔해요,실버 레벨
살롱순라,kuk1005,36,5,2026-01-26,5.0,False,124,"분위기가 아늑하고 은은한 조명 덕분에 이야기 나누기 딱 좋았어요😍 파스타는 소스가 진하고 면도 탱글탱글, 피자는 치즈가 쭉 늘어나면서 바삭하게 구워져서 둘 다 정말 만족스러웠어요ㅎㅎ 데이트 코스로 완전 추천할 만한 곳이에요",실버 레벨
살롱순라,니빠뜨롱나와라그래,234,2.7,2026-01-15,1.0,False,3,후.조,골드 레벨
살롱순라,가을❣️,4,5,2026-01-15,5.0,False,76,분위기가 너무 맘에드는곳인데 음식이 맛있어서 더 행복해지는곳이예요 스테이크 잡내없이 육즙가득 부드럽고 감바스 마르게리따피자 너무 추천해요,브론즈 레벨
살롱순라,우니,75,5,2026-01-14,5.0,False,66,스테이크는 미듐웰던이였는데 질기지 않고 맛있습니다 감바스는 전혀 느끼함 없이 완존 맛있어요 저희믄 마늘빵 추가했어요^^,실버 레벨
살롱순라,지후니,73,4.9,2026-01-14,5.0,False,37,전체적으로 음식도 맛있구 직원분들도 친절해서 기분 좋았습니다 ^^!,실버 레벨
살롱순라,김유진,88,5,2026-01-12,5.0,False,91,빠쉐진짜 맛있어요 ㅋ 피자에 꿀도 진짜 맛있음!! ㅋ 서순라길에 맛집중에 여기 찜해뒀습니다!! 메뉴여러가지있어서 자주자주 올라고용 ㅋ 인스타에 자랑 잔뜩했네요 ㅋㅋ,실버 레벨
살롱순라,찬이찬,80,4.9,2026-01-12,5.0,False,103,"두번째 방문, 예약하고 방문했는데 만족하고 갑니다 분위기가 모임하기에도 좋고 데이트하기에도 딱이에요 와인 한잔씩 하기에 다 좋은 메뉴들만 있어요 ^^ 가격 가성비도 좋고 양도 많은 편~",실버 레벨
살롱순라,이보선,109,5,2026-01-12,5.0,False,78,인테리어도 한옥 분위기라 좋고 메뉴도 깔끔하니 좋아요 일단 내부도 너무 잘 꾸며놓고 ㅜㅜ 직원분들도 친절합니다 인스타보고 온곳인데 만족합니다,실버 레벨
살롱순라,김지후,51,4.9,2026-01-09,5.0,False,58,살짝 웨이팅했지만 맛있으니까 갠춘!! ㅋ 재료들도 신선하고 맛있네요~~ 파스타랑 스테이크 찐찐 맛있습니다,실버 레벨
살롱순라,서다윤,61,4.8,2026-01-09,5.0,False,44,위치도 너무 좋고 데이트하기 좋아요! 피자도 화덕피자라 맛있었습니당 굿굿 ♥♥♥,실버 레벨
살롱순라,유성민,64,4.7,2026-01-08,5.0,False,90,서순라길 피자 맛집 실화냐구요? 한옥+유럽 무드라 분위기 끝판왕🔥 콰트로 피자 진짜 미쳤고 명란 파스타 꾸덕해서 찐 만족… 비주얼도 예뻐서 사진 오백장은 찍음ㅋㅋ,실버 레벨
살롱순라,김유리,65,4.9,2026-01-08,5.0,False,99,감성 충전엔 분위기 맛집이 최고지요… 화덕피자에 콜라 한잔으로 위로받았어요. 인테리어 예뻐서 속상했던 기분도 싹 사라짐 >3 < 진짜 최고입니다 메뉴도 금방금방 나오고 맛있어요~,실버 레벨
살롱순라,신민수,56,4.9,2026-01-08,5.0,False,115,"테이블 간 간격이 넓어 프라이빗한 느낌이 좋았고, 매장 안 조명 톤도 따뜻해서 음식 사진이 잘 나옵니다!!!! 명란 파스타는 짜지 않고 고소해요. 전체적으로 음식 간도 세지 않아서 부담 없이 즐기기 좋습니다",실버 레벨
살롱순라,장윤아,63,5,2026-01-08,5.0,False,60,한옥 외관인데 내부는 인테리어가 고급지네요 샐러드랑 피자 조합도 굿! 느긋하게 이야기하기 딱 좋은 공간이에요,실버 레벨
살롱순라,예원,16,4,2026-01-08,3.0,True,60,정확히는 3.5임 저 피자는 조금 별로였고 나머지는 맛있었음. 근데 위치가 위치라 그런지 좀 비싼 감이 있음,실버 레벨
살롱순라,냠냠,1,5,2026-01-07,5.0,False,67,찐맛집이에요!! 피자 화덕피자라 맛있음 분위기도 좋고 조용해서 대화하기 좋았어요 맛이 괜찮아서 이 근처 오면 또 오려구요,브론즈 레벨
살롱순라,kkku,63,5,2026-01-07,5.0,False,86,파스타는 크림이 부드럽고 풍미가 살아 있어서 만족스러웠고 리조또도 고소하고 풍미가 풍부해서 마지막까지 깔끔하게 즐기고 나왔네요 ㅎㅎㅎ 데이트장소 강추!!!,실버 레벨
살롱순라,dbrud2128,267,5,2026-01-07,5.0,False,67,파스타 먹으러 다녀왔는데 면이 쫄깃하고 소스가 진짜 맛있었어요!!! 스테이크도 육즙 가득하고 배불리 잘 먹고 왔습니다 😋,골드 레벨
살롱순라,신진아,25,4.8,2026-01-06,5.0,False,79,재방문하고플정도로 맛있었던 집이에요 생각보다 샐러드가 너무 맛있었습니다 모임때문에 방문했는데 진짜 만족했어요~ 가성비도 좋고 직원들도 친절해요,실버 레벨
살롱순라,성민지,30,5,2026-01-06,5.0,False,55,와인걸치기 좋은 곳~~!! 가격대비 진짜 만족스러운 곳이에요 분위기도 좋고 피자도 맛있습니당 ^_^,실버 레벨
살롱순라,정지유,106,4.9,2026-01-05,5.0,False,49,연초 모임으로 왔는데 다들 친절하구 좋네요~~ 음식도 맛있구 담에 데이트하러도 와야겠어요,실버 레벨
