가게 이름,계정 ID,계정의 리뷰 수,계정의 별점 평균,방문 날짜,별점,리뷰 내 사진 유무,리뷰 글자 수,리뷰 내용,카카오맵 리뷰다는 사람 레벨
서래향 대학로점,sin,48,4.9,2026-03-27,5.0,True,104,향긋하게 맛있었던 냉이짬뽕! 짬뽕 먹는데 뭔가 건강까지 생각하며 먹는 느낌 ㅎㅎ 냉이 향이 국물에 싹 배어있어서 너무 산뜻하게 맛있었습니다 이제 봄 오면 이집 냉이짬뽕 부터 생각날듯하네요,실버 레벨
서래향 대학로점,진쁨,46,4.8,2026-03-24,4.0,True,101,난자완스 두께가 두툼!! 소스 가득 머금어서 베어물자마자 입안가득 맛이 확 느껴지는데 완전 행복 ㅠ 육즙 가득해요 ㅋㅋㅋ 소스도 너무 짜지 않고 적당히 달큰해서 맛있게 먹었습니다!!,실버 레벨
서래향 대학로점,ABC,41,4.9,2026-03-24,5.0,True,88,개별 룸이 있어 모임장소로 좋습니다~ 음식 퀄리티도 좋아요 비쥬얼 좋아 다들 음식 나오자마자 사진찍기 바빳네요 ㅎㅎ 맛있게 잘먹고 수다떨며 잘 놀다 갑니다^^,실버 레벨
서래향 대학로점,씨푸드사냥꾼,14,4.9,2026-03-12,5.0,True,79,봄계절메뉴 추천받아서 먹어봤어요 ㅎㅎ내부도 넓고 음식도 맛나요👍 냉이요즘 유행이던데 떡상할듯!! 위치도 좋고 발렛도 가능해서 편하게 이용했네요,실버 레벨
서래향 대학로점,나무야나무야,10,4.9,2026-03-12,5.0,True,76,회사 점심회식으로 가서 먹고왔습니다.. 메뉴도 다양하고 친절하셔서 좋았던 중식당이예요! ㅎㅎ 특히 저..저 냉이짬뽕?? 색다르고 맛있어요,실버 레벨
서래향 대학로점,더블브라우니,16,5,2026-03-12,5.0,True,52,등심탕수육 진짜 맛도리... 내부도 넓고 연극보고 맛집 찾아보다 갔는데 가기 잘한듯 jmt!!,실버 레벨
서래향 대학로점,이규현,3,5,2026-02-24,5.0,True,14,맛있게 잘 먹었습니다 ㅎㅎ,브론즈 레벨
서래향 대학로점,cho,298,3.2,2026-02-18,3.0,False,82,가성비 좋게 깔끔한 요리 잘 먹었습니다. 다만 저희가 연령대가 좀 많다보니 다소 답답함을 느끼셨을지 모르겠지만... 고객 응대가 약간 아쉬웠습니다.,골드 레벨
서래향 대학로점,고승희,45,4.9,2026-01-30,5.0,True,124,"깐풍기 짱짱 맛쥡,, ! 😍 튀김 옷 바삭바삭 얇구 고기맛도 잘느껴지고 냄새없이 맛있어요! 소스도 짱맛,,! 마지막 한 조각까지 맛있게 먹었습니당 ㅋㅋㅎㅎ 요리 퀄리티가 높아서 다른 중식당이랑 차이가 크네요 재방문할께요!!",실버 레벨
서래향 대학로점,안지훈,33,5,2026-01-29,5.0,True,57,어제 과음해서 해장 필요했는데 차돌짬뽕 국물 한 입 먹고 살아남. 고기 육수라 엄청 진하고 묵직한 맛!,실버 레벨
