가게 이름,계정 ID,계정의 리뷰 수,계정의 별점 평균,방문 날짜,별점,리뷰 내 사진 유무,리뷰 글자 수,리뷰 내용,카카오맵 리뷰다는 사람 레벨
정돈,밈미,4,1.5,2026-04-11,2.0,False,17,등심 비계 잡내가 많이 심했어요,브론즈 레벨
정돈,바노피파이,6,3.7,2026-04-05,1.0,False,10,댕실망……………..,브론즈 레벨
정돈,김중혁,1,1,2026-04-04,1.0,True,170,오랜만에 왔는데 이건 좀 아니잖아요 소금이랑 와사비는 미리 퍼놓은지 오래 됐는지 말라비틀어져서 서로 붙어 있고 밥은 질다 못해 떡 됐고 돈까스는 눅눅을 넘어서 기름이 흐르고 반찬들은 하나같이 누린내 나고 17000원인데 3천원짜리 콜라가 제일 맛있었네요 콜라 맛집입니다 콜라 비싸게 드시고 싶으시면 오세요,브론즈 레벨
정돈,미식탐험가,8,3,2026-03-14,1.0,False,163,"별점 0점이 없네요. 등심 시켰는데 닭가슴살 씹어 먹는 줄. 서버에게 조심스레 간만에 와서 그러는데 혹시 이거 평소보다 많이 익어나온거냐고 물어봤으나, 돌아오는 답은 등심은 원래 퍽퍽하다는.. 예전 그 맛이 하나도 없어서 슬펐다. 턱이 아팠지만 배고파서 어쩔 수 없이 카레에 열심히 찍어먹음.",실버 레벨
정돈,프치,10,2.6,2026-03-08,1.0,True,84,"5년 전 학창시절에 진짜 맛있게 먹었는데 이제는 주말 저녁에도 줄 없고 (있어도 바로 자리나는 정도) 돈까스, 반찬, 장국 모두 예전만 못해요 ㅠㅠㅠㅠ",브론즈 레벨
정돈,미각레전드,18,3.2,2026-03-05,4.0,False,82,정돈을 처음 먹었을때가 떠오르네요 안심 돈까스를 먹었을때 겉바속촉촉촉이 이거구나 하이엔드 돈까스들이 많아졌지만 사실 정돈이랑 맛차이가 크지 않아요.,실버 레벨
정돈,붐,122,4,2026-03-03,5.0,True,25,맛있는데 평일 점심 대기 삼십분은 있어요 ㅋㅋ,실버 레벨
정돈,ㅎㅋ,3,5,2026-02-26,5.0,False,15,친절하시고 깨끗하고 좋아요.,브론즈 레벨
정돈,빵떠억,401,3.8,2026-02-23,3.0,True,30,이젠 너무나 평범한 측에 속한.. 생선까스가 더 맛있다,블루 레벨
정돈,성현,4,3,2026-02-09,2.0,True,80,튀기는 온도 잘못맞춰서 그런지 시간을 잘 못맞췄는지 반쯤먹었을때무터 튀김바닥이 축축했어요 다른지점에서먹었을때 맛있던기억에 방문한건데 실망스러워요,브론즈 레벨
정돈,미식연습생K,273,3,2026-02-09,3.0,True,84,요즘 대부분 돈카츠집들이 상향평준화되서 그런지 특별함은 못느꼇습니다 다만 찍어먹는 트러플 소금이 맛있었지만 양이 적엇고 셀러드소스도 양이너무 적었습니다,골드 레벨
정돈,린,59,3.8,2026-01-04,3.0,True,152,"나온 지 5분도 안 되어서 카츠가 축축해졌어요. 등심은 익힘이 살짝 아쉬웠고, 안심은 육향도 익힘도 좋았지만 축축함 때문에 점점 먹기가 힘들었어요. 다시 조리과정을 점검해 주시는 게 좋을 것 같아요. 밑반찬이 특색 있어 좋았지만 기본이 충실한 게 가장 중요한 것 같습니다!",실버 레벨
정돈,Y,252,3.1,2025-12-31,4.0,False,21,요새 맛있는 카츠 집이 많아서 하나 뺌,실버 레벨
정돈,김치맨👨‍🍳,986,3.8,2025-12-30,4.0,True,112,"고급 일식 돈까스의 시초같은 집 본점은 처음 방문했는데, 전반적으로 마음에 들었음 요즘은 진짜 동네마다 이정도 하는 집 하나씩은 있어서 줄을 서서 먹을정도까지는 아닌듯 그럼에도 줄만 안선다면 훌륭한 곳",블루 레벨
정돈,INFJ의 솔직한 리뷰,151,4.5,2025-12-27,5.0,True,100,이 가격대의 돈카츠 중 고기 체급으로 단연 1등. 첫 방문은 홍대점이었지만 본점만의 맛집 바이브가 또 있다. 안심을 등심보다 안 좋아하는데도 안심이 생각이상이었고 생선카츠도 추천.,골드 레벨
정돈,종종,12,4.3,2025-12-21,5.0,False,14,몇년째 가도 안질리는 맛집,브론즈 레벨
정돈,김효원,193,2.9,2025-12-19,4.0,False,11,학교 앞 최고의 맛집,골드 레벨
정돈,깜냥,82,4.1,2025-12-17,4.0,True,5,안심 추천,골드 레벨
정돈,경잉,255,4.2,2025-12-10,4.0,True,27,웨이팅이 너무 길었지만 맛있으니 인정 안심 추천!,골드 레벨
정돈,둥글레차,523,4.2,2025-12-09,4.0,True,39,여전히 맛있어요. 미묘하게 예전같지 않다는 느낌이 들지만 그래도 맛있음,골드 레벨
정돈,돌아다니는,47,4.2,2025-12-06,4.0,False,97,안심돈까스에 새우튀김 추가해서 먹었는데 돈까스에는 만족했으나 새우튀김은 그냥 시키지말걸 후회함 크기만 화려하고 정작 맛은 없음 특별한 품종의 새우라고 기대하지 않는 것을 추천,실버 레벨
정돈,오잉,25,4.6,2025-12-03,5.0,False,19,꼭 안심으로 드세요! 최애 돈까스집,실버 레벨
정돈,동동이,50,4.7,2025-11-29,5.0,True,30,너무 맛있어용!!!!!!!! 안심 드시고 광명 찾으시길,실버 레벨
정돈,넴넴,44,4.4,2025-11-21,4.0,True,25,가격대가 좀 있지만 촉촉한 등심돈까스 맛있어요,실버 레벨
정돈,성원,7,4.1,2025-11-20,5.0,True,170,💛점심을 정돈에서 먹었는데 비가 많이 와서 외부 사진을 많이 찍지 못했어요. 가게가 지하에 있어서 잘 찾아야 하고 웨이팅도 길다는 단점이 있습니다. 하지만 기다린 만큼 맛이 좋아서 괜찮았습니다.참고로 저는 안심을 먹었습니다. 또 다양한 메뉴도 있고 친절해서 좋았습니다.하지만 가격이 조금 부담된다는 점..,골드 레벨
정돈,머랭언니,129,4.2,2025-11-10,4.0,False,161,"친구들과 모임이 있어 점심식사 하려갔네요 항상 웨이팅 기본 30분 이라고 들어 걱정을 하였는데 1시40분 바로 자리 안내 받고 5명이 같은 메뉴 주문합니다 짝짝짝 맛있 안심 돈까스 이곳은 돈까스 도 맛있지만 레몬 소금, 밑반찬 도 아주좋아요 매장 깔끔하고 직원분들 친절하시구요 잘먹었습니다",골드 레벨
정돈,!,7,3.9,2025-11-08,5.0,True,17,진짜 너어어어어무 맛이써효 최고,실버 레벨
정돈,최호은,81,3.7,2025-11-06,4.0,True,372,"등심은 단연 원탑. 모든 돈까스집을 가본것은 아니지만 지금까지 갔던 곳중에 가장 좋았다. 일반적인 등심보다 조금 더 기름진 느낌에 익힘정도가 괜찮다. 와사비, 소금, 소스 모두 잘어울린다. 블랙타이거새우는 몸통 껍질만 벗겨 머리 꼬리를 살려 통째로 튀겨나오는데 맛은 있긴하나 먹기가 좀 불편했고 솔직히 이 가격에라는 생각은 든다. 카레에 치즈추가 역시 그냥 저냥 무난했다. 카레는 양파를 오래 볶은 카레 맛이고 치즈추가는 화구와 함께 미지근한 상태의 카레위에 녹이지 않고 줘 천천히 녹아들어가는데 개인적으로는 처음부터 뜨거운 카레에 녹여서 올려줬으면 했다. 돈까스와 같이 먹으려했는데 거의 다 먹을때쯤 돼서야 뜨뜻해졌다. 다시 간다면 그냥 등심만 시켜 먹을것 같다.",실버 레벨
