가게 이름,계정 ID,계정의 리뷰 수,계정의 별점 평균,방문 날짜,별점,리뷰 내 사진 유무,리뷰 글자 수,리뷰 내용,카카오맵 리뷰다는 사람 레벨
칸다소바 혜화점,meow,48,4,2026-04-12,5.0,False,43,가끔 생각나는 칸다소바 마제소바. 한여름엔 면 삶는 열기로 너무 더워요. ㅠㅠ,실버 레벨
칸다소바 혜화점,무조건 5점드림,3,3.7,2026-04-10,1.0,False,404,칸다소바 좋아서 일주일에 한 번은 시간내서 가는데요!! 오늘 늦게 퇴근해서 가니까 손님 받기 싫으신지 뚱뚱하신 분이 싫은 표정을 지으시더라고요 남자분은 안 그랬는데 뭐 어쨌든 마감 얼마 남지않은 상황에 손님이 와서 치우기 싫으 무슨 마음인지 이해합니다 그렇지만 행동으로 보여주셔서 괜히 불편한 금요일 보냅니다 식사 기다리는 도중에도 젓가락 책상위에 두시고 젓가락통 가져가시고 컵도 채우시고 저희가 마감 30분 전에 나갔는데 그때 해도 되는 거 굳이 앉아있는 저희에게 보여주듯이 해주셔서 먹는 내내 불편했고 다신 가지않을 거에요!! 최악의 서비스로 인해 맛있는 음식 먹는데도 불쾌했습니다~ 이 글 보신다면 좋은 마음으로 일해주세요! 불편 불쾌 그리고 화장실 안내해주실 때 기계적인 말투 좀 지양해주세요 진심 제일 불쾌했습니다,브론즈 레벨
칸다소바 혜화점,짧은코가시두더지,94,3.9,2026-04-06,3.0,True,75,"🍽️시킨 메뉴: 마제소바 (11,000) 기대한 것보다 조금 시큼한 느낌. 강남, 합정 마제소바 집에 비해서는 아쉽지만 먹을만 했어요.",골드 레벨
칸다소바 혜화점,맛있을지도,189,4.3,2026-03-19,4.0,True,107,요샌 맛있는 마제소바집이 워낙 많지만 그래도 첫사랑처럼 첫 마제소바집이라 그런지 혜화 들릴 때마다 제일 먼저 생각나는 곳. 마제소바 이외에도 여러가지 라멘들도 추가돼서 다음엔 라멘 먹어볼 예정,골드 레벨
칸다소바 혜화점,유니,342,4.1,2026-03-17,4.0,True,34,느끼한 걸 잘 못 먹어서 그런지 갠적으로 아부라소바가 제 취향,골드 레벨
칸다소바 혜화점,MM6lovers,4,2.3,2026-03-15,2.0,False,47,보통은 후기 안남기긴 하는데.. 홀이 싸가지가 없네요 밥먹는데 옆에서 잡담하면서 놀고,브론즈 레벨
칸다소바 혜화점,맛집탐구냥,24,4.8,2026-03-09,4.0,True,23,이만한 일본식 누들 프랜차이즈가 잘 없어요,실버 레벨
칸다소바 혜화점,갈비만두,25,3.9,2026-03-01,2.0,True,20,흠.. 흐음.. 왜 인기가 많은걸까?,실버 레벨
칸다소바 혜화점,맛집 에드가드가,43,3.6,2026-02-15,3.0,False,28,아부라소바 먹었는데 유명세에 비해 그저 그런 맛..,실버 레벨
칸다소바 혜화점,흇,417,3.8,2026-01-31,5.0,False,35,친절하시고 서비스도 좋고 확실히 다른 지점에 비해 더 가게됩니다,골드 레벨
칸다소바 혜화점,권태영,560,4.4,2026-01-28,4.0,True,128,이곳에 와서 반드시 이것을 먹어야겠다 정도는 아니지만 정말 푸짐하고 맛있게 한 끼 잘 먹었습니다 면도 많고 고기도 많이 들어있고 숙주와 양배추도 푸짐해요 마늘향 진하고 좋았습니다 계속 먹으려니 다소 느끼해서 나중엔 다대기 넣었네요,블루 레벨
칸다소바 혜화점,..,119,4,2026-01-28,4.0,True,135,먹어본 마제소바 중에 제일 맛있었어요 테이블에 써있는대로 절반정도 먹었을때 고추기름이랑 식초 넣어서 먹으면 맛있어요 후기에서 껍데기 필수라해서 껍데기 있는걸로 먹었는데 굳이 싶었어요 그냥 일반 껍데기 맛.. 근데 마제소바 때문에 또 가고싶어요,골드 레벨
칸다소바 혜화점,냥!,28,4.3,2026-01-22,5.0,False,11,다른 지점보다 맛있음,실버 레벨
칸다소바 혜화점,불친절한곳은1점줌,232,3.3,2026-01-02,4.0,True,243,웨이팅 등록 전에 먼저 결제부터 하라고 해서 하고 50분 정도 웨이팅 하고 들어가서 먹는데 너무 느끼해서 콜라 추가주문 할수있냐니까 아까 웨이팅 등록 전 사전 결제 때 미리 음료까지 다 했어야하고 이제와서 추가 주문 불가하다함.. 이런 시스템 처음 봐서 너무 황당 ㅠ 그리고 교자는 리뷰마다 추가하라길래 했는데 죄송한데 ㄹㅇ 그냥 기성품 맛이라 특별한 점도 없고 다들 왜 추천하는 거지 싶음 고향만두가 더 맛있었음 마제소바는 맛있었어요,골드 레벨
칸다소바 혜화점,그라토리,43,3.5,2025-12-30,5.0,True,30,여태 국내에서 먹은 라멘중 가장 맛있는 라멘을 파는곳.,실버 레벨
칸다소바 혜화점,H,316,4.5,2025-12-29,5.0,True,65,"식당 입구부터 일본풍의 느낌이 물씬! 매장도 청결하고, 마제소바도 맛있네요.^^ 퇴근 후 혼밥하러 종종 와야겠습니다ㅎ",골드 레벨
칸다소바 혜화점,진심의 문,38,4.6,2025-12-22,5.0,False,183,기록용. 맛 2점. 올려치기 너무 심함. 조리메뉴얼에 기본 틀은 나쁘지 않은 것 같은데 그 맛을 살릴만큼 관리가 안됨. 대충 만들어 먹어도 이거보다 맛있음. 편의점에서 파는 맛 없는 냉장식품 수준의 맛임. 특이사항. 한 그릇에 담긴 요리인데 면 조리 정도가 뒤죽박죽이라 어떤 건 익고 어떤 건 안 익고 어떤 면은 달라 붙어있음.,실버 레벨
칸다소바 혜화점,설동윤,33,4,2025-11-26,5.0,False,1,👍,브론즈 레벨
칸다소바 혜화점,성북구토박이,344,3.8,2025-11-23,3.0,True,32,혜화에서 라멘이나 마제소바 먹고 싶으면 괜찮은 집 3.5점,골드 레벨
칸다소바 혜화점,syj,242,2.9,2025-11-21,2.0,False,11,그저그래요 재방문 x,골드 레벨
칸다소바 혜화점,우주최강러블리,281,5,2025-11-09,5.0,True,4,맛있어요,골드 레벨
칸다소바 혜화점,진행시켜,47,3.7,2025-11-03,3.0,False,37,점점 갈때마다 맛이 없어짐..처음과 다른 정성이 없어진는듯하다...,실버 레벨
칸다소바 혜화점,때껄룩,70,4.4,2025-10-30,5.0,False,14,무난하게 먹을만해요 괜춘함,실버 레벨
칸다소바 혜화점,맛잘알,11,3.4,2025-10-24,5.0,True,9,전반적으로 맛있다,브론즈 레벨
칸다소바 혜화점,noname,132,4.1,2025-10-19,5.0,True,61,돼지껍데기 아부라소바 강추함. 고기랑 같이 먹는 녹진한 면이랑 느끼함이 없는 부추고명이 정말 정말 훌륭합니다.,골드 레벨
칸다소바 혜화점,7943185,193,3.6,2025-10-17,4.0,False,58,혼밥하기 좋은 곳 인테리어 잘 되어 있고 직원 분들 친절하셨는데 제 입맛엔 안 맞았어요 전 마제소바 먹음,골드 레벨
칸다소바 혜화점,경남대고독한미식가,19,3.6,2025-09-30,5.0,False,15,돈코츠 개맛있음 일본임 그냥,실버 레벨
칸다소바 혜화점,영,4,2.8,2025-09-17,3.0,True,70,맛은 있음 근데 진짜 짜다... 그리고 느끼함 음식 비주얼은 괜찮은데 공간도 좁고 불편하고 한 번은 갈 만한데 두 번은 안 감,브론즈 레벨
칸다소바 혜화점,.,8,2.5,2025-09-06,1.0,False,61,자리도 많은데 왜 혼자온 손님하고 커플하고 같은 테이블 앉히는거임?ㅋㅋㅋ 접객도 좀 생각을 하고 했으면....,브론즈 레벨
