가게 이름,계정 ID,계정의 리뷰 수,계정의 별점 평균,방문 날짜,별점,리뷰 내 사진 유무,리뷰 글자 수,리뷰 내용,카카오맵 리뷰다는 사람 레벨
효제루,정원선,69,3,2026-04-06,4.0,False,18,간짜장이 없지만 짜장도 맛있네요z,실버 레벨
효제루,ㅇㄴ,208,4.2,2026-03-31,4.0,False,10,짬뽕 약간 밍밍했음,골드 레벨
효제루,하쿠나 마타타~!!!,897,4.4,2026-03-18,5.0,True,196,"종로구 주민인데~... 이런곳을 왜 이제야 알았을까~ㅠ ㅠ 탕수육 진심 미쳤습니다~!!! 끈적끈적한 볶먹인데 바삭한게 과이 압도적입니다~!! 유리 깨지는줄 알았네요~^^ㅋㅋ 정말 너무 너무 맛있습니다~!! 과한것도 없고, 부족한것도 없고~... ㅠ ㅠ 짜장소스도 아까워서 밥비벼서 싹싹 치웠네요~^^ 먹다보니 오픈하고 20분정도 되기까 줄 많아집니다~",블루 레벨
효제루,김수현,17,4.4,2026-03-11,5.0,True,6,탕슉 맛난다,실버 레벨
효제루,꼬우면 잘하던가,13,3.6,2026-03-11,3.0,False,29,무궁화 가라 이거 먹겠다고 줄서기엔 점심시간이 아깝다,실버 레벨
효제루,오리지널이 좋아,139,3.5,2026-03-08,5.0,False,315,탕수육.. 별4.5 솔직히 이집보다 뛰어나다 딱 떠오르는 집은 없는 것 같음. 호텔 중식당이나 유명셰프의 식당 정도 밖에는… 탕수육 너무 흔하지만 90%이상은 맛없거나 그냥 있으니까 먹는 느낌인데 이 집은 확실히 맛있게 먹을 수 있음. 볶먹이지만 끝까지 적당히 바삭하면서 쫀득하고 고소한 맛이 절제된 단맛&산미의 소스하고도 아주 조화로움. 개인적으론 고기가 더 날씬했으면 좋을 것 같은데 두꺼운 걸 좋아하는 사람이 많으니까… 복불복성으로 살짝 돼지냄새&탄내가 베어드는 조각이 두어개 있었고 자차이 같은 게 있으면 더 질리지 않게 먹을 수 있을 듯. 웨이팅 상당함.,골드 레벨
효제루,Chill gay,51,4,2026-03-01,4.0,False,116,탕수육은 볶아져서 나오는데 은은한 불맛도 느껴지고 확실히 맛있다! 해물 짬뽕은 마싯고 깔끔함 근데 간이 좀 쎄서 끝에 먹기 좀 힘들다 그리고 고기 고명이 같이 올라와서 육향이 느껴지는게 좋다. 짜장은 평범!!,실버 레벨
효제루,카우,602,3.6,2026-01-31,2.0,True,129,요즘 동네 중식집들이 다 하향평준화돼서 여기가 과대평가된 듯 실은 그냥.. 평범한 맛. 다른 후기들 말대로 간이 세다. 그러나 개인적으로 국물맛에 깊은 맛이나 시원맛은 못 느꼈음. 그리고 해물짬뽕인데 해물 건더기가 터무니 없이 적음,골드 레벨
효제루,방랑자,17,4.2,2026-01-14,5.0,False,59,"상당히 상당한 맛 사골 국물과 해물,볶은 돼지고기채의 조화 유명한 프차 중식집인 이x가 짬뽕의 상위호환!!",실버 레벨
효제루,정히를따르라,1675,3.5,2026-01-07,4.0,True,122,탕수육 인정 짬뽕 조금 짜다 면은 내가좋아하는 면이였고 야채도 많고 조개새우오징어고기 다 양많았다 1개시켰는데 2개로 나눠주신 센스 친절하셨다 오픈런 웨이팅하고먹었으면 조금 실망했을듯 짜장면도 먹어보고 싶긴하다 3.4점,퍼플 레벨
