계정 ID,계정의 리뷰 수,방문 날짜,별점,리뷰 내 사진 유무,리뷰 글자 수,리뷰 내용,카카오맵 리뷰다는 사람 레벨
내가 보려고 쓰는 리뷰,76,2026-03-28,2.0,False,12,너무 기름지고 헤비해요,실버 레벨
SEOUL,19,2026-03-20,5.0,True,30,한국에서 제일 맛있는 버거집이 아닐까 생각이 드네요..,실버 레벨
lll,5,2026-03-13,4.0,True,23,"맛있긴 했으나, 기대한 만큼은 아니었습니다",브론즈 레벨
zzaero,312,2026-03-07,5.0,True,101,주말 12시 이전에 가니 웨이팅 없이 먹을 수 있었음. 버거는 기름진 것들 투성이었으나 느끼하지 않았음. 감자튀김은 바삭하고 무료로 리필 되는 듯. 웨이팅 30분 이내면 먹을만 함.,골드 레벨
진짜 맛있거나 별로면 올림,96,2026-03-07,1.0,False,17,이정도 가격에 이맛이면 비추 ㅠ,실버 레벨
주작을보면짖는고양이,197,2026-02-28,5.0,False,11,깔끔하구 친절하고 굿,골드 레벨
ㆍ,28,2026-02-24,5.0,False,60,로또벅 넘 맛있어요🍔 사이다캔이 너무 시원하고 수제버거인데도 가격이 괜찮아서 이제 다른 패스트푸드점 안가게됨,실버 레벨
모든지 식후경🗽,33,2026-02-22,5.0,True,243,"[15번 방문] 📍서울 혜화역 - 솔직별점: ★ ★ ★ ★ ★ - 재방문 의사: 100% - 비고: 피클이 맛있음 벅벅이 집앞으로 이사와서 너무 좋았어요 벅벅은 일관된 맛이라서 넘 조아요 항상 서비스, 청결, 맛이 너무 과하지 않고 변동이 크지 않아서 실망할일이 없는 맛집 입니다 저는 여기 피클먹고 단맛 없는 피클에 중독 됐어요 혹시 시판 제품이면 제품명을 알고싶고 만드는 거라면 팔아주세요!!!!!! 오래오래 성대 후문을 지켜주세요",실버 레벨
전찬성,241,2026-01-26,5.0,False,89,모든 메뉴의 가성비가 매우 좋았고 후라이가 리필이 되는것도 좋았음 패티가 매우 기름져서 기름이 뚝뚝 떨어지는 수준인데 이건 호불호가 갈릴듯 매장이 매우 청결했음,골드 레벨
종종,12,2025-12-21,5.0,False,30,진짜 맛있어서 많이 갔는데 이젠 사람이 너므 많아요..,브론즈 레벨
식탐백곰,146,2025-11-12,2.0,True,185,패티 두 장에 베이컨 추가해서 먹어봤어요. 음... 재료에서 느껴지는 충실감에 비해 맛이 따라오지 못하는 거 같아요. 솔직히 맛있는 햄버거란 생각은 안 들었습니다. 패티 반죽에 크게 양념이 되어있지 않아서일까요? 아니면 소스가 덜 자극적이어서일까요? 아 그리고 패티에 사용된 고기는 글쎄요..... 저로서는 많은 의문이 들었습니다.,골드 레벨
슞,16,2025-11-02,1.0,False,27,포장했는데 10분 걸린다고 하고 20분 넘게 걸림,실버 레벨
독고한 미식가,48,2025-10-31,1.0,False,5,별로입니다,실버 레벨
욱븍볻굣,6,2025-10-17,2.0,False,7,느끼함 심하게,브론즈 레벨
푸,31,2025-10-13,2.0,False,36,제 입맛에는 너무 느끼했어요...ㅠㅠ 재방문은 안 할 것 같습니다,실버 레벨
lisianthus,75,2025-10-13,4.0,True,305,"줄 서서 기다릴 정도는 아니지만, 신선한 재료로 만든 수제 햄버거의 깔끔한 맛이 인상적인 곳입니다. 패티는 과하게 두껍지 않고 그렇다고 얇지 않으며 촉촉하고, 감자 후렌치 후라이도 바삭하면서 기름지지 않아 부담이 없습니다. 비닐장갑과 케첩은 셀프로 이용하는 시스템인데, 그만큼 자유롭고 캐주얼한 분위기가 느껴집니다. 무엇보다 500ml 캔 콜라가 제공되어 햄버거와 함께 시원하게 곁들이기 좋았어요 🥤 전반적으로 과한 기대보다는, 가볍게 지나가다 들러 한 끼 즐기기에 괜찮은 곳입니다. 깔끔한 수제버거 한입으로 작은 만족을 느낄 수 있었던 시간 😊",골드 레벨
모든지 식후경🗽,33,2026-02-22,5.0,True,35,[15번 방문] 📍서울 혜화역 - 솔직별점: ★ ★ ★ ★...,실버 레벨
식탐백곰,146,2025-11-12,2.0,True,74,패티 두 장에 베이컨 추가해서 먹어봤어요. 음... 재료에서 느껴지는 충실감에 비해 맛이 따라오지 못하는 거 같아요. 솔직히 맛...,골드 레벨
lisianthus,75,2025-10-13,4.0,True,58,"줄 서서 기다릴 정도는 아니지만, 신선한 재료로 만든 수제 햄버거의 깔끔한 맛이 인상적인 곳입니다....",골드 레벨
bl,2,2025-10-11,5.0,False,6,최고 그자체,브론즈 레벨
.,124,2025-10-04,5.0,False,28,폭력적인 맛 ㅇㅈ합니다. 모든 버거 중 제일 맛있음,실버 레벨
악에받칠때만욕함,93,2025-09-22,5.0,False,14,매우 흉폭한 맛! 개맛잇음,실버 레벨
마요네즈,93,2025-09-04,4.0,True,21,처음 먹었을때 충격을 아직도 잊지 못함,골드 레벨
김건희,20,2025-08-27,5.0,False,48,살면서 먹은 치즈버거중 제일 맛있음. 햄버거를 빨아먹는다는게 무슨 뜻인지 알게되는 곳.,실버 레벨
텅장러,33,2025-08-24,4.0,True,21,벅벅이 근처에 있는 성대생이 되고 싶다,실버 레벨
Jensen Huang,229,2025-08-19,5.0,False,164,"전국 1위 야채없이 기름과 패티로 승부보는 곳 맨주먹으로도 타 버거를 압도한다 싸울때 쇠파이프 들고 너클끼고 싸울필요가 있을까 버거 순위 (주관적) 1위 벅벅 2위 버거리 등촌점 3위 쉘터버거 4위 BD버거 성수점 (새우버거) 5위 르프리크 성수점 (치킨버거) 별로였던곳 다운타우너, 알지비버거",골드 레벨
샌드위치,337,2025-08-18,5.0,True,169,"벅벅의 아이덴티티는 축축함입니다. 기분 나쁜 흥건함이 아니라, 무게감 있게 축축한 버거. 사실 그러다보니 식감을 만들어내는 요소가 피클 말곤 없다시피 해서, 감상 포인트가 더블패티의 풍부한 육즙에 몰리게 됩니다. 생각보다 자극은 덜한데 그만큼 입안 꽉 차는 육즙+치즈의 풍미가 더 잘 느껴져 좋았습니다.",골드 레벨
시골쥐,25,2025-08-16,4.0,False,49,분명 맛있는데 기대를 너무 많이 한 듯... 막 신세계 이런 느낌은 아니었지만 맛있긴 함,실버 레벨
서우진,55,2025-07-31,4.0,True,33,기름지고 맛있는 기본에 충실한 햄버거 가격도 너무 훌륭하다.,실버 레벨
JK,1,2025-07-24,5.0,False,22,"감자튀김 맛있고, 버거 맛있음 자주갈듯?",브론즈 레벨
everything,372,2025-07-22,5.0,True,84,부디 오래 갔으면 하는 곳. + 확장 축하드려요! 여름 되니까 가끔 벅벅 부채 들고 다니시는 분들 보여서 반가워요ㅋㅎ 선한 마음 전부 다 돌려 받으시길,골드 레벨
ㅋㅌㅋ,20,2025-07-22,5.0,True,33,"지리는 패티 육즙, 부드러운 번, 두꺼운 감튀.. 모두 최고",실버 레벨
카키,347,2025-07-06,3.0,True,109,"세트 가격이 생각보다 좀 있기도하고, 또 소스나 포크 이런거도 직접 챙겨야하고 맛도 그냥 그래서 그냥 프랜차이즈 버거집 가는게 나을것 같다는 생각이 들어요 다만 감튀 리필 되는건 좀 메리트 있는듯",골드 레벨
파란꼬리별,52,2025-06-28,4.0,True,16,이것은 확실히 건강에 좋지않다,실버 레벨
망고미,17,2025-06-23,2.0,True,135,작년에 이태원에서 먹고 너무 맛있어서 오랜만에 본점으로 와서 먹어봤었는데요. 그때와 다르게 아무맛이 안느껴져서 놀랐습니다. 육즙인지 기름인지는 많았는데 패티맛이 1도 안나요. 약간 기름젖은 고소한 빵 먹는느낌? 본점 버거 점검 좀 하셔야겠어요,실버 레벨
Jensen Huang,229,2025-08-19,5.0,False,33,전국 1위 야채없이 기름과 패티로 승부보는 곳 맨주먹으...,골드 레벨
샌드위치,337,2025-08-18,5.0,True,79,"벅벅의 아이덴티티는 축축함입니다. 기분 나쁜 흥건함이 아니라, 무게감 있게 축축한 버거. 사실 그러다보니 식감을 만들어내는 요소가 피클 ...",골드 레벨
카키,347,2025-07-06,3.0,True,62,"세트 가격이 생각보다 좀 있기도하고, 또 소스나 포크 이런거도 직접 챙겨야하고 맛도 그냥 그래서 그냥 프랜...",골드 레벨
망고미,17,2025-06-23,2.0,True,48,작년에 이태원에서 먹고 너무 맛있어서 오랜만에 본점으로 와서 먹어봤었는데요. 그때...,실버 레벨
js,10,2025-06-06,1.0,False,17,"사장님, 너무 화가나 보이세요.",실버 레벨
