식당 이름,계정 ID,계정의 리뷰 수,방문 날짜,방문 횟수,인증 수단,리뷰 내용,리뷰 글자 수,리뷰 내 사진 유무
보끔당 성수점,Mediator,47,2026.05.09,2번째 방문,영수증,밥을 시키고 바로 취소했는데도 안해주시네요. 여기 마인드가 왜이런지 모르겠어요.,44,False
보끔당 성수점,dbs****,29,2026.05.09,1번째 방문,영수증,맛있는 밑반찬이랑 1단계 닭볶음탕을 먹었지만 너무 맛있게 잘 먹었습니다 감사합니다☺️,47,True
보끔당 성수점,iee****,74,2026.05.08,3번째 방문,영수증,엔번째 방문입니다 진짜 최고 ㅠㅠㅠ,19,True
보끔당 성수점,lee100477,50,2026.05.08,1번째 방문,영수증,닭볶음탕은 원래맛있어서 자주 포장해 먹는데 팽이버섯 튀김은 첨먹어봤어요 바삭하고 짭짤하니 너무 맛있네요!!,59,True
보끔당 성수점,민지22,17,2026.05.08,1번째 방문,영수증,닭보끔탕이 제 최애메뉴인데 너무 맛있어요.. 2단계 적당하게 매콤해요!!!! 가끔 생각나서 여기 옵ㄷ니당 ㅎ,60,True
보끔당 성수점,ec67,54,2026.05.06,1번째 방문,영수증,넘 맛있어요~~~! 대창마늘 추천합니당,21,True
보끔당 성수점,susjjs28,58,2026.05.06,2번째 방문,영수증,"매콤하고 뼈,순살 선택할수있어서 좋고 매운것도 선택해서 먹을수있어서좋아요",40,True
보끔당 성수점,오모리38,11,2026.05.06,1번째 방문,영수증,너무 맛있어요!! 항상 맛있어서 자주 와요!!❤️❤️,29,False
보끔당 성수점,Kyle641,4,2026.05.05,1번째 방문,영수증,"꽈리간장찜닭은 처음 먹어봤는데, 적당한 단짠 양념과 꽈리고추의 조화가 최고였습니다. 닭고기 맛있고 양도 푸짐해서 배부르게 잘 먹었어요! 성수동 찜닭 맛집 👍👍",88,True
보끔당 성수점,a80****,27,2026.05.05,1번째 방문,영수증,"처음 와보는 곳인데 엽떡 엽기닭볶음탕이랑 비슷한 맛이었어요! 호기롭게 2단계해서 저는 너무 매웠는데, 1단계 했으면 더 맛있게 먹었을 것 같아요. 친구는 엄청 맛있다고 먹었는데 저는 매워서 좀 아쉬웠어요 그치만 그만큼 매운 거 좋아하시는 분들은 좋아하실 것 같아요 !!! ☺️",154,True
보끔당 성수점,etk****,7,2026.05.05,1번째 방문,영수증,"닭볶음탕도 너무 양이 많고, 감자랑 고구마랑 사리도 너무너무 맛있고 좋아요! 그리고 오징어전도 닭볶음탕 소스랑 찍어먹으니까 너무너무 맛있습니다 ㅎㅎ 지금까지 살면서 먹은 닭볶음탕 중에 제일 맛있어요!😄😄 재방문 의사가 확고합니다 ㅎㅎ",130,False
보끔당 성수점,구리송곳주먹,22,2026.05.05,1번째 방문,영수증,맛있어용 매장도 깨끗하고 아기 데리고 오기 너무 좋아요~,31,True
보끔당 성수점,샌더소니아아,8,2026.05.05,1번째 방문,영수증,세트메뉴 주문했고 전부터 나왔는데 바삭하고 맛있어요! 보끔당 궁금했는데 잘 먹구 갑니당☺️,50,True
보끔당 성수점,질주9,25,2026.05.05,1번째 방문,영수증,찜덝 양이 많고 맛있어요!,14,True
보끔당 성수점,lwb7809,,2026.05.04,1번째 방문,영수증,음식이 너무 맛있고 직원 분들이 친절햐요 다음에 또 방문 할 예정입니다.,40,True
보끔당 성수점,주재0,,2026.05.04,1번째 방문,영수증,찜닭이 먹고싶어서 왔는데 꽈리고추 간장찜닭이 맛잇고 양도 생각보다 많아서 너무 좋습니다 인테리어 깨끗해서 믿음이 가는 곳입니다,70,True
보끔당 성수점,허송세월958,3,2026.05.04,1번째 방문,영수증,맛있게 잘먹겠습니다~!!,13,False
보끔당 성수점,KANG53,8,2026.05.02,1번째 방문,영수증,단골인데 항상 맛있고 애용하고 있습니다!! 맛있게 먹고 갑니다 닭볶음탕 정말 맛있어요!,48,True
보끔당 성수점,hhy****,40,2026.05.02,2번째 방문,영수증,동네 맛집 보끔당 언제나 정답입니다.,20,False
보끔당 성수점,메출출,32,2026.05.02,1번째 방문,영수증,회사 근처있어서 몇번 왔었는데 오늘은 친구랑 왔어요!! 맛있고 좋아요!!,40,False
보끔당 성수점,선영holic,16,2026.05.02,1번째 방문,영수증,매장 정말 깨끗하고 음식 맛았어요. 딸아이가 온적있어서 추천해준 식당인데 성수동 일대애서 젤 맛있어요.,57,True
보끔당 성수점,열혈영자,1441,2026.05.02,1번째 방문,영수증,닭볶음탕과 계란찜 굿굿,12,True
보끔당 성수점,JENNY55,9,2026.05.01,2번째 방문,영수증,언제 먹어도 맛있어요! 오늘도 잘 먹었습니다. 😊,27,True
보끔당 성수점,SOWN88,11,2026.05.01,1번째 방문,영수증,너무 맛있어요ㅠ 성수올때마다 항상 여기오는 것 같아요 손님 더 많아져야 할 맛 ...👍,48,True
보끔당 성수점,jin****,10,2026.05.01,1번째 방문,영수증,매장도 깨끗하고 좋아요 음식도 맛있고 맛도 괜찮고! 음식양도 많아요!,38,False
보끔당 성수점,son****,,2026.05.01,1번째 방문,영수증,닭볶음탕이 땡겨서 왔는데 너무 만족스럽습니다~ 맛있게 먹구 갑니다 뽀끔당~~~,43,True
보끔당 성수점,꼬부기7727,17,2026.05.01,1번째 방문,영수증,매운거 끌려서 찾아보다가 왔는데 저만 모르던 맛집인가봐여,31,True
보끔당 성수점,날아보자92,10,2026.05.01,1번째 방문,영수증,"아이 2명(초4, 7살) 대리고 왔는데 애들이 너무 맛있게 먹었네요. 날치알 볶음밥 등 애들이 먹을것도 많아서 온가족이 만족하며 먹었습니다. 맛도 최고예요! ㅎ",89,False
보끔당 성수점,수안132,7,2026.05.01,2번째 방문,영수증,자주 오는데 항상 맛있어요!,15,False
보끔당 성수점,zacry,52,2026.04.30,1번째 방문,영수증,로제찜닭 너무 맛있어요. 먹기 전 사진 찍는 걸 깜박했는데 여러분도 로제찜닭 꼭 시켜드세요!!!,53,True
보끔당 성수점,단하나11,122,2026.04.30,5번째 방문,영수증,음식도 맛있고 매장도 청결해서 자주 방문해요 !,26,True
보끔당 성수점,이재광58,6,2026.04.30,2번째 방문,영수증,매번 와서 먹지만 먹을수록 더 맛있습니다. 이번에는 대창을 먹었는데 맛있네요. 다음에는 꽈리간장 한번 먹어보룝니다!!,65,True
보끔당 성수점,hyeon9K,,2026.04.29,2번째 방문,영수증,점심시간에는 사람이 너무 많아서 못오는데 저녁은 여유롭게 먹을수 있어서 좋아요~~,45,True
보끔당 성수점,thd****,23,2026.04.29,1번째 방문,영수증,맛있어요! 리뷰적는데 또 먹고싶네요!,20,True
보끔당 성수점,071****,11,2026.04.28,1번째 방문,영수증,맛도있고 넓고 쾌적해거 좋았어요. 오랜만에 찜닭 먹는건데 행복했습니다ㅜ,39,True
보끔당 성수점,닉네임을입력해주시와요구르트,99,2026.04.28,1번째 방문,영수증,기깔나게 잘 먹구갑니다!!!,15,True
보끔당 성수점,인생모토 복세편살,28,2026.04.28,2번째 방문,영수증,순살 닭볶음탕 시켰어요 맵기조절돼서 넘좋아용🥰 납작당면 추가해서 넘 맛있어요!!! 최고최고!,51,True
보끔당 성수점,화화누누,88,2026.04.28,3번째 방문,영수증,항상 잘먹고 있어요!!,12,True
보끔당 성수점,Lcm24,41,2026.04.27,3번째 방문,영수증,자주오는찐맛집에요 여기가최고인듯!!!!!!!,24,False
보끔당 성수점,루타나,76,2026.04.27,1번째 방문,영수증,양념이 매콤달달해서 맛있네요! 새우전도 바삭하고 이색적인 맛입니다 ㅎㅎ 잘먹었습니다!,47,True
보끔당 성수점,한글별명1,33,2026.04.27,1번째 방문,영수증,점심에 든든하게 먹기 너뮤 좋아요 순살닭볶음탕 + 묵은지 조합 최고예요!!,41,True
보끔당 성수점,Mediator,47,2026.04.26,1번째 방문,영수증,맛있어요. 먹을만해요. 다음에 또 올 것 같아요.,27,True
보끔당 성수점,shi****,37,2026.04.26,1번째 방문,예약,양 많아요 맛있구요 좋아요,14,True
보끔당 성수점,나뷰33,48,2026.04.26,5번째 방문,영수증,맛있게 잘 먹었습니다! 매장도 넓고 늘 맛있어요!,27,True
보끔당 성수점,뚱떵,53,2026.04.26,1번째 방문,영수증,묵은지 김치 닭볶음탕 너무 추천해요~~ 맛있어요 얼큰 칼칼하고 맵기는 1-2단계 있는데 불닭 잘 못 먹는데 충분히 먹을 만한 맵기예요. 오모리김치라면에 닭 넣어 먹는 느낌이예여,98,True
보끔당 성수점,꾼지63,29,2026.04.25,1번째 방문,영수증,닭볶음탕 맛집이에요 너무 맛있습니다!! 재방문 의사 있고요 직원분들도 너무 친절하십니다!,49,False
보끔당 성수점,샤라라02,34,2026.04.25,2번째 방문,영수증,늘 오는곳예요 정말 맛있어요,15,False
보끔당 성수점,alswhd958459,22,2026.04.24,1번째 방문,영수증,주문즉시 조리해 나와서 더 맛있어보여요! 너무 맛있게 잘먹었어요~^^ 성수 맛집!이네요!,49,True
보끔당 성수점,smk****,21,2026.04.24,2번째 방문,영수증,항상 자주 옵니다!! 순살 닭볶음탕 넘 맛있어요!!,28,False
보끔당 성수점,진구맘98,609,2026.04.24,9번째 방문,예약,너무 맛있어서 먹고나서 사진을 찍게 됐네요.. 순살로 시키면 손에 묻을게 없어서 너무 좋아요. 술과함께 강추요~~~~,65,True
보끔당 성수점,309****,,2026.04.23,1번째 방문,영수증,가게도 깔끔하고 음식도 맛있고 좋아요! 새튀진짜 맛있고 맵기 조절 할수있어서 넘 좋아요 냄새도 안나고 최고!,60,True
보끔당 성수점,bob****,38,2026.04.23,3번째 방문,영수증,너무맛있고 사장님들도 친절하시고 좋아요!! 다음에또 오겠습니다!!,36,True
보끔당 성수점,지흥지흥,37,2026.04.22,2번째 방문,영수증,너무너무 맛있게 먹었어요,13,True
보끔당 성수점,ruc****,26,2026.04.21,1번째 방문,영수증,사장님이 친절하거 음싣이 맛임ㅅ어요!! 외국인이 ㅁ많아요'!!!!둣둣,38,True
보끔당 성수점,zhzh11,55,2026.04.21,2번째 방문,영수증,닭볶음탕중에 젤 마싯는곳 ㅠㅠ,16,True
보끔당 성수점,nyo****,31,2026.04.20,1번째 방문,영수증,예전부터 와보고 싶어서 방문헸는데 매장 쾌적하고 좋아용 음식도 맛있습니다💕💕👍,43,True
보끔당 성수점,yuu****,3,2026.04.20,1번째 방문,영수증,로제는 진짜 최고입니다 특히 떡은 되게 쫄깃쫄깃하더라구요 환경도 좋고 점원님도 엄청 친절하시구요 다음에 또 올게욥-!ㅎㅎ,67,True
보끔당 성수점,뿡빵9819,19,2026.04.20,2번째 방문,영수증,올 때마다 맛있어서 항상 잘 먹고 가요! 직원도 친절하십니다,33,True
보끔당 성수점,sy223,,2026.04.19,1번째 방문,영수증,맛있어요~! 밥이랑 같이 먹기 좋아요 맵기도 선택할 수 있어서 맵찔이한테 굿,42,True
보끔당 성수점,재리030,22,2026.04.19,1번째 방문,영수증,나무뷰의 닭볶음탕 맛있게 먹고 갑니다! 닭볶음탕 너무 땡겼는데 성수쪽인데도 불구하고 사람 너무 붐비지도 않고 편하게 잘 먹었어요.,72,True
보끔당 성수점,모찌젤리2,9,2026.04.17,1번째 방문,영수증,두 번째 방문이에요! 여기 진짜 맛있어요~!!! 매장도 깔끔하고 직원분들도 친절해요!,47,True
보끔당 성수점,민트4054,108,2026.04.17,3번째 방문,영수증,보끔당 정말 맛있어요 성수맛집 성수동점심,22,True
보끔당 성수점,pixxie,11,2026.04.16,1번째 방문,영수증,"복끔당 회사 근처에 있어서 처음 가봤는데 기대 이상으로 너무 맛있었어요👍 닭볶음탕 양념이 진짜 잘 배어 있고, 국물 맛이 깊어서 밥이랑 같이 먹기 최고였어요🍚 닭도 부드럽고 전혀 질기지 않아서 먹기 편했고, 맵기도 딱 적당해서 계속 손이 가더라고요. 근처에서 이렇게 맛있는 집 발견해서 완전 만족…! 앞으로 점심이나 퇴근하고 자주 올 것 같아요😊",193,True
보끔당 성수점,푸딩46,114,2026.04.16,1번째 방문,영수증,집 근처에 점심 먹으러 왔는데 정말 맛있네요!,25,True
보끔당 성수점,dad****,,2026.04.15,1번째 방문,영수증,닭한마리 먹고 싶었는데 배터지게 먹었네요! 묵은지 닭볶음탕도 얼큰하니 맛있었어요!!,46,True
보끔당 성수점,은는이가1,16,2026.04.14,1번째 방문,영수증,너무맛잇어요!!! 잘먹고갑니다 :),19,True
보끔당 성수점,지우087,,2026.04.14,1번째 방문,영수증,매장도 크고 깔끔하고 닭볶음탕 너무 맛있게 먹었습니다 !!! 사리도 저렴해서 젛아요,46,True
보끔당 성수점,너구리밥밥,21,2026.04.13,1번째 방문,영수증,직원분들 친절하시고 음식 예쁘게 잘 나와서 좋았어요~ 맛도 있어요ㅎㅎ 재방문 의사 있습니다 밥이랑 먹기 너무 좋아요,64,True
보끔당 성수점,박서영41,18,2026.04.13,1번째 방문,영수증,묵은지 김치찜 맛잇어요! 양도 푸짐하고 1단계 맵기는 딱 신라면맵기에요~,40,True
보끔당 성수점,gaepu나는개푸,87,2026.04.12,1번째 방문,영수증,너무 맛있습니다! 외국인 친구들도 맛나다고하네요!!!,29,True
보끔당 성수점,임이현97,,2026.04.11,1번째 방문,영수증,보끔당 닭볶음탕 정말 맛있습니다!!!! 떡볶이 맛도 나고 밥이랑 같이 먹으먄 정말 최고에용,50,True
보끔당 성수점,zjy****,5,2026.04.10,1번째 방문,영수증,"닭 보끔당 진짜 맛있어요! 닭고기가 엄청 부드럽고 소스가 자극적이지 않으면서도 감칠맛 나요. 매운 정도도 선택할 수 있어서 좋고, 기본 반찬으로 나오는 김도 아삭하니 맛있어요. 분위기도 깔끔하고 직원분들 친절해서 다음에 또 가고 싶어요. 강추합니다!",139,True
보끔당 성수점,yjo****,33,2026.04.09,1번째 방문,영수증,진자 최고예요 닭보끔탕 최고!! 매우면서 마싯다•••ღ˘◡˘ற♡.｡o,38,True
보끔당 성수점,ilo****,56,2026.04.07,3번째 방문,영수증,벌써 3번째 방문이에요! 가성비도 좋고 무엇보다 넘 맛있어요!! 가게도 깔끔하고 담에 또 올게용 ㅎㅎ,56,True
보끔당 성수점,도토리261,6,2026.04.07,2번째 방문,영수증,가끔 고기도 먹고 싶고 칼칼한게 먹고 싶을때 오는 곳이죠! 특히 남편이 좋아해요 양도 많아서 빈 그릇을 챙겨와요. 일찍 와야 대기하지 않아요^^,80,True
보끔당 성수점,민경7843,6,2026.04.06,1번째 방문,영수증,즐건 가족 점심모임 너무 맛있네요~^^,21,True
보끔당 성수점,HYANG22,30,2026.04.05,1번째 방문,영수증,맛있어요 성수 맛집 ! 존맛탱,16,True
