식당 이름,계정 ID,계정의 리뷰 수,방문 날짜,방문 횟수,인증 수단,리뷰 내용,리뷰 글자 수,리뷰 내 사진 유무
갸우뚱,까다로운입맛이라힘든사람,134,2026.04.10,1번째 방문,영수증,너무 맛나게 먹었습니다 분위기도 좋구 양도 은근많아요 맛있어요 다 추천합니다.,43,True
갸우뚱,Kra81,44,2026.04.08,1번째 방문,영수증,맛이써요~ :)),9,True
갸우뚱,hjm****,14,2026.04.08,1번째 방문,영수증,혜화올때마다 한번 와야지했는데 비오는날이라 그런지 특히 짬뽕너무 맛있고 샤오롱바오도 맛있어요!,52,True
갸우뚱,tjc****,58,2026.04.08,1번째 방문,영수증,헉 너무 맛있어요 동파육 좋아하는데 최고.. 가게 분위기도 넘 좋아요!!,40,True
갸우뚱,봄스36,1097,2026.04.08,2번째 방문,영수증,메뉴가 다양하고 맛있어요~~,15,True
갸우뚱,태크비,12,2026.04.08,1번째 방문,영수증,양도 많고 맛있습니다!! 대만 홍콩식 음식류가 맛있어요 특히 딤섬!,37,True
갸우뚱,thp****,19,2026.04.07,1번째 방문,영수증,음식이 맛있어요,8,True
갸우뚱,맷돼지장군님,1018,2026.04.07,9번째 방문,영수증,어향가지 맛있어용,9,True
갸우뚱,JH3248,65,2026.04.06,1번째 방문,영수증,맛있어요 ㅎ 간짜장 고빼기 시켰는데. 진짜 양 많네요,29,True
갸우뚱,Oliolioli,31,2026.04.06,1번째 방문,영수증,넘 맛있고 분위기도 조아요,14,True
갸우뚱,yun****,8,2026.04.06,1번째 방문,영수증,잡채밥과 동팥육을 시켰는데 그냥 무난하게 맛있었습니다!,30,True
갸우뚱,맛집전문가9,109,2026.04.05,1번째 방문,영수증,맛있어요! 다음에 또 먹으러 올게요!,20,True
갸우뚱,아가오리1,48,2026.04.05,1번째 방문,영수증,아기들하고 왔는데 아기의자 없는건 아쉽지만 음식은 기성비 좋네요. 잘먹고 갑니다,44,True
갸우뚱,유건재20,3,2026.04.05,1번째 방문,영수증,음식 맛있어요,7,True
갸우뚱,잡상인62,107,2026.04.05,1번째 방문,영수증,팔보채 짜장면 특이한데 맛있어여!,18,True
갸우뚱,찐빵576,190,2026.04.05,1번째 방문,영수증,맛있어보여서 방문했어요! 동파육이랑 마파두부먹었는데 마파두부 안매워서 좋네료~,43,True
갸우뚱,해피아이61,71,2026.04.05,1번째 방문,영수증,"재료 완전 풍족하고 맛있어요! 일요일 3시방문했는데 브레이크타임 없고, 웨이팅없어서 바로들어갔어요😊",55,True
갸우뚱,e0min,36,2026.04.04,1번째 방문,영수증,우연히 들어왔는데 맛있어요~~ 아이도 잘 먹어요~,27,True
갸우뚱,fbehdus23,10,2026.04.04,1번째 방문,영수증,맛있어요! 사람 많을 줄 알았는데 대기없이 들어갔어요. 거의 주문하자마자 메뉴가 나와서 좋았서용,53,True
갸우뚱,moamia,34,2026.04.04,1번째 방문,영수증,친구 추천으로 와봤는데 분위기도 좋고 음식도 맛있어용 !! 추천합니다 ♥,40,True
갸우뚱,time45202,133,2026.04.04,1번째 방문,영수증,토요일 연극보고 브레이크타임 없는 곳으로 알아보다 첫방문 했는데 맛과 분위기 다 좋았어요. 단지 식사와 반주 함께 하기에는 테이블이 좀 좁아 불편함이...;;,88,True
갸우뚱,설8814,33,2026.04.04,1번째 방문,영수증,길가다 우연히 들어왔는데 맛있어용!😄,20,True
갸우뚱,umt****,21,2026.04.03,1번째 방문,예약,"대학로 갸우뚱에서 즐거운 시간 보내고 갑니다. 코스 요리 먹었는데, 먹는 속도에 맞춰서 음식이 나와 편안한 분위기에서 잘 먹었습니다. 감사합니다.",81,True
갸우뚱,딸기우유9475,887,2026.04.02,1번째 방문,영수증,"연극보기전 방문~ 인테리어도 외국에 온 느낌으로 분위기 좋아요~ 특별한 메뉴도 있구 동파육덮밥, 탕수육 넘 맛있어요~~",66,True
갸우뚱,ha****,35,2026.04.01,1번째 방문,영수증,너무 맛있고 분위기도 좋았어요! 생각보다 양도 많앗어용 다음에 또 올게요!!,42,True
갸우뚱,안녕60,98,2026.03.31,1번째 방문,영수증,음식이 깔끔하고 분위기도 좋아요! 탕수육이 엄청 부드럽네여 혀로 씹는중,39,True
갸우뚱,모래요정2294,47,2026.03.30,1번째 방문,영수증,줄서는 식당이라고 해서 와봤습니다. 마파두부에 면 추가해서 먹으니 맛있네요^^,43,True
갸우뚱,cho****,56,2026.03.29,1번째 방문,예약,마파두부가 맛있네요 적당한 마라 잘먹고 갑니당 👍👍👍,29,True
갸우뚱,yan****,41,2026.03.29,1번째 방문,영수증,맛있어요 ㅎㅎ 매운 해물짜장이랑 소고기 차오미엔 시켰습니다 감사합니다~,39,True
갸우뚱,푸바라기,32,2026.03.29,1번째 방문,예약,오랜만에 중식이 땡겨서 갔는데 너무 맛있게 먹고왔어요! 유린기는 바삭하고 면요리의 소고기 너무 부드러워서 고기 잘 안드시는 엄마도 엄청 맛있다고 하셨어요!,86,True
갸우뚱,행복한너굴,63,2026.03.29,1번째 방문,영수증,"남편과 대학로 데이트 왔다가 우연히 발견한 ""갸우뚱"" 1인 코스로 딤섬, 마파두부(면추가☆), 탕수육, 짬뽕, 볶음밥 시켰는데 다 너무 맛있어요♡ 또오겠습니다❤️",90,True
갸우뚱,wew****,21,2026.03.28,1번째 방문,영수증,처음오는데 진짜멋있고 맛있네요!!!,19,True
갸우뚱,과일소녀6,28,2026.03.28,1번째 방문,영수증,아이와 같이 오기 좋은것 같아요~어른아이 다 음식이 너므 잘 맞고 맛있어요!!!!,45,True
갸우뚱,김석영04111954,37,2026.03.28,1번째 방문,영수증,,0,True
