계정 ID,계정의 리뷰 수,방문 날짜,방문 횟수,인증 수단,리뷰 내용,리뷰 글자 수,리뷰 내 사진 유무
joo****,281,2026.01.08,1번째 방문,예약,음식이 빠르게 나오는거+서비스 음식 너무 감사했는데 본질인 스시가 아쉬움이 있었습니다 저번에 맛있어서 또 간거였는데 밥에 물기가 많았던건지 초밥을 집을때 밥알이 흩어져서 속상하더라구요 그래도 또 갈꺼예유 오래 장사해주세유,123,True
맛있는거죠아ㅇ,70,2025.11.07,1번째 방문,영수증,"맛있어요!!! 여기 연어초밥 다들 드셔보세요 ㅎㅎ 제 최애 연어초밥 집이에요~~!!!!☺️생연어만 먹으면 물려서, 전 훈제+생연어 반반 초밥 시켰어요!",84,True
뚱치빵치뿡치,1587,2026.01.25,2번째 방문,,,0,True
노불K,1124,2025.09.26,7번째 방문,영수증,오늘은 초밥 이 너무너무 맛있어요,18,True
아리아나아나,504,2025.07.18,1번째 방문,영수증,"성대입구 사거리 메가커피 옆집에 자리한 기꾸스시~ 매번 웨이팅이 있고 젊은층에게 항상 인기가 좋아 눈여겨보고 있다가 일본학생 입맛에도 맞다는 말에 방문! 키오스크로 주문하면 따끈한 웰컴우동(!)이 기본으로 나온다. 가장 베이직한 기꾸스시를 시켰는데,, 초밥 위 생선들이 아주 신선했다! 갑오징어스시 엄지척! 다닥다닥 붙어앉아 소소하게 즐겁게 즐길 수 있는 기꾸스시:)",205,True
phdk1253,227,2025.09.01,1번째 방문,영수증,여기 연어덮밥 대존맛 저녘에가면 머리나오는데 오늘은 점심방문,33,True
kee****,2,2025.07.28,1번째 방문,영수증,지나가다 잠시들어가 연어덥밥이랑 유부초밥 시켰습니답 혼밥이라 얼른먹고 나가려 집중해서 먹는데도 바 넘어로 들리는 사장님과 알바님 대화에 밥먹는 내내 기분좋았습니다 작은것 까지도 알바님을 칭찬해주고 지지하며 즐겁게 일하시는 모습이 너무 보기 좋았고 저런분들이 손수 만들어 주시는 초밥은 더더욱이 믿을만 하고 맛잇었습니다 더위에 짜증나고 예민할수 있음에도 손님이었던 저 까지 기분좋아지는 식사였어요 잘먹었습니다!,228,True
크라트너,432,2025.05.20,1번째 방문,영수증,가성비가 좋은곳은 아니고 회가 좋은곳은 아니고 그냥 자리가 있다면 혼술하기는 좋은곳 같은 느낌? 소주는 없는곳 술이 다양하진 않다. 회도 그닥.,80,True
보가뚜,227,2025.06.19,2번째 방문,영수증,성대앞의 무난한 스시집 저녁시간에는 웨이팅있는경우가 많음,31,True
wer****,245,2025.03.14,1번째 방문,예약,연어덮밥과 기꾸초밥 먹었는데 다 너무너무 맛있었어요~성대 개강시즌이라 1시 20분쯤 가니까 15분정도 기다려야 하더라고요ㅎ...주문하고선 기다리는동안 주시는 우동 서비스 맛있게 먹고 있다보면 음식 금방 나와서 순삭하고 갑니다👍초밥 땡기면 혜화에선 무조건 기꾸스시 강추해요!!,153,True
노불K,1124,2025.06.22,6번째 방문,영수증,너무너무 맛있어요,9,True
유칼리28,376,2025.05.07,1번째 방문,영수증,초밥 안에 와사비가 안 들어 있고 따로 나와서 아이들도 매운거 싫어하시는 분들도 먹기 좋을 것 같아요. 스시가 두툼해요. 저는 개인적으로 두툼해서 부담스러웠지만 좋아하시는 분들에게는 좋을듯 해요.,109,True
l6****,1393,2025.06.22,5번째 방문,영수증,맛있어요^^,6,True
yeo****,30,2025.04.15,1번째 방문,영수증,진짜 너무 맛있어요.. 리뷰이벤트 아니고 리뷰 쓰기는 또 처음 ㅎㅎ..,39,True
밥707,35,2025.04.18,1번째 방문,포장,"연어가 너무 두툼해요ㅠㅠㅠ 가게 초반부터 자주 다녔는데, 회가 정말 두툼하고 신선해서 정말 좋아합니다!!!",59,True
노불K,1124,2025.05.03,5번째 방문,영수증,너무너무 맛있어요,9,True
덕천60,3,2025.04.30,1번째 방문,예약,3년전부터 다녔던곳인데 맛이나 서비스나 점점 다…안 좋아지고 있네요.. 삶은 연어도 장국도..다 없어지고 참 아쉽네요,65,True
구5840,32,2025.03.21,1번째 방문,예약,혜화 근처 초밥은 여기가 정말 최고예요 신선하고 친절하시고 맛있고👍👍 연어초밥 추천해요,48,True
wlc****,2,2025.02.04,1번째 방문,영수증,제 기준 혜화동 최고 맛집 1티어. 연어에서 수박향이 나요. 오늘 연어 잡으시는 거 직접봤는데 여쭤보니까 원래는 매일 아침 오픈 전에 두 세마리씩 잡으신다더라구요. 연어 진짜 너무 신선하고 맛있어요. 물론 다른 초밥도 최고였습니다. 추천 추천.,136,True
