식당 이름,계정 ID,계정의 리뷰 수,방문 날짜,방문 횟수,인증 수단,리뷰 내용,리뷰 글자 수,리뷰 내 사진 유무
깔리,amo****,33,2026.04.10,3번째 방문,영수증,커리 먹고 싶을 때 매번 방문합니다. 혜화에서 인도 커리 먹고 싶으면 완전 추천드립니다!,49,True
깔리,봄봄4639,2,2026.04.10,1번째 방문,영수증,대학로 유명한 인도음식이라고 해서 방문했습니다. 세트메뉴를 선택했는데 음식도 맛있고 양도 충분하고 좋았습니다. 오래된 맛집인거 같은데 오래된 이유가 있는듯요,87,True
깔리,JessieJay,83,2026.04.09,1번째 방문,영수증,이사하기전에 자주 왔던 맛집이에요!! 우연히 혜화 연극보러왔다가 생각나서 왔는데 역시 맛있습니다♡,54,True
깔리,kos****,21,2026.04.09,1번째 방문,영수증,"오랜만에 다시 찾았는데 여전히 맛있습니다! 커리도 매콤하고 부드럽고, 난은 쫄깃하고 카레랑 잘 어울립니다. 볶음밥도 매콤하고 맛있어요!",75,True
깔리,옥정 불주먹,8,2026.04.09,1번째 방문,영수증,혜화 올때마다 들리는 커리 맛집이에요💛 이번엔 부모님 모시고 방문했는데 맛있게 드시는 모습에 기분이 좋아졌네요ㅎㅎᩚ 정통 커리 맛집 찾으신다면 깔리 강추입니다!,89,True
깔리,녹부,21,2026.04.08,1번째 방문,영수증,오랜만에 인도 커리 먹고 싶어서 방문했는데 너무 맛있게 잘 먹었습니다!,39,True
깔리,서지현8981,8,2026.04.08,1번째 방문,영수증,식당 분위기도 현지 같고 음식도 정말 마싰어용 양도 많아서 배 터질뻔 했어요~~,44,True
깔리,함지뿌,1508,2026.04.08,1번째 방문,영수증,향이 이국적이고 맛있어요! 저렴하고 양도 많은것같아오ㅡ!!!♡ 브레이크끝나고 오후에왔는데 저희가 두번째였고 저희다음부터 사람들 계속왔어요ㅋㄱ,78,True
깔리,Heavenonearth,4,2026.04.07,1번째 방문,영수증,맛있네요.현지 맛과 비슷해서 너무 좋아요. 커리가 진하고 양도 많아요. 자알 먹고 갑니다.,50,True
깔리,illiiilli,81,2026.04.07,1번째 방문,영수증,리뷰 많아서 저장해뒀다 방문했어요!! 인도술도맛있네요!!,31,True
