식당 이름,계정 ID,계정의 리뷰 수,방문 날짜,방문 횟수,인증 수단,리뷰 내용,리뷰 글자 수,리뷰 내 사진 유무
뎁짜이 대학로점,Chocochocochoco,86,2026.04.10,1번째 방문,영수증,하나같이 다 맛있어요! 1인1메뉴 주문하면 면리필가능합니다 ㅎ 쌀국수 최근 먹은것중 제일 맛있어요,54,True
뎁짜이 대학로점,권시연24,21,2026.04.10,2번째 방문,영수증,너무 맛있어요!!!! 꼭 방문해보세요! 추천합니다!!!!!,32,True
뎁짜이 대학로점,이규리13,23,2026.04.10,1번째 방문,영수증,너무너무 맛있어요! 쌀국수 국물은 진하고 분짜랑 볶음밥은 소스가 굉장히 좋네요ㅠㅠ 다음에도 꼭 방문 할거에요^^,62,True
뎁짜이 대학로점,cocoritty,181,2026.04.09,1번째 방문,영수증,국물이 너무 시원하고 곱창을 엄청 많이 넣어주셨어요!,29,True
뎁짜이 대학로점,띠용띠용띠용띠,31,2026.04.09,1번째 방문,영수증,혜화 쌀국수집 중 최고 맛집ㅇ에요 넘넘 마싯어서 재방문 의사 100프로,39,True
뎁짜이 대학로점,이로573,884,2026.04.09,3번째 방문,영수증,혜화에서 쌀국수 제일 맛있는 곳입니다~~,22,True
뎁짜이 대학로점,도도네로,56,2026.04.08,1번째 방문,영수증,혜화에 오래된 맛집이라고 해서 왔어요! 맛있어요!!,28,True
뎁짜이 대학로점,메이비49,757,2026.04.08,1번째 방문,예약,혜화 맛집 전부터 와보고싶었는데 분위기 너무 좋고 쌀국수 너무 맛있어요💖,40,True
뎁짜이 대학로점,pky****,8,2026.04.07,1번째 방문,영수증,#혜화 맛집 #쌀국수 맛집 너무 맛있어요!! 성대 4학년 학생인데 오늘 처음 온게 아쉬울정도ㅜㅜㅜ 강추함다👍👍👍,62,True
뎁짜이 대학로점,국공,4562,2026.04.07,1번째 방문,영수증,"실제 베트남에 온것같이 맛있습니다. 연인들, 과 CC 데이트 코스로 오기 딱입니다 꼭 방문해보세요",54,True
뎁짜이 대학로점,수아맘45,36,2026.04.07,1번째 방문,영수증,두번째 방문인데 역시맛있네요~~ 쌀국수는 여기로 먹으러 와요^^,35,True
뎁짜이 대학로점,Starlit Night,22,2026.04.06,1번째 방문,영수증,비가와서 쌀국수 먹고싶어 들어왔어요 혜화 대학로 맛집으로 유명하죠~ 점심시간 피해서 대기없이 들어오니 좋네용 잘먹겠습니다~,68,True
뎁짜이 대학로점,햇번스,117,2026.04.06,2번째 방문,영수증,나의 최애 쌀국수집 여기 분보남노 어디에도 없어서 항상 찾아옵니다 오늘은 볶음밥도 먹었는데 꿀조합이네요^^ 신랑은 쌀국수 나는 분보남보 너무 맛있어요^^ 대학로 맛집 추천입니다,98,True
뎁짜이 대학로점,프링앤폴,52,2026.04.05,1번째 방문,예약,대학로 먹자골목에 위치한 베트남 쌀국수 식당 인테리어가 마치 베트남에 온것 같은 곳이었습니다. 분짜하고 새우 밥 시켰는데요 분짜는 육수에? 면하고 고기올리고 야채올려서 먹었는데 맛있습니다. 새우 볶음밥 시켜먹었는데 우리나라 쌀밥 좋아하는 사람은 싫어할수도 있는 날리는 가벼운 쌀?에 가깝다고 생각해요. 밋밋한 느낌이어서 칠리소스를 곁들여서 먹었습니다. 멀리서 방문오시는 건 비추인것 같고 주변에 뭐 먹을까 고민하다 쌀국수가 땡기시면 가보시는 걸 추천해드립니다.,257,True
뎁짜이 대학로점,27399,4,2026.04.04,1번째 방문,영수증,너무 맛있고 내부 디자인도 이뻤습니다! 쌀국수 국물이 넘 깊었고 볶음밥도 맛있었어요 ☺️☺️ 잘 먹고 갑니다!!,62,True
뎁짜이 대학로점,2bom2,36,2026.04.04,1번째 방문,영수증,혜화 맛집 뎁짜이! 볶음밥이랑 쌀국수 다 맛있어요 ㅎㅎ,30,True
뎁짜이 대학로점,Bmiok,1,2026.04.04,1번째 방문,영수증,혜화 쌀국수 맛집 맛있어요 추천!!,19,True
뎁짜이 대학로점,Classic739,10,2026.04.04,1번째 방문,영수증,현지느낌 나는 쾌적한 혜화맛집! 다음엔 볶음밥 외에 다른 것들도 먹을거에요. 혼밥세트에 볶음밥+국수있음 좋겠다ㅠㅜ,63,True
뎁짜이 대학로점,Thehappyoh,30,2026.04.04,1번째 방문,영수증,혜화오랜만에 와서 친구랑 맛있게 먹고가요! 맛있는 쌀국수와 고수까지 좋아요! 혜화 맛집인것 같아요,54,True
뎁짜이 대학로점,YONOSO,44,2026.04.04,1번째 방문,영수증,너무맛있어요!!!!!! 추천합니다 쌀국수 혜화 점심,28,True
뎁짜이 대학로점,cwt15985,23,2026.04.04,1번째 방문,영수증,너무 맛있게 잘 먹었습니다!,15,True
뎁짜이 대학로점,fl6540,45,2026.04.04,2번째 방문,영수증,혜화 맛집 쌀국수 볶음밥 맛집입니다!! 항상 올때마다 먹어용!!,35,True
뎁짜이 대학로점,ino****,79,2026.04.04,1번째 방문,영수증,저번에 먹고 맛있어서 이번엔 지인들이랑 같이 왔어요 여러가지 먹으니 더 좋은것 같아요,47,True
뎁짜이 대학로점,ku****,29,2026.04.04,1번째 방문,영수증,혜화맛집 쌀국수 땡겨서 하노이 맥주랑 진짜 좋네요...😀😀 너무 맛있어요,40,True
뎁짜이 대학로점,yuyuyyuu,37,2026.04.04,2번째 방문,영수증,혜화 쌀국수 맛집입니당 !! 추천드려용,21,True
뎁짜이 대학로점,김민정7322,26,2026.04.04,1번째 방문,영수증,음식이 맛있어서 부모님과 한번 더 왔어요 ㅎㅎㅎ 추천해요~,32,True
뎁짜이 대학로점,별을품은숲,134,2026.04.04,1번째 방문,영수증,혼밥하기도 좋구 음식이 아주 맛있어용!!!!!,25,True
뎁짜이 대학로점,이엉주,27,2026.04.04,1번째 방문,영수증,음식이 굉장히 빨리 나오고 맛도 있네요. 양도 많아요!,30,True
뎁짜이 대학로점,jia0607,44,2026.04.03,1번째 방문,영수증,"대학로에서 쌀국수 먹고 싶어서 방문한 뎁짜이. 혜화역에서 조금 걸어 들어가야 하는 위치인데, 내부는 베트남 느낌 나는 인테리어로 분위기 괜찮은 편. 쌀국수는 매장에서 직접 만든 생면이라 확실히 식감이 일반 체인점이랑 다름. 부드럽고 쫄깃한 느낌인데, 사람에 따라 조금 흐물하다고 느낄 수도 있을 듯. 국물은 깔끔하고 자극적이지 않아서 부담 없이 먹기 좋았음. 반미 샌드위치도 같이 먹었는데 이게 은근 맛있음. 빵은 바삭하고 속 재료 조합도 좋아서 쌀국수랑 같이 먹기 딱 좋은 메뉴였음",270,True
뎁짜이 대학로점,sim****,8,2026.04.03,1번째 방문,영수증,친구의 찐맛집이라 첨 오게됐는데 너무 맛있어서 또 올 것 같아요 🤩 음식 너무 다 맛있고 향신료 음식 잘 못 먹는 저도 너무 맛있게 먹었어요 :) 💕,83,True
뎁짜이 대학로점,dlw****,48,2026.04.02,1번째 방문,영수증,쌀국수 양도 많고 1인1메뉴하면 면도 리필 가능해서 완전 배부르고 맛너게 잘 먹었습니다! 현지 쌀국수 대학로 맛집입니다!🤤🤤🤤🤤,71,True
뎁짜이 대학로점,hemalgeum,5,2026.04.02,1번째 방문,영수증,혜화맛집!!! 쌀국수 국물이 진짜 대박이에요!!,26,True
뎁짜이 대학로점,nek****,18,2026.04.02,1번째 방문,영수증,"혜화에 우연히 들르게 되어 혜화맛집을 검색하다가 발견한 곳! 오픈시간에 방문했는데도 저 외에 손님이 꽤 있었습니다. 혼밥하기도 정말 좋습니다. 메뉴는 쌀국수, 느억맘 새우볶음밥 모두 추천드립니다!",109,True
뎁짜이 대학로점,poseidon1218,18,2026.04.02,1번째 방문,영수증,혜화 쌀국수 맛집 혜화 뎁짜이 방문했어요. 기본 쌀국수도 고기도 든든하고 면도 리필이 되서 든든하고 좋았어요. 셀프바에 고수도 충분히 가져다 먹을수 있어서 좋았어요. 재방문 의사 있어요,103,True
뎁짜이 대학로점,리메리64,87,2026.04.02,1번째 방문,영수증,쌀국수맛집이라고해서 와밨어요 역시 맛잇네요 ㅋㅋㅋ 비빔쌀국수 기대안햇는데 짱!!,44,True
뎁짜이 대학로점,봄여름가을달,13,2026.04.02,1번째 방문,영수증,퇴근길에 대학로에 들렀다가 우연히 방문했어요. 간단하게 먹자 싶어서 방문했는데 덕분에 든든하고 맛있게 먹었습니다. 쌀국수랑 짜조를 시켰는데 맛있었어요,83,True
뎁짜이 대학로점,오동통통82,9,2026.04.02,1번째 방문,영수증,아 진짜 맛있어요 꼭 오세용 분위기도 좋고 맛있습니다. #혜화맛집 #볶음밥 #쌀국수,46,True
뎁짜이 대학로점,호이호이a,39,2026.04.02,1번째 방문,영수증,매장도 아담하고 분위도 좋네요! 음식운 골고루 시켜봤는데 시킨메뉴들이 깔끔하고 맛있어서 좋았어요~,54,True
뎁짜이 대학로점,che****,1,2026.04.01,1번째 방문,영수증,너무 맛있어요! 대학로 맛집 진정한 쌀국수 성지가 되시길 기원합니다.😍,39,True
뎁짜이 대학로점,hey8637,22,2026.04.01,1번째 방문,영수증,#혜화+맛집 #베트남 쌀국수!!! 맛있어요!!! 국물이 진하고 맵기는 신라면 맵기여서 맛있게 잘 먹었어요~ 베트남 여행갔다 온 기억이 새록새록 생각나는 느낌이었습니다!! 맛집인 이유가 있어요!!,108,True
뎁짜이 대학로점,hpg****,11,2026.04.01,1번째 방문,영수증,혜화 맛집 검색하다가 너무 맛있어보여서 점심 먹으러 왔는데 너무 맛있고 조용하니 좋네요👍,49,True
뎁짜이 대학로점,먕먕0525,10,2026.04.01,1번째 방문,영수증,오랜만에 다시 온 뎁짜이! 마라 쌀국수랑 분짜 시켜보았어요 맛있게 잘 먹고 가요:),46,True
뎁짜이 대학로점,Gigiri,37,2026.03.30,4번째 방문,영수증,늘 맛있게 먹고가요!! 쌀국수 생각나면 자주 옵니당! 오늘도 맛있게 먹고갑니당!,44,True
뎁짜이 대학로점,ebb****,28,2026.03.30,2번째 방문,영수증,혜화 유명한 맛집이예요! 자주 방문하지만 언제나 변함없이 맛있어요‘ 쿠팡 주문도 계속 들아와요! 고수는 셀프바에사 냠냠,66,True
뎁짜이 대학로점,honeybee0311,76,2026.03.30,2번째 방문,영수증,생면으로 만들어진 쌀국수! 서울오면 늘 들르는 곳~^^,30,True
뎁짜이 대학로점,pin****,10,2026.03.30,1번째 방문,영수증,쌀국수 시켰는데 양도 너무 많고 정말 맛있어요! 다음에 혜화에 또 오게되면 재방문 의사 완전 있습니다!! 정말 맛집이에요^^,69,True
뎁짜이 대학로점,soojung092837,58,2026.03.30,1번째 방문,영수증,너무맛있는집이에요! 배달로만시켜먹다가 직접먹으러왔어요🤤🤤 #혜화 맛집 #쌀국수,43,True
뎁짜이 대학로점,김성현0722,11,2026.03.30,1번째 방문,영수증,대학생활 하면서 쌀국수는 여기에서만 먹습니다. 생면이라 좋아요. 국물도 맛있어요,44,True
뎁짜이 대학로점,내마음득근득근,14,2026.03.30,1번째 방문,영수증,"오랜만에 만족스러운 쌀국수집을 찾은 것 같아요 :) 국물 맛이 정말 깔끔하면서도 진해서 한입 먹자마자 맛있다는 생각이 들었어요. 면도 너무 퍼지지 않고 쫄깃한 식감이 잘 살아 있어서 끝까지 맛있게 먹었습니다. 고기도 생각보다 넉넉하게 들어 있어서 양도 만족스러웠고, 숙주랑 곁들여 먹으니 더 맛있었어요. 매장 내부도 깔끔하고 분위기가 편안해서 식사하기 좋았고 직원분들도 친절하셔서 기분 좋게 다녀왔습니다. 다음에 쌀국수 생각나면 또 방문하고 싶은 곳이에요ㅎㅎ",256,True
뎁짜이 대학로점,젤만88,44,2026.03.30,1번째 방문,영수증,지인이 추천해줘서 혜화 맛집오게되었어요! 소문 그대로 쌀국수 국물이 정말 진국이었어요 다음에 혜화 방문해도 재방문할 예정입니다,70,True
뎁짜이 대학로점,ur****,64,2026.03.29,19번째 방문,예약,대학러 맛집 뎁짜이 수없이 방문했어요 ㅎㅎ 항상 맛있어요,31,True
뎁짜이 대학로점,림제99,119,2026.03.29,1번째 방문,영수증,혜화 쌀국수 맛집 !! 메뉴도 다양해서 좋아요 💕,27,True
뎁짜이 대학로점,ur****,64,2026.03.28,18번째 방문,예약,항상 오는 뎁짜이 너무 맛있구 혜화 쌀국수 맛집 인정합니다💞,33,True
