식당 이름,계정 ID,계정의 리뷰 수,방문 날짜,방문 횟수,인증 수단,리뷰 내용,리뷰 글자 수,리뷰 내 사진 유무
동해루,kAPo,114,2026.04.03,1번째 방문,예약,삼선간짜장 시켰는데 새우만 있어서 아쉬웠지만 잘 먹었습니다.,33,True
동해루,kfot****,4,2026.03.18,1번째 방문,영수증,"중국집 찾고 있었는데, 우연히 들렀다가 제대로 된 곳을 발견했네요. 사장님의 친절함과 음식의 맛, 그리고 깔끔한 분위기까지 모든 게 완벽했습니다. 종로 최고인 듯!",91,True
동해루,evng****,8,2026.03.17,1번째 방문,영수증,"입맛 없을 때 찾아갔는데, 정말 입맛이 확 살아나는 맛이에요. 짜장면은 담백함 그 자체였고, 탕수육은 겉바속촉의 정석이었습니다. 앞으로 자주 오게 될 것 같아요.",90,True
동해루,zoe****,20,2026.03.09,1번째 방문,영수증,"가야기 가야지 하고 생각했던 서을시내 간짜장 성지... 월요일 휴기로 인해 11시 오픈이라 10시반에 도착해서 주변을 서성이다. 10시 50분 입장..이미 다수의 사람들이 후루룩 소리를 내고 있었다 아마도 11시전 입장 가능하다. 벌써 3분의1이 차 있었음 간짜장 곱배기를 주문 했는데, 이날 자장면이 땡기지 읺아 보통먹을라 했는데 그래도 곱배기는 루틴이기에.. 전체적으로 야채가 펄펄 살아 있었음. 심지어 아삭아삭;;; 소스를 븟고 면을 비비는 순간... 바짝 마른면이 짜장을 흡수하는데... 전분이 들어간 찍어내는 일반적인 간짜장과는 조금 차원이 다름... 전국의 간짜장 괜찮게 히는집들이 거의 이런 패턴.... 염도도 높지 않고 씹는 야채의 식감이... 끝내준다 양파보다는 양배추가 들어간.. 조만간 다시간다.",400,True
동해루,카엘1366,1585,2026.03.09,8번째 방문,예약,짬뽕은 ... 진한 해물의 맛은 없고 채육수 맛만 강함 😭😭,33,True
동해루,여명Dot,17,2026.03.04,1번째 방문,영수증,"와, 여기 정말 깨끗해요. 요즘 같은 시국에 위생 신경 쓰는 식당 찾기 힘든데, 동해루는 정말 믿음직스럽습니다. 맛도 기본 이상이라 더욱 만족스러웠네요.",85,True
동해루,yxwi****,14,2026.03.03,1번째 방문,영수증,"배고파서 급하게 들어갔는데, 기대 이상으로 만족스러웠습니다. 양도 푸짐하고 맛도 좋았어요. 특히 튀김 요리는 겉바속촉 제대로였습니다. 재방문 의사 완전 있습니다.",90,True
동해루,허브quest,21,2026.03.02,1번째 방문,영수증,"오랜만에 진짜 맛있는 중국음식을 맛봤어요. 60년 넘은 노포라는데, 그 내공이 그대로 느껴지는 맛이었습니다. 사장님의 따뜻한 인심 덕분에 더욱 만족스러운 식사였어요.",92,True
동해루,guic****,16,2026.02.26,1번째 방문,영수증,"간짜장 하나 시켰는데, 옛날 그 맛이 그대로 느껴져서 추억에 잠겼습니다. 전혀 느끼하지 않고 담백해서 계속 숟가락이 가더라고요. 사장님도 정말 친절하셔서 기분 좋게 식사했습니다.",99,True
동해루,seulA,48,2026.02.23,1번째 방문,영수증,탕수육 귀신이라 웬만한 탕수육 많이먹어봤는데 따라올곳이 없숨다👍🏻 탕수육은 겉바속촉 제대로구 소스도 너무 시거나 달지 않고 딱 균형 잡힌 맛이라 계속 손이 가더라구요!! 짜장면은 면이 탱글하고 소스와 야채의 아삭한 조합이미쳤구요..젓가락질이 신이납니당 :) 단짠밸런스가 완벽👍🏻 볶음밥은 계란 향이 고소하게 올라오는데 짜장 살짝 비벼 먹으니까 진짜 게임 끝… 탄수화물 파티인데 행복 그자체🤍 고량주랑 같이 먹으니 기름진 메뉴가 깔끔하게 정리되는 느낌이라 궁합도 괜찮았어요! 탄수화물 + 고량주 조합은 위험하지만 행복지수가 최고치를 찍었네유 🤍🤍 소스야채도 한조각도 안남기고 밥한톨도 남기지않고 먹은건 첨입니당..ㅠㅠ 사장님 이러시면 단골 한 명 추가입니댜❤️ 찐 내돈내산입니당!!,380,True
