계정 ID,계정의 리뷰 수,방문 날짜,방문 횟수,인증 수단,리뷰 내용,리뷰 글자 수,리뷰 내 사진 유무
오버로드18,50,2026.04.05,1번째 방문,영수증,더블벅에 베이컨을 추가 하였습니다. 육즙이 많아 퍽퍽하다는 느낌은 절대 받으실수 없습니다. 매장에서 물을 보틀로 제공해 주시는 점도 좋았습니다.,80,True
더블더블65,58,2026.04.04,1번째 방문,영수증,패티두장 더블벅~ 햄버거는 역시 기름져야~~ 감튀도 바로 튀긴거라 맛있어요,41,True
62****,121,2026.03.28,1번째 방문,영수증,대학로 버거 생각날때 또갈거같어요,18,True
연극죽여주는이야기,1362,2026.03.02,4번째 방문,영수증,촉촉한 버거를 원하시면 꼭 여기 와서 드셔 보시길 추천합니다~^^ 소고기 패티가 입에 들어가면 녹아 없어질 정도로 부드러워서 맛있습니다 은은한 버터향이 입맛을 더 돋궈주니 버거 하나 추가요~ ㅋ 잘 먹었습니다~^^,119,True
슈가봉봉1,702,2026.02.28,1번째 방문,영수증,수제버거 맛있어요,9,True
성팡이,152,2026.02.19,1번째 방문,영수증,"그냥 너무 맛있습니다. 벅벅 본점 최고! 다음은 신당, 그리고 이태원점도 가려고 합니다 ㅎㅎ",51,True
뚠똥땅97,142,2026.02.12,1번째 방문,예약,매장가서 먹으니 따끈해서 맛있었네요,19,True
HG79,46,2026.02.03,1번째 방문,예약,벅벅 본점만 있을때부터 왔었는데 근래들어선 맛이 예전과 다르고 육즙 흐르던 벅벅은 이제 찾아볼 수 없네요 . 오늘 패티에서도 고기 누린내나고 육즙도 없고 여느 프렌차이즈와 다를바 없는 맛이었어요. 혹시나 다를까싶어서 두세번 더 방문했던건데 실망감만 안고 갑니다,145,True
꼬떼따블1004,24,2026.02.03,1번째 방문,영수증,종로혜화 버거 맛집 벅벅 명륜점에 다녀왔어요! 대학생 학교내려주고 데이트하는 맛집 벅벅 수제버거 정말 맛있어요🥰,62,True
Stingray4,24,2026.01.31,2번째 방문,영수증,더블벅 왕 크다.. 왕 커서 왕 맛있다,21,True
가람디용,111,2026.01.31,1번째 방문,영수증,매장이 깔끔하고 좋네요 잘먹었습니다,19,True
Alldayhappyday,212,2026.01.18,1번째 방문,영수증,포장 후 집에서 데워 먹었어요! 다음엔 매장에서 직접 먹어보려구요.,37,True
아보펭펭,336,2026.01.11,1번째 방문,예약,"평소 버거 별로 안 좋아하는데, 여긴 진짜 맛있었어요! 수제버거의 참맛이 이런것인가 싶네요 ㅋㅋ 매장에서 먹었는데, 갓 튀긴 감자튀김 너무 맛있구요 (다른 패스트푸드 점에서 먹는거랑은 진짜 달랐어요) 번도 부드럽고, 패티가 갓구운 불향과 촉촉한 육즙이 예술이었습니다 ㅠㅠ 담에 또 생각나서 찾아 갈것 같아요!",172,True
JTive,1554,2026.01.09,1번째 방문,영수증,젊은 친구들이 열심히 하고있네요~ 맛도 좋아요 매장 분위기도 좋고요~~ 또방문할께요~^^,49,True
소금빵내나,4062,2026.01.04,1번째 방문,영수증,,0,True
니니쥬2,380,2026.01.01,1번째 방문,영수증,맛있음!ㅋㅋㅋ,7,True
달고나고나맛있어있어,52,2025.12.25,1번째 방문,영수증,햄버거ㅜ맛있게 먹었습니다,13,True
bvm****,3041,2025.12.18,1번째 방문,영수증,굿,1,True
타임님,464,2025.12.18,5번째 방문,예약,"말이 필요있나요~~ 명불허전입니닷😎 주기적으로 생각나요,,🤤",33,True
웨슬리우,18,2025.12.13,1번째 방문,영수증,장사의 신 보고 왔는데 유튜브에서 본 것보다 훨씬 더 맛있었어요. 육즙도 엄청 많아서 맛있었어요. 최곱니다. 계속 올 거예요~~,71,True
YU ZONGYAO,12,2025.12.12,1번째 방문,영수증,"감튀 너무 맛있어서 사장님 한테 감튀를 좀 더 부탁드렸는데, 사장님이 너무 친철하게 엄청 많이 주셨네요~! 버거도 물론 항상 존맛탱🤲🏻🍔 맛있게 잘 먹었습니당. 대박나세요~!💕",98,True
ninjano01,822,2025.12.10,2번째 방문,영수증,매장옴긴후 간만에 갔는대 패티가 더맛있어졌음,24,True
Tomek,516,2025.11.26,2번째 방문,영수증,"벅벅 종로혜화점에서 더블벅을 점심으로 먹었습니다. 지난번에 더블벅을 접했을 때, 고기와 치즈의 과한 조합 때문에 '느끼하다'는 냉정한 평가를 내렸었습니다. 하지만 2주 후, 묘한 끌림으로 다시 찾은 더블벅은 완전히 새로운 미식 경험을 선사했습니다. 다진 고기의 진한 육즙이 녹은 치즈와 만나 느끼함이 극대화되었는데, 이번에는 그 강렬한 증폭이 거부할 수 없는 '배덕적인' 매력으로 다가왔습니다. 벅벅 더블벅은 ""Love or Hate/사랑하거나 혹은 증오하거나""로 정의할 수 있겠습니다. 혹시 처음 강렬함에 실망하셨더라도, 부디 단 한 번만 더 기회를 주십시오. 여러분도 저와 같은 '배덕자'의 대열에 합류하게 될지도 모를 일입니다.",354,True
맛도리고트,7,2025.11.19,1번째 방문,영수증,양이 엄청 많아 한 끼 먹으면 갸득 배부를 정도입니다. 기름지고 육즙이 많아 한 입 먹자마자 맛있다는 맛을 바로 느낄 수 있습니다.,73,True
랭랭이95,203,2025.11.16,1번째 방문,예약,,0,True
우진4691,14,2025.11.14,1번째 방문,영수증,맛있어요~~~,7,True
Tomek,516,2025.11.08,1번째 방문,영수증,벅벅 본점에서 더블벅을 먹었습니다. 줄서서 먹는다는 수제버거 맛집이라는 소문답게 매장은 북적였습니다. 버거는 집자마자 육즙이 줄줄 흐를 정도로 인상적이었습니다. 본토의 느끼한 맛이 바로 이런 것이라고 항변하는 듯한 강력한 맛이었습니다. 아쉬운 점은 이 느끼한 맛을 잡아줄 채소가 피클밖에 없다는 점이었습니다. 무언가 살짝 모자른 만족감이었습니다.,193,True
sec****,231,2025.11.01,1번째 방문,영수증,대학로에 연극 보러 왔다가 성균관 구경하고 근처까지 온김에 수제버거맛집이라고 해서 와봤는데 맛있어요🙂,56,True
