식당 이름,계정 ID,계정의 리뷰 수,방문 날짜,방문 횟수,인증 수단,리뷰 내용,리뷰 글자 수,리뷰 내 사진 유무
살롱순라 서순라길점,seu****,39,2026.04.10,1번째 방문,영수증,맛있게 잘 먹고 가요!,12,True
살롱순라 서순라길점,soo****,24,2026.04.10,1번째 방문,영수증,캐치테이블로 웨이팅하구 금방 들어왔어요! 둘이 파스타랑 피자 시켰는데 양도 많구 맛있게 잘 먹었습니당,56,True
살롱순라 서순라길점,tlsehddbs41,22,2026.04.10,1번째 방문,영수증,양도 많고 리조또 고기가 너무 맛있어요!!,23,True
살롱순라 서순라길점,별별사랑67,290,2026.04.10,1번째 방문,영수증,익선동 저녁 데이트 왔어요 누룽지해물파스타 매콤하게 국물?도 있어서 맛있어요 명란알리오도 새우도 많고 간도 많이 안세고 맛있네요 다음엔 피자를 먹어봐야겠어요,87,True
살롱순라 서순라길점,서롱벵이,13,2026.04.10,1번째 방문,영수증,분위기도 좋고 너무 맛있어요! 다음에 또 올게요!!,28,True
살롱순라 서순라길점,소미753,11,2026.04.10,1번째 방문,영수증,피자 맛집 검색하고 왔는데 확실히 맛집은 맛집인 이유가 있어요..엄청 맛있어요!! 서순래길 오시면 꼭 와보세요:) 추천합니당,69,True
살롱순라 서순라길점,오리지널62,7,2026.04.10,1번째 방문,영수증,"​""여자친구 추천으로 왔는데 정말 만족스럽게 먹고 갑니다! 맛은 물론이고 분위기까지 좋아서 데이트 코스로 딱이네요. 다른 남성분들도 여기서 식사하시면 여자친구분께 확실히 점수 따실 거예요. 강력 추천합니다!""",116,True
살롱순라 서순라길점,오채윤44,10,2026.04.10,1번째 방문,영수증,음식이 맛있고 분위기가 너무 좋아요. 명란알리오올리오랑 감바스 둘다 기대 이상입니다!,47,True
살롱순라 서순라길점,윤서연3141,7,2026.04.10,1번째 방문,영수증,친구들과 저녁 식사가졌는데 잘 알려진 맛집인 만큼 정말 너무 맛있었어요! 식당 내부 인테리어도 너무 이쁘고 분위기 있어서 데이트 오기 좋을 것 같아요. 재방문 의사 완전 있어요 ㅎㅎ,101,True
살롱순라 서순라길점,judh98,5,2026.04.09,1번째 방문,영수증,처음에 친구들이랑 왔다가 넘 맛있어서 재방문입니다! 서순라길 맛집 중 당연 최고같아요..,49,True
살롱순라 서순라길점,ew****,24,2026.04.08,1번째 방문,영수증,음식도 너무 맛있고 가게 분위기도 짱 좋아욤! 직원분들도 너무나 친절합니당❤️,43,True
살롱순라 서순라길점,m_g****,15,2026.04.08,1번째 방문,영수증,서순라길 양식집 찾다가 오게 되었는데 평일 6시 안 되는 시간에도 예약없이 입장했어요 테라스는 조금 작았지만 좋았습니다 밥도 너무 맛있었고 화덕 피자도 쫄깃하구 맛있어써용,95,True
살롱순라 서순라길점,yoo****,33,2026.04.08,1번째 방문,영수증,음식이 이쁘게 나오고 냄새도 좋은거 같아요! 분위기 좋구 인테리어가 이쁘게 꾸며져 있어요! 로제 파스타가 엄청 맛있네요! 다른것도 맛있는거 같아요~ 아직 다 못 먹어봤지만 ㅎㅎㅎ,99,True
살롱순라 서순라길점,참마루16,53,2026.04.08,1번째 방문,영수증,피자도 맛있고 파스타도 맛있고 전부다 맛있었어요,26,True
살롱순라 서순라길점,BijouLove,27,2026.04.07,1번째 방문,영수증,모처럼 종로 나들이 하러 왔는데 이곳이 핫한듯 해서 예약 후 방문했어요. 전날 밤에 지나갈때 분위기 좋아보였어요. 야외에서 와인 한잔 하면 좋을 분위기 :) 아침 일찍 샌드위치를 먹고 와서 제대로 맛을 못 느낀게 아쉽네요. 포장해서 저녁에 다시 먹어야겠다는~^^,146,True
살롱순라 서순라길점,Jungchan72,16,2026.04.07,1번째 방문,영수증,파스타랑 피자 완전 맛있어요!!! 인테리어도 완전 낭만 가득~~~ 서순라길 최애 맛집입니다,50,True
살롱순라 서순라길점,da0****,15,2026.04.07,1번째 방문,영수증,트러플 머쉬룸 피자랑 홍게 로제 파스타 먹었는데 둘 다 너무너무 맛있게 먹었어요 매장 인테리어도 너무 이쁘고 테라스도 있어서 좋아요 직원 분들도 친절하시고 서순라길에서 유명한 이유가 있는 곳이에요,109,True
살롱순라 서순라길점,맛집조아83,28,2026.04.07,1번째 방문,영수증,인테리어도 깔끔하고 좋네요,14,True
살롱순라 서순라길점,체다아,15,2026.04.07,1번째 방문,영수증,음식이 너무 맛있어요!!! 분위기도 사진 찍기 좋아용 맛있게 잘 먹고 갑니당!! 😁😁,47,True
살롱순라 서순라길점,냠냠맛있어55,133,2026.04.06,1번째 방문,영수증,매장 분위기도 좋고 파스타랑 리조또 다 너무 맛있어요,29,True
살롱순라 서순라길점,배고픈두루미,44,2026.04.06,1번째 방문,영수증,음식이 이쁘게 잘 나오는거 같아요 꼭 드셔 보세요~,28,True
살롱순라 서순라길점,0923ddk,44,2026.04.05,1번째 방문,영수증,기념일로 왔는데 음식도 맛있고 인테리어도 좋고 가족들과 나들이 오기 좋습니다 또 오고싶어뇨,50,True
살롱순라 서순라길점,유763,42,2026.04.05,1번째 방문,영수증,트러플은 기대 안 했는데 진짜 생각 이상으로 넘 맛있었고 로제 파스타는 … 맛도리에여 하이볼은 술 맛 하나도 안 나서 홀짝홀짝 마셨구 생맥은 넘 깔끔했어용 부모님 모시고 또 올게용,100,True
살롱순라 서순라길점,sim****,29,2026.04.01,1번째 방문,영수증,친구 추천으로 처음 와봤는데 너무 음식이 맛있구! 특히 피자가 너무 맛있어요❤️❤️❤️ 화덕으로 구운 거 같은데 가격도 굿! 다음에 또 올 거 같아여🍕🍝,85,True
살롱순라 서순라길점,yco****,38,2026.04.01,1번째 방문,영수증,어머니 데리고 왔는데 분위기 너무 좋아요! 누룽지파스타 강추예요! 파스타랑 밥 같이 먹는느낌이라 너무 맛있네요,61,True
살롱순라 서순라길점,또니잉이,64,2026.04.01,1번째 방문,영수증,메뉴가 다 너무맛있아요!! 피자 도우도 얇고 쫀득 고소하고 리조또 파스타 둘다 존맛🤍 친구랑도 연인이랑도 오기 좋으분위기라 다음에또와야겠어요 !🤙🏻🤙🏻,84,True
살롱순라 서순라길점,영수증모아리뷰어,1477,2026.04.01,1번째 방문,영수증,맛나게 먹었어요. 그 명란 파스타였나? 는 좀 건조해요. 소스가 원래 적게 나오는건진 몰라도. 날씨 좋은날 바깥에서 먹었네요.,70,True
살롱순라 서순라길점,지구찌꾸,48,2026.04.01,1번째 방문,영수증,갑자기 왔는데 왕맛있었어요 알리오올리오랑 리조또 왕추천 굿~,33,True
살롱순라 서순라길점,하이헬로바이,63,2026.04.01,1번째 방문,영수증,여기 분위기 넘 좋고 맛있어요!!! 다음에 또 오고 싶어용~~,34,True
살롱순라 서순라길점,화곡동핵주먹,53,2026.04.01,1번째 방문,영수증,서순라길에서 가장 추천 많길래 왔는데 역시 사람들이 많이 오는 곳은 이유가 있네요 맛있고 주문 후 음식 나오는 속도도 빠르고 분위기도 좋아서 데이트로도 적합합니다👍 서순라길에서 파스타랑 피자 먹고싶을 때 추천드려요!,120,True
살롱순라 서순라길점,he****,32,2026.03.31,1번째 방문,영수증,분위기가 좋고 특히 야외자리라서 너무 좋았어요 사람이 많아서 예약하고 가는게 좋아요!,47,True
살롱순라 서순라길점,jhc****,24,2026.03.31,1번째 방문,영수증,트러플을 좋아해서 향이많이 나는 피자가 맛있었습니다 양이 많아서 든든해요,40,True
살롱순라 서순라길점,min****,36,2026.03.31,1번째 방문,영수증,친구가 추천해서 왔는데 맛에 비해 가격이ㄷㄷ 내부랑 외부 테라스가 멋지긴 해요 피자 말고 파스타 드세요,57,True
살롱순라 서순라길점,Rowan57,32,2026.03.30,1번째 방문,영수증,"분위기도 너무 좋고, 음식도 다 너무 맛있어요! 다른 곳에 없는 파스타라 특색있고 피자도 맛있네요🤤",55,True
살롱순라 서순라길점,sodadia,19,2026.03.30,1번째 방문,영수증,"뽈뽀감바스에 문어는 작은 조각 두세개, 새우에서 잡내가 나고 명란파스타는 오일과 면이 따로 놀아요 가격대비 음...주관적인 견해이고 저는 재방문 의사는 없어요",88,True
살롱순라 서순라길점,악당,145,2026.03.30,1번째 방문,영수증,"창덕궁 매화 구경 겸 유명한 맛집 여러 곳을 눈여겨보다가 살롱순라로 예약했어요 ‼️ 🦁🌸 매장 안팎 분위기가 너무 예쁘고 공간 자체가 참 좋았어요 ! 들어오시는 남녀노소 손님분들도 예쁘다 〰️ 하시면서 들어오시더라고요 🐶 음식은 트러플 머쉬룸 피자랑 관자새우 명란 크림 파스타를 주문했는데 양도 적당했고 두 메뉴 다 정말 맛있게 잘 먹었습니다 🌱 특히 피자에 스파게티 소스를 찍어 먹으니 환상이었어요 ✨ 평일은 2시간, 주말은 1시간 30분으로 이용 시간이 정해져 있었지만 식사하고 대화 나누기에는 충분했습니다 ◡̈ 감사히 잘 먹고 갑니다 ✨✨ 다음에 또 방문할게요 ‼️‼️🙊 최고 🤍",327,True
