식당 이름,계정 ID,계정의 리뷰 수,방문 날짜,방문 횟수,인증 수단,리뷰 내용,리뷰 글자 수,리뷰 내 사진 유무
칸다소바,AYOUNG REVIEW,71,2026.04.10,1번째 방문,영수증,"친구랑 라멘먹으러 방문, 맛집이라 그래서 왔는데 비주얼부터 말모말모 먹어보니 왜 맛집이라고 하는지 알 거 같아요 ❤️ 대학로 맛집 ㅇㅈㅇㅈ !",79,True
칸다소바,xia****,35,2026.04.10,1번째 방문,영수증,너무 맛있어요!! 점심에 12시 전에 오시면 줄 안서고 먹을 수 있어요!,40,True
칸다소바,데이지13,30,2026.04.10,1번째 방문,영수증,"항상 잘 먹고 있는데, 지로케라면 시켜봤어요~~~ 비주얼부터 폭격!!! 양도 많고 너무 맛있습니다.",55,True
칸다소바,소소6742,28,2026.04.10,1번째 방문,영수증,"항상 대학로 들리면 오는 매장인데, 맨날 마제소바만 먹다가 첨으로 지로테라멘 시켜봤는데 증~~말로 맛있네요~~~! 늘 실망 시키지않는 강력추천맛집입니다",84,True
칸다소바,하나파파크리스,25,2026.04.10,1번째 방문,영수증,한 달에 두세번은 꼭 먹으러 옵니다. 근처에서는 비교할 만한 라멘이 없는 것 같습니다.,48,True
칸다소바,이누시즌5,9,2026.04.09,1번째 방문,영수증,비쥬얼 부터 압도적이고 너무 맛있어요~ 든든하게 교자까지 야무지게 먹구 갑니다,43,True
칸다소바,godqhr1284,29,2026.04.08,1번째 방문,영수증,맛있게 잘 먹었습니다.,12,True
칸다소바,레디스나이퍼76,14,2026.04.08,1번째 방문,영수증,대학로 칸다소바 맛있어요! 국물정말 좋아요. 지로케라멘 추천합니다!,37,True
칸다소바,리뷰전용계정,25,2026.04.08,1번째 방문,영수증,"2인 방문, 돈코츠 라멘과 지로케 라멘 먹었습니다 처음 방문했는데 맛있었어요👍 추천 받아서 왔는데 만족! 양 많고 구성 좋았어요 지로케 라멘은 양이 진짜 많으니까 참고해주세요 돈카츠 라멘 염도 80%가 있어서 특히 좋았습니다 적절한 짭짤함 지로케 라멘은 리뷰이벤트로 주는 에이드가 있는데 많이 신 편이었어요",171,True
칸다소바,미들블루,1079,2026.04.08,3번째 방문,영수증,"지로케 라면과 돈코츠 라멘! 지로케는 처음 먹어 보는데 양이 엄청 많고 넉넉한 숙주, 양배추, 마늘과 고명들의 조합이 아주 푸짐하게 어우러집니다. 정말 배부른 양이니 대식가들에게 더 추천하고요! 마늘향 덕에 덜 느끼하게 즐길 수 있어요😋",132,True
칸다소바,Poiu09,9,2026.04.07,1번째 방문,영수증,지로케라면 맛있게 먹었습니다 ~!,18,True
칸다소바,bea****,1433,2026.04.07,1번째 방문,영수증,맛있어요 껍데기를 바싹 더 구워주세용~~~,23,True
칸다소바,jjoojooo,27,2026.04.07,1번째 방문,영수증,마제소바 너무 맛있어요!! 혼밥하기도 좋고 회전율도 빨라서 자주옵니다 ㅎㅎ 직원분들도 친절하셔서 좋아요!,58,True
칸다소바,롸6114,4,2026.04.07,1번째 방문,영수증,"국물 한 숟갈을 떠보면, 일반 돈코츠처럼 부드럽다기보다는 간장 베이스에 돼지기름의 묵직함이 더해진, 아주 진하고 짭짤한 스타일. 마늘이 풀리면서 향이 확 올라오는데, 이게 이 라멘의 핵심입니다",107,True
칸다소바,ktl7926,117,2026.04.06,1번째 방문,영수증,맛있게 잘 먹었습니다 !,13,True
칸다소바,Reviwer,133,2026.04.05,1번째 방문,영수증,왜 일본에서 1위했는지 알 수 있는 맛이에요. 평소에 먹고싶던 지로케라멘을 한국에서 먹어서 정말 좋아요! 혜화맛집 칸다소바 강추입니다~!,76,True
칸다소바,ea****,142,2026.04.05,1번째 방문,영수증,라멘 먹고 싶을때마다 오는 곳 맛있어요~,22,True
칸다소바,jmha****,4,2026.04.05,1번째 방문,영수증,분위기가 진짜 일본 온 것 같고 음식도 너무 맛있어요ㅠㅠㅠ다음에 또 올게용,41,True
칸다소바,lim****,30,2026.04.05,1번째 방문,영수증,오리지날 일본 라면입니다! 굿,16,True
칸다소바,uc****,36,2026.04.05,1번째 방문,영수증,마제소바가 먹고 싶어온곳 사람들도 많아서 재밋엇어요 ㅎㅎㅎ 맛있어요 굳!!,41,True
칸다소바,리아5473,385,2026.04.05,1번째 방문,영수증,혜화역 라멘 맛집 칸다소바 진짜 일본 분위기 나는 맛집! 특이한 라멘 맛봐서 좋음,45,True
칸다소바,멋진강석,13,2026.04.05,1번째 방문,영수증,일본 전통라멘 맛이 끝내줘요.^^,18,True
칸다소바,에르피,12,2026.04.05,1번째 방문,영수증,지로케라면 새로 나왔길래 먹어봤어요! 원래 마제소바랑 칸다소바랑 그냥 라멘도 맛있어서 돌아가면서 먹었었는데 이것도 엄청 맛있었어요,72,True
칸다소바,킹카이저,21,2026.04.05,1번째 방문,영수증,대구 롯데월드 혜화 3군데 돌면서 항상 먹는 메뉴 최고에요,32,True
칸다소바,Tangerine0,14,2026.04.04,1번째 방문,영수증,"서촌에서 먹다가 궁금해서 대학로점와서도 시켰습니다. 왠지 혜화점이 더 맛있을 것 같은 비주얼이었는데, 국물이 좀 더 진하고 묵직한 느낌..?이 있네요. 자리도 훨씬 넓어서 편하게 먹을 수 있었습니다!!",112,True
칸다소바,che****,43,2026.04.04,1번째 방문,영수증,지로계 처음 먹어보는데 칸다소바에서 메뉴가 나와서 좋네요 잘먹고 갑니다!,40,True
칸다소바,eun****,43,2026.04.04,1번째 방문,영수증,매장 깔끔하고 메뉴 다양해서 좋아요! 지나가다가 사람 많아서 들어왔는데 다 만족합니다!👏 음식도 맛있고 완전 추천!,64,True
칸다소바,hayson1114,15,2026.04.04,1번째 방문,영수증,혜회 맛집 1등 마제 소바와 지로케라멘!! 맛있어요 :),31,True
칸다소바,마루나래5,35,2026.04.04,1번째 방문,영수증,일본식 분위기가 좋고 맛있습니다 특별한 라멘 먹고 싶을때 좋을거 같아요,39,True
