식당 이름,계정 ID,계정의 리뷰 수,방문 날짜,방문 횟수,인증 수단,리뷰 내용,리뷰 글자 수,리뷰 내 사진 유무
효제루,프리티주얼리,119,2026.04.06,1번째 방문,영수증,"​11시 오픈런으로 여유 있게 다녀온 효제루! 해물짬뽕 국물이 보기엔 진해 보여서 매울까 걱정했는데, 제 입맛에는 전혀 맵지 않고 깊고 진한 풍미가 느껴져서 너무 좋았어요. 해산물과 고기 고명이 듬뿍 들어갔는데도 국물 뒷맛이 어찌나 깔끔한지, 마지막까지 물리지 않고 맛있게 먹었답니다. 자극적이지 않으면서도 속이 꽉 찬 진한 국물 맛을 좋아하시는 분들께 정말 추천하고 싶어요. 조만간 또 생각날 것 같은 맛이에요! :)",234,True
효제루,Soo8922,840,2026.04.02,1번째 방문,영수증,짬뽕 탕수육 다 맛있어요~👍 저녁 양장피도 궁금해요~,29,True
효제루,작은이야기,511,2026.03.31,1번째 방문,영수증,볶아내어지는 탕수육이 먹고 싶어서 들른 효제루 푸짐한 팔보채가 더 기억에 남는 곳 입니다,49,True
효제루,vegabond,782,2026.03.20,1번째 방문,영수증,뭐랄까. 확실한 여기만의 색깔 있다라고 할래. 춘장에 양파 찍어 먹으며 술 한병 비울정도였어. 거부감 없는 단맛이 특징인것 같아. 다 먹을때쯤 부모님 모시고 와야지 생각났어. 여기 괜찮다.,105,True
효제루,왕가90,1078,2026.03.20,1번째 방문,영수증,"짬뽕1, 탕수육 소 주문했더니 짬뽕을 두그릇으로 나눠주셨어요 짬뽕 해물이 신선하고 고기도 들어있어서 국물이 깔끔시원해요 탕수육은 소스 밸런스가 좋아서 간장을 찍지 않는 게 더 맛있는 것 같아요 친절하시고 가게도 쾌적해요",122,True
효제루,두개의 위장,147,2026.03.19,1번째 방문,예약,대한민국 1티어 탕수육 맞습니다.. 한입 먹고 깜짝 놀랐네; 짬뽕은 상태좋은 해물 가득하며 간은 사람마다 기준이 다르지만 적당합니다. 짜장은 유니짜장스러우며 무난!,91,True
효제루,에머튼,925,2026.03.13,1번째 방문,영수증,"오후 5시 반 살짝 넘어 도착하니 이미 대기리스트에 이름들이 적혀있습니다. 혼자라 혼밥가능한 좌석으로 바로 안내, 4인기준 8테이블과 나홀로 4석까지가 전부인 비교적 아담한 실내입니다. 좌우 양측에선 짜장면과 탕수육 소를 주문한 분들이 열심히 공략중이고 저도 해물짬뽕밥을 받으니 면은 전혀 없는 순수짬뽕밥입니다 ㅎㅎ 국물은 맑고 담백한 느낌. 육수가 오롯이 응축된 맛이랄까 ? 정갈하게 매콤한 여운이 좋습니다. 한수저 두수저 뜨다보면 우와 정말 맛있어 ! 이런건 없습니다만 진짜 깔끔하게 한그릇 잘비우고있단 기분입니다. 옆에서 묵묵히 탕수육을 비우는 동지(?) 를 보노라니 더더욱 확신이 생깁니다. 메뉴가 많지않되 모든 메뉴가 꽤 좋아 혹은 정말 좋아라면 사랑받을수 밖에요. 앞으로 더 오게될겁니다.",391,True
효제루,yyjjaa,131,2026.03.03,1번째 방문,예약,탕수육이랑 짬뽕 맛있게 먹고왔어요~!!,21,True
효제루,수리공,717,2026.02.20,1번째 방문,영수증,성시경 먹을텐데 이전부터 방문해보고 싶었는데 웨이팅이 너무 심해서 평일 저녁 타임 오픈런 했습니다. 볶먹 탕수육과 해물 짬뽕밥 주문했는데 탕수육이 맛있긴 한데 제가 알고 있던 볶먹 느낌이 아니라 살짝 당황;; 너무 부드러운 식감의 튀김이라.. 짬뽕은 홍합 향과 맛이 강렬해서 감칠맛이 풍부한데 제 입맛에는 살짝 짠 맛이었어요;,182,True
효제루,눈감고찰칵,102,2026.02.19,1번째 방문,영수증,"탕수육, 짜장면, 해물짬뽕밥시켰는데 짜장은 처음 한 입에 불향가득해서 좋았는데 저한테는 춘장 소스 간이 좀 쎈편 이라 면은 맛있게 먹었습니다. 해물짬뽕도 국 간이 좀 짜더라구요. 그리고 해물짬뽕에 있는 오징어 크기도 좋고 식감도 좋은데 따로 소금물에 절여 놓은 것처럼 오징어만 특히 더 짜서 잘 못먹겠더라구요. 이걸 다 잊을 만큼 맛있던건 볶먹 탕수육이었습니다. 튀김 옷이 두껍지 않아 바삭하면서 속의 고기는 촉촉하고 달콤하니 입에 쫙쫙붙어서 처음에 포장 할 까하다가 그자리에서 다 먹었습니다. 탕수육 강추!!",285,True
