feature,importance
review_length,0.33153012964931006
menu_count,0.0934156938467159
account_review_count,0.07879078521155311
reason_count,0.06888294495898979
short_generic_review,0.04998011624637842
account_avg_rating,0.04519799073745142
rating,0.03955107584581083
specific_review,0.03807390654356807
category_count,0.03566657784566793
generic_count,0.03012111998786756
intensifier_count,0.025550486583332917
has_detailed_negative,0.024050318862719907
low_information_review,0.015478650358831727
visit_count,0.014298944090909942
has_photo,0.014178295991519766
strong_generic_praise,0.011261373619248083
number_detail_count,0.010072851937484271
account_review_count_over_50,0.010065181308133206
has_generic_praise,0.009750729208707348
account_review_count_over_100,0.009295701874635116
account_review_count_under_10,0.008177883724865484
first_visit,0.007743039861969122
generic_without_detail,0.007623542550795368
has_number_detail,0.006400186428691568
account_review_count_under_5,0.005762444903312633
account_review_count_is_1,0.004657761641531585
revisit,0.003220058278016429
event_word_count,0.0012022079019824337
