식당 이름,계정 ID,계정의 리뷰 수,방문 날짜,방문 횟수,인증 수단,리뷰 내용,리뷰 글자 수,리뷰 내 사진 유무
쭌곱창,and****,9,2025.08.08,1번째 방문,영수증,너무너무 맛있습니다!!,12,TRUE
쭌곱창,cho****,22,2025.11.15,2번째 방문,영수증,저번에 먹고 너무 맛있었어서 또 방문했어요! 사장님도 너무 친절하시고 맛도 친절하세요.. 진짜??,54,TRUE
쭌곱창,뽀송뽀쏭,2,2025.07.01,1번째 방문,영수증,계란이 있는 곱창볶음은 처음 먹어봐요! 소스가 다양한 것도 좋구 리뷰이벤트도 좋아염 ㅎㅎㅎㅎ,51,TRUE
쭌곱창,신채원4271,1,2025.12.26,1번째 방문,영수증,홍대 올 때마다 꼭 먹고 갑니다 너무너무 맛있어요 친구가 추천해줘서 왔는데 너무 맛있어서 감동먹었어요,56,TRUE
쭌곱창,cha****,14,2025.06.27,1번째 방문,영수증,사장님이 너무 친절하시고 좋으시고 음식도 너무 맛있게 잘먹었습니다 다음에 또 올게요!,47,TRUE
쭌곱창,Hye80,11,2025.04.04,1번째 방문,영수증,잡내도 하나도 안나고 양념도 정말 맛있어요! 사장님이 맛잘알이신거같아요... 소스도 다양하고 특별한 곁들임도 있어용 이것도 진짜 신기한데 의외로 너무너무 맛나니까 궁금한 분은 꼭 직접 드시러 와보시길??,112,TRUE
쭌곱창,ryan090311,24,2025.10.01,1번째 방문,영수증,맛있어요,4,TRUE
쭌곱창,From B52,50,2026.01.31,2번째 방문,예약,계속 생각나서 또 먹으러 왔어요!!!!! 맵긴 한데 진짜 맛있어요... 사장님이 알려주시는 조합대로도 먹고 소스가 종류가 다양해서 먹는 재미가 있어요!,84,TRUE
쭌곱창,b1a****,19,2025.07.04,1번째 방문,영수증,너무 친절하고 너무 맛있어요!! 평점 보고 방문햇는데 이유가 있네요!! 잘 먹고 갑니당 ??,50,TRUE
쭌곱창,lee****,43,2026.01.02,1번째 방문,영수증,잡내없이 매콤한 곱창이에요 쌈싸먹고 계란찜이랑 숙주랑 먹으니까 좋아요,38,TRUE
쭌곱창,junyeong0,13,2025.11.23,1번째 방문,예약,"저번에 먹고 맛있어서 친구들이랑 왔어요! 닭발이랑 갈비, 곱창 다 시켰는데 맛있어요 완전 소주 안주????????",59,TRUE
쭌곱창,DOSOME,28,2026.05.02,1번째 방문,영수증,내장 싫어하는 친구가 여기는 꼭 가봐야한다고 강추해서 왔습니다! 세트구성이 참 좋고 음식도 맛있어요. :-),60,TRUE
쭌곱창,행벅28,61,2026.03.06,1번째 방문,영수증,양도 많고 푸짐해서 맛있습니다!!! ??,21,TRUE
쭌곱창,Kartoon,24,2026.04.04,1번째 방문,영수증,맛있고 공간이 아늑해서 지인끼리 시간보내기 좋아요!,28,TRUE
쭌곱창,nar****,45,2025.05.30,1번째 방문,영수증,"세트 중에 닭발, 곱창 같이 있는게 신박하고 좋았어요! 계란찜도 함께 올라와 있어서 매운 맛이 중화되는 느낌이에요!! 추천합니다????",73,TRUE
쭌곱창,Nuclear41,42,2026.03.14,1번째 방문,영수증,진짜 개맛있어요 특유의 불쇼도 멋있고 최고,23,TRUE
