split,platform,store_name,account_id,account_review_count,visit_date,visit_count,review_text,review_length,has_photo,rating,account_avg_rating,trust_score,manual_label,pred_label,trust_reasons,has_generic_praise,generic_count,generic_without_detail,has_number_detail,number_detail_count,first_visit,revisit,account_review_count_is_1,account_review_count_under_5,account_review_count_under_10,account_review_count_over_50,account_review_count_over_100,error_direction,error_type
train,naver,태양곱창 성수점,혬이다,6,2026-03-21,1.0,성수에서 유명한 곱창집이여서 와봤습니다! 곱창 정말 맛있고 막창도 정말 맛있었어요ㅎㅎ 양도많고 배부르게 먹었습니다!,64,1,,,-3.5,1,0,strong_generic_praise:-1 | no_number_detail_with_praise:-1 | account_review_count_under_10:-1 | first_visit_short:-1.5 | has_menu:+1.5 | has_photo:+0.5 | naver_first_visit_short_praise:-1,1,2,0,0,0,1,0,0,0,1,0,0,FN: 실제 리뷰를 가짜로 분류,일반적 칭찬 표현으로 인한 오분류
train,naver,조선시대,mov,9,2026-04-18,1.0,맛차막걸리가 엄청 크리미하고 맛잇어요 또 올게요 이거먹으러,32,1,,,-7.0,1,0,generic_without_detail:-3 | no_number_detail_with_praise:-1 | account_review_count_under_10:-1 | first_visit_short:-1.5 | has_photo:+0.5 | naver_first_visit_short_praise:-1,1,1,1,0,0,1,0,0,0,1,0,0,FN: 실제 리뷰를 가짜로 분류,일반적 칭찬 표현으로 인한 오분류
train,naver,할머니의 레시피,딸기무화과사과,305,2025-11-02,1.0,쌈밥정식 15000원 한우떡갈비정식 17000원 직화바싹불고기 23000원 백명란무염버터 5000원,55,1,,,4.0,0,1,first_visit_short:-1.5 | has_menu:+1.5 | has_number_detail:+2 | account_review_count_over_100:+1.5 | has_photo:+0.5,0,0,0,1,4,1,0,0,0,0,1,1,FP: 가짜 리뷰를 실제로 분류,숫자 정보 과대 반영
train,kakao,금금 성수점,로구꺼이양고 - 초정밀리뷰,93,2026-02-28,,3.8점 깔끔한 퓨전 한식집,15,0,4.0,3.1,2.5,0,1,short_review:-1 | has_menu:+1.5 | category_count:+1 | account_review_count_over_50:+1,0,0,0,0,0,0,0,0,0,0,1,0,FP: 가짜 리뷰를 실제로 분류,기타 FP 오분류
train,naver,각시보쌈,likeorhate,10,2026-04-28,1.0,밥먹는 중에 찌개에서 이물질이 나와 사장님으로 보이는 분께 말씀드렸더니 참치에서 나올수있는 이물질이다라는 식의 말도안되는 이상한 핑계를 대시면서 그럴수도 있지라는 엉뚱한 대처로 적당히 대충 마무리 하시길래 정상적인 대화가 어려울거같아 그냥 리뷰로 남깁니다. 사과만 똑바로해주셨다면 워낙 유명한 집이고 항시 바쁜데다 보니 하시다보면 그럴수도있지라고 생각하고 넘어갈수있는 상황임에도 굳이 저렇게 이상한 응대를 하는건 상식적으로 좀 아닌거같습니다. 다들 식사하실때 이물질없는지 음식 잘보시고 확인하고 드시길.,281,1,,,-0.5,1,0,no_number_detail_with_praise:-1 | first_visit:-0.5 | generic_negative_without_detail:-2 | has_menu:+1.5 | category_count:+1 | has_photo:+0.5,1,1,0,0,0,1,0,0,0,0,0,0,FN: 실제 리뷰를 가짜로 분류,일반적 칭찬 표현으로 인한 오분류
train,naver,금금 성수점,seohyeonie,34,2026-03-07,1.0,음식도 정갈하고 직원분들도 친절하세요!! 친구랑 같이 저녁으로 밥 먹기 좋은 장소인거 같아요~~ 다음에 성수 오면 또 올거 같아요!! 추천해용🤍🤍,81,1,,,0.0,0,1,strong_generic_praise:-1 | no_number_detail_with_praise:-1 | first_visit:-0.5 | category_count:+2 | has_photo:+0.5,1,2,0,0,0,1,0,0,0,0,0,0,FP: 가짜 리뷰를 실제로 분류,메뉴 언급 과대 반영
train,kakao,대성갈비,ㅅㅎ,8,2025-04-19,,서비스 많이 안 좋습니다 ㅠㅠ 아주머니 말도 많으시고 굽는거 개입하셔서 더 맛 없어지고 현금영수증 해주는 법도 모르시더라구요 ㅠㅠ 대체재가 많으니 굳이 시간 낭비마세여 ㅠㅠ,96,0,2.0,2.3,-2.0,1,0,strong_generic_praise:-1 | no_number_detail_with_praise:-1 | account_review_count_under_10:-1 | category_count:+1,1,2,0,0,0,0,0,0,0,1,0,0,FN: 실제 리뷰를 가짜로 분류,일반적 칭찬 표현으로 인한 오분류
train,kakao,태양곱창 성수점,xing757,1,2025-02-26,,점심부터 곱창 먹을 수 있어서 너무 좋아요ㅠㅠ 어제부터 곱창 먹고 싶었는데 역시 맛있네요ㅠㅠ 맛은 자극적이지 않고 계속 숟가락이 가게 하는 맛이에요~너무 무겁지 않고 가볍게 맛있게 먹기 좋아요!!,109,0,5.0,5.0,-2.5,1,0,strong_generic_praise:-1 | no_number_detail_with_praise:-1 | account_review_count_is_1:-3 | has_menu:+1.5 | category_count:+1,1,4,0,0,0,0,0,1,1,1,0,0,FN: 실제 리뷰를 가짜로 분류,일반적 칭찬 표현으로 인한 오분류
train,naver,홍대 육지,jun****,8,2026-04-30,1.0,리뷰 저 안쓰는데 여기는 안쓸 수가 없네요.. 너무 맛있었어요 직원분도 너무 친절하시고 매장도 너무 넓어서 편하게 식사할 수 있었습니다,75,1,,,-3.0,1,0,strong_generic_praise:-1 | no_number_detail_with_praise:-1 | account_review_count_under_10:-1 | first_visit_short:-1.5 | category_count:+2 | has_photo:+0.5 | naver_first_visit_short_praise:-1,1,2,0,0,0,1,0,0,0,1,0,0,FN: 실제 리뷰를 가짜로 분류,일반적 칭찬 표현으로 인한 오분류
train,naver,태양곱창 성수점,이수찬21,7,2026-03-27,1.0,고기 잡내가 하나도 안 내요~ 너무 맛있어요~,25,1,,,-4.5,1,0,short_review:-1 | short_generic_review:-2 | no_number_detail_with_praise:-1 | account_review_count_under_10:-1 | first_visit_short:-1.5 | has_menu:+1.5 | category_count:+1 | has_photo:+0.5 | naver_first_visit_short_praise:-1,1,1,0,0,0,1,0,0,0,1,0,0,FN: 실제 리뷰를 가짜로 분류,일반적 칭찬 표현으로 인한 오분류
train,kakao,굴다리식당,준범,29,2025-08-27,,반찬도 맛있었고 음식도 먹을만했음~! 친구 집 놀러갔다가 근처에서 한끼 뚝딱 떼웠습니다,48,1,4.0,4.7,2.0,0,1,no_number_detail_with_praise:-1 | has_menu:+1.5 | category_count:+1 | has_photo:+0.5,1,1,0,0,0,0,0,0,0,0,0,0,FP: 가짜 리뷰를 실제로 분류,방문 맥락 표현 과대 반영
train,kakao,능동미나리 성수점,미리,63,2026-02-25,,전골 얼큰하게해서 칼국수면 넣어먹으니 극락가네요... 최고입니당👍👍,37,1,5.0,4.3,1.0,0,1,no_number_detail_with_praise:-1 | has_menu:+1.5 | account_review_count_over_50:+1 | has_photo:+0.5 | kakao_5star_short_praise:-1,1,1,0,0,0,0,0,0,0,0,1,0,FP: 가짜 리뷰를 실제로 분류,메뉴 언급 과대 반영
