feature,event_minus_normal,event_mean,normal_mean
exclamation_count,0.475,1.418,0.943
generic_praise_count,0.442,1.495,1.053
intensifier_count,0.312,0.803,0.491
has_generic_praise,0.189,0.868,0.678
context_count,0.089,0.391,0.301
length_over_30,0.086,0.898,0.812
has_context,0.078,0.288,0.21
has_trendy_revisit_phrase,0.078,0.14,0.062
experience_rich_review,0.073,0.595,0.522
exclamation_over_3,0.069,0.202,0.132
account_review_count_under_5,0.068,0.083,0.015
has_experience,0.068,0.492,0.425
first_visit,0.063,0.98,0.917
generic_without_detail,0.043,0.354,0.311
intensifier_over_3,0.037,0.075,0.039
account_review_count_is_1,0.007,0.009,0.002
has_photo,0.0,1.0,1.0
rich_context_review,-0.005,0.414,0.419
event_like_short_praise,-0.011,0.083,0.094
short_generic_review,-0.011,0.083,0.094
sns_event_count,-0.014,0.015,0.029
ultra_short_praise,-0.017,0.0,0.017
event_like_sns_or_service,-0.017,0.011,0.028
has_sns_event,-0.017,0.011,0.028
length_over_60,-0.018,0.632,0.651
strong_experience_review,-0.023,0.203,0.226
mixed_sentiment,-0.028,0.217,0.244
length_under_10,-0.048,0.0,0.048
experience_count,-0.049,0.817,0.866
revisit,-0.063,0.02,0.083
length_under_30,-0.086,0.102,0.188
event_like_low_info_first_visit,-0.094,0.06,0.154
low_information_review,-0.108,0.063,0.171
account_review_count_over_10,-0.11,0.848,0.958
has_number_detail,-0.158,0.018,0.176
has_any_number,-0.211,0.063,0.274
number_detail_count,-0.279,0.026,0.305
account_review_count_over_50,-0.552,0.211,0.763
review_length,-23.475,86.637,110.112
account_review_count,-451.621,54.46,506.081
rating,,,
account_avg_rating,,,
