word,event,normal,event_minus_normal_count
파스타,327,0,327
대창,209,0,209
분위기,204,33,171
데이트,98,0,98
리조또,92,0,92
곱창,85,0,85
돌솥,82,0,82
메뉴,225,157,68
숯불,65,0,65
이태리,65,0,65
양식,60,0,60
피자,59,0,59
퓨전,69,16,53
매콤,53,0,53
성수,80,29,51
국시,44,0,44
친구,68,24,44
추천,81,38,43
마늘,40,0,40
매장,69,30,39
갈비,39,0,39
반계,36,0,36
인테리어,33,0,33
뇨끼,31,0,31
샐러드,30,0,30
빠에야,28,0,28
아이,28,0,28
불고기,26,0,26
청양,24,0,24
배추,23,0,23
깍두기,23,0,23
다른,45,24,21
직원,62,41,21
식사,52,31,21
국물,21,0,21
양도,20,0,20
바지락,18,0,18
장소,18,0,18
요리,18,0,18
가게,18,0,18
갑오징어,18,0,18
강추,17,0,17
조합,32,15,17
리조토,17,0,17
트러플,15,0,15
사진,15,0,15
고민,15,0,15
모임,14,0,14
살짝,14,0,14
크림,14,0,14
조화,14,0,14
고기,14,0,14
소스,32,18,14
치즈,28,15,13
한국,13,0,13
만족,13,0,13
해산물,13,0,13
바질,13,0,13
식감,12,0,12
의사,25,13,12
가족,12,0,12
역시,12,0,12
최고,11,0,11
경험,11,0,11
맛집,65,54,11
근처,11,0,11
처음,37,28,9
한식,61,54,7
재료,18,12,6
성수동,24,18,6
음식,195,189,6
전체,26,21,5
자리,15,13,2
계속,15,13,2
하나,42,41,1
보고,18,17,1
모두,21,20,1
시간,47,47,0
이상,12,13,-1
아주,14,15,-1
주말,12,14,-2
기분,33,36,-3
다시,16,19,-3
자극,17,21,-4
사람,16,21,-5
저녁,13,18,-5
점심,13,18,-5
기대,13,18,-5
먹기,14,20,-6
식당,18,26,-8
입맛,14,22,-8
서비스,0,11,-11
바로,27,39,-12
부담,0,12,-12
장아찌,0,13,-13
슴슴하,0,13,-13
가면,0,13,-13
제철,0,13,-13
타임,0,13,-13
육회,0,14,-14
저희,0,14,-14
기본,0,14,-14
먼저,0,14,-14
개인,0,15,-15
별로,0,15,-15
한우,0,15,-15
인기,0,15,-15
편이,0,15,-15
부모님,0,16,-16
이서,0,16,-16
가지,0,17,-17
한번,0,17,-17
다만,0,18,-18
노래,0,19,-19
도착,0,19,-19
슴슴,0,19,-19
반찬,0,20,-20
곰국,0,22,-22
가격,0,23,-23
제일,0,24,-24
오픈,0,24,-24
생각,26,51,-25
음악,0,25,-25
조금,20,46,-26
된장,0,26,-26
양은,0,27,-27
미리,0,31,-31
전복,0,32,-32
입장,19,52,-33
평일,0,34,-34
캐치,0,34,-34
들깨,0,35,-35
대기,16,53,-37
서울숲,0,38,-38
주문,36,75,-39
간장,0,41,-41
어간,0,44,-44
간이,0,44,-44
웨이팅,0,45,-45
테이블,13,61,-48
문어,0,50,-50
웨이,20,71,-51
예약,51,103,-52
난포,0,82,-82
묵은지,0,90,-90
감자전,0,94,-94
새우,0,99,-99
철회,0,104,-104
강된장,0,187,-187
국수,0,190,-190
쌈밥,0,213,-213
