가게 이름,계정 ID,계정의 리뷰 수,계정의 별점 평균,방문 날짜,별점,리뷰 내 사진 유무,리뷰 글자 수,리뷰 내용,카카오맵 리뷰다는 사람 레벨
락희옥 마포본점,유슐랭,22,3.5,2026-04-18,3.0,False,22,가격은 있지만 대부분 요리가 맛있습니다.,실버 레벨
락희옥 마포본점,후,6,5,2026-04-16,5.0,True,49,콜키지 프리라서 왓는데 직원분 퍼포먼스 너무 좋아요 ㅋㅋㅋ그리구 음식두 맛있어용 또올게용,브론즈 레벨
락희옥 마포본점,이현제,185,4.9,2026-01-15,5.0,True,38,락희옥 이전 매장 때부터 다니고 있습니다. 음식 자재가 너무 좋아요!,골드 레벨
락희옥 마포본점,J,17,4.9,2026-01-14,5.0,True,7,전통과 세련됨,실버 레벨
락희옥 마포본점,자바리,2,1,2025-12-23,1.0,False,15,정말 여러가지 방면으로 최악,브론즈 레벨
락희옥 마포본점,뚝배기,40,1.8,2025-12-22,1.0,False,38,맛은 그닥이고 양은 엄청 적고. 밑반찬 가짓수도 적고. 가성비 최악.,실버 레벨
락희옥 마포본점,슈,63,3.1,2025-12-21,3.0,True,73,해물 육류 골고루 있어서 좋음. 가성비는 안좋음. 브레이크타임 없고 와인종류는 커키지fee free. 식기는 사기 도자기라 맘에듬.,실버 레벨
락희옥 마포본점,흰둥이네,86,3.5,2025-11-29,1.0,True,59,"음식들이 어느정도 맛은 있으나, 가격은 정말 비싸고 양은 정말 적음. 그렇다고 엄청나게 고급 분위기도 아님",골드 레벨
락희옥 마포본점,OkSoon,59,4.5,2025-11-24,5.0,False,4,맛잇어요,실버 레벨
락희옥 마포본점,그냥직장인,64,3.5,2025-11-15,3.0,False,70,프라이빗하게 장소 격리가 필요해보임 그렇기에 중요한 약속 장소로를 부적합 가격 대비 분위기가 시끄러움 음식은 평범보다 살짝 위,실버 레벨
락희옥 마포본점,ㅂ,2,4.5,2025-10-31,4.0,True,16,불고기 맛있어요! 조금 비싸앙,브론즈 레벨
락희옥 마포본점,지애,20,4.5,2025-10-07,3.0,False,25,양이 좀 적은편이에요! 그래도 맛있게 먹었어요,실버 레벨
락희옥 마포본점,고구마,80,2.4,2025-09-28,1.0,False,4,ㅋㅋ 네,실버 레벨
