가게 이름,계정 ID,계정의 리뷰 수,계정의 별점 평균,방문 날짜,별점,리뷰 내 사진 유무,리뷰 글자 수,리뷰 내용,카카오맵 리뷰다는 사람 레벨
육산장 홍대본점,룰루,10,4.4,2026-04-30,5,TRUE,37,맛도링이에요 이번에 야장할려고 하다가 그냥 실내 들어왔눈데 맛있어요,실버 레벨
육산장 홍대본점,이찬양,1,5,2026-04-30,5,TRUE,74,분위기 너무 좋아요!!! 고기도 초벌돼서 나와서 금방 먹을 수 있어서 좋아요 야장도 있는데 도로 바로 옆에서 먹는 느낌 안나서 좋아요,브론즈 레벨
육산장 홍대본점,굿굿,6,2.3,2026-04-30,5,TRUE,17,맛나고 메뉴구성이 다양합니다!!,브론즈 레벨
육산장 홍대본점,올마이트,64,3.7,2026-04-30,5,TRUE,354,"하 진짜 기대안했는데 흔한 고기집이라고 생각한 내 자신이 부끄럽고 죄스러움. 가성비, 맛, 서비스 뺄게 없음 우선 고기를 좋아한다면 3-4인 세트로 추천 드림. 그리고 찌개를 무조건 시켜야함. 그러고 나서 바로 셀프바로 가서 자신이 먹는것을 잘 담고 구워진 두부를 2점 정도 챙겨야 함. (나중에 찌개나오면 넣으셈) 특제소스 마늘소스 미친거 같음. 개인적으로 애입맛이라 그런 소스를 좋아하기도 하지만 또띠아(사진참고)도 제공되서 선택지가 많아지는게 걍 식사 시간 자체가 되게 풍부했음. 고기도 진짜 맛있고.. 양 많고 아 그냥 너무 맛있게먹음 ㅡㅡ 홍대 특성상 외국인 많은데 내가 외국인 친구있으면 여기 멱살잡고 협박해서라도 데려옴.",실버 레벨
육산장 홍대본점,채주은,2,3,2026-04-28,5,TRUE,38,야장 분위기 너무 좋아요 고기도 맛있고 갈배서비스가 진짜 대박!!!!,브론즈 레벨
육산장 홍대본점,여누,2,4,2026-04-26,3,TRUE,36,분위기는 좋은데 삼겹살에 비계가 너무 많아요 잘라내고 먹을정도로요,브론즈 레벨
육산장 홍대본점,😶‍🌫️,1,5,2026-04-14,5,TRUE,99,고기들이 너무 맛있고 찌개도 너무 맛있어요! 덕분에 잘 먹고 갑니당 야외 분위기 실내분위기 다 너무 좋고 직원분들도 친절하셨어요 또다른 맛있고 예쁜 추억을 만들어주셔거 감사합니다,브론즈 레벨
육산장 홍대본점,김나연,1,5,2026-04-12,5,TRUE,34,분위기 너무 좋네요~~ 고기도 맛나구요 야장 고기는 여기로~~,브론즈 레벨
육산장 홍대본점,뿌엑,2,3,2026-04-11,5,FALSE,26,분위기가 너무 이뻐용!!!날좋은날 딱 좋은듯!!,브론즈 레벨
육산장 홍대본점,미진🐰,3,5,2026-04-11,5,TRUE,75,항상 올때마다 분위기에 취하고 맛에 취하고 마늘장소스 생긴것같은데 맛있고 ㅁ특제소스와 빵가루는 킥이예요!!!ㅎㅎ 육회도 항상 맛있어요~,브론즈 레벨
육산장 홍대본점,떠나,16,3.7,2026-04-11,4,TRUE,76,"돼지모둠 먹었는데 갈매기살, 항정살이 괜찮았던듯 또띠아는 안어울리지 않나싶다 다음에는 우대갈비 먹어보고 싶음! 아 그리고 술이 참 달았다",실버 레벨
육산장 홍대본점,J,5,5,2026-04-09,5,TRUE,112,봄비 촉촉하니 감성도 채우고싶고 고기도 충전 빡! 하고싶어 검색하다 왔는데 우대갈비도 제대로에 홍대 한복판에서 산장 야장감성 느낄수있어서 좋네요 ㅎㅎ 된장찌개 너무맛있어서 고기배 밥배 꽉꽉채웁니동..🥰,브론즈 레벨
육산장 홍대본점,수빈,1,4,2026-04-08,4,TRUE,17,캠핑하는 기분이고 맛잇어요 ~~,브론즈 레벨
육산장 홍대본점,썽🩷,1,4,2026-03-28,4,TRUE,11,우대갈비 맛있어요 !,브론즈 레벨
육산장 홍대본점,이현세,1,5,2026-03-25,5,TRUE,29,분위기 좋고 고기도 좋아요. 사이드메뉴들도 맛있네요.,브론즈 레벨
육산장 홍대본점,쨘슐랭,100,3.4,2026-03-23,3,TRUE,60,26.03.23 따뜻한 분위기 좋음 술이 술술들어감 고기맛은 평범함 한번쯤은 가기좋음 재방문의사 : ⭐️⭐️,골드 레벨
육산장 홍대본점,빌딩주인,3,3.3,2026-03-12,4,FALSE,12,맛있겠다.정말 맛있겠다,브론즈 레벨
육산장 홍대본점,밍밍,2,5,2026-03-12,5,TRUE,37,간만에 홍대나와서 고기맛집 니들이 했어요. 가성비 좋고 맛 좋아요.,브론즈 레벨
육산장 홍대본점,쵸쵸,8,4,2026-03-10,5,TRUE,65,그냥 찾아왔는데 넘 맛있어요 고기가 살살 녹고 거의 다 구워져서 나와서 넘 편해요 지금 먹고 있는데 추가 주문 할래요,브론즈 레벨
육산장 홍대본점,이석찬,1,5,2026-03-01,5,TRUE,4,맛있어요,브론즈 레벨
육산장 홍대본점,조종수,1,5,2026-03-01,5,FALSE,97,고기가 맛있었고 분위기도 캠핑 분위기같아서 아늑하고 좋았네요!!강추합니다 글구 직원분도 친절하셔서 좋았습니다 리뷰 이벤트로 김치찌개와 콘치즈도 먹을수있으니 다들 시도해보시길💖,브론즈 레벨
육산장 홍대본점,황재민,1,5,2026-03-01,5,TRUE,8,완전 맛있어요!,브론즈 레벨
육산장 홍대본점,KSA,1,5,2026-02-28,5,TRUE,36,고기가 너무 맛있고 추가 구성이 풍부해서 먹는 맛이 있었어요!!!,브론즈 레벨
육산장 홍대본점,오리,1,5,2026-02-28,5,TRUE,43,분위기가 너무 좋아요!! 쾌적하고 깔끔해서 기분 좋게 식사할 수 있는 장소예요,브론즈 레벨
육산장 홍대본점,연씨,8,4,2026-02-28,5,TRUE,65,고기도 맛있고 찌개도 맛있구 좋았어요♡♡ 또띠아 몇장 같이 주시는데 친구가 넘 맛있다고 좋아하네요~ ㅋㅋ 또올게요!!,브론즈 레벨
육산장 홍대본점,조유정,1,5,2026-02-24,5,TRUE,8,양많고 맛있어용,브론즈 레벨
육산장 홍대본점,abcd,1,5,2026-02-16,5,TRUE,124,캠핑장 온 분위기에 고기도 부드러워서 맛있었어요! 강아지도 올 수 있는 애견 동반 식당이라서 강아지 데려왔는데 조용하고 분위기가 좋아서 편하게 식사하고 왔습니다. 다음에도 홍대 고기먹으러오면 여기 무조건 또 오려구요!!👍👍,브론즈 레벨
육산장 홍대본점,딩이,2,5,2026-02-16,5,TRUE,207,도심에서 캠핑 온 느낌 제대로 나는 야장 고깃집이에요. 텐트 감성 인테리어에 조명까지 분위기 미쳤어요…✨ 삼겹살 두툼하고 육즙 팡팡 터지고 숯향 제대로라서 계속 들어가요. 사이드도 깔끔하고 전체적으로 만족! 무엇보다 강아지 동반 가능이라 더 좋았어요 야외석이라 눈치 덜 보이고 편하게 먹을 수 있어서 재방문 의사 있음 👍 캠핑 분위기에서 삼겹살 먹고 싶을 때 강추입니다!,브론즈 레벨
육산장 홍대본점,채수빈,1,5,2026-02-09,5,TRUE,10,너무너무 맛있습니다,브론즈 레벨
육산장 홍대본점,권기문,2,3,2026-02-05,5,TRUE,5,맛있어요!,브론즈 레벨
육산장 홍대본점,김수진,1,5,2026-02-02,5,TRUE,15,너무 맛있어용!!!!!😍😍😍,브론즈 레벨
육산장 홍대본점,윤태승,1,5,2026-02-02,5,TRUE,62,고기가 맛있어요! 야외(?)같은 곳에 테이블이 있는데 글램핑하는 느낌도 들어요! 근데 겨울에도 따뜻하고 좋습니다,브론즈 레벨
육산장 홍대본점,이민선,1,5,2026-02-01,5,TRUE,19,초벌해서 나와서 너무 좋아요 💕💕💕,브론즈 레벨
육산장 홍대본점,먼지집사,7,3.3,2026-02-01,5,TRUE,38,초벌해서 나오니까 먹기 아주 편하고 선택지도 다양해서 마음에 들어요~,브론즈 레벨
육산장 홍대본점,고민성,8,4.5,2026-01-27,5,TRUE,31,캠핑 분위기 제대로 납니다! 캠핑 땡길때 종종 와야겠네영,브론즈 레벨
육산장 홍대본점,뿌샤뿌샤,54,4.7,2026-01-24,5,TRUE,13,분위기 좋아요 맛있어요~,실버 레벨
육산장 홍대본점,"52톤 미제 ""팩트"" 폭격기",63,3,2026-01-23,1,FALSE,47,후기 얼마에 삼? 거의 모든 5점이 엊그제 만든 리뷰 1개 평점 5.0 짜리 계정이네,실버 레벨
육산장 홍대본점,김우진,1,5,2026-01-21,5,TRUE,30,맛있고 분위기 좋은곳이에요 야장 분위기 느끼기에 좋아요,브론즈 레벨
육산장 홍대본점,이세진,1,5,2026-01-18,5,TRUE,35,분위기 좋고 맛도 좋아요 갈비 이 가격이면 가성비인 것 같아요👍,브론즈 레벨
육산장 홍대본점,최석우,1,5,2026-01-18,5,TRUE,16,분위기도 너무 좋고 맛있어요!,브론즈 레벨
육산장 홍대본점,선우,1,5,2026-01-10,5,TRUE,47,고기도 맛있고 분위기도 너무 좋아요 ! 홍대에서 볼 수 없는 캠핑st 고깃집이예요 !,브론즈 레벨
육산장 홍대본점,병헌,1,5,2026-01-09,5,TRUE,32,"아저씨...간만에~~와서 싹,,,,,싹,,,,! 비웠읍니다",브론즈 레벨
육산장 홍대본점,김서현,2,5,2026-01-09,5,TRUE,65,너무 맛있어요!!!! 고기 초벌 구워주셔서 넘 편하구…🥹 소스 다양해서 넘 좋습니다! 마늘소스가 킥이에영!!!!!❣️,브론즈 레벨
육산장 홍대본점,한서희,1,5,2026-01-09,5,TRUE,69,오늘은 분위기 좋은 육산장와서 고기먹는중! 고기 초벌도 되어있고 반찬도 다양해서 넘 좋구 고기도 맛나고 무엇보다 분위기짱!👍,브론즈 레벨
육산장 홍대본점,김민섭,1,5,2026-01-05,5,TRUE,5,맛있어요잉,브론즈 레벨
육산장 홍대본점,신유진,1,5,2026-01-04,5,FALSE,14,부위별로 맛보기 참 좋아요,브론즈 레벨
육산장 홍대본점,개빡침,18,3.3,2026-01-02,1,FALSE,23,리뷰믿고 갔는데 고기가 맛이 별로 없어요.,실버 레벨
육산장 홍대본점,이선기,1,5,2025-12-29,5,TRUE,15,존맛탱!!!!맛있어요!!!!,브론즈 레벨
육산장 홍대본점,임혜연,1,5,2025-12-28,5,TRUE,51,분위기도 좋고 맛은 더더욱 좋았습니다! 데이트 코스로 추천하는 곳이고 자주 방문할것같아요!!,브론즈 레벨
육산장 홍대본점,건희,1,5,2025-12-27,5,TRUE,145,"김치찌개가 고깃집에서 기대한 것보다 훨씬 맛있었어요. 김치가 푹 익어서 국물이 진하고, 고기도 넉넉하게 들어가 있어서 밥이랑 먹기 딱 좋았습니다. 고기는 잡내 없이 잘 구워지고 육즙도 살아 있어서 만족스러웠어요. 찌개랑 고기 같이 먹으니까 조합이 진짜 좋네요.",브론즈 레벨
육산장 홍대본점,이찬희,1,5,2025-12-25,5,TRUE,32,분위기가 좋고 세트메뉴라서 그런지 든든하게 먹을 수 있어요,브론즈 레벨
육산장 홍대본점,xxxibgdrgn,1,5,2025-12-22,5,TRUE,24,분위기가 참 좋고 우대갈비가 정말 맛있어요!,브론즈 레벨
육산장 홍대본점,명희,2,5,2025-12-14,5,TRUE,60,초벌로 구워 놔와서 금방 먹을 수 있고 넘 맛있어요~ 캠핑 온 분위기로 먹을 수 있어서 정말 좋아요!!👍👍👍,브론즈 레벨
육산장 홍대본점,H,9,3.2,2025-12-12,5,TRUE,18,분위기도 좋고 친절하고 맛있어요!,브론즈 레벨
육산장 홍대본점,윤채은,1,5,2025-12-06,5,TRUE,17,맛있고 분위기가 너무 좋아요!!,브론즈 레벨
육산장 홍대본점,윤혜경,1,5,2025-11-30,5,TRUE,4,맛있어요,브론즈 레벨
육산장 홍대본점,원석,3,5,2025-11-30,5,TRUE,18,"넘 맛있어요:), 산장 분위기최고",브론즈 레벨
육산장 홍대본점,이형섭,1,5,2025-11-28,5,TRUE,41,분위기 좋고 고기가 신선하고 맛있어요 연말 식사 하러 가시면 좋을듯 합니다,브론즈 레벨
육산장 홍대본점,베인,2,5,2025-11-27,5,FALSE,43,야무지게 잘 먹었습니다! 분위기 너무 좋네요 겨울인데도 야장이 따뜻해서 좋아요,브론즈 레벨
육산장 홍대본점,깜,6044,3.2,2025-11-27,1,FALSE,6,P.J.AB,퍼플 레벨
육산장 홍대본점,기리기리,219,4.5,2025-11-11,5,TRUE,90,🥰 분위기 제대로 나는 고깃집이에요. 홍대에서 이렇게 귀한 곳을 찾다니! 글램핑 온 것 같아서 좋아요ㅋㅋ 고기도 초벌해서 나와서 진짜 편하네요!! 담에 또 올게용,골드 레벨
