가게 이름,계정 ID,계정의 리뷰 수,계정의 별점 평균,방문 날짜,별점,리뷰 내 사진 유무,리뷰 글자 수,리뷰 내용,카카오맵 리뷰다는 사람 레벨
홍대 조선시대,이지송,2,3,2026-05-01,5,TRUE,23,처음와봤는데 안주도맛있고 분위기도 좋아요!,브론즈 레벨
홍대 조선시대,박근주,1,5,2026-05-01,5,TRUE,23,분위기가 너무 좋고 친절하고 맛있어요!!🫶,브론즈 레벨
홍대 조선시대,이소민,11,5,2026-05-01,5,TRUE,43,분위기 좋고 데이트하기 너무 좋아요👍👍부대찌개도 푸짐하고 너무 맛있었어요ㅎㅎㅎ,브론즈 레벨
홍대 조선시대,정지영,1,5,2026-04-30,5,TRUE,118,일단 너무 맛있습니다ㅠㅠ 제가 술을 잘 안먹는데 여기 딸기막걸리는 정말 예술이에요ㅠ 진짜 정말 맛있어요🥹 여기 정말 자주자주 오는 이유이기도 합니다! 근데 막걸리뿐만아니라 안주들도 다 맛있어요! 꼭 여기 오세요!,브론즈 레벨
홍대 조선시대,은지,1,5,2026-04-29,5,TRUE,70,헐 ~~ 진짜 맛있게 먹었어요 !! 분위기랑 인테리어가 정말 좋아요 !! 서비스 전병도 가득가득 주셨어요 !! 감사합니다 💖💖,브론즈 레벨
홍대 조선시대,ㅋㅋ,23,5,2026-04-28,5,FALSE,24,그냥 모든게다 완벽함 맛있게 잘먹었습니다 👍,브론즈 레벨
홍대 조선시대,이건,1,4,2026-04-28,4,TRUE,7,닭발 맛있어염,브론즈 레벨
홍대 조선시대,김이랑,2,4.5,2026-04-25,4,TRUE,18,꾀돌이가 기본 안주?? 이건 인정,브론즈 레벨
홍대 조선시대,조수현,2,3,2026-04-25,5,TRUE,37,여기 술이 정말 다양해요 부산사람인데 여기 좋은데이 있어서 소리지름,브론즈 레벨
홍대 조선시대,정이든,1,5,2026-04-25,5,TRUE,24,안주 너무 맛있었고 분위기 완전 좋았어요!!,브론즈 레벨
홍대 조선시대,김예지,1,5,2026-04-25,5,TRUE,79,막걸리랑 잘 어울리는 안주 찾다가 방문했는데 분위기도 좋고 음식도 깔끔하네요. 특히 안주가 술이 술술 들어갈 메뉴네요 ㅎㅎ다음에 또 들를게요!,브론즈 레벨
홍대 조선시대,송현우,1,5,2026-04-25,5,TRUE,42,술이 일단 정말 싸고 직원분들도 다 친절하셔요 무엇보다 분위기가 정말 좋아요,브론즈 레벨
홍대 조선시대,선우,1,5,2026-04-25,5,TRUE,81,홍대에서 이렇게 가성비 좋은 술집 찾기 힘든거 같아요 너무 맛있고 지인들이랑 같이 오기도 좋은 거 같아요. 다음에는 룸 예약해서 오고 싶네요 ㅎㅎ,브론즈 레벨
홍대 조선시대,수현,1,5,2026-04-24,5,TRUE,31,맛있어서 허겁지겁 먹는다고 급하게 찍었는데 진짜 강추에요,브론즈 레벨
홍대 조선시대,수리,1,5,2026-04-24,5,TRUE,27,완전 안주 JMT!!🤤 완전 강추입니다~!! ㅎㅎ,브론즈 레벨
홍대 조선시대,김정환,1,5,2026-04-23,5,TRUE,32,음식이 맛있고 가성비가 좋아요. 술도 다양해서 추천합니다!,브론즈 레벨
홍대 조선시대,장현서,1,5,2026-04-23,5,TRUE,6,맛있어요!!,브론즈 레벨
홍대 조선시대,KEN,1,5,2026-04-23,5,FALSE,230,"홍대에서 분위기 좋은 술집 찾다가 방문한 조선시대. 이름처럼 한국적인 분위기가 살아 있어서 들어가자마자 눈길이 갔고, 인테리어가 독특해서 친구들이랑 사진 찍기에도 좋았음. 전체적으로 시끌벅적하면서도 부담 없는 분위기라 모임하기 편했고, 안주도 술이랑 잘 어울려서 만족스러웠다. 홍대 술집답게 접근성도 좋고, 2차나 가볍게 한잔하러 가기에도 괜찮은 곳. 색다른 분위기의 홍대 술집 찾는다면 한 번쯤 가볼 만한 곳!",브론즈 레벨
홍대 조선시대,비비빅,80,3.1,2026-04-23,5,TRUE,42,감자전이랑 누룽지탕이랑 김치 너무너무 맛있어요 대박!!!생일 저녁상으로 최고,실버 레벨
홍대 조선시대,tngus,6,2.7,2026-04-23,5,TRUE,24,안주가 맛있고 게임이 있어서 재밌어요! ㅎㅎ,브론즈 레벨
홍대 조선시대,두부,2,3,2026-04-19,5,TRUE,38,직원분들도 친절하고 음식이 맛있어서 좋아요~ 다음에 또 오고싶어요!!,브론즈 레벨
홍대 조선시대,커비,215,4.3,2026-04-17,5,TRUE,23,룸 공간 있으면 조용히 대화하기 좋아요!!,골드 레벨
홍대 조선시대,후발대 김민성,1,5,2026-04-17,5,TRUE,22,술밥이 술술 들어갑니다 술도 술술들어가요,브론즈 레벨
홍대 조선시대,다이소,3,5,2026-04-16,5,TRUE,45,맛있고 게임이.재밌어요 안주 싼편은아닌데 할인혜택이많아서 오히려 가성비있을지도??,브론즈 레벨
