가게 이름,계정 ID,계정의 리뷰 수,계정의 별점 평균,방문 날짜,별점,리뷰 내 사진 유무,리뷰 글자 수,리뷰 내용,카카오맵 리뷰다는 사람 레벨
성수족발,frauhwang,2,1.5,2026-04-09,2.0,False,81,세상에 타이어도 이것보단 연하겠어요~ 포장해서 왔는데 껍질이 얼마나 질긴지 씹히질않아요~ 성수족발도 옛날말이지 주인장 족발 한번 먹어보고 파세요~,브론즈 레벨
성수족발,헤헤,23,2.4,2026-04-06,1.0,False,82,가격 맛 양 식당분위기 다 아쉽네요... 가격은 높고 족발은 달고짜고 반찬도 적어요 요즘 족발집 맛있는 데 많은디.. 명성은 그냥 옛 명성인가봅니다,실버 레벨
성수족발,보코블린,87,3.3,2026-04-05,2.0,False,158,"1. 아무리 물가가 많이 올랐다지만 특대 55,000원에 막국수 하나도 없고 심지어 특대 사이즈가 양이 많지도 않음 2. 족발이 너무 달아서 껍데기만 씹어먹으면 디저트 먹는 것 같음 3. 그렇다고 밑반찬 양이 많지도 않음. 포장할 때 말씀 드리면 더 주시는지는 모르겠지만 아쉬운 구성",실버 레벨
성수족발,파는건 맛있어야지!,1027,3.4,2026-04-02,4.0,True,19,훌륭한 맛 5점주기에는 뭔가 부족함,블루 레벨
성수족발,-,11,2.4,2026-02-15,4.0,True,69,성수족발 진짜 맛있고 특별한맛인디.... 상추 먹지마여 ㅜ 유기농인진몰라두 여기서 포장해다 먹는디 2번이나 달팽이나옴 ㅠㅠㅠ,실버 레벨
성수족발,폭식주의보,664,4.2,2026-02-07,4.0,False,31,"친절 주차불가 (오래전 처음먹고, 우와~ 하던맛은 아님)",블루 레벨
성수족발,SEMM,2,1,2026-01-24,1.0,False,41,"오랜만에 포장을 했는데..냄새도 나고,고기의 질도 안 좋고...이젠 안가요",브론즈 레벨
성수족발,LoveChicago,1,1,2026-01-16,1.0,False,33,달고 짜고 질기기까지....평생에 먹다 나오긴 첨이네요 ㅜㅜ,브론즈 레벨
성수족발,술이조아,60,3.6,2026-01-05,3.0,True,84,무생채 존맛 ㅜㅠ 근데 줄서서 먹을정도는 아니에요 저는 줄섰지만… 족발도 탱탱하니 맛있었는데 줄설정도아니고 저는 불족발 매니아라 경험해본걸로 만족합니다,실버 레벨
성수족발,뽜니맘,2,1,2025-12-26,1.0,True,142,정말이지.. 두개를 포장해왔는데 하나는 보시다시피 무슨 찌꺼기를 모아서 포장했는지 부스러기에 뻣뻣하고 전화통화는 도무지 안되고 가까우면 쫒아라도 가는데 화나서 후기남깁니다 명성에 맞게 장사하십쇼 이런쓰레기 아깝다고 팔지마시고 멀리서와서 음식쓰레기 사갔네요,브론즈 레벨
성수족발,이예진,3,4.7,2025-12-21,4.0,False,37,마싯음!! 양도 많아요 근데 막국수도 없이 족발원툴이라 슬픔..ㅜㅜ,브론즈 레벨
성수족발,돼지공쥬,203,3.5,2025-12-10,3.0,True,42,3번정도갔지만 자리가 너무불편함 ㅠㅠ 포장을추천드리고 비싸지만 내입맛엔 좋음,골드 레벨
성수족발,김두일,3,3.3,2025-12-03,1.0,False,106,"초심을 잃은듯 합니다 오랜만에 약5~6년만에 지난11/18에 특대 사이즈를 55,000원에 포장을 했습니다. 내용이 부실했으며 맛도 예전같지 못했습니다. 부디 소비자의 평가를 무시하지마십시오",실버 레벨
성수족발,짜다짜,484,3.4,2025-11-28,3.0,True,10,맛있는 건 알겠는데,골드 레벨
성수족발,송원,9,4.6,2025-11-15,1.0,True,55,10시 마감이라고 써놨으면서 9시 40분에 갑자기 오시더니 지금 바로 나가라고 하심;; 이게 뭥..,실버 레벨
성수족발,wai,462,4.4,2025-10-28,5.0,False,30,제일 맛남… 뭔가 행사처럼 일 년에 열 번은 먹어야 함,골드 레벨
성수족발,봄날,72,2.9,2025-10-25,1.0,False,46,"맛없음.. 야채, 채소 진짜 조금 들어있음 막국수도 없음.. 이름값으로 비싸기만 함",실버 레벨
성수족발,말차밀크티,279,4.2,2025-10-23,4.0,False,53,옛날에 진짜 많이 먹었는데 점점 달아져요 요새는 너무 달아서 잘 안먹네요 예전에 진짜 맛있었는데,골드 레벨
성수족발,미남,20,3.7,2025-10-23,3.0,False,17,족발 맛있어요 주차 공간 없어요,골드 레벨
성수족발,기억력이나빠만든맛지도,506,4.4,2025-10-20,5.0,False,24,내 입맛엔 너무달아 고기가 아쥬 좋은건 사실,골드 레벨
성수족발,채은,3,4.7,2025-10-14,4.0,True,85,왼쪽 사이드에 놓여진 살코기가 그렇게 맛있다. 포장으로 한번 먹고 방문해서 한번 먹었는데 포장이 더 낫다. 평일엔 어떤지 모르지만 주말엔 웨이팅 있는 집,브론즈 레벨
성수족발,맛집의맛TV,158,4.5,2025-10-04,2.0,False,16,이게 족발인지….탕후루인지….,골드 레벨
성수족발,뭉뭉,2,4,2025-08-28,3.0,False,30,세점까지는 인생족발인데 너무 달고 느끼해서 바로 질려요,브론즈 레벨
성수족발,김성훈,68,4.3,2025-08-22,5.0,True,144,와....세상에 이렇게 맛있는 족발이있었다니... 진짜 괜히 3대족발이 아니었어요...대박 너무 맛있고 또 생각나는 그 족발의 고기😍 꼭 가보세요. 안가시면 후회하실수도! https://m.blog.naver.com/seonghun39/223978709984,골드 레벨
성수족발,J.,411,3.5,2025-08-22,3.0,True,86,"고기는 부드럽고 껍질은 쫄깃하다. 잡내도 안나고 맛있는 족발인 건 맞는데 나한테는 좀 달다. 아직도 좌식을 고수하고 있고, 장소가 협소함은 견뎌내야 한다.",골드 레벨
성수족발,맛잘알랄렐로,48,4.1,2025-08-05,5.0,True,107,음 맛잇을때가 잇고 그저그럴때가 있는듯? 평소엔 걍 존맛 입에서 살살녹아요; 여기꺼 먹으면 딴데꺼 못먹어요..그렇게 되고 싶으면 먹으세요.. 글고 돼지털도 잇어요 혹시 예민한 사람이면 싫어할듯,실버 레벨
성수족발,삭제,119,3.8,2025-08-05,5.0,False,103,"전 주로 포장으로 먹는데.. 아직까지 이 집보다 맛있는 족발집 못 찾았음~ 포장은 대기없이 바로 주니, 대기하는 사람 많다고 같이 기다리지 마시고 들어가서 포장 주문 바로 하심 됩니다~",골드 레벨
성수족발,bv권상훈,4,3.5,2025-07-29,3.0,False,23,너무 질겨졌음.. 예전엔 부드러웟는데...,브론즈 레벨
성수족발,Brandon 하성연,1,5,2025-07-13,5.0,False,10,싸장님 잘먹고갑니다,브론즈 레벨
성수족발,갓성비,9,4.3,2025-06-21,2.0,False,215,과거에 먹던 맛이 안나네요 주인장님 바뀌셨나요 몇년만에 갔는데 왜 이렇게 된거죠 ㅠㅠ ㅡ 껍질은 딱 딱해서 앞니론 잘리지도 않고 안썹혀서 잘 넘어가질 않음. ㅡ 고기는 다 말라서 장조림이 따로 없음. ㅡ 김치나 반찬은 말할것도없이 부실하고 ㅡ 포장이라 이런 부위를 줬나? 다 묶어둔거 결제하고 바로 건네줌. ㅡㅡㅡ 이유을 찿아서 다음에 찾을 때에는 맛있는 성수 족발이 되었으면 좋겠네요,브론즈 레벨
성수족발,도치,42,3.9,2025-06-09,5.0,False,41,달고 자극적인맛 맛있고 양도많음 다만 위생은 기대하면 안되고 사이드가 없음,실버 레벨
