가게 이름,계정 ID,계정의 리뷰 수,계정의 별점 평균,방문 날짜,별점,리뷰 내 사진 유무,리뷰 글자 수,리뷰 내용,카카오맵 리뷰다는 사람 레벨
훼미리손칼국수보쌈,미시기,20,3.6,2026-04-26,2.0,False,40,"자주 갔었지만 웨이팅 길어지면서 맛과 서비스를 잃음, 수고 많으셨습니다.",실버 레벨
훼미리손칼국수보쌈,kay,60,4.3,2026-04-26,1.0,False,68,불친절 끝판왕 맛도 평범 두명은 정식 둘다 시켜야된다고 하면서 1인 손님은 정식먹을 수 있게하는 어이없는 집 다신안가요:),실버 레벨
훼미리손칼국수보쌈,내일은축구왕,347,4.7,2026-04-24,5.0,False,56,막 맛이 좋은 곳이라기 보다는 가성비 좋은 칼국수 보쌈 맛집이라는 표현이 아마도 가장 정확할 겁니다.,골드 레벨
훼미리손칼국수보쌈,Tommy,6,4.3,2026-04-17,2.0,False,42,수육에서 누린내 남. 직원들 손님 앞에서 다툼. 전반적 메뉴 구성은 문안함.,브론즈 레벨
훼미리손칼국수보쌈,미여옹,6,3,2026-04-02,3.0,False,48,김치가 맛있음 근데 일하시는 아줌마 너무 4가지 없으심 ㅜ 당황해서 얼타버림 ㅋㅋㅋ..,브론즈 레벨
훼미리손칼국수보쌈,오오옹,1,2,2026-03-28,2.0,False,175,"주인과 종업원이 자꾸 눈치주며 빨리먹고 나가라는 식으로 쳐다보며, 계산시 어디서 먹었는지 알려 달라해서 테이블 위치 알려줘도 어떤걸 먹었는지 하나하나 불러 달라면서 휴대용 계산기로 계산하고 먹은 리스트 없이 총액 영수증만 줌. 그리고 갈 때 인사도 없음.불친절 한데 맛은 있음. 이걸 감안하실 분만 가서 견디세요.",브론즈 레벨
훼미리손칼국수보쌈,ㅇ,24,4.2,2026-03-20,4.0,False,15,웨이팅 좀 있지만 가성비 굿,실버 레벨
훼미리손칼국수보쌈,밍키,96,4.9,2026-03-16,5.0,False,53,매일 줄서있는 맛집.. 칼국수는 쏘쏘이지만 보쌈+칼국수 정식으로 1인 15000원 컷인게 짱임ㅋ,실버 레벨
훼미리손칼국수보쌈,내 이름은 대한민국만세!!,31,3.6,2026-03-16,4.0,True,63,처음에는 평범한데 칼국수 국물이 최고! 밥을 말아 먹어도 최고의 국밥으로 변신! 또가고 싶어지는 마력을 가진 곳!,실버 레벨
훼미리손칼국수보쌈,그러를그러세요,1,1,2026-02-25,1.0,True,319,"영점은 못주니까 일점 드립니다 제가 혼자 방문해서 받은 고기 상태입니다. 다른 분들의 리뷰 사진과 비교해 보면 아시겠지만 상태가 많이 다릅니다. 같은 시간대 혼자 밥 드시러 오신 다른 손님들 보쌈 정식에 나온 고기와도 달랐고, 제 것은 정갈하게 썰려 있지도 않은 자투리 부위 같아서 먹는 내내 기분이 좋지 않았습니다. 손님 가려서 주시는건가 생각이 드네요. 일부러 검색해서 찾아간 곳인데 실망이 큽니다. 고기는 퍽퍽하고, 칼국수는 싱겁고, 김치는 짭니다. 며칠 내내 먹을 생각에 신났었는데 다녀와보니 굳이 웨이팅을 하거나 멀리서 찾아와서 먹을 맛은 아닌 것 같습니다 !!",브론즈 레벨
