식당 이름,계정 ID,계정의 리뷰 수,방문 날짜,방문 횟수,인증 수단,리뷰 내용,리뷰 글자 수,리뷰 내 사진 유무
장인닭갈비 홍대점,muk11,52,2026.04.30,1번째 방문,영수증,음식은 맛있는데 직원들 서비스가 별로에요 반찬이 셀프면 셀프라고 처음부터 미리 알려주셔야죠 응대도 별로고,58,False
장인닭갈비 홍대점,loo****,2,2026.04.18,1번째 방문,영수증,인테리어 예쁘고 화려하고 음악도 잘 틀어주시고 닭고기 맛도 맛있었습니다 다시 오겠습니다,48,True
장인닭갈비 홍대점,ziz****,3,2026.04.18,2번째 방문,영수증,,0,True
장인닭갈비 홍대점,br****,5,2026.04.14,1번째 방문,영수증,너무 맛있어요!,8,True
장인닭갈비 홍대점,rauren4,28,2026.04.14,1번째 방문,영수증,장인닭갈비 좋아해서 자주 방문해요~~ 테이블 수도 많고 무엇보다 넘 맛있네요~~👍🏻👍🏻 직원분들도 친절하고 좋아요,63,True
장인닭갈비 홍대점,zzin91,29,2026.04.14,1번째 방문,영수증,너무 조아하는 장인닭갈비.. 원래 살던 곳은 프랜차이즈가 사라져서 슬펐는데 홍대와서 원없이 먹어욧 🥰 중간맛이 예전보다 좀 매워진 것 같아서 다음에 오면 참고하려고요! 근데 맛잇엇어요 ㅎㅎㅎㅎㅎ 잘 먹엇습니다 !,118,True
장인닭갈비 홍대점,김은덩,35,2026.04.14,1번째 방문,영수증,너무 맛있어요!!! 🫶🏻,13,True
장인닭갈비 홍대점,라베1010,11,2026.04.14,1번째 방문,영수증,1주년 기념으로 온 장인 닭갈비집! 화면보다 조금 더 빨개서 실제로 보면 더 먹음직 스러워짐!!👍👍 짱 추천,60,True
장인닭갈비 홍대점,수혈은커피로해주세요,15,2026.04.14,1번째 방문,영수증,늦은점심으로 닭갈비먹으러왔어요! 양도 많구 매장도 식기도 깨끗하고 밖이 살짝 더웠는데 에어컨이 켜져있어서 너무 쾌적하게 식사했어요!!,74,True
장인닭갈비 홍대점,승2792,11,2026.04.14,1번째 방문,영수증,"리뷰쓰면 캔 음료 준다길래 같이 온 친구가 닭갈비 나오기 전에 리뷰 썼더니 음식 사진도 올려달라해서 올렸는데요(음식 나오고 나서 영수증을 줬으면 몰라도) 리뷰 별점을 5점으로 올려달라고 하더라고요? 거기서 기분이 팍... 직원 중에 외국인 2명이 있었는데 뭐라고 설명하는지 모르겠고 닭갈비 맛도 특별히 맛있는 맛은 아니였던 것 같습니다 그리고 온라인에 있는 메뉴랑 현장 메뉴랑 1,000원 차이가 났었습니다 이렇게 리뷰를 강요하듯이 하는 곳은 처음이네요 (음료 받고 쓰는 리뷰 아닙니다 결제 후 받은 영수증입니다)",287,False
장인닭갈비 홍대점,이다영2753,24,2026.04.14,2번째 방문,영수증,"홍대에서 장인닭갈비 안 가보신 분 있나요 너무 맛있고… 음식도 빨리 나오는 편이예요! 직원 분들도 친절 하시고, 회전률 나름 빠릅니다!! 중간맛 먹었는데 좀 맵긴 했어요!",95,True
장인닭갈비 홍대점,쪼아영,17,2026.04.14,1번째 방문,영수증,장인닭갈비 왕 맛잇어요 ㅎㅎ 음식도 금방 나오는데 맛까지 있음! 양념이 잘 베어있고 셀프바까지 완벽합니다 닭은 부드럽고 고소합니다 오랜만에 진짜 닭갈비 먹구 갑니당~,92,True
장인닭갈비 홍대점,채마링,16,2026.04.14,1번째 방문,영수증,맛있습니다 신림에서도 먹었는데 맛있어서 믿고 먹으러왔어요 ㅎㅎ,34,True
장인닭갈비 홍대점,ZE1,32,2026.04.13,1번째 방문,영수증,저는 점심에 와서 점심세트 먹었숩니다 ! 듣던대로 너무너무 맛있구 모짜렐라랑 닭갈비랑 잘어울려져서 맛있게 잘먹고 갑니다 ! (*배불러서 볶음밥 못먹은게 ㅜㅜ너무 아쉬워요),95,True
