식당 이름,계정 ID,계정의 리뷰 수,방문 날짜,방문 횟수,인증 수단,리뷰 내용,리뷰 글자 수,리뷰 내 사진 유무
마포양지설렁탕,달보드레59,1057,2026.04.25,1번째 방문,영수증,괜츈,2,False
마포양지설렁탕,waikikibeach,537,2026.04.19,1번째 방문,영수증,"설렁탕14,000원/주차는 매장입구에 가능해요. 국내산이라 부드럽고 파김치,배추김치,깍두기 모두 맛있어요!",59,True
마포양지설렁탕,JHKIM1968,1343,2026.04.16,8번째 방문,영수증,맛있어요 ~~,7,False
마포양지설렁탕,모닝커피,971,2026.04.12,6번째 방문,영수증,29년째 다니는 곳. 김치가 넘 맛있습니다. 국물맛도 좋습니다.,35,False
마포양지설렁탕,kkocoma48,18,2026.04.10,1번째 방문,영수증,"예전부터 이용하던 곳이라 부모님이 뜨끈한 거 드시고 싶을 때 설렁탕을 사다 드리곤 했는데 , 요즘엔 가격도 비싸져서 ㅎㅎ 매장에 가서 먹으면 뜨끈한 맛으로 먹고 싶어서 가는 건데 오늘 같은 경우 국물이 뜨겁게 나오지 않아서 조금 실망스러웠어요. 서빙보시는 어머니들이 오래하신 분들이 많아서 착착 잘 서빙하시는데 오늘따라 조금 그랬고, 대신 김치, 깍두기가 맛있어요 엄마는 파김치가 맛있다고하고, 아들은 예전의 겉절이를 더 좋아했구요. 포장을 하면 최소 2인분부터기 때문에 가격대가 조금 부담스럴 수도 있지만 두 번 이상 먹을 수 있어서 가끔 겨울에 이용해욫 공덕역이라 편하고 또 주차 관리를 하시기 때문에 바로 앞에 주차하고 포장하거나 식사하는 건 편합니다. 개인적으로 국물이 프림탄것처럼 뿌옇지않고 맑아서 좋아요",399,True
마포양지설렁탕,yjinv,1971,2026.04.04,2번째 방문,영수증,친구들과 이야기하면서 수육에 술 한잔하는데 일하시는분들이 양해도 없이 아무렇지 않게 얼굴 옆쪽으로 손을 뻗으시더니 휴지통을 채우시네요 ㅎ 그리고 원래 수육시키면 국물이 조금 나왔던걸로 기억하는데 이젠 안 주나봅니다 설렁탕을 따로 시켰네요 수육시켰는데 국물 안 나오는 가게는 첨 봅니다 이제 못 가겠네요 양지 ㅋ,173,False
마포양지설렁탕,bestibest,560,2026.04.02,1번째 방문,영수증,음식이 맛있고 직원분들이 친절합니다.,20,True
마포양지설렁탕,cnlm****,151,2026.03.23,1번째 방문,영수증,양지설렁탕 맛있어요!,11,True
마포양지설렁탕,ksh****,2280,2026.03.22,1번째 방문,영수증,와 진짜 뚝배기 완전히 깨끗하게 먹었어요 딱 제스탈입니다 ㅎㅎ,34,True
마포양지설렁탕,먹고걷고햇빛듬뿍,1961,2026.03.17,1번째 방문,영수증,"처음으로 방문을 했습니다 5호선 마포역이나 공덕역을 통해서 올수가 있습니다, 공덕역 8번출구로 나와서 약 200미터 직진후에 왼쪽편에 건물이 보입니다, 창강빌딩 맞은편 풀리오매장과 다락광고판이 보이고 인근에 호텔 4군데가 있습니다, 가든호텔, 로이넷호텔, 신라스테이, 롯데 시티호텔이 있어서 외국분들도 많이 옵니다, 기본 설렁탕(14,000원)입니다, 테이블위에 대파통과 깍두기 파김치,배추김치통이 있으니 원하시는 김치를 드세요 공기밥과 국수사리는 처음부터 추가하거나 나중에도 가능하고 포장은 2인부터가능 국물이 많이 포장됩니다, 대한민국 방방곡곡 도시거리와 둘레길을 걸어다니면서 음식점 카페 빵집 박물관 기념관 소개하는 리뷰어입니다 ✅️ MY플레이스 리뷰어순위 TOP 30등 🌼🌸 ✅️리뷰 총조회수 1,800만회",399,True
마포양지설렁탕,연청중청진청,1077,2026.03.10,1번째 방문,영수증,설렁탕 일반도 고기양 진짜 많구 국물도 너무 맛있고 특히 깍두기랑 궁합 너무 좋아요 김치 파김치도 맛있구요 건강검진받고 먹은 점심인데 속도 편하고 너무너무너무 맛있게 잘 먹었습니다🩶 간은 살짝 되어있는데 입맛에따라 소금 더 넣어드심 될 듯해요! 저는 원래 싱겁게 먹어서 김치랑 같이 먹으니 딱 좋았습니다🤗,170,True
마포양지설렁탕,22j****,42,2026.03.08,1번째 방문,영수증,최근에 먹은 설렁탕집 중에 젤 맛있었어요 국물 맛도 진하고 김치 깍두기 다 맛있어요. 얘기하면 깍두기 국물까지도 따로 주십니다. 마포 설렁탕 중에서 1티어예요,88,True
마포양지설렁탕,킬리트,3297,2026.03.07,1번째 방문,영수증,굿!!,3,True
마포양지설렁탕,비도그,948,2026.03.02,2번째 방문,영수증,"겨울이 떠나기 싫은지 새벽부터 바람이 차고 비가 내림. 이런 날엔 따뜻하고 담백한 탕이 생각남. 🔸️ 내장탕 보통 한 그릇 주문🥢 🔸️ 국물 한 숟갈 먼저 떠먹어 봄. 좋은 고기국물 맛. 뜻밖에 미세한 단 맛이 느껴짐. 많이 뜨겁진 않음. 간이 돼 있지 않아 소금·후추 약간 침. 파 썰어놓은 것도 숭숭 얹음. 따로 나온 밥, 말아 먹으니 속이 확 풀림. 🔸️ 테이블엔 김치가 세 종류. 배추김치·깍두기·파김치. 모두 맛있고 훌륭한 조연 역할. 특히 파김치는 예나 지금이나 같은 맛. 쌉쌀함이 어우러져 매력적. 🔸️ 1974년 개업, 52년의 역사. 마포의 다른 유명 업소와 비교되기도 하는데 이 집만의 강점이 있음. 🔸️ 휴일 이른 아침, 중장년 동료 혹은 형제나 부부로 보이는 손님이 대부분인데 모두 만족한 표정들🪄",402,True
마포양지설렁탕,택사마7,1304,2026.03.02,5번째 방문,영수증,,0,True
마포양지설렁탕,유야45,192,2026.02.24,1번째 방문,영수증,부모님과 여행 설렁탕 딱 좋아요,17,False
마포양지설렁탕,yjlrg,1904,2026.02.19,1번째 방문,영수증,배고파서갔는대 가격대비 별로 직원중 한명 카운터옆 이빨닦고있고 또 옆사람들 코풀고먹고 여긴 노답,53,False
마포양지설렁탕,지지지지지지지예,1805,2026.02.04,24번째 방문,예약,,0,True
마포양지설렁탕,별로면안먹음,1256,2026.01.29,1번째 방문,영수증,"설렁탕 한그릇 14,000원 마포 올때마다 가요",26,False
마포양지설렁탕,호이정29,2685,2026.01.28,4번째 방문,영수증,포장했어요,5,False
